Time frequency,Unit of measure,Customer,Level of efficiency,Type of network,Geopolitical entity (reporting)\Time,2019.0,2020.0,2021.0,2022.0
Annual,Terajoule,Residential and services,Low,District heating,Malta,:,:,:,0.0
Annual,Terajoule,Residential and services,Low,District heating,Romania,8025.433,7057.129,6920.801,6228.186
Annual,Terajoule,Residential and services,Low,District heating,Slovenia,550.035,340.444,446.556,334.164
Annual,Terajoule,Residential and services,Low,District heating - hot water,Bulgaria,4435.0,4865.0,4287.0,4287.0
Annual,Terajoule,Residential and services,Low,District heating - hot water,Denmark,5405.807,7556.088,6019.027,3513.3
Annual,Terajoule,Residential and services,Low,District heating - hot water,Euro area – 20 countries (from 2023),:,7878.746,:,6934.589
Annual,Terajoule,Residential and services,Low,District heating - hot water,Greece,:,:,272.0,635.89
Annual,Terajoule,Residential and services,Low,District heating - hot water,European Union - 27 countries (from 2020),:,27356.963,:,20963.076
Annual,Terajoule,Residential and services,Low,District heating - hot water,Finland,1306.0,997.0,766.0,707.0
Annual,Terajoule,Residential and services,Low,District heating - hot water,France,6059.784,6881.746,5928.63,5416.699
Annual,Terajoule,Residential and services,Low,District heating - hot water,Malta,:,:,:,0.0
Annual,Terajoule,Residential and services,Low,District heating - hot water,Romania,8025.433,7057.129,6920.801,6228.186
Annual,Terajoule,Residential and services,Low,District heating - steam,Bulgaria,0.0,0.0,:,:
Annual,Terajoule,Residential and services,Low,District heating - steam,Euro area – 20 countries (from 2023),:,1651.764,:,1341.456
Annual,Terajoule,Residential and services,Low,District heating - steam,European Union - 27 countries (from 2020),:,1651.764,:,1341.456
Annual,Terajoule,Residential and services,Low,District heating - steam,France,1499.682,1651.764,1444.413,1341.456
Annual,Terajoule,Residential and services,Low,District heating - steam,Malta,:,:,:,0.0
Annual,Terajoule,Residential and services,Low,District heating - steam,Romania,0.0,0.0,0.0,0.0
Annual,Terajoule,All customers,High,District cooling,Austria,691.2,695.547,773.796,678.24
Annual,Terajoule,All customers,High,District cooling,Belgium,:,0.0,:,:
Annual,Terajoule,All customers,High,District cooling,Euro area – 20 countries (from 2023),:,2159.141,:,2756.922
Annual,Terajoule,All customers,High,District cooling,Estonia,21.6,26.13,33.6,37.0
Annual,Terajoule,All customers,High,District cooling,Spain,36.9,33.5,35.7,584.6
Annual,Terajoule,All customers,High,District cooling,European Union - 27 countries (from 2020),:,2159.141,:,2756.922
Annual,Terajoule,All customers,High,District cooling,Finland,988.0,995.0,1161.0,1157.0
Annual,Terajoule,All customers,High,District cooling,Italy,179.715,197.684,197.995,239.182
Annual,Terajoule,All customers,High,District cooling,Luxembourg,:,26.28,24.94,60.9
Annual,Terajoule,All customers,High,District cooling,Malta,:,:,:,0.0
Annual,Terajoule,All customers,High,District cooling,Portugal,185.0,185.0,176.0,:
Annual,Terajoule,All customers,High,District cooling,Slovenia,0.336,0.0,0.0,0.0
Annual,Terajoule,All customers,High,District heating,Austria,62574.357,62280.594,69065.281,60943.194
Annual,Terajoule,All customers,High,District heating,Belgium,:,2254.653,:,:
Annual,Terajoule,All customers,High,District heating,Bulgaria,15142.0,15349.0,17077.0,16340.0
Annual,Terajoule,All customers,High,District heating,Denmark,124169.912,119463.979,134113.653,125063.584
Annual,Terajoule,All customers,High,District heating,Euro area – 20 countries (from 2023),:,297850.158,:,315224.436
Annual,Terajoule,All customers,High,District heating,Estonia,14114.0,12020.0,16059.0,15078.0
Annual,Terajoule,All customers,High,District heating,Greece,1779.2,1816.951,1688.469,1294.924
Annual,Terajoule,All customers,High,District heating,Spain,1036.8,766.4,865.8,1153.3
Annual,Terajoule,All customers,High,District heating,European Union - 27 countries (from 2020),:,456211.604,:,475078.374
Annual,Terajoule,All customers,High,District heating,Finland,113472.0,103654.0,124556.0,116348.0
Annual,Terajoule,All customers,High,District heating,France,80690.875,78026.407,92144.831,81994.597
Annual,Terajoule,All customers,High,District heating,Italy,26819.142,26662.23,29148.18,27790.836
Annual,Terajoule,All customers,High,District heating,Luxembourg,:,4174.0,5048.45,4761.178
Annual,Terajoule,All customers,High,District heating,Malta,:,:,:,0.0
Annual,Terajoule,All customers,High,District heating,Romania,28242.8,23548.467,24204.736,18450.354
Annual,Terajoule,All customers,High,District heating,Slovenia,5681.527,6194.923,6815.018,5860.408
Annual,Terajoule,All customers,High,District heating - hot water,Austria,62574.357,62280.594,69065.281,60943.194
Annual,Terajoule,All customers,High,District heating - hot water,Bulgaria,13135.0,13362.0,14991.0,14167.0
Annual,Terajoule,All customers,High,District heating - hot water,Denmark,124169.912,119463.979,134113.653,125063.584
Annual,Terajoule,All customers,High,District heating - hot water,Euro area – 20 countries (from 2023),:,241148.872,:,245015.403
Annual,Terajoule,All customers,High,District heating - hot water,Estonia,14114.0,12020.0,16059.0,:
Annual,Terajoule,All customers,High,District heating - hot water,Greece,1779.2,1816.951,1688.469,1294.924
Annual,Terajoule,All customers,High,District heating - hot water,European Union - 27 countries (from 2020),:,396098.069,:,401126.105
Annual,Terajoule,All customers,High,District heating - hot water,Finland,113472.0,103654.0,124556.0,116348.0
Annual,Terajoule,All customers,High,District heating - hot water,France,58308.23,57144.747,68049.388,61771.006
Annual,Terajoule,All customers,High,District heating - hot water,Luxembourg,:,4094.58,4938.06,4658.279
Annual,Terajoule,All customers,High,District heating - hot water,Malta,:,:,:,0.0
Annual,Terajoule,All customers,High,District heating - hot water,Portugal,138.0,138.0,161.0,:
Annual,Terajoule,All customers,High,District heating - hot water,Romania,23352.347,22123.218,22709.833,16880.118
Annual,Terajoule,All customers,High,District heating - steam,Austria,0.0,:,:,:
Annual,Terajoule,All customers,High,District heating - steam,Bulgaria,2007.0,1987.0,2086.0,2173.0
Annual,Terajoule,All customers,High,District heating - steam,Euro area – 20 countries (from 2023),:,20961.08,:,20326.49
Annual,Terajoule,All customers,High,District heating - steam,European Union - 27 countries (from 2020),:,24373.329,:,24069.726
Annual,Terajoule,All customers,High,District heating - steam,France,22382.645,20881.66,24095.443,20223.591
Annual,Terajoule,All customers,High,District heating - steam,Luxembourg,:,79.42,110.39,102.899
Annual,Terajoule,All customers,High,District heating - steam,Malta,:,:,:,0.0
Annual,Terajoule,All customers,High,District heating - steam,Romania,4890.453,1425.249,1494.903,1570.236
Annual,Terajoule,All customers,Low,District cooling,Belgium,:,0.0,:,:
