Annual,Number,GT1,IE,28.0,28.0,37.0,30.0,32.0,27.0,27.0,37.0,29.0,29.0,36.0,38.0,31.0,28 p
Annual,Number,GT1,IL,19.0,24.0,15.0,12.0,32.0,20.0,26.0,31.0,36.0,43.0,35.0,49.0,50.0,42 p
Annual,Number,GT1,IN,3.0,4.0,9.0,5.0,8.0,6.0,4.0,8.0,18.0,10.0,8.0,8.0,9.0,4 p
Annual,Number,GT1,IS,1.0,1.0,3.0,1.0,2.0,2.0,:,4.0,3.0,3.0,4.0,1.0,:,:
Annual,Number,GT1,IT,711.0,962.0,1104.0,1097.0,1083.0,1139.0,1074.0,1175.0,1178.0,1100.0,1026.0,1099.0,1004.0,1147 p
Annual,Number,GT1,JP,279.0,430.0,437.0,390.0,439.0,467.0,386.0,482.0,577.0,573.0,484.0,436.0,353.0,307 p
Annual,Number,GT1,KR,9.0,23.0,65.0,101.0,90.0,92.0,75.0,132.0,126.0,203.0,297.0,191.0,88.0,72 p
Annual,Number,GT1,LI,7.0,19.0,24.0,16.0,22.0,25.0,22.0,19.0,14.0,13.0,18.0,10.0,12.0,12 p
Annual,Number,GT1,LT,:,3.0,2.0,1.0,2.0,8.0,6.0,8.0,4.0,11.0,7.0,16.0,14.0,10 p
Annual,Number,GT1,LU,10.0,8.0,15.0,23.0,26.0,34.0,37.0,33.0,29.0,46.0,62.0,55.0,55.0,44 p
Annual,Number,GT1,LV,:,4.0,6.0,9.0,10.0,2.0,12.0,14.0,17.0,5.0,3.0,14.0,14.0,4 p
Annual,Number,GT1,MT,:,:,:,2.0,2.0,1.0,1.0,2.0,3.0,6.0,10.0,13.0,15.0,13 p
Annual,Number,GT1,MX,1.0,:,:,1.0,:,1.0,1.0,4.0,4.0,4.0,1.0,5.0,7.0,4 p
Annual,Number,GT1,NL,205.0,325.0,315.0,312.0,298.0,372.0,351.0,326.0,343.0,375.0,316.0,277.0,266.0,278 p
Annual,Number,GT1,NO,23.0,34.0,37.0,41.0,49.0,38.0,42.0,34.0,25.0,26.0,17.0,19.0,17.0,11 p
Annual,Number,GT1,NZ,8.0,11.0,14.0,12.0,19.0,18.0,10.0,21.0,15.0,13.0,14.0,21.0,14.0,17 p
Annual,Number,GT1,PL,8.0,34.0,114.0,186.0,224.0,292.0,413.0,372.0,405.0,439.0,473.0,540.0,615.0,499 p
Annual,Number,GT1,PT,38.0,54.0,70.0,74.0,88.0,79.0,102.0,81.0,90.0,99.0,85.0,101.0,85.0,80 p
Annual,Number,GT1,RO,:,:,3.0,3.0,8.0,5.0,15.0,22.0,19.0,30.0,31.0,29.0,31.0,38 p
Annual,Number,GT1,RU,1.0,2.0,1.0,8.0,5.0,5.0,8.0,11.0,15.0,17.0,17.0,16.0,14.0,10 p
Annual,Number,GT1,SE,201.0,167.0,219.0,249.0,252.0,294.0,269.0,249.0,270.0,301.0,257.0,239.0,210.0,257 p
Annual,Number,GT1,SG,5.0,11.0,7.0,4.0,11.0,13.0,4.0,17.0,11.0,9.0,16.0,12.0,7.0,3 p
Annual,Number,GT1,SI,4.0,10.0,11.0,21.0,17.0,22.0,19.0,26.0,34.0,21.0,27.0,27.0,20.0,18 p
Annual,Number,GT1,SK,1.0,4.0,12.0,18.0,18.0,21.0,21.0,13.0,25.0,26.0,38.0,28.0,18.0,13 p
Annual,Number,GT1,TR,19.0,30.0,29.0,26.0,55.0,49.0,31.0,33.0,36.0,33.0,38.0,29.0,30.0,11 p
Annual,Number,GT1,TW,36.0,58.0,64.0,74.0,82.0,90.0,98.0,127.0,126.0,111.0,108.0,108.0,109.0,69 p
Annual,Number,GT1,UK,512.0,603.0,707.0,667.0,823.0,703.0,593.0,746.0,749.0,806.0,756.0,693.0,676.0,671 p
Annual,Number,GT1,US,524.0,606.0,767.0,959.0,924.0,932.0,750.0,958.0,865.0,1107.0,1076.0,1147.0,1237.0,1068 p
Annual,Number,GT1,WORLD,5401.0,7096.0,8335.0,8892.0,9793.0,9777.0,9317.0,10070.0,10387.0,10902.0,10468.0,9964.0,9734.0,9114 p
Annual,Number,GT1,ZA,4.0,6.0,10.0,8.0,10.0,7.0,9.0,8.0,9.0,15.0,10.0,6.0,5.0,16 p
