Time frequency,Source of funds,Unit of measure,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Rest of the world,Percentage of total,Iceland,:,19.98 b,23.27,25.57,21.2,24.55,18.74,27.72,26.66,21.55,17.67,:
Annual,Rest of the world,Percentage of total,Italy,9.45,9.65,9.42 e,8.3,9.76 b,11.73,10.55,9.59,11.28,8.8,9.45,:
Annual,Rest of the world,Percentage of total,Japan,0.45,0.52 b,0.44,0.48,0.73,0.64,0.61 b,0.58,0.54,0.61,0.71,:
Annual,Rest of the world,Percentage of total,South Korea,0.34,0.3,0.71,0.75,0.94,1.25,1.94,1.61,0.24,0.29,0.31,:
Annual,Rest of the world,Percentage of total,Lithuania,33.18,37.11,33.84,34.35,19.2,24.43,26.17,30.57,30.98,31.33,26.42,:
Annual,Rest of the world,Percentage of total,Luxembourg,34.44 b,32.34,2.27,3.3,2.22,5.7,:,3.92,:,7.11,:,:
Annual,Rest of the world,Percentage of total,Latvia,50.39,51.61,44.23,45.01,27.81,29.8,41.51,38.63,31.3,30.42,27.74,:
Annual,Rest of the world,Percentage of total,Montenegro,:,22.51,20.7,5.93,:,10.28,7.77,9.3,:,:,:,:
Annual,Rest of the world,Percentage of total,North Macedonia,:,:,:,5.24,5.19,5.92,4.28,5.58,5.59,:,4.21,:
Annual,Rest of the world,Percentage of total,Malta,21.4,23.33,21.0,20.4,10.74,10.76,8.86,8.73,8.21,6.13,9.31,:
Annual,Rest of the world,Percentage of total,Netherlands,12.52 b,10.67 b,10.69,11.53,11.47,11.85,11.17,10.39,10.35,10.33,10.22 b,:
Annual,Rest of the world,Percentage of total,Norway,:,9.47,:,9.2,9.46,8.84,8.23,8.22,7.84,8.07,8.42,:
Annual,Rest of the world,Percentage of total,Poland,13.35,13.12,13.36,16.74,5.47,5.95,7.04,7.05,7.18,8.17,8.11,:
Annual,Rest of the world,Percentage of total,Portugal,5.17,6.12,5.61,7.37,8.01,7.32,7.21,6.82,6.51,6.32,6.14,:
Annual,Rest of the world,Percentage of total,Romania,14.44,15.5,17.0,19.23,9.85,7.92,9.0,10.55,10.89,12.56,12.27,:
Annual,Rest of the world,Percentage of total,Serbia,9.19,7.81,12.45,12.55,12.97,19.91,21.56,19.66,9.63,15.87,17.57,30.31
Annual,Rest of the world,Percentage of total,Russia,3.97,3.03,2.48,2.65,:,2.63,2.35,2.4,:,:,:,:
Annual,Rest of the world,Percentage of total,Sweden,:,6.71 e,:,: @C,:,10.08,:,8.84,:,11.71,:,:
Annual,Rest of the world,Percentage of total,Slovenia,8.56,8.91,9.26,10.56,10.16,13.1,23.85,22.85,24.63,26.41,29.35,:
Annual,Rest of the world,Percentage of total,Slovakia,18.65,17.97,23.68,39.43,10.71,13.74,11.23,10.73,14.28,13.88,16.82,:
Annual,Rest of the world,Percentage of total,Türkiye,0.59,0.83,1.08,1.18,3.06,2.82,1.6,1.22,1.59,1.52,1.33,:
Annual,Rest of the world,Percentage of total,United Kingdom,19.84 e,18.68,17.54 e,17.09,15.62 e,14.43,13.67,:,:,:,:,:
Annual,Rest of the world,Percentage of total,United States,4.08,4.47,5.04,4.9,5.68,6.96,7.11,7.13,6.65,6.95 b,6.87 dp,:
