Time frequency,Age class,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,From 3 years to minimum compulsory school age,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,25.0,:,:
Annual,From 3 years to minimum compulsory school age,Austria,5.0,9.0,10.0,10.0,10.0,6.0,8.0,8.0,6.0,6.0,7.0,5.0,7.0,6.0,8.0,6.0,5.0,6.0,8.0
Annual,From 3 years to minimum compulsory school age,Belgium,8.0,8.0,8.0,7.0,8.0,7.0,7.0,6.0,8.0,8.0,8.0,6.0,7.0,6.0,8.0 b,6.0,6.0,6.0,7.0
Annual,From 3 years to minimum compulsory school age,Bulgaria,:,24.0,24.0,21.0,26.0,: u,20.0,30.0,20.0,20.0,20.0,10.0,20.0,20.0,15.0,20.0,20.0,20.0,20.0
Annual,From 3 years to minimum compulsory school age,Switzerland,:,:,:,:,8.0,8.0,8.0,8.0,10.0,9.0,:,:,11.0,10.0,10.0,10.0,10.0,10.0,10.0
Annual,From 3 years to minimum compulsory school age,Cyprus,24.0,20.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,13.0,15.0,15.0,20.0,15.0
Annual,From 3 years to minimum compulsory school age,Czechia,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,5.0,6.0,6.0,7.0,10.0,7.0,8.0
Annual,From 3 years to minimum compulsory school age,Germany,6.0,15.0,8.0,8.0,8.0,8.0,8.0,5.0,6.0,5.0,7.0,5.0,8.0,6.0,6.0,8.0 b,6.0,5.0,5.0
Annual,From 3 years to minimum compulsory school age,Denmark,: u,:,: u,: u,:,:,:,30 u,5 u,:,2.0,45.0,7.0,37.0,34.0,25.0,:,33.0,4.0
Annual,From 3 years to minimum compulsory school age,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,:,:,10.0 e,11.0 e,9.0 e,10.0 e,9.0 e,10.0 e,9.0 e,9.2,9.6 e,8.6,:,:
Annual,From 3 years to minimum compulsory school age,Euro area - 18 countries (2014),10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,11.0,9.0,10.0,9.0,10.0,9.0,9.2,9.6 e,:,:,:
Annual,From 3 years to minimum compulsory school age,Euro area - 19 countries  (2015-2022),10.0,12.0,10.0,10.0,10.0,10.0,10.0,11.0,11.0,9.0,10.0,9.0,10.0,9.0,9.2,9.6 e,8.6,:,:
Annual,From 3 years to minimum compulsory school age,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,9.0,10.0,9.0,10.0,9.0,9.0,10.0 e,9.0,8.2,8.2
Annual,From 3 years to minimum compulsory school age,Estonia,12.0,10.0,8.0,10.0,8.0,5.0,5.0,5.0,8.0,8.0,5.0,5.0,5.0,6.0,5.0,6.0,5.0,5.0,6.0
Annual,From 3 years to minimum compulsory school age,Greece,20.0,25.0,20.0,20.0,20.0,20.0,24.0,15.0,20.0,20.0,20.0,20.0,20.0,20.0,15.0,20.0,20.0,15.0,15.0
Annual,From 3 years to minimum compulsory school age,Spain,10.0,15.0,12.0,15.0,10.0,10.0,10.0,15.0,15.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,7.0
Annual,From 3 years to minimum compulsory school age,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,:,:,14.0,13.0,12.0,12.0,11.0,11.0,11.0,10.3 e,:,:,:,:
Annual,From 3 years to minimum compulsory school age,European Union - 27 countries (2007-2013),:,:,12.0,10.0,10.0,10.0,10.0,14.0,13.0,12.0,12.0,11.0,11.0,11.0,10.2 e,:,:,:,:
Annual,From 3 years to minimum compulsory school age,European Union - 27 countries (from 2020),:,:,:,:,:,12.0 e,13.0 e,14.0 e,13.0 e,11.0 e,12.0 e,11.0 e,11.0 e,11.0 e,10.3 e,10.7 e,10.0,9.5,8.8
Annual,From 3 years to minimum compulsory school age,European Union - 28 countries (2013-2020),:,:,:,:,:,10.0,10.0,14.0 e,13.0,12.0,12.0,11.0,11.0,11.0,10.3 e,:,:,:,:
Annual,From 3 years to minimum compulsory school age,Finland,12.0,10.0,10.0,16.0,12.0,30 b,35.0,25.0,32.0,22.0,30.0,20.0,30.0,20.0,21.0,36.0,24.0,16.0,15.0
Annual,From 3 years to minimum compulsory school age,France,12.0,10.0,12.0,9.0,10.0,10.0,10.0,10.0,10.0,9.0,9.0,9.0,9.0,10.0,10.0,7.0 b,8.0,8.0 p,8.0
Annual,From 3 years to minimum compulsory school age,Croatia,:,:,:,:,:,12.0,20.0,20.0,20.0,10.0,15.0,15.0,10.0,15.0,10.0,15.0,10.0,10.0,10.0
Annual,From 3 years to minimum compulsory school age,Hungary,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,8.0,8.0,10.0,8.0,8.0,6.0,8.0,6.0,5.0,5.0
Annual,From 3 years to minimum compulsory school age,Ireland,15.0,12.0,15.0,12.0,18.0,15.0,16.0,15.0,15.0,15.0,15.0,15.0,15.0,15.0,12.0 b,15.0 b,15.0,12.0,15.0
Annual,From 3 years to minimum compulsory school age,Iceland,10.0,35.0,10.0,15.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,:,:,:,:
Annual,From 3 years to minimum compulsory school age,Italy,10.0,12.0,10.0,10.0,10.0,12.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,:,10.0,10.0,10.0
Annual,From 3 years to minimum compulsory school age,Lithuania,30.0,40.0,30.0,40.0,30.0,25.0,20.0,20.0,20.0,15.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
Annual,From 3 years to minimum compulsory school age,Luxembourg,10.0,10.0,25.0,12.0,20.0,14.0,18.0,8.0,16.0,11.0,14.0,11.0,8.0,8.0,17.0,9.0 b,9.0 b,14.0,10.0
Annual,From 3 years to minimum compulsory school age,Latvia,20.0,40.0,24.0,25.0,40.0,40.0,40.0,40.0,12.0,20.0,15.0,15.0,10.0,10.0,10.0,16.0,15.0,15.0,6.0
Annual,From 3 years to minimum compulsory school age,Malta,12.0,15.0,12.0,15.0,10.0,8.0,14.0,15.0,10.0,10.0,10.0,10.0,13.0,10.0,8.0,10.0,10.0,10.0,5.0
Annual,From 3 years to minimum compulsory school age,Netherlands,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,7.0,7.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0
Annual,From 3 years to minimum compulsory school age,Norway,8.0,10.0,8.0,5.0,6.0,6.0,5.0,5.0,7.0,6.0,5.0,4.0,5.0,5.0,5.0,6.0,5.0 b,4.0,4.0
Annual,From 3 years to minimum compulsory school age,Poland,25.0,20.0,25.0,20.0,20.0,20.0,20.0,28.0,25.0,20.0,20.0,10.0,12.0,12.0,10.0,12.0,10.0,10.0,10.0
Annual,From 3 years to minimum compulsory school age,Portugal,10.0,20.0,30.0,25.0,16.0,15.0,15.0,15.0,15.0,12.0,15.0,10.0,10.0,10.0,10.0,10.0,10.0,6.0,22.0
