Time frequency,Plantation density,Unit of measure,Age class,Fruit species and groups of varieties,Geopolitical entity (reporting)\Time,2002.0,2007.0,2012.0,2017.0
Annual,Total,Hectare,Total,Small citrus fruit trees,Sweden,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Slovenia,:,:,: m,:
Annual,Total,Hectare,Total,Small citrus fruit trees,Slovakia,:,:,0.0,:
Annual,Total,Hectare,Total,Small citrus fruit trees,United Kingdom,:,:,0.0,:
Annual,Total,Hectare,Total,Total,Austria,:,:,9504.2,9518.49
Annual,Total,Hectare,Total,Total,Belgium,:,:,14715.79,14730.0
Annual,Total,Hectare,Total,Total,Bulgaria,:,:,13074.48,14937.25
Annual,Total,Hectare,Total,Total,Cyprus,:,:,14691.04,14076.63
Annual,Total,Hectare,Total,Total,Czechia,:,:,13911.23,9840.91
Annual,Total,Hectare,Total,Total,Germany,:,:,33098.72,36117.84
Annual,Total,Hectare,Total,Total,Denmark,:,:,1710.2,1627.52
Annual,Total,Hectare,Total,Total,Estonia,:,:,600 e,:
Annual,Total,Hectare,Total,Total,Greece,:,:,791251.28,761266.9
Annual,Total,Hectare,Total,Total,Spain,:,:,2922447.78,2941143.04
Annual,Total,Hectare,Total,Total,European Union - 27 countries (from 2020),:,:,:,5940618.87
Annual,Total,Hectare,Total,Total,European Union - 28 countries (2013-2020),:,:,:,5947860.54
Annual,Total,Hectare,Total,Total,Finland,:,:,: m,:
Annual,Total,Hectare,Total,Total,France,:,:,90579.82,85177.3
Annual,Total,Hectare,Total,Total,Croatia,:,:,22948.81,23191.73
Annual,Total,Hectare,Total,Total,Hungary,:,:,35503.48,36291.48
Annual,Total,Hectare,Total,Total,Ireland,:,:,: m,:
Annual,Total,Hectare,Total,Total,Italy,:,:,1431988.15,1389829.43
Annual,Total,Hectare,Total,Total,Lithuania,:,:,1401.1,1511.6
Annual,Total,Hectare,Total,Total,Luxembourg,:,:,57.0,:
Annual,Total,Hectare,Total,Total,Latvia,:,:,2390.5,3191.1
Annual,Total,Hectare,Total,Total,Malta,:,:,: m,:
Annual,Total,Hectare,Total,Total,Netherlands,:,:,16116.6,16691.33
Annual,Total,Hectare,Total,Total,Poland,:,:,150992.9,167314.99
Annual,Total,Hectare,Total,Total,Portugal,:,:,346829.51,338746.92
Annual,Total,Hectare,Total,Total,Romania,:,:,64261.5,67840.29
Annual,Total,Hectare,Total,Total,Serbia,:,:,:,43962.0
Annual,Total,Hectare,Total,Total,Sweden,:,:,1690.34,1655.28
Annual,Total,Hectare,Total,Total,Slovenia,:,:,2701.93,3597.43
Annual,Total,Hectare,Total,Total,Slovakia,:,:,3781.58,2321.44
Annual,Total,Hectare,Total,Total,United Kingdom,:,:,6867.92,7241.67
