Time frequency,Unit of measure,Type of vessel,Type of victim,Sea basins,Country of registration\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Person,Passenger ship,Killed,Other sea basins,Others,3.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Annual,Person,Passenger ship,Killed,Unknown,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0
Annual,Person,Passenger ship,Killed,Unknown,Others,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Other vessel,Injured,North Sea,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,0.0,:,:,:,:,:
Annual,Person,Other vessel,Injured,North Sea,Others,:,:,:,:,:,:,:,:,:,:,:,2.0,:
Annual,Person,Other vessel,Killed,North Sea,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,0.0,:,:,:,:,:
Annual,Person,Other vessel,Killed,North Sea,Others,:,:,:,:,:,:,:,:,:,:,:,0.0,:
Annual,Person,Recreational craft,Injured,Atlantic Ocean,European Union - 27 countries (from 2020),0.0,:,0.0,0.0,0.0,0.0,2.0,16.0,7.0,0.0,1.0,6.0,0.0
Annual,Person,Recreational craft,Injured,Atlantic Ocean,Others,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,3.0,0.0,:,0.0,:
Annual,Person,Recreational craft,Injured,Atlantic Ocean,Unknown,:,:,:,0.0,:,:,:,0.0,0.0,:,:,0.0,:
Annual,Person,Recreational craft,Injured,Baltic Sea,European Union - 27 countries (from 2020),1.0,0.0,0.0,4.0,0.0,2.0,12.0,1.0,0.0,0.0,1.0,2.0,3.0
Annual,Person,Recreational craft,Injured,Baltic Sea,Others,0.0,:,0.0,0.0,:,0.0,0.0,0.0,0.0,:,0.0,:,0.0
Annual,Person,Recreational craft,Injured,Baltic Sea,Unknown,:,0.0,:,0.0,:,0.0,0.0,:,:,0.0,:,1.0,:
Annual,Person,Recreational craft,Injured,Black Sea,European Union - 27 countries (from 2020),:,0.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Person,Recreational craft,Injured,English Channel,European Union - 27 countries (from 2020),:,:,0.0,:,:,:,:,0.0,:,:,1.0,1.0,1.0
Annual,Person,Recreational craft,Injured,English Channel,Others,1.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,:,:,:
Annual,Person,Recreational craft,Injured,English Channel,Unknown,:,:,:,0.0,0.0,0.0,:,0.0,0.0,:,:,:,:
Annual,Person,Recreational craft,Injured,Mediterranean Sea,European Union - 27 countries (from 2020),0.0,0.0,7.0,6.0,1.0,10.0,1.0,3.0,3.0,0.0,0.0,0.0,3.0
Annual,Person,Recreational craft,Injured,Mediterranean Sea,Others,0.0,0.0,0.0,2.0,0.0,:,0.0,0.0,0.0,:,0.0,:,0.0
Annual,Person,Recreational craft,Injured,Mediterranean Sea,Unknown,:,:,0.0,:,:,0.0,:,:,0.0,0.0,:,:,0.0
Annual,Person,Recreational craft,Injured,North Sea,European Union - 27 countries (from 2020),2.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0
Annual,Person,Recreational craft,Injured,North Sea,Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,2.0
Annual,Person,Recreational craft,Injured,North Sea,Unknown,0.0,0.0,0.0,:,0.0,:,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Person,Recreational craft,Injured,Other sea basins,European Union - 27 countries (from 2020),:,:,0.0,0.0,:,:,:,:,:,:,:,0.0,:
Annual,Person,Recreational craft,Injured,Other sea basins,Others,0.0,1.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:
Annual,Person,Recreational craft,Injured,Other sea basins,Unknown,:,0.0,:,:,:,0.0,:,:,0.0,:,:,:,:
Annual,Person,Recreational craft,Injured,Unknown,European Union - 27 countries (from 2020),:,0.0,1.0,:,0.0,:,0.0,:,:,:,0.0,0.0,:
Annual,Person,Recreational craft,Injured,Unknown,Others,:,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Person,Recreational craft,Killed,Atlantic Ocean,European Union - 27 countries (from 2020),0.0,:,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
Annual,Person,Recreational craft,Killed,Atlantic Ocean,Others,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,:
Annual,Person,Recreational craft,Killed,Atlantic Ocean,Unknown,:,:,:,0.0,:,:,:,0.0,0.0,:,:,0.0,:
Annual,Person,Recreational craft,Killed,Baltic Sea,European Union - 27 countries (from 2020),0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Annual,Person,Recreational craft,Killed,Baltic Sea,Others,0.0,:,0.0,0.0,:,0.0,0.0,0.0,0.0,:,0.0,:,0.0
Annual,Person,Recreational craft,Killed,Baltic Sea,Unknown,:,0.0,:,0.0,:,0.0,0.0,:,:,0.0,:,0.0,:
Annual,Person,Recreational craft,Killed,Black Sea,European Union - 27 countries (from 2020),:,0.0,:,:,:,:,:,:,:,:,:,:,:
Annual,Person,Recreational craft,Killed,English Channel,European Union - 27 countries (from 2020),:,:,0.0,:,:,:,:,0.0,:,:,0.0,0.0,0.0
Annual,Person,Recreational craft,Killed,English Channel,Others,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,:,:,:
Annual,Person,Recreational craft,Killed,English Channel,Unknown,:,:,:,0.0,0.0,0.0,:,0.0,0.0,:,:,:,:
Annual,Person,Recreational craft,Killed,Mediterranean Sea,European Union - 27 countries (from 2020),1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0
Annual,Person,Recreational craft,Killed,Mediterranean Sea,Others,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0,:,0.0,:,0.0
Annual,Person,Recreational craft,Killed,Mediterranean Sea,Unknown,:,:,0.0,:,:,0.0,:,:,0.0,0.0,:,:,0.0
Annual,Person,Recreational craft,Killed,North Sea,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Recreational craft,Killed,North Sea,Others,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0
Annual,Person,Recreational craft,Killed,North Sea,Unknown,0.0,0.0,0.0,:,0.0,:,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Person,Recreational craft,Killed,Other sea basins,European Union - 27 countries (from 2020),:,:,0.0,0.0,:,:,:,:,:,:,:,0.0,:
Annual,Person,Recreational craft,Killed,Other sea basins,Others,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:
Annual,Person,Recreational craft,Killed,Other sea basins,Unknown,:,0.0,:,:,:,0.0,:,:,0.0,:,:,:,:
Annual,Person,Recreational craft,Killed,Unknown,European Union - 27 countries (from 2020),:,0.0,0.0,:,0.0,:,0.0,:,:,:,0.0,0.0,:
Annual,Person,Recreational craft,Killed,Unknown,Others,:,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Person,Service ship,Injured,Atlantic Ocean,European Union - 27 countries (from 2020),2.0,2.0,8.0,8.0,1.0,7.0,3.0,8.0,6.0,3.0,5.0,5.0,5.0
Annual,Person,Service ship,Injured,Atlantic Ocean,Others,3.0,15.0,12.0,9.0,12.0,11.0,4.0,5.0,8.0,3.0,0.0,6.0,0.0
Annual,Person,Service ship,Injured,Atlantic Ocean,Unknown,:,1.0,:,:,:,:,:,:,:,:,:,0.0,:
Annual,Person,Service ship,Injured,Baltic Sea,European Union - 27 countries (from 2020),1.0,9.0,6.0,4.0,6.0,3.0,1.0,4.0,1.0,1.0,6.0,3.0,5.0
Annual,Person,Service ship,Injured,Baltic Sea,Others,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
Annual,Person,Service ship,Injured,Black Sea,European Union - 27 countries (from 2020),:,:,:,0.0,:,:,:,0.0,:,:,:,:,:
Annual,Person,Service ship,Injured,English Channel,European Union - 27 countries (from 2020),0.0,0.0,1.0,2.0,:,1.0,2.0,0.0,1.0,1.0,1.0,0.0,5.0
Annual,Person,Service ship,Injured,English Channel,Others,6.0,9.0,5.0,3.0,6.0,2.0,3.0,2.0,6.0,1.0,0.0,2.0,1.0
Annual,Person,Service ship,Injured,Mediterranean Sea,European Union - 27 countries (from 2020),1.0,3.0,13.0,9.0,2.0,2.0,5.0,10.0,9.0,7.0,2.0,9.0,6.0
Annual,Person,Service ship,Injured,Mediterranean Sea,Others,0.0,0.0,:,1.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,:,0.0
Annual,Person,Service ship,Injured,North Sea,European Union - 27 countries (from 2020),8.0,8.0,6.0,10.0,9.0,5.0,8.0,8.0,2.0,11.0,10.0,15.0,8.0
Annual,Person,Service ship,Injured,North Sea,Others,16.0,38.0,34.0,12.0,23.0,18.0,12.0,11.0,10.0,8.0,2.0,1.0,2.0
Annual,Person,Service ship,Injured,North Sea,Unknown,:,0.0,:,:,:,:,:,:,0.0,:,:,:,:
Annual,Person,Service ship,Injured,Other sea basins,European Union - 27 countries (from 2020),2.0,3.0,16.0,13.0,2.0,5.0,4.0,3.0,3.0,5.0,5.0,9.0,10.0
Annual,Person,Service ship,Injured,Other sea basins,Others,4.0,12.0,14.0,11.0,15.0,7.0,12.0,9.0,4.0,6.0,0.0,0.0,14.0
Annual,Person,Service ship,Injured,Other sea basins,Unknown,0.0,:,:,:,0.0,:,:,:,:,:,:,:,5.0
Annual,Person,Service ship,Injured,Unknown,European Union - 27 countries (from 2020),3.0,24.0,8.0,7.0,3.0,2.0,0.0,1.0,:,1.0,0.0,0.0,0.0
Annual,Person,Service ship,Injured,Unknown,Others,0.0,0.0,26.0,9.0,5.0,7.0,7.0,16.0,18.0,9.0,7.0,10.0,7.0
Annual,Person,Service ship,Killed,Atlantic Ocean,European Union - 27 countries (from 2020),4.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0
Annual,Person,Service ship,Killed,Atlantic Ocean,Others,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Service ship,Killed,Atlantic Ocean,Unknown,:,0.0,:,:,:,:,:,:,:,:,:,0.0,:
Annual,Person,Service ship,Killed,Baltic Sea,European Union - 27 countries (from 2020),1.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0
Annual,Person,Service ship,Killed,Baltic Sea,Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
Annual,Person,Service ship,Killed,Black Sea,European Union - 27 countries (from 2020),:,:,:,0.0,:,:,:,0.0,:,:,:,:,:
Annual,Person,Service ship,Killed,English Channel,European Union - 27 countries (from 2020),0.0,0.0,0.0,1.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Service ship,Killed,English Channel,Others,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Service ship,Killed,Mediterranean Sea,European Union - 27 countries (from 2020),0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0
Annual,Person,Service ship,Killed,Mediterranean Sea,Others,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0
Annual,Person,Service ship,Killed,North Sea,European Union - 27 countries (from 2020),0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0
Annual,Person,Service ship,Killed,North Sea,Others,0.0,2.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0
Annual,Person,Service ship,Killed,North Sea,Unknown,:,0.0,:,:,:,:,:,:,0.0,:,:,:,:
Annual,Person,Service ship,Killed,Other sea basins,European Union - 27 countries (from 2020),1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
Annual,Person,Service ship,Killed,Other sea basins,Others,0.0,0.0,0.0,0.0,1.0,2.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0
Annual,Person,Service ship,Killed,Other sea basins,Unknown,0.0,:,:,:,0.0,:,:,:,:,:,:,:,0.0
Annual,Person,Service ship,Killed,Unknown,European Union - 27 countries (from 2020),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,0.0,0.0,0.0
Annual,Person,Service ship,Killed,Unknown,Others,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Unknown,Injured,Atlantic Ocean,European Union - 27 countries (from 2020),0.0,:,0.0,:,:,0.0,:,0.0,:,0.0,0.0,0.0,:
Annual,Person,Unknown,Injured,Atlantic Ocean,Others,3.0,1.0,1.0,:,:,:,1.0,:,:,0.0,0.0,:,:
Annual,Person,Unknown,Injured,Atlantic Ocean,Unknown,:,:,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Annual,Person,Unknown,Injured,Baltic Sea,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,1.0
Annual,Person,Unknown,Injured,Baltic Sea,Unknown,:,:,:,:,:,:,:,:,:,1.0,:,0.0,0.0
Annual,Person,Unknown,Injured,English Channel,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,0.0,:,:
Annual,Person,Unknown,Injured,English Channel,Others,4.0,1.0,:,:,:,:,:,0.0,:,:,:,:,:
Annual,Person,Unknown,Injured,English Channel,Unknown,:,0.0,:,:,:,:,:,0.0,0.0,0.0,:,:,:
Annual,Person,Unknown,Injured,Mediterranean Sea,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,0.0,0.0,5.0,0.0,1.0,3.0
Annual,Person,Unknown,Injured,Mediterranean Sea,Others,:,:,:,:,:,:,:,:,:,0.0,:,:,0.0
Annual,Person,Unknown,Injured,Mediterranean Sea,Unknown,:,0.0,0.0,:,:,:,:,0.0,:,0.0,0.0,:,0.0
Annual,Person,Unknown,Injured,North Sea,European Union - 27 countries (from 2020),:,:,:,:,:,:,1.0,:,0.0,:,:,:,0.0
Annual,Person,Unknown,Injured,North Sea,Others,3.0,0.0,:,:,:,:,:,0.0,:,:,:,0.0,0.0
Annual,Person,Unknown,Injured,North Sea,Unknown,0.0,:,0.0,:,:,:,:,1.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Unknown,Injured,Other sea basins,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,0.0,:,:,:,:,:
Annual,Person,Unknown,Injured,Other sea basins,Others,0.0,0.0,:,0.0,:,0.0,:,0.0,0.0,0.0,0.0,0.0,1.0
Annual,Person,Unknown,Injured,Other sea basins,Unknown,:,0.0,0.0,:,:,:,:,0.0,0.0,0.0,4.0,0.0,0.0
Annual,Person,Unknown,Injured,Unknown,European Union - 27 countries (from 2020),1.0,:,:,:,:,:,:,:,:,:,0.0,:,:
Annual,Person,Unknown,Injured,Unknown,Others,:,:,1.0,:,:,:,:,1.0,1.0,:,1.0,1.0,:
Annual,Person,Unknown,Injured,Unknown,Unknown,:,:,:,0.0,:,:,:,:,:,:,:,:,:
Annual,Person,Unknown,Killed,Atlantic Ocean,European Union - 27 countries (from 2020),0.0,:,0.0,:,:,0.0,:,0.0,:,0.0,0.0,0.0,:
Annual,Person,Unknown,Killed,Atlantic Ocean,Others,0.0,0.0,2.0,:,:,:,3.0,:,:,3.0,0.0,:,:
Annual,Person,Unknown,Killed,Atlantic Ocean,Unknown,:,:,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Annual,Person,Unknown,Killed,Baltic Sea,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Unknown,Killed,Baltic Sea,Unknown,:,:,:,:,:,:,:,:,:,0.0,:,0.0,0.0
Annual,Person,Unknown,Killed,English Channel,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,:,:,:,0.0,:,:
Annual,Person,Unknown,Killed,English Channel,Others,0.0,0.0,:,:,:,:,:,0.0,:,:,:,:,:
Annual,Person,Unknown,Killed,English Channel,Unknown,:,0.0,:,:,:,:,:,0.0,0.0,0.0,:,:,:
Annual,Person,Unknown,Killed,Mediterranean Sea,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,1.0
Annual,Person,Unknown,Killed,Mediterranean Sea,Others,:,:,:,:,:,:,:,:,:,0.0,:,:,0.0
Annual,Person,Unknown,Killed,Mediterranean Sea,Unknown,:,1.0,0.0,:,:,:,:,0.0,:,0.0,0.0,:,0.0
Annual,Person,Unknown,Killed,North Sea,European Union - 27 countries (from 2020),:,:,:,:,:,:,0.0,:,0.0,:,:,:,0.0
Annual,Person,Unknown,Killed,North Sea,Others,1.0,0.0,:,:,:,:,:,0.0,:,:,:,0.0,0.0
Annual,Person,Unknown,Killed,North Sea,Unknown,0.0,:,0.0,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Unknown,Killed,Other sea basins,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,0.0,:,:,:,:,:
Annual,Person,Unknown,Killed,Other sea basins,Others,0.0,0.0,:,0.0,:,0.0,:,0.0,0.0,0.0,1.0,0.0,0.0
Annual,Person,Unknown,Killed,Other sea basins,Unknown,:,0.0,0.0,:,:,:,:,0.0,6.0,0.0,0.0,0.0,0.0
Annual,Person,Unknown,Killed,Unknown,European Union - 27 countries (from 2020),0.0,:,:,:,:,:,:,:,:,:,0.0,:,:
Annual,Person,Unknown,Killed,Unknown,Others,:,:,0.0,:,:,:,:,0.0,0.0,:,0.0,0.0,:
Annual,Person,Unknown,Killed,Unknown,Unknown,:,:,:,0.0,:,:,:,:,:,:,:,:,:
