Time frequency,annex,indic_sb,priority,unit,nace_r1,cpa02,partner,geo\TIME_PERIOD,1997.0,1998.0,1999.0,2000.0,2001.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J671,TOTAL,NO,:,:,:,189.944,260.423
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6712,TOTAL,BE,0.0,0.0,0.0,0.0,:
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6712,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6712A,TOTAL,BE,0.0,0.0,0.0,0.0,:
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6712A,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6712B,TOTAL,BE,0.0,0.0,0.0,0.0,:
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6712B,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6713,TOTAL,BE,944.904,1071.227,1375.338,1968.374,1723.186
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J6713,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J672,TOTAL,BE,0.0,0.0,0.0,0.0,:
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J672,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J672A,TOTAL,BE,0.0,0.0,0.0,0.0,:
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J672A,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J672B,TOTAL,BE,0.0,0.0,0.0,0.0,:
Annual,6.0,V44140,O,MIO_EUR,J6512,CPA_J672B,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512,TOTAL,BG,:,:,20.77,13.6,:
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512,TOTAL,ES,1154.358,1268.0,1282.0,1477.0,1643.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512,TOTAL,HU,:,:,112.424,119.406,165.056
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512,TOTAL,NO,56.119,45.595,45.726 p,44.62,42.244
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512,TOTAL,SE,1439.805,355.207 b,379.676,477.313,464.716
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512A,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512AA,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512AB,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512AC,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512B,TOTAL,ES,:,:,897.0,1035.0,1135.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512BA,TOTAL,ES,:,:,:,:,0.0
Annual,6.0,V44140,O,MIO_EUR,J6512_J652,CPA_J6512BB,TOTAL,ES,:,:,:,:,0.0
