Time frequency,Energy consumption,product,unit,geo\TIME_PERIOD,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,LU,:,:,:,:,:,:,0.0
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,LV,0.0,:,:,:,:,:,:
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,MK,:,:,0.0,:,:,0.0,:
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,NL,11.0,10.0,13.0,11.0,9.0,9.0,8.0
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,PL,:,:,:,:,:,7.0364,14.5804
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,PT,: @C,18.271,25.174,26.486,:,:,: @C
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,RO,9.8522 e,10.9624 e,7.3781,7.905,9.39,5.8174,8.1993
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,RS,51.5251,44.9119,31.6668,38.0991,43.6636,15.4004,:
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,SE,0.0,0.0,:,:,:,:,0.0
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,SK,23.8,19.4,28.7,: @C,: @C,: @C,: @C
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,TR,36.6998,40.4408,39.1675,35.3036,38.6867,36.0441,11.5025
Annual,Consumption 4 000 000 GJ or over - band I6,4100.0,PC,UA,:,42.8284,55.2567,69.6474,:,:,:
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,AT,7.4,6.7,7.2,7.3,7.3,7.3,7.4
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,BA,17.21,:,12.76,12.44,33.0,33.0,33.0
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,BE,13.6757,15.9127,12.8427,11.8802,11.2298,10.7202,11.8933
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,BG,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,CZ,17.8551,16.163,20.1653,18.2464,19.0789,19.22,17.1031
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,DE,:,5.0,21.61,13.06,10.77,11.83,11.75
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,DK,14.0,14.0,10.0,10.0,11.0,12.0,12.93
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,EA,: @C,: @C,: @C,: @C,: @C,: @C,: @C
Annual,Consumption less than 1 000 GJ - band I1,4100.0,PC,EE,2.1641,2.8753,3.2103,: @C,: @C,6.4021,6.1901
