Time frequency,Unit of measure,Income situation in relation to the risk of poverty threshold,Sex,Age class,Geopolitical entity (reporting)\Time,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Total,Females,Less than 18 years,Romania,38.7,36.6,36.8,32.0,32.1,34.0,28.4,26.6,24.2,24.7
Annual,Percentage,Total,Females,Less than 18 years,Serbia,:,:,21.8,23.0,17.8,18.5,18.0,16.4,17.2,11.0
Annual,Percentage,Total,Females,Less than 18 years,Sweden,2.5,2.6,2.5,3.7,5.0,3.5,3.3,5.3,4.5,4.7
Annual,Percentage,Total,Females,Less than 18 years,Slovenia,12.3 b,11.9,10.0,7.7,6.9,5.6,6.8,7.1,6.7,4.7
Annual,Percentage,Total,Females,Less than 18 years,Slovakia,8.2,7.6,7.0,7.1,7.6,7.5,8.5,4.7,4.1,3.5
Annual,Percentage,Total,Females,Less than 18 years,Türkiye,37.4,37.3,35.6,35.1,35.0,34.4,33.5,32.1,31.8,30.2
Annual,Percentage,Total,Females,Less than 18 years,United Kingdom,4.1,3.0 b,4.7,4.3,4.9,3.8,2.1 b,4.5,:,:
Annual,Percentage,Total,Females,Less than 18 years,Kosovo*,:,:,:,:,:,:,:,21.9,:,:
Annual,Percentage,Total,Males,From 18 to 64 years,Albania,:,:,:,:,:,:,23.6,25.1,21.2,15.2
Annual,Percentage,Total,Males,From 18 to 64 years,Austria,4.0,3.7,3.4,3.8,4.4,4.1,4.5,3.4,3.3,3.2
Annual,Percentage,Total,Males,From 18 to 64 years,Belgium,1.2,0.8,1.0,1.0,1.1,1.9 b,2.5,2.2,1.9 b,2.2
Annual,Percentage,Total,Males,From 18 to 64 years,Bulgaria,13.7,12.0,12.4,12.6 b,11.2,11.4 b,10.2,10.6,9.3,8.9
Annual,Percentage,Total,Males,From 18 to 64 years,Switzerland,1.5,2.1,2.7,1.7 b,2.0,2.2,2.4,2.8,2.0,2.1
Annual,Percentage,Total,Males,From 18 to 64 years,Cyprus,1.6,1.2,1.7,1.7,0.6,1.5,1.2,1.1,1.5,1.8
Annual,Percentage,Total,Males,From 18 to 64 years,Czechia,4.3,3.7,3.7,3.0,3.1,2.9,2.2,2.4,1.8,1.9
Annual,Percentage,Total,Males,From 18 to 64 years,Germany,2.1,1.7,1.7,2.0,2.0,2.0,1.8,2.3,1.9,1.1 b
Annual,Percentage,Total,Males,From 18 to 64 years,Denmark,2.1 b,3.3,2.9,2.4,3.2,2.1,3.3,4.2,3.9,3.6
Annual,Percentage,Total,Males,From 18 to 64 years,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",3.8 e,3.6 e,3.8 e,3.9 e,4.0 e,3.7 e,3.1 e,3.2 e,3.0,3.5
Annual,Percentage,Total,Males,From 18 to 64 years,Euro area - 18 countries (2014),3.9,3.6,3.8,3.9,4.0,3.6,3.0,3.2,3.0,3.5
Annual,Percentage,Total,Males,From 18 to 64 years,Euro area - 19 countries  (2015-2022),3.9,3.7,3.9,4.0,4.0,3.7,3.1,3.2,3.0,3.5
Annual,Percentage,Total,Males,From 18 to 64 years,Estonia,4.4,4.2,5.6,3.1 b,2.5,3.1,3.3,2.7,2.6,2.0
Annual,Percentage,Total,Males,From 18 to 64 years,Greece,8.5,8.5,7.9,6.6,7.8,7.1,7.2,6.5,6.7,6.5
Annual,Percentage,Total,Males,From 18 to 64 years,Spain,2.3 b,1.4,2.0,1.6,1.5,1.6,1.2,1.7,1.7,3.4
Annual,Percentage,Total,Males,From 18 to 64 years,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",5.6 e,5.2 e,5.4 e,5.3 e,5.2 e,5.0 e,4.3 e,4.2 e,3.9 e,:
Annual,Percentage,Total,Males,From 18 to 64 years,European Union - 27 countries (2007-2013),5.6,5.2,5.4,5.3,5.2,5.0,4.3,4.2,3.8 e,:
Annual,Percentage,Total,Males,From 18 to 64 years,European Union - 27 countries (from 2020),6.1 e,5.7 e,5.8 e,5.7 e,5.7 e,5.4 e,4.8 e,4.6 e,4.2 e,4.5 e
Annual,Percentage,Total,Males,From 18 to 64 years,European Union - 28 countries (2013-2020),5.6,5.2,5.4,5.3,5.2,5.0,4.3,4.2,3.9 e,:
Annual,Percentage,Total,Males,From 18 to 64 years,Finland,1.0,1.0,1.0,0.9,1.0,0.8,1.0,1.0,1.1,1.2
Annual,Percentage,Total,Males,From 18 to 64 years,France,2.7,3.0,2.3,2.2,2.2,2.5,2.0,2.9,2.4,4.1 b
Annual,Percentage,Total,Males,From 18 to 64 years,Croatia,10.1,9.4 b,9.1,8.5,7.8,8.2,7.0,6.6,6.3,5.5
Annual,Percentage,Total,Males,From 18 to 64 years,Hungary,15.3,16.2,16.9,17.1,14.9,16.2,14.9,7.1,6.4,6.8
Annual,Percentage,Total,Males,From 18 to 64 years,Ireland,0.6,0.5,1.4,1.3,0.9,0.5,0.5,0.7,1.0 b,1.0 b
