Time frequency,Unit of measure,Vehicles,Motor energy,Geopolitical entity (reporting)\Time,1995.0,1996.0,1997.0,1998.0,1999.0,2000.0,2001.0,2002.0,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0
Annual,Number,Passenger cars,Natural gas,France,:,:,:,:,:,:,:,:,:,: m,:,: m,475.0,471.0,393.0,:,:,155.0
Annual,Number,Passenger cars,Natural gas,Croatia,:,:,:,:,:,:,:,:,:,: m,:,:,6.0,4.0,14.0,12.0,: m,10.0
Annual,Number,Passenger cars,Natural gas,Hungary,:,:,:,:,0.0,0.0,0.0,0.0,:,0.0,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Natural gas,Ireland,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,0.0,0.0
Annual,Number,Passenger cars,Natural gas,Iceland,:,:,:,:,:,:,:,:,:,0 e,: m,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Natural gas,Italy,:,:,:,:,:,:,:,:,:,:,:,:,59624.0,78801.0,127821.0,65772.0,38282.0,53550.0
Annual,Number,Passenger cars,Natural gas,Liechtenstein,:,:,:,:,:,:,:,:,0.0,0.0,:,0.0,0.0,0.0,0.0,2.0,:,:
Annual,Number,Passenger cars,Natural gas,Lithuania,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Number,Passenger cars,Natural gas,Luxembourg,:,:,:,:,:,:,:,1.0,3.0,5.0,6.0,0.0,0.0,0.0,17.0,:,:,:
Annual,Number,Passenger cars,Natural gas,Latvia,:,:,:,:,:,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
Annual,Number,Passenger cars,Natural gas,Malta,:,:,:,0.0,:,0.0,0.0,0.0,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,Passenger cars,Natural gas,Poland,:,:,:,:,:,:,:,:,:,: m,: m,: m,: m,:,: m,:,:,:
Annual,Number,Passenger cars,Natural gas,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,55.0,46.0,78.0
Annual,Number,Passenger cars,Natural gas,Sweden,:,:,:,:,0.0,0.0,0.0,918.0,938.0,987.0,1262.0,347.0,664.0,765.0,716.0,:,1126.0,:
Annual,Number,Passenger cars,Natural gas,Slovenia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Natural gas,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,3.0
Annual,Number,Passenger cars,Natural gas,United Kingdom,:,:,:,:,:,121.0,63.0,33.0,57.0,52.0,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Austria,:,:,:,:,:,10.0,9.0,32.0,30.0,14.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Belgium,:,:,:,:,:,:,:,:,:,0.0,326.0,476.0,368.0,402.0,296.0,249.0,155.0,:
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Switzerland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,0 e,0 n
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Cyprus,0.0,0.0,0.0,:,:,:,:,:,:,: m,: m,: m,0.0,:,0.0,0.0,0.0,0.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Germany,:,:,:,:,:,:,:,:,:,:,1380 b,4220.0,5419.0,14175.0,11083.0,8154.0,4873.0,11465.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Estonia,:,:,:,:,:,:,:,:,:,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Greece,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Finland,:,0.0,0.0,0.0,:,:,:,:,:,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),France,:,:,:,23437.0,15218.0,6309.0,5263.0,5029.0,3863.0,2875.0,:,4346.0,2980.0,2249.0,24821.0,:,:,1922.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Croatia,:,:,:,:,:,:,:,:,:,: m,:,:,1828.0,3780.0,721.0,139.0,109.0,101.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Hungary,:,:,:,:,0.0,1.0,0.0,1.0,1.0,9.0,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Ireland,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,0.0,0.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Iceland,:,:,:,:,:,:,:,:,:,0 e,: m,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Italy,:,:,:,:,:,:,:,:,:,:,:,:,21660.0,62069.0,333715.0,278611.0,55553.0,127298.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Liechtenstein,:,:,:,:,:,:,:,:,0.0,0.0,:,0.0,0.0,0.0,0.0,0.0,:,:
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Lithuania,:,:,:,:,:,:,:,1666.0,:,0.0,0.0,0.0,0.0,0.0,2.0,0.0,3.0,:
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Luxembourg,:,:,:,:,:,:,:,1.0,2.0,5.0,3.0,33.0,29.0,6.0,0.0,:,:,:
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Latvia,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Malta,:,:,:,0.0,:,0.0,0.0,0.0,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Norway,:,:,:,:,:,:,:,:,:,2.0,:,0.0,4.0,1.0,2.0,3.0,8.0,3.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Poland,:,:,:,:,:,:,:,:,4138.0,73365.0,119927.0,57105.0,64735.0,53125.0,35008.0,38352.0,47654.0,58873.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,16.0,28.0,62.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Sweden,:,:,:,:,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:,0.0,:
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Slovenia,43.0,31.0,79.0,134.0,296.0,168.0,222.0,278.0,:,:,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),Türkiye,:,:,:,:,:,:,:,:,:,815.0,4733.0,7470.0,7300.0,9428.0,11187.0,14815.0,11559.0,11987.0
Annual,Number,Passenger cars,Liquefied petroleum gases (LPG),United Kingdom,:,:,:,:,:,4539.0,775.0,0.0,3.0,1.0,:,:,:,:,:,144.0,: m,:
Annual,Number,Passenger cars,Other,Austria,:,:,:,:,:,:,:,:,:,0.0,:,492.0,851.0,1094.0,1285.0,1410.0,1504.0,2362.0
Annual,Number,Passenger cars,Other,Belgium,:,:,:,:,:,:,:,:,:,0.0,1.0,1.0,4.0,32.0,793.0,3393.0,6170.0,:
Annual,Number,Passenger cars,Other,Switzerland,8.0,16.0,9.0,50.0,5.0,28.0,114.0,91.0,216.0,400.0,1435.0,3100.0,6600.0,5500.0,5500 e,5200.0,6600.0,7500 n
Annual,Number,Passenger cars,Other,Cyprus,0.0,0.0,0.0,:,:,:,:,:,:,: m,: m,: m,0.0,:,0.0,0.0,0.0,0.0
Annual,Number,Passenger cars,Other,Germany,:,:,:,:,:,:,:,:,:,:,3876 b,5463.0,7686.0,6504.0,8468.0,10718.0,12721.0,21508.0
Annual,Number,Passenger cars,Other,Estonia,:,:,:,:,:,:,:,:,:,0.0,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Passenger cars,Other,Greece,:,:,:,:,0.0,0.0,0.0,0.0,1.0,:,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Other,Finland,:,1.0,2.0,0.0,1.0,:,:,1.0,1.0,3.0,:,57.0,2.0,0.0,0.0,3.0,819.0,1394.0
Annual,Number,Passenger cars,Other,France,:,:,:,:,:,:,:,:,:,: m,:,249.0,2958.0,3168.0,3262.0,:,:,7441.0
Annual,Number,Passenger cars,Other,Croatia,:,:,:,:,:,:,:,:,:,: m,:,:,: m,: m,: m,: m,: m,: m
Annual,Number,Passenger cars,Other,Hungary,26.0,3.0,4.0,:,7.0,15.0,18.0,32.0,19.0,2.0,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Other,Ireland,0.0,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,:,:,:,:,:,:,2391.0,1731.0
Annual,Number,Passenger cars,Other,Iceland,:,:,:,:,:,11.0,:,:,1.0,2 e,: m,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Other,Italy,:,:,:,:,:,:,:,:,:,:,:,:,35.0,73.0,121.0,90.0,325.0,534.0
Annual,Number,Passenger cars,Other,Liechtenstein,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,20.0,40.0,43.0,31.0,32.0,:,:
Annual,Number,Passenger cars,Other,Lithuania,:,:,:,:,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,0.0,0.0,255.0,:
Annual,Number,Passenger cars,Other,Luxembourg,:,:,:,:,:,:,:,: m,: m,14.0,53.0,87.0,150.0,183.0,151.0,:,:,:
Annual,Number,Passenger cars,Other,Latvia,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Number,Passenger cars,Other,Malta,:,:,:,0.0,:,0.0,0.0,0.0,:,:,:,:,:,108.0,35.0,31.0,241.0,71.0
Annual,Number,Passenger cars,Other,Norway,:,:,:,:,:,:,:,:,:,2.0,:,19.0,40.0,16.0,7.0,18.0,32.0,189.0
Annual,Number,Passenger cars,Other,Poland,:,:,:,:,:,:,:,:,11007.0,: m,77.0,27.0,60.0,69.0,61.0,44.0,126.0,11.0
Annual,Number,Passenger cars,Other,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,191.0,:,19.0,3.0
Annual,Number,Passenger cars,Other,Sweden,:,:,:,:,2.0,0.0,0.0,1.0,2.0,1.0,12.0,1.0,1.0,0.0,2.0,:,4.0,:
Annual,Number,Passenger cars,Other,Slovenia,0.0,0.0,1.0,0.0,2.0,0.0,0.0,1.0,:,:,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Other,Türkiye,:,:,:,:,:,:,:,:,:,320.0,:,:,:,:,:,2.0,1.0,:
Annual,Number,Passenger cars,Other,United Kingdom,:,:,:,:,:,:,1845.0,2749.0,3547.0,3350.0,:,: @C,: @C,15447.0,14726.0,21898.0,23160.0,:
Annual,Number,Passenger cars,Total,Austria,13.0,20.0,18.0,12.0,3.0,13.0,14.0,33.0,30.0,15.0,:,546.0,1012.0,1622.0,1594.0,1693.0,2397.0,3063.0
Annual,Number,Passenger cars,Total,Belgium,:,:,:,:,:,:,:,:,:,265.0,327.0,477.0,372.0,434.0,1089.0,3689.0,6589.0,:
Annual,Number,Passenger cars,Total,Switzerland,69.0,106.0,70.0,107.0,76.0,92.0,130.0,166.0,234.0,420.0,1448.0,3100.0,6600.0,5500.0,5500 e,5400.0,7100.0,8600 n
Annual,Number,Passenger cars,Total,Cyprus,0.0,0.0,0.0,:,:,:,:,:,:,: m,: m,: m,2.0,379.0,206.0,195.0,267.0,177.0
Annual,Number,Passenger cars,Total,Germany,254.0,577.0,615.0,907.0,682.0,2400.0,2671.0,3074.0,1374.0,5889.0,:,21257.0,24321.0,32611.0,29775.0,24395.0,26031.0,41144.0
Annual,Number,Passenger cars,Total,Estonia,:,:,:,:,:,:,:,:,:,0.0,:,0.0,0.0,1.0,4.0,3.0,61.0,518.0
Annual,Number,Passenger cars,Total,Greece,:,:,:,:,15.0,15.0,2.0,0.0,1.0,:,:,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Total,Spain,:,:,:,:,:,:,:,:,:,:,:,17.0,34.0,37.0,83.0,183.0,534.0,1192.0
Annual,Number,Passenger cars,Total,Finland,:,3.0,2.0,0.0,4.0,:,:,1.0,1.0,3.0,:,60.0,16.0,31.0,23.0,28.0,855.0,1463.0
Annual,Number,Passenger cars,Total,France,388.0,1404.0,6855.0,23942.0,15747.0,6550.0,5670.0,5339.0,3976.0,3335.0,:,4609.0,6419.0,5892.0,28488.0,:,:,15179.0
Annual,Number,Passenger cars,Total,Croatia,: m,: m,: m,:,: m,: m,: m,: m,: m,4.0,3.0,:,1875.0,3832.0,764.0,174.0,154.0,174.0
Annual,Number,Passenger cars,Total,Hungary,:,3.0,4.0,9.0,8.0,16.0,18.0,33.0,20.0,11.0,:,:,:,:,:,764.0,1166.0,2132.0
Annual,Number,Passenger cars,Total,Ireland,:,1.0,0.0,0.0,0.0,0.0,3.0,6.0,10.0,:,:,:,1848.0,:,:,:,2459.0,1868.0
Annual,Number,Passenger cars,Total,Iceland,0.0,0.0,:,4.0,:,13.0,:,:,:,0 e,: m,:,:,:,:,:,:,:
Annual,Number,Passenger cars,Total,Italy,:,:,:,:,:,:,:,:,:,:,:,:,81319.0,140943.0,461657.0,344473.0,94160.0,181382.0
Annual,Number,Passenger cars,Total,Liechtenstein,:,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,20.0,40.0,43.0,31.0,34.0,:,:
Annual,Number,Passenger cars,Total,Lithuania,:,:,:,:,:,:,:,1666.0,:,0.0,0.0,0.0,0.0,0.0,2.0,13.0,260.0,:
Annual,Number,Passenger cars,Total,Luxembourg,:,:,:,:,:,:,:,2.0,5.0,24.0,62.0,120.0,179.0,190.0,168.0,:,:,:
Annual,Number,Passenger cars,Total,Latvia,:,3.0,3.0,3.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,10.0
Annual,Number,Passenger cars,Total,Malta,:,:,:,10.0,:,1.0,3.0,5.0,:,:,:,:,:,112.0,37.0,34.0,243.0,79.0
Annual,Number,Passenger cars,Total,Netherlands,:,:,451.0,733.0,921.0,793.0,1038.0,:,:,:,9660.0,11562.0,10562.0,21568.0,:,:,:,:
Annual,Number,Passenger cars,Total,Norway,:,:,:,:,:,:,:,:,:,131.0,:,229.0,144.0,292.0,189.0,427.0,2069.0,4451.0
Annual,Number,Passenger cars,Total,Poland,:,:,:,:,14554.0,16546.0,24309.0,:,15145.0,96433.0,120004.0,57132.0,64795.0,53194.0,35069.0,38396.0,47780.0,58884.0
Annual,Number,Passenger cars,Total,Romania,:,:,:,:,:,:,:,:,:,:,:,:,:,347.0,192.0,258.0,363.0,548.0
Annual,Number,Passenger cars,Total,Sweden,76.0,74.0,207.0,90.0,17.0,16.0,2.0,921.0,941.0,988.0,1275.0,348.0,667.0,766.0,746.0,:,1315.0,:
Annual,Number,Passenger cars,Total,Slovenia,:,:,:,:,:,:,:,:,:,:,18.0,5.0,8.0,8.0,4.0,5.0,1.0,8.0
Annual,Number,Passenger cars,Total,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11187.0,14817.0,11560.0,12176.0
Annual,Number,Passenger cars,Total,United Kingdom,1700.0,1400.0,2507.0,3584.0,3831.0,:,:,:,:,3493.0,:,: @C,: @C,15701.0,14907.0,22302.0,24366.0,:
