Time frequency,Unit of measure,Age class,Sex,Country of citizenship,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Netherlands,:,:,:,:,:,:,25.0,16.8,28.9,26.1,25.0,24.4,15.2,42.7,32.1,33.7,37.7,38.3,39.2,43.0,36.4
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Norway,:,:,:,:,:,:,36.8,32.1,33.0,27.0,28.1,24.4,31.4,38.6,35.3,34.8,35.7,32.1,31.0 b,28.7,23.7 b
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Poland,:,:,:,:,:,:,16.9 u,: u,: u,26.6 u,23.2 u,8.2 u,6.3 u,28.4 u,34.0 u,13.1,14.6,10.2,10.0,9.0,10.3
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Portugal,:,:,:,:,:,:,11.8,21.1,35.0,28.4,35.2,30.8,37.7,35.2,32.0,19.3,24.3,16.2,24.2 b,29.3,26.7
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Romania,:,:,:,:,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,:,: u,: u
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Serbia,:,:,:,:,:,:,:,:,:,:,23.3,20.0,26.8,19.1,26.9,24.1,20.0 u,38.2 u,8.6 u,: u,:
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Sweden,:,:,:,:,:,:,46.2,50.8,54.1,47.7,42.9,49.4,52.8,53.0,48.9,53.1,53.0,43.8,42.3,39.3,38.3
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Slovenia,:,:,:,:,:,:,35.4,42.5,37.6,43.5,37.5,44.4,43.2,41.6,34.2,34.0,26.4,26.3,21.9,23.3,24.2
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Slovakia,:,:,:,:,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u,: u
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Türkiye,:,:,:,:,:,:,: u,23.1 u,18.5 u,9.4 u,10.2 u,11.8,17.5,29.1,16.9,23.4,22.8,23.4,30.9,29.8,32.9
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,United Kingdom,:,:,:,:,:,:,27.8,30.4,25.5,23.3,21.3,20.8,22.3,23.4,18.1 u,26.3 u,:,:,:,:,:
Annual,Percentage,18 years or over,Total,Non-EU27 countries (from 2020) nor reporting country,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,33.5,:,:,:,:,:
