Time frequency,Unit of measure,Sex,Classification of activities for time use,Geopolitical entity (reporting)\Time,2000.0,2010.0
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Luxembourg,:,0:09
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Latvia,0:05,:
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Netherlands,:,0:24
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Norway,0:06,0:12
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Poland,0:04,0:09
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Romania,:,0:07
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Serbia,:,0:25
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Slovenia,0:06,:
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,Türkiye,:,0:00
Annual,Time spent (hh:mm),Males,Productive unpaid secondary activities,United Kingdom,0:14,0:28
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Austria,:,3:26
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Belgium,3:19,3:13
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Bulgaria,4:00,:
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Germany,3:30,3:09
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Estonia,3:57,3:21
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Greece,:,3:05
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Spain,3:24,3:25
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Finland,3:16,3:11
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,France,3:37,3:13
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Hungary,:,3:46
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Italy,3:38,3:31
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Lithuania,3:35,:
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Luxembourg,:,2:49
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Latvia,3:04,:
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Netherlands,:,2:58
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Norway,3:09,3:14
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Poland,3:43,3:39
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Romania,:,3:40
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Serbia,:,3:37
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Slovenia,3:52,:
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,Türkiye,:,3:03
Annual,Time spent (hh:mm),Total,Productive unpaid main activities,United Kingdom,3:20,3:01
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Austria,:,0:25
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Belgium,0:12,0:22
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Bulgaria,0:15,:
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Germany,0:21,0:31
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Estonia,0:24,0:24
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Greece,:,0:19
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Spain,:,0:15
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Finland,0:18,0:28
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,France,0:05,0:13
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Hungary,:,0:29
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Italy,0:11,0:17
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Lithuania,0:11,:
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Luxembourg,:,0:10
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Latvia,0:13,:
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Netherlands,:,0:25
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Norway,0:13,0:14
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Poland,0:09,0:13
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Romania,:,0:07
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Serbia,:,0:24
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Slovenia,0:13,:
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,Türkiye,:,0:00
Annual,Time spent (hh:mm),Total,Productive unpaid secondary activities,United Kingdom,0:26,0:31
