Time frequency,Unit of measure,nstr24,tra_cov,geo\TIME_PERIOD,2007.0
Annual,Thousand tonnes,25.0,INTL_NLD,NL,9834.0
Annual,Thousand tonnes,25.0,INTL_NLD,RO,13.0
Annual,Thousand tonnes,25.0,INTL_NLD,SK,0 n
Annual,Thousand tonnes,25.0,NAT,AT,0 n
Annual,Thousand tonnes,25.0,NAT,BE,5311.0
Annual,Thousand tonnes,25.0,NAT,DE,1702.0
Annual,Thousand tonnes,25.0,NAT,EU15,18173.0
Annual,Thousand tonnes,25.0,NAT,EU25,18174.0
Annual,Thousand tonnes,25.0,NAT,EU27_2007,18263.0
Annual,Thousand tonnes,25.0,NAT,EU27_2020,18263.0
Annual,Thousand tonnes,25.0,NAT,EU28,18263.0
Annual,Thousand tonnes,25.0,NAT,FR,1916.0
Annual,Thousand tonnes,25.0,NAT,HR,0.0
Annual,Thousand tonnes,25.0,NAT,HU,0.0
Annual,Thousand tonnes,25.0,NAT,LU,0.0
Annual,Thousand tonnes,25.0,NAT,NL,9242.0
Annual,Thousand tonnes,25.0,NAT,PL,1.0
Annual,Thousand tonnes,25.0,NAT,RO,89.0
Annual,Thousand tonnes,25.0,TOTAL,AT,12.0
Annual,Thousand tonnes,25.0,TOTAL,BE,26844.0
Annual,Thousand tonnes,25.0,TOTAL,BG,0 n
Annual,Thousand tonnes,25.0,TOTAL,CZ,3.0
Annual,Thousand tonnes,25.0,TOTAL,DE,20043.0
Annual,Thousand tonnes,25.0,TOTAL,EU15,47957.0
Annual,Thousand tonnes,25.0,TOTAL,EU25,47951.0
Annual,Thousand tonnes,25.0,TOTAL,EU27_2007,48075.0
Annual,Thousand tonnes,25.0,TOTAL,EU27_2020,48075.0
Annual,Thousand tonnes,25.0,TOTAL,EU28,48075.0
Annual,Thousand tonnes,25.0,TOTAL,FR,3565.0
Annual,Thousand tonnes,25.0,TOTAL,HR,0.0
Annual,Thousand tonnes,25.0,TOTAL,HU,0.0
Annual,Thousand tonnes,25.0,TOTAL,LU,0.0
Annual,Thousand tonnes,25.0,TOTAL,NL,36741.0
Annual,Thousand tonnes,25.0,TOTAL,PL,1.0
Annual,Thousand tonnes,25.0,TOTAL,RO,124.0
Annual,Thousand tonnes,25.0,TOTAL,SK,5.0
Annual,Thousand tonnes,25.0,TRS,AT,1.0
Annual,Thousand tonnes,25.0,TRS,BE,100.0
Annual,Thousand tonnes,25.0,TRS,DE,2361.0
Annual,Thousand tonnes,25.0,TRS,HR,0.0
Annual,Thousand tonnes,25.0,TRS,HU,0.0
Annual,Thousand tonnes,25.0,TRS,LU,0.0
Annual,Thousand tonnes,25.0,TRS,NL,8561.0
Annual,Thousand TEU-kilometres,6.0,INTL,CZ,1.0
Annual,Thousand TEU-kilometres,6.0,INTL_NLD,CZ,1.0
Annual,Thousand TEU-kilometres,6.0,NAT,RO,51.0
Annual,Thousand TEU-kilometres,6.0,TOTAL,CZ,1.0
Annual,Thousand TEU-kilometres,6.0,TOTAL,RO,51.0
Annual,Thousand TEU-kilometres,7.0,INTL,CZ,0 n
Annual,Thousand TEU-kilometres,7.0,INTL_LD,CZ,0 n
Annual,Thousand TEU-kilometres,7.0,TOTAL,CZ,0 n
Annual,Thousand TEU-kilometres,11.0,INTL,CZ,2.0
Annual,Thousand TEU-kilometres,11.0,INTL_LD,CZ,2.0
Annual,Thousand TEU-kilometres,11.0,INTL_NLD,CZ,0 n
Annual,Thousand TEU-kilometres,11.0,TOTAL,CZ,2.0
Annual,Thousand TEU-kilometres,13.0,INTL,CZ,0 n
Annual,Thousand TEU-kilometres,13.0,INTL_LD,CZ,0 n
Annual,Thousand TEU-kilometres,13.0,INTL_NLD,CZ,0 n
Annual,Thousand TEU-kilometres,13.0,TOTAL,CZ,0 n
Annual,Thousand TEU-kilometres,14.0,NAT,RO,18.0
Annual,Thousand TEU-kilometres,14.0,TOTAL,RO,18.0
Annual,Thousand TEU-kilometres,15.0,INTL,CZ,0 n
Annual,Thousand TEU-kilometres,15.0,INTL_LD,CZ,0 n
Annual,Thousand TEU-kilometres,15.0,INTL_NLD,CZ,0 n
Annual,Thousand TEU-kilometres,15.0,TOTAL,CZ,0 n
Annual,Thousand TEU-kilometres,20.0,INTL,AT,994.0
Annual,Thousand TEU-kilometres,20.0,INTL,RO,3.0
Annual,Thousand TEU-kilometres,20.0,INTL_LD,AT,6.0
Annual,Thousand TEU-kilometres,20.0,INTL_NLD,AT,988.0
Annual,Thousand TEU-kilometres,20.0,INTL_NLD,RO,3.0
Annual,Thousand TEU-kilometres,20.0,NAT,AT,25.0
Annual,Thousand TEU-kilometres,20.0,NAT,RO,109.0
Annual,Thousand TEU-kilometres,20.0,TOTAL,AT,1125.0
Annual,Thousand TEU-kilometres,20.0,TOTAL,RO,112.0
Annual,Thousand TEU-kilometres,20.0,TRS,AT,106.0
Annual,Thousand TEU-kilometres,21.0,INTL,RO,0 n
Annual,Thousand TEU-kilometres,21.0,INTL_NLD,RO,0 n
Annual,Thousand TEU-kilometres,21.0,NAT,RO,269.0
Annual,Thousand TEU-kilometres,21.0,TOTAL,RO,269.0
Annual,Thousand TEU-kilometres,24.0,INTL,BG,2.0
Annual,Thousand TEU-kilometres,24.0,INTL,RO,2410.0
Annual,Thousand TEU-kilometres,24.0,INTL,SK,30.0
Annual,Thousand TEU-kilometres,24.0,INTL_LD,BG,2.0
Annual,Thousand TEU-kilometres,24.0,INTL_LD,RO,1083.0
Annual,Thousand TEU-kilometres,24.0,INTL_LD,SK,29.0
Annual,Thousand TEU-kilometres,24.0,INTL_NLD,BG,0 n
Annual,Thousand TEU-kilometres,24.0,INTL_NLD,RO,1327.0
Annual,Thousand TEU-kilometres,24.0,INTL_NLD,SK,1.0
Annual,Thousand TEU-kilometres,24.0,NAT,RO,1339.0
Annual,Thousand TEU-kilometres,24.0,TOTAL,BG,2.0
Annual,Thousand TEU-kilometres,24.0,TOTAL,RO,3749.0
Annual,Thousand TEU-kilometres,24.0,TOTAL,SK,30.0
Annual,Thousand TEU-kilometres,25.0,INTL,AT,994.0
Annual,Thousand TEU-kilometres,25.0,INTL,BE,39990.0
Annual,Thousand TEU-kilometres,25.0,INTL,BG,2.0
Annual,Thousand TEU-kilometres,25.0,INTL,CZ,4.0
Annual,Thousand TEU-kilometres,25.0,INTL,DE,465730.0
Annual,Thousand TEU-kilometres,25.0,INTL,EU15,765817.0
Annual,Thousand TEU-kilometres,25.0,INTL,EU25,765851.0
Annual,Thousand TEU-kilometres,25.0,INTL,EU27_2007,768266.0
Annual,Thousand TEU-kilometres,25.0,INTL,EU27_2020,768266.0
Annual,Thousand TEU-kilometres,25.0,INTL,EU28,768266.0
Annual,Thousand TEU-kilometres,25.0,INTL,FR,15798.0
Annual,Thousand TEU-kilometres,25.0,INTL,HR,0.0
Annual,Thousand TEU-kilometres,25.0,INTL,HU,0.0
Annual,Thousand TEU-kilometres,25.0,INTL,LU,0.0
Annual,Thousand TEU-kilometres,25.0,INTL,NL,243305.0
Annual,Thousand TEU-kilometres,25.0,INTL,RO,2413.0
Annual,Thousand TEU-kilometres,25.0,INTL,SK,30.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,AT,6.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,BE,15465.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,BG,2.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,CZ,3.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,DE,243094.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,EU15,392632.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,EU25,392663.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,EU27_2007,393747.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,EU27_2020,393747.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,EU28,393747.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,FR,8008.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,HR,0.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,HU,0.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,LU,0.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,NL,126059.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,RO,1083.0
Annual,Thousand TEU-kilometres,25.0,INTL_LD,SK,29.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,AT,988.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,BE,24525.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,BG,0 n
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,CZ,2.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,DE,222636.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,EU15,373186.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,EU25,373188.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,EU27_2007,374518.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,EU27_2020,374518.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,EU28,374518.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,FR,7789.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,HR,0.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,HU,0.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,LU,0.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,NL,117246.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,RO,1330.0
Annual,Thousand TEU-kilometres,25.0,INTL_NLD,SK,1.0
Annual,Thousand TEU-kilometres,25.0,NAT,AT,25.0
Annual,Thousand TEU-kilometres,25.0,NAT,BE,32281.0
Annual,Thousand TEU-kilometres,25.0,NAT,DE,31638.0
Annual,Thousand TEU-kilometres,25.0,NAT,EU15,260907.0
Annual,Thousand TEU-kilometres,25.0,NAT,EU25,260910.0
Annual,Thousand TEU-kilometres,25.0,NAT,EU27_2007,262697.0
Annual,Thousand TEU-kilometres,25.0,NAT,EU28,262697.0
Annual,Thousand TEU-kilometres,25.0,NAT,FR,57967.0
Annual,Thousand TEU-kilometres,25.0,NAT,HR,0.0
Annual,Thousand TEU-kilometres,25.0,NAT,HU,0.0
Annual,Thousand TEU-kilometres,25.0,NAT,LU,0.0
Annual,Thousand TEU-kilometres,25.0,NAT,NL,138996.0
Annual,Thousand TEU-kilometres,25.0,NAT,PL,3.0
Annual,Thousand TEU-kilometres,25.0,NAT,RO,1787.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,AT,1125.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,BE,73742.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,BG,2.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,CZ,4.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,DE,644301.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,EU15,1332139.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,EU25,1332176.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,EU27_2007,1336377.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,EU27_2020,1336377.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,EU28,1336377.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,FR,73765.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,HR,0.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,HU,0.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,LU,0.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,NL,539206.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,PL,3.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,RO,4200.0
Annual,Thousand TEU-kilometres,25.0,TOTAL,SK,30.0
Annual,Thousand TEU-kilometres,25.0,TRS,AT,106.0
Annual,Thousand TEU-kilometres,25.0,TRS,BE,1471.0
Annual,Thousand TEU-kilometres,25.0,TRS,DE,146933.0
Annual,Thousand TEU-kilometres,25.0,TRS,EU15,305415.0
Annual,Thousand TEU-kilometres,25.0,TRS,EU25,305415.0
Annual,Thousand TEU-kilometres,25.0,TRS,EU27_2007,305415.0
Annual,Thousand TEU-kilometres,25.0,TRS,EU27_2020,305415.0
Annual,Thousand TEU-kilometres,25.0,TRS,EU28,305415.0
Annual,Thousand TEU-kilometres,25.0,TRS,HR,0.0
Annual,Thousand TEU-kilometres,25.0,TRS,HU,0.0
Annual,Thousand TEU-kilometres,25.0,TRS,LU,0.0
Annual,Thousand TEU-kilometres,25.0,TRS,NL,156905.0
