Time frequency,Nationality of registration of vessel,Direction of flow,Unit of measure,Maritime entity (partner),Maritime entity (reporting)\Time,Janvier-Mars 2019,Avril-Juin 2019,Jullet-Septembre 2019,Octobre-Décembre 2019,Janvier-Mars 2020,Avril-Juin 2020,Jullet-Septembre 2020,Octobre-Décembre 2020,Janvier-Mars 2021,Avril-Juin 2021,Jullet-Septembre 2021,Octobre-Décembre 2021,Janvier-Mars 2022,Avril-Juin 2022,Jullet-Septembre 2022,Octobre-Décembre 2022,Janvier-Mars 2023,Avril-Juin 2023,Jullet-Septembre 2023,Octobre-Décembre 2023
Quarterly,Total,Outwards,Thousand,Total,Bar,1.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,0.0
Quarterly,Total,Outwards,Thousand,Türkiye,Montenegro,:,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Outwards,Thousand,Türkiye,Bar,:,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Outwards,Thousand,Türkiye: unspecified maritime coastal area,Montenegro,:,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Outwards,Thousand,Türkiye: unspecified maritime coastal area,Bar,:,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Outwards,Thousand,Unknown,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Total,Outwards,Thousand,Unknown,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Total,Outwards,Thousand,Total unspecified and unknown locations,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Total,Outwards,Thousand,Total unspecified and unknown locations,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Total,Total,Thousand,Albania,Montenegro,1.0,1.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,0.0,:,:,:,:
Quarterly,Total,Total,Thousand,Albania,Bar,1.0,1.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,0.0,:,:,:,:
Quarterly,Total,Total,Thousand,Algeria,Montenegro,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Algeria,Bar,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Greece,Montenegro,:,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Greece,Bar,:,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Croatia,Montenegro,1.0,1.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Croatia,Bar,1.0,1.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Italy,Montenegro,:,1.0,12.0,2.0,:,:,0.0,:,:,1.0,4.0,0.0,:,1.0,10.0,1.0,:,:,:,:
Quarterly,Total,Total,Thousand,Italy,Bar,:,1.0,12.0,2.0,:,:,0.0,:,:,1.0,4.0,0.0,:,1.0,10.0,1.0,:,:,:,:
Quarterly,Total,Total,Thousand,Montenegro,Montenegro,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Montenegro,Bar,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Total,Montenegro,2.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0
Quarterly,Total,Total,Thousand,Total,Bar,2.0,2.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0,10.0,1.0,0.0,0.0,0.0,0.0
Quarterly,Total,Total,Thousand,Türkiye,Montenegro,:,:,0.0,:,:,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Türkiye,Bar,:,:,0.0,:,:,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Türkiye: Mediterranean,Montenegro,:,:,0.0,:,:,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Türkiye: Mediterranean,Bar,:,:,0.0,:,:,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Türkiye: unspecified maritime coastal area,Montenegro,:,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Türkiye: unspecified maritime coastal area,Bar,:,:,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Quarterly,Total,Total,Thousand,Unknown,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Total,Total,Thousand,Unknown,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Total,Total,Thousand,Total unspecified and unknown locations,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Total,Total,Thousand,Total unspecified and unknown locations,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Inwards,Thousand,Total,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Inwards,Thousand,Total,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Inwards,Thousand,Unknown,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Inwards,Thousand,Unknown,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Inwards,Thousand,Total unspecified and unknown locations,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Inwards,Thousand,Total unspecified and unknown locations,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Outwards,Thousand,Total,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Outwards,Thousand,Total,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Outwards,Thousand,Unknown,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Outwards,Thousand,Unknown,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Outwards,Thousand,Total unspecified and unknown locations,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Outwards,Thousand,Total unspecified and unknown locations,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Total,Thousand,Total,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Total,Thousand,Total,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Total,Thousand,Unknown,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Total,Thousand,Unknown,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Total,Thousand,Total unspecified and unknown locations,Montenegro,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
Quarterly,Unknown,Total,Thousand,Total unspecified and unknown locations,Bar,:,:,:,:,0.0,0.0,0.0,0.0,0.0,:,:,:,0.0,:,:,:,0.0,0.0,0.0,0.0
