Time frequency,Unit of measure,Quantile,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Third quintile,United Kingdom,:,:,6.8,9.4,10.2,7.3,7.8,8.4,10.3,3.4 b,4.3,5.7,6.0,6.2,6.8 b,6.8,:,:,:,:,:
Annual,Percentage,Third quintile,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1,:,:,:,:,:
Annual,Percentage,Fourth quintile,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.1,0.6,0.9,0.6,0.7,:,:
Annual,Percentage,Fourth quintile,Austria,:,0.9 u,0.5,0.7,0.9,0.6 bu,0.8 u,0.5 u,1.0 u,0.3,0.4,0.3,0.2,0.6,0.4,0.6,0.6,0.3,0.4,0.4,0.3
Annual,Percentage,Fourth quintile,Belgium,:,2.9,1.5,1.1,0.9,3.6,1.0,0.9,0.9,1.2,0.8,1.1,0.7,1.2,1.1,0.7,0.6 b,0.4,0.4,0.7,1.0
Annual,Percentage,Fourth quintile,Bulgaria,:,:,:,5.9,6.5,5.3,1.6,1.2,2.1,3.0,4.2,2.8,2.6,5.8 b,4.8,4.0,2.1,2.4,1.2,0.8,0.7
Annual,Percentage,Fourth quintile,Switzerland,:,:,:,:,:,:,2.1,2.9,1.8,1.2,1.9,1.9 b,1.9,1.6,1.7,2.4,1.8,1.7,2.4,1.8,1.8
Annual,Percentage,Fourth quintile,Cyprus,:,:,1.4,1.0,0.4,0.7 b,0.1,1.5,0.8,0.5,0.7,1.0,1.2,0.5,0.2,0.2,0.8,0.2,0.3,0.4,1.3
Annual,Percentage,Fourth quintile,Czechia,:,:,4.3,3.9,4.1,6.6,3.0,3.5,2.8,2.7,3.6,3.0,2.2,2.6,2.2,1.3,1.5,1.4,1.5,1.4,1.8
Annual,Percentage,Fourth quintile,Germany,:,:,:,:,:,:,:,6.3,7.1,6.1,6.6,4.2,4.6,5.8,5.2,4.5,5.4,1.5 b,2.8,4.0,5.4
Annual,Percentage,Fourth quintile,Denmark,:,:,1.8,3.4,2.3,7.3,14.1,8.6,4.3 b,2.3,2.3,1.9,1.8,1.5,1.4,1.6,1.4,1.4 b,1.2,1.3,2.1
Annual,Percentage,Fourth quintile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,2.3 e,1.9 e,2.6 e,3.0 e,2.8 e,2.9 e,2.7 e,2.9 e,2.6 e,2.4 e,2.2 e,2.5,1.4,1.6 e,:,:
Annual,Percentage,Fourth quintile,Euro area - 18 countries (2014),:,:,2.6 e,3.0 e,2.2 e,2.2 e,1.9 e,2.6,3.0,2.8,2.9,2.7,2.9,2.6,2.4,2.2,2.5,1.4,:,:,:
Annual,Percentage,Fourth quintile,Euro area - 19 countries  (2015-2022),:,:,2.6 e,2.9 e,2.2 e,2.2 e,1.9 e,2.6,3.0,2.7,2.9,2.7,2.9,2.6,2.4,2.2,2.5,1.4,1.6 e,:,:
Annual,Percentage,Fourth quintile,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,2.7,2.9,2.6,2.3,2.2,2.4,1.4,1.8,1.7,2.0
Annual,Percentage,Fourth quintile,Estonia,:,:,0.5,0.9,1.1,1.3,1.5,2.0,0.8,1.5,0.7,1.0 b,0.4,0.3,0.7,0.3,0.1,0.6,0.1,0.3,1.3
Annual,Percentage,Fourth quintile,Greece,:,8.1,6.9,7.1,0.1,7.7,6.7,1.2,3.6,4.7,8.1,21.8,21.1,17.2,17.8,17.6,16.7,14.4,12.7,4.7,6.1
Annual,Percentage,Fourth quintile,Spain,:,1.8,1.1,1.9,2.6,1.5 b,2.1,1.2,1.3,1.3,1.4,0.8,1.1,1.1,0.6,0.8,1.2,1.0,1.0,0.8,0.6
Annual,Percentage,Fourth quintile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,3.1 e,2.7 e,2.9 e,3.1 e,2.7 e,2.9 e,2.9 e,2.8 e,2.6 e,2.3 e,2.1 e,2.3 e,:,:,:,:
Annual,Percentage,Fourth quintile,European Union - 27 countries (2007-2013),:,:,3.5 e,3.6 e,3.1 e,3.1 e,2.7 e,2.9,3.1,2.7,2.9,3.0,2.8,2.6,2.3,2.2,2.3 e,:,:,:,:
Annual,Percentage,Fourth quintile,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,2.7 e,2.8 e,2.9 e,3.0 e,2.7 e,2.7 e,2.5 e,2.2 e,2.0 e,2.1 e,1.3,1.6,1.7,1.9
Annual,Percentage,Fourth quintile,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,2.9,3.1,2.7,2.9,2.9,2.8,2.6,2.3,2.1,2.3 e,:,:,:,:
Annual,Percentage,Fourth quintile,Finland,:,1.0,0.4,0.9,1.6,1.7,1.5,1.3,1.4,1.5,1.4,1.1,1.0,0.9,1.5,1.2,0.6,1.0,1.2,1.5,1.2
Annual,Percentage,Fourth quintile,France,:,1.6,1.6,1.6,1.8,1.1,1.1,0.8,0.9,1.1,0.6,0.7,1.7,0.8,0.6,0.8,0.7,0.8 b,:,0.7 b,0.8
Annual,Percentage,Fourth quintile,Croatia,:,:,:,:,:,:,:,2.9,1.2,0.7,1.0,1.1,0.3,0.4,0.1,0.1,0.0,0.3,0.1,0.2,0.1
Annual,Percentage,Fourth quintile,Hungary,:,:,8.3,3.4,3.3,3.2,1.4,2.6,2.3,6.1,5.2,3.6,1.5,1.8,1.5,1.2,0.9,2.4,0.3,2.5,2.6
Annual,Percentage,Fourth quintile,Ireland,0.7,0.7,0.4,0.5,0.8,0.6,1.1,0.4,0.3,0.9,0.4,0.9,0.4,0.3,0.2,0.6,1.6 b,1.4 b,0.9,0.7,0.9
Annual,Percentage,Fourth quintile,Iceland,:,6.0,8.7,12.9,6.5,8.8,4.8,4.6,6.4,3.6,3.4,3.0,3.0,3.4,3.5,3.5,5.3,:,:,:,:
Annual,Percentage,Fourth quintile,Italy,:,3.7,2.8,3.0,1.4,2.1,1.1,0.9,1.2,0.8,1.1,1.1,1.2,0.8,0.4,0.6,0.6,0.6,0.6,0.8,0.2
Annual,Percentage,Fourth quintile,Lithuania,:,:,1.6,0.5,0.4,0.5,1.9,4.4,1.9,0.4,1.0,0.1,0.4,0.7,0.3,0.0,0.0,0.0,0.0,0.1,0.6
Annual,Percentage,Fourth quintile,Luxembourg,0.6,0.1,0.3,0.6,0.2,0.4,0.3,1.0,0.4,0.4,0.6,0.3,0.3,1.4 b,0.9,1.0,2.0,0.7 b,1.2 b,1.8 b,2.9
Annual,Percentage,Fourth quintile,Latvia,:,:,2.7,2.3,2.2,1.1,1.5,2.1,4.0,2.5,1.8,2.4,2.0,1.0,0.8,0.7,1.3,0.3,1.1,0.4,0.7
Annual,Percentage,Fourth quintile,Montenegro,:,:,:,:,:,:,:,:,:,:,6.0,6.3,4.6,4.0,5.3,3.1,2.6,1.7,1.8,2.2,:
Annual,Percentage,Fourth quintile,North Macedonia,:,:,:,:,:,:,:,:,2.1,2.1,1.5,1.0,1.0,0.9,0.1,0.4,1.8,1.0,:,:,:
Annual,Percentage,Fourth quintile,Malta,:,:,0.3,0.5,0.4,0.5,0.4,1.8,0.5,0.2,0.6,0.2,0.1,0.1,0.1,0.4,0.7,0.5,0.2,0.0,0.0
Annual,Percentage,Fourth quintile,Netherlands,:,:,10.9,13.0,8.5,6.4,6.4,7.6,7.6,6.8,6.7,6.5,5.7,1.5 b,1.5,1.4,1.7,1.9,0.9,1.2,1.9
Annual,Percentage,Fourth quintile,Norway,:,3.7,3.9,4.8,6.5,7.1,5.0,4.3,3.5,3.8,4.1,2.8,4.2,3.8,2.7,2.5,2.8,2.3,6.9 b,4.2,7.6
Annual,Percentage,Fourth quintile,Poland,:,:,5.1,3.0,2.3,2.4,2.0,2.0,1.8,2.6,3.0,2.5,1.6,1.0,0.9,0.7,0.7,0.5 b,0.5,0.7,1.1
Annual,Percentage,Fourth quintile,Portugal,:,1.7,0.3,1.8,1.5,3.0,0.9,0.6,0.8,2.2,1.0,2.2,1.0,1.1,1.5,1.0,0.6,0.6,0.6,1.1,0.7
Annual,Percentage,Fourth quintile,Romania,:,:,:,:,9.0,9.0,5.6,4.8,4.0,5.7,4.4,3.9,2.9,3.5,2.8,1.8,0.9,1.2,2.1,3.4,2.5
Annual,Percentage,Fourth quintile,Serbia,:,:,:,:,:,:,:,:,:,:,8.1,8.4,9.4,8.7,7.4,7.4,3.6,2.5,2.5,2.2,:
Annual,Percentage,Fourth quintile,Sweden,:,0.6,0.9,0.7,0.3,0.1 b,0.3,0.1,0.2,0.2,0.3,0.3,0.1,0.1,0.4,0.3,0.4,0.3,0.3,0.4,0.5
Annual,Percentage,Fourth quintile,Slovenia,:,:,2.4,0.6,1.1,1.2,1.0,0.9,0.9,0.6,1.2,1.2,1.4,0.8,0.4,0.4,0.4,0.6,0.3,0.2,0.3
Annual,Percentage,Fourth quintile,Slovakia,:,:,2.7,4.2,7.0,0.5,3.5,2.1,2.9,2.3,2.4,2.8,3.2,0.9,1.2,0.1,1.7,0.1,1.8,0.4,0.2
Annual,Percentage,Fourth quintile,Türkiye,:,:,:,6.1,4.5,7.9,5.9,6.6,5.3,5.3,6.1,5.2,6.3,4.6,4.5,4.8,4.8,3.7,4.7,5.4,9.1
Annual,Percentage,Fourth quintile,United Kingdom,:,:,4.9,5.4,5.2,4.2,5.1,4.4,5.0,1.2 b,2.1,4.7,3.4,3.4,2.7 b,3.3,:,:,:,:,:
Annual,Percentage,Fourth quintile,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.0,:,:,:,:,:
Annual,Percentage,Fifth quintile,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.0,0.2,0.5,0.3,0.6,:,:
Annual,Percentage,Fifth quintile,Austria,:,0.2 u,0.0,0.2,0.2,0.2 bu,0.1 u,0.5 u,0.5 u,0.1,0.2,0.0,0.2,0.1,0.3,0.3,0.3,0.1,0.1,0.2,0.1
Annual,Percentage,Fifth quintile,Belgium,:,2.2,0.5,0.3,0.9,1.8,0.2,0.6,0.5,0.3,0.2,0.6,0.2,0.3,0.7,0.3,0.2 b,0.3,0.3,0.1,0.2
Annual,Percentage,Fifth quintile,Bulgaria,:,:,:,3.7,3.9,2.7,0.6,0.6,0.8,1.3,1.3,0.7,0.8,2.2 b,1.0,0.6,0.3,0.3,0.3,0.1,0.3
Annual,Percentage,Fifth quintile,Switzerland,:,:,:,:,:,:,0.8,0.7,0.7,1.1,0.5,0.6 b,0.5,0.6,0.7,1.2,0.5,0.5,0.6,0.7,0.5
Annual,Percentage,Fifth quintile,Cyprus,:,:,0.1,0.2,0.0,0.1 b,0.1,0.8,0.2,0.3,0.6,1.2,0.3,0.1,0.1,0.1,0.0,0.1,0.1,0.1,0.3
Annual,Percentage,Fifth quintile,Czechia,:,:,1.0,2.8,2.2,5.5,2.0,1.8,1.7,1.7,1.5,1.2,1.1,1.1,0.4,0.5,0.9,0.5,0.4,0.6,0.9
Annual,Percentage,Fifth quintile,Germany,:,:,:,:,:,:,:,4.1,4.5,3.8,4.5,2.4,2.9,2.9,2.8,3.0,4.0,0.6 b,0.9,2.0,2.2
Annual,Percentage,Fifth quintile,Denmark,:,:,1.0,2.3,1.3,4.5,8.2,4.7,1.6 b,1.5,0.7,0.5,0.6,0.7,0.3,0.5,0.5,0.6 b,0.4,0.5,0.6
Annual,Percentage,Fifth quintile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,1.1 e,0.8 e,1.6 e,1.6 e,1.6 e,1.7 e,1.4 e,1.5 e,1.2 e,1.1 e,1.2 e,1.4,0.5,0.6 e,:,:
Annual,Percentage,Fifth quintile,Euro area - 18 countries (2014),:,:,1.4 e,1.3 e,1.0 e,1.1 e,0.8 e,1.6,1.6,1.6,1.7,1.4,1.5,1.2,1.1,1.2,1.5,0.5,:,:,:
Annual,Percentage,Fifth quintile,Euro area - 19 countries  (2015-2022),:,:,1.4 e,1.3 e,1.0 e,1.1 e,0.8 e,1.6,1.6,1.6,1.7,1.4,1.5,1.2,1.1,1.2,1.4,0.5,0.6 e,:,:
Annual,Percentage,Fifth quintile,Euro area – 20 countries (from 2023),:,:,:,:,:,:,:,:,:,:,:,1.4,1.5,1.2,1.1,1.2,1.4,0.5,0.7,0.8,0.7
Annual,Percentage,Fifth quintile,Estonia,:,:,0.4,0.0,1.3,0.4,0.6,0.2,0.7,0.3,0.8,0.1 b,0.0,0.1,0.2,0.0,0.4,0.0,0.0,0.1,0.5
Annual,Percentage,Fifth quintile,Greece,:,3.0,2.0,1.9,0.0,2.7,1.4,0.2,1.0,4.4,1.6,8.5,10.5,9.0,8.4,9.1,9.5,7.3,6.8,1.5,1.2
Annual,Percentage,Fifth quintile,Spain,:,0.3,0.7,0.2,0.4,0.7 b,0.5,0.4,0.2,0.1,0.4,0.1,0.2,0.2,0.3,0.3,0.1,0.2,0.2,0.3,0.1
Annual,Percentage,Fifth quintile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,1.5 e,1.1 e,1.5 e,1.5 e,1.6 e,1.6 e,1.4 e,1.5 e,1.2 e,1.0 e,1.0 e,1.2 e,:,:,:,:
Annual,Percentage,Fifth quintile,European Union - 27 countries (2007-2013),:,:,1.6 e,1.6 e,1.5 e,1.5 e,1.1 e,1.5,1.5,1.6,1.6,1.4,1.5,1.2,1.0,1.0,1.2 e,:,:,:,:
Annual,Percentage,Fifth quintile,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,1.6 e,1.5 e,1.6 e,1.6 e,1.4 e,1.5 e,1.2 e,1.0 e,1.0 e,1.2 e,0.5,0.6,0.8,0.7
Annual,Percentage,Fifth quintile,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,1.5,1.5,1.6,1.6,1.4,1.5,1.2,1.0,1.0,1.2 e,:,:,:,:
Annual,Percentage,Fifth quintile,Finland,:,0.9,0.7,0.6,0.7,0.6,0.7,0.5,1.1,1.0,1.0,0.8,0.6,0.4,0.5,0.5,0.4,0.2,0.5,0.6,0.5
Annual,Percentage,Fifth quintile,France,:,1.2,0.6,0.8,0.8,0.3,0.2,0.2,0.1,0.4,0.1,0.3,0.5,0.3,0.2,0.3,0.2,0.3 b,:,0.6 b,0.3
Annual,Percentage,Fifth quintile,Croatia,:,:,:,:,:,:,:,0.4,0.1,0.1,0.3,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1
Annual,Percentage,Fifth quintile,Hungary,:,:,5.9,1.7,1.6,0.8,0.9,1.3,0.9,2.3,2.0,1.4,1.2,1.0,0.7,0.8,1.7,1.5,0.1,1.0,1.0
Annual,Percentage,Fifth quintile,Ireland,0.8,0.2,0.2,0.1,0.4,0.5,1.1,1.3,1.9,1.9,0.0,0.9,0.7,0.2,0.1,0.0,1.0 b,0.6 b,0.2,0.5,0.2
Annual,Percentage,Fifth quintile,Iceland,:,4.5,7.1,6.9,5.2,6.3,3.1,3.7,3.3,2.8,2.9,2.2,1.8,1.3,2.1,2.4,3.0,:,:,:,:
Annual,Percentage,Fifth quintile,Italy,:,1.1,1.3,1.1,0.2,0.9,0.3,0.4,0.3,0.3,0.5,0.5,0.3,0.2,0.1,0.1,0.1,0.1,0.2,0.1,0.0
Annual,Percentage,Fifth quintile,Lithuania,:,:,0.4,0.3,0.4,0.4,0.8,0.1,0.5,0.4,0.0,0.0,0.0,0.4,0.2,0.1,0.0,0.0,0.0,0.0,0.0
Annual,Percentage,Fifth quintile,Luxembourg,0.1,0.1,0.1,0.2,0.2,0.2,0.0,0.0,0.1,0.0,0.2,0.3,0.0,0.5 b,1.0,0.3,0.1,0.4 b,1.0 b,0.6 b,0.9
Annual,Percentage,Fifth quintile,Latvia,:,:,2.1,1.1,2.7,0.1,0.6,0.9,1.8,1.6,0.8,1.2,0.7,0.8,0.3,0.2,0.2,0.9,0.2,0.1,0.1
Annual,Percentage,Fifth quintile,Montenegro,:,:,:,:,:,:,:,:,:,:,3.3,3.3,1.8,2.4,3.2,1.5,1.5,0.8,0.7,1.0,:
Annual,Percentage,Fifth quintile,North Macedonia,:,:,:,:,:,:,:,:,0.6,0.7,0.0,1.1,0.5,0.3,0.0,0.0,1.4,0.3,:,:,:
Annual,Percentage,Fifth quintile,Malta,:,:,0.7,0.4,0.5,0.9,0.8,0.8,0.5,0.2,0.1,0.3,0.3,0.1,0.0,0.0,0.1,0.7,0.0,0.3,0.0
Annual,Percentage,Fifth quintile,Netherlands,:,:,9.2,8.9,7.5,5.5,5.2,5.7,5.5,5.2,5.4,5.1,4.0,0.8 b,0.3,0.2,0.7,0.1,0.3,0.5,0.3
Annual,Percentage,Fifth quintile,Norway,:,3.6,2.0,1.5,4.7,3.9,3.3,2.7,2.8,2.9,2.7,1.1,2.1,1.2,1.5,1.8,1.1,1.1,4.2 b,5.3,5.4
Annual,Percentage,Fifth quintile,Poland,:,:,1.3,0.9,0.4,0.9,0.6,0.8,0.8,0.9,1.1,1.5,1.2,0.4,0.2,0.6,0.5,0.2 b,0.3,0.4,0.2
Annual,Percentage,Fifth quintile,Portugal,:,0.3,0.2,0.1,0.5,0.9,0.3,0.1,0.0,0.7,0.3,0.4,0.4,0.2,0.2,0.2,0.3,0.1,0.3,0.3,0.3
Annual,Percentage,Fifth quintile,Romania,:,:,:,:,2.2,2.1,2.4,3.2,2.1,3.9,3.5,3.5,3.3,2.5,1.6,0.8,0.4,0.4,1.1,2.0,1.3
Annual,Percentage,Fifth quintile,Serbia,:,:,:,:,:,:,:,:,:,:,2.5,2.6,3.1,2.7,2.2,2.1,1.0,0.6,0.5,0.3,:
Annual,Percentage,Fifth quintile,Sweden,:,0.4,0.1,0.4,0.3,0.2 b,0.3,0.2,0.0,0.2,0.2,0.1,0.1,0.1,0.1,0.0,0.1,0.2,0.0,0.1,0.1
Annual,Percentage,Fifth quintile,Slovenia,:,:,2.3,0.3,0.5,1.0,0.4,0.3,0.5,0.3,0.5,0.3,0.4,0.0,0.4,0.1,0.0,0.0,0.0,0.1,0.0
Annual,Percentage,Fifth quintile,Slovakia,:,:,1.1,2.0,3.8,0.3,1.9,0.6,0.9,0.9,1.0,1.1,1.1,0.5,0.4,0.3,1.1,0.1,0.5,0.0,0.1
Annual,Percentage,Fifth quintile,Türkiye,:,:,:,3.0,1.6,1.5,1.9,1.5,1.6,1.8,2.4,2.3,2.2,2.3,2.2,2.4,2.4,1.7,2.6,2.6,4.7
Annual,Percentage,Fifth quintile,United Kingdom,:,:,2.1,2.8,3.9,2.9,2.0,1.3,1.5,1.6 b,1.2,1.4,1.7,1.3,1.0 b,0.8,:,:,:,:,:
Annual,Percentage,Fifth quintile,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1,:,:,:,:,:
