Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Rural areas,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,32.2 e,33.2 e,33.6 e,34.1 e,40.1 e,39.7 e,40.1 e,40.0 e,39.6 e,40.4 e,41.0 e,41.7 e,:,:,:,:
Annual,Percentage,Rural areas,European Union - 27 countries (2007-2013),:,:,28.2 e,29.9 e,30.8 e,32.2 e,33.2 e,34.0 e,34.5 e,40.6 e,40.1 e,40.5 e,40.4 e,39.9 e,40.8 e,41.3 e,42.1 e,:,:,:,:
Annual,Percentage,Rural areas,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,32.1 e,32.2 e,38.4 e,38.0 e,38.1 e,38.3 e,37.3 e,38.2 e,39.2 e,39.9 e,40.4,39.9,40.0,40.0
Annual,Percentage,Rural areas,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,33.6 e,34.1 e,40.1 e,39.7 e,40.1 e,40.0 e,39.6 e,40.4 e,41.0 e,41.7 e,:,:,:,:
Annual,Percentage,Rural areas,Finland,:,53.1,53.0,55.9,56.8,55.5,55.2,57.0,55.6,56.4 b,59.9,60.1,60.9,59.2,58.4,59.8,59.2,59.7,60.1,63.3,63.2
Annual,Percentage,Rural areas,France,:,47.9,49.8,50.7,50.9,53.7,55.1,54.8,55.7,54.8 b,56.7,55.3,54.6,54.8,55.4,56.7,56.9,56.3 b,55.5,56.4 b,55.1
Annual,Percentage,Rural areas,Croatia,:,:,:,:,:,:,:,9.8,10.2,9.6 b,9.7,10.8,12.5,12.8,12.1,13.4,13.1,13.1,15.3,16.4,16.9
Annual,Percentage,Rural areas,Hungary,:,:,4.1,4.1,5.5,6.2,6.4,6.8,6.0,5.8 b,6.6,6.5,8.9,9.0,9.6,26.7,25.3,26.2,28.5,26.5,22.5
Annual,Percentage,Rural areas,Ireland,70.0,72.5,70.8,72.6,73.7,76.5,77.5,78.3,77.8,78.0 b,78.3,75.9,80.3,79.8,81.4,81.1,78.7 b,81.4 b,75.4,74.8,72.8
Annual,Percentage,Rural areas,Iceland,:,38.7,41.5,42.5,40.1,40.5,39.1,42.1,39.2,38.1 b,39.7,51.1,53.9,54.3,47.2,42.3,44.6,:,:,:,:
Annual,Percentage,Rural areas,Italy,:,21.5,20.7,19.5,20.0,20.8,21.3,23.2,22.1,21.7,22.8,21.6,20.6 b,17.9,18.7,17.4,14.9,17.1,17.8,18.4,20.3
Annual,Percentage,Rural areas,Lithuania,:,:,8.5,7.8,10.9,10.6,11.3,11.0,30.2 b,32.7 b,26.2 b,26.8,25.0,28.6,29.0,30.1,30.3,35.1,29.0,28.7,27.5
Annual,Percentage,Rural areas,Luxembourg,64.5,63.3,67.2,66.7,66.6,66.2,74.2,73.4,74.1,71.1 b,71.3,68.4,66.8,63.6 b,64.4,65.4,66.6,67.7 b,65.6 b,73.4 b,71.3
Annual,Percentage,Rural areas,Latvia,:,:,5.4,5.8,7.0,6.4,6.9,7.4,11.2,15.5 b,16.9,16.1,15.6,13.8,14.5,15.3,15.2,16.1,15.3,13.9,14.8
Annual,Percentage,Rural areas,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,16.7,18.0,18.7,14.3,20.5,:,:,:
Annual,Percentage,Rural areas,Malta,:,:,: u,: u,: u,: u,: u,: u,: u,: u,: u,89.2 u,92.9 u,92.7 u,: u,: u,: u,: u,78.5,76.5,72.6
Annual,Percentage,Rural areas,Netherlands,:,:,63.0,61.4,64.5,68.0,73.2,71.0,71.8,70.2 b,64.3,63.4,61.9,60.0 b,62.2,60.7,63.3,62.5,73.0,70.6,70.3
Annual,Percentage,Rural areas,Norway,:,57.1,57.3,56.6,59.0,59.9,58.9,60.4,57.9,58.9 b,60.4,:,65.4,64.9,65.0,63.5,62.1,63.1,63.8 b,62.8,65.0
Annual,Percentage,Rural areas,Poland,:,:,9.9,9.4,10.0,10.5,11.0,11.9,11.5,12.8 b,13.4,14.2,14.9,15.7,16.4,16.9,18.1,19.9 b,20.9,20.2,21.2 b
Annual,Percentage,Rural areas,Portugal,:,30.5,31.2,33.4,35.6,35.1,35.5,35.3,49.0,46.2 b,49.1,49.8,48.7,48.5,48.3,48.4,49.7,49.3,42.9,48.0,45.2
Annual,Percentage,Rural areas,Romania,:,:,:,:,5.9,6.2,6.8,6.5,6.5,6.2 b,6.5,7.3,8.2,8.9,9.7,9.6,10.4,8.8,9.1,9.3,9.5
Annual,Percentage,Rural areas,Serbia,:,:,:,:,:,:,:,:,:,:,:,5.6,4.8,5.8,4.6,6.9,7.5,7.5,8.2,9.3,:
Annual,Percentage,Rural areas,Sweden,:,45.0,46.3,47.0,46.2,44.3 b,44.6,44.4,43.6,44.4 b,52.0,54.8,53.9,50.4,48.7,49.8,50.1,50.5,53.3,51.0,48.5
Annual,Percentage,Rural areas,Slovenia,:,:,9.2,9.0,9.2,9.6,9.7,10.9,25.9 b,25.8 b,28.4,29.3,30.1,30.8,29.9,31.7,34.5,35.5,38.5,39.7,39.5
Annual,Percentage,Rural areas,Slovakia,:,:,8.2,9.6,12.2,13.1,14.9,15.2,16.2,15.9 b,15.7,17.7,17.3,17.0,17.2,19.0,21.2,23.7,23.4,21.6,21.0
Annual,Percentage,Rural areas,United Kingdom,:,:,64.8,61.3,58.8,56.1,54.2,53.0,59.2,68.2 b,65.9,69.3,64.1,70.4,74.1 b,70.7,:,:,:,:,:
