Time frequency,Unit of measure,Degree of urbanisation,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Ireland,20.4 b,20.1,18.4 b,16.0,10.2,8.8,8.7,8.6,10.5,11.8,12.3,12.1,12.1 b,12.2,12.4,12.1,10.1 b,11.4,9.9
Annual,Percentage,Total,Iceland,8.4 b,8.8,10.1,9.5,5.4,5.5,5.4,5.3,6.5,6.3,6.3,6.7,6.0,6.3,5.6,5.9 b,7.4 b,5.2,6.1
Annual,Percentage,Total,Italy,26.3 b,25.8,25.8,24.7,24.0,23.2,22.6,21.0,19.8,19.4,20.0,20.1,19.8,19.8 b,19.5,19.8,19.2 b,19.7,19.5
Annual,Percentage,Total,Lithuania,8.4 b,6.9,7.5,6.9,-0.4,-1.5,0.6,1.2,2.6,2.5,2.4,1.9,1.0,2.3,1.6,1.7,1.4 b,0.8,1.5
Annual,Percentage,Total,Luxembourg,21.0 b,19.5,17.3 b,17.1,17.5 b,17.2,16.2,14.4,14.1,12.9,11.7 b,11.0,7.9,8.0,9.1,7.1,7.4 b,6.5,6.8
Annual,Percentage,Total,Latvia,9.8 b,10.0,10.2,7.4,0.3,-0.5,2.2,3.6,4.2,4.6,4.1,2.9,4.3,4.2,3.8,3.8,4.8 b,3.1,3.1
Annual,Percentage,Total,Montenegro,:,:,:,:,:,:,12.6,11.7,10.6,11.7,10.3,11.7,13.8,13.8,13.3,12.9,:,:,:
Annual,Percentage,Total,North Macedonia,:,19.6,18.2,20.0,21.3,20.9,19.0,18.8,19.0,20.8,19.4,21.2,21.9,21.4,21.3,19.9,:,:,:
Annual,Percentage,Total,Malta,44.9 b,43.9,41.3,39.1,37.5,36.6,35.2,31.4,28.6,26.8,26.8,25.5,24.1,22.3,22.0,18.9,17.6 b,13.3,14.1
Annual,Percentage,Total,Netherlands,16.5 b,15.9 b,15.5,15.0,13.7,12.7,12.0,11.3,10.5 b,11.4,11.1,11.0,10.5,10.1,9.3,8.9,8.2 b,7.9,7.8
Annual,Percentage,Total,Norway,7.0 b,7.5 b,6.8,6.2,5.2,5.2,5.0,5.1,5.0,4.8,4.6,3.7,4.0,5.2,5.2,4.6,4.8 b,5.7,5.0
Annual,Percentage,Total,Poland,13.4 b,14.2,14.7,15.7,15.0,14.0 b,14.7,14.5,14.5,14.2,13.8,14.2,14.6,14.4,15.2 b,15.5,13.9 b,12.9,11.8
Annual,Percentage,Total,Portugal,12.7 b,12.9,12.8,12.3,10.3,9.8,8.6 b,6.9,6.4,7.0,6.7,6.7,7.4,6.7,7.0,5.9,5.7 b,5.8,5.5
Annual,Percentage,Total,Romania,13.5 b,12.7,13.1,14.3,14.4,16.6 b,15.3,16.1,16.3,16.7,17.5,17.6,17.1,18.3,19.0,19.3,20.1 b,18.6,19.1
Annual,Percentage,Total,Serbia,:,:,:,:,:,16.0,15.3,15.7,16.4,15.2 b,15.3,14.4,14.0,14.7,13.9,14.0,14.7 b,14.0,12.5
Annual,Percentage,Total,Sweden,5.3 b,5.9,6.0,6.3,5.2,6.1,5.6,5.1,5.0,4.6,4.2,3.8,4.0,4.2 b,4.7,4.9,5.4 b,5.7,4.7
Annual,Percentage,Total,Slovenia,9.6 b,9.8,10.4,8.9,7.7,7.5,7.0,7.2,8.2,8.0,8.6,6.6,7.2,7.3,6.8,6.2,6.7 b,6.9,6.1
Annual,Percentage,Total,Slovakia,15.8 b,17.1,17.3,17.1,16.4,14.5,15.1 b,15.5,14.4,14.6,14.7,14.2,12.8,13.7,13.0,12.6,8.5 b,8.1,7.7
Annual,Percentage,Total,Türkiye,:,49.2,48.8,47.8,44.6,44.7,45.4,44.1,43.5,43.4 b,42.8,42.3,41.6,40.8,38.8,38.1,39.4 b,38.9,38.5
Annual,Percentage,Total,United Kingdom,13.5 b,13.5,13.8 b,13.1 b,11.5,11.4,11.5,11.6,11.1,11.3,11.2,11.0,10.2,9.9,9.4,:,:,:,:
