Time frequency,Seasonal adjustment,Indicator,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Denmark,3.0,4.6,3.2,3.4,4.2,6.4,6.3,4.5,5.9,7.2,8.7,8.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Euro area – 20 countries (from 2023),8.5,6.1,6.5,6.1,6.8,6.5,5.1,6.3,6.9,6.8,5.3,5.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Estonia,-11.3,-7.5,-6.2,-12.4,-17.6,-12.9,-6.5,-9.4,-8.8,-7.8,-7.2,-5.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Greece,40.7,39.4,42.4,50.4,54.0,50.4,37.6,38.9,40.2,36.6,22.8,30.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Spain,18.9,15.2,17.2,14.1,13.6,18.9,17.1,21.1,16.6,:,:,:
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,European Union - 27 countries (from 2020),7.4,5.9,6.6,6.1,7.0,6.5,5.6,6.2,6.5,6.7,5.7,6.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Finland,0.9,-4.2,-4.5,-3.7,-4.3,1.6,2.7,0.6,0.6,1.4,2.1,1.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,France,0.3,-2.9,0.6,-2.5,1.7,-0.8,-4.2,-3.0,-2.8,-0.3,-2.3,-1.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Croatia,25.4,29.3,30.9,23.6,22.9,14.8,15.6,15.7,16.1,16.2,25.6,27.2
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Hungary,-5.4,-8.3,-3.8,-3.0,-4.0,-2.6,-4.8,-5.2,-5.2,-7.1,-7.4,-12.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Italy,8.0,5.4,6.0,6.3,5.0,4.5,3.4,4.9,7.0,3.0,1.3,5.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Lithuania,-10.0,-13.8,-11.5,-9.7,-3.7,-1.1,-1.1,0.6,0.0,0.7,7.0,7.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Latvia,1.8,0.1,2.7,0.9,2.2,3.1,0.6,3.5,2.8,2.1,1.1,1.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Montenegro,13.9,15.0,22.1,18.5,20.4,20.7,21.6,22.2,16.8,18.0,17.9,18.6
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,North Macedonia,9.9,12.7,15.0,9.8,12.2,5.5,15.4,6.7,9.1,11.2,10.2,14.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Malta,16.6,12.9,7.1,15.3,13.6,15.8,13.1,19.4,13.3,35.6,33.3,19.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Netherlands,5.0,5.3,5.2,3.8,5.0,6.0,5.6,5.3,5.1,5.2,5.7,5.9
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Poland,-1.0,-0.9,-1.0,-1.1,-0.9,-2.4,-3.2,-3.6,-3.7,-3.3,-4.4,-2.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Portugal,3.7,5.2,6.9,6.0,3.8,1.6,2.1,1.1,3.9,13.0,15.7,17.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Romania,4.8,4.7,7.0,8.0,5.5,6.2,4.7,7.0,5.4,8.3,7.2,6.4
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Serbia,9.3,8.4,11.2,11.5,7.3,15.1,13.8,12.1,13.6,10.9,9.9,15.1
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Sweden,2.3,2.5,6.7,8.4,9.9,14.2,12.5,8.0,12.0,9.1,12.1,14.3
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Slovenia,13.8,18.6,17.2,17.2,16.2,15.2,15.0,15.5,17.7,14.2,15.4,14.7
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Slovakia,10.7,26.2,20.0,10.5,-1.7,13.8,11.3,7.1,11.2,-2.3,-5.2,12.5
Monthly,"Seasonally adjusted data, not calendar adjusted data",Services confidence indicator,Türkiye,20.4,22.0,23.4,22.1,22.5,20.9,19.5,18.4,18.7,20.0,18.2,19.9
