Time frequency,Amenities,Tenure status,Unit of measure,Geopolitical entity (reporting)\Time,1991.0
Annual,Piped water in the housing unit,Other,Number,Belgium,1324720.0
Annual,Piped water in the housing unit,Other,Number,Germany,15485579.0
Annual,Piped water in the housing unit,Other,Number,Denmark,1040958.0
Annual,Piped water in the housing unit,Other,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",31643521.0
Annual,Piped water in the housing unit,Other,Number,Greece,757824.0
Annual,Piped water in the housing unit,Other,Number,Spain,2515116.0
Annual,Piped water in the housing unit,Other,Number,European Union - 15 countries (1995-2004),33442303.0
Annual,Piped water in the housing unit,Other,Number,Finland,539816.0
Annual,Piped water in the housing unit,Other,Number,Ireland,199000.0
Annual,Piped water in the housing unit,Other,Number,Italy,5974411.0
Annual,Piped water in the housing unit,Other,Number,Netherlands,3230000.0
Annual,Piped water in the housing unit,Other,Number,Portugal,941051.0
Annual,Piped water in the housing unit,Owner,Number,Austria,1464646.0
Annual,Piped water in the housing unit,Owner,Number,Belgium,2407981.0
Annual,Piped water in the housing unit,Owner,Number,Germany,9948852.0
Annual,Piped water in the housing unit,Owner,Number,Denmark,1210154.0
Annual,Piped water in the housing unit,Owner,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",42032501.0
Annual,Piped water in the housing unit,Owner,Number,Greece,2296238.0
Annual,Piped water in the housing unit,Owner,Number,Spain,9144026.0
Annual,Piped water in the housing unit,Owner,Number,European Union - 15 countries (1995-2004),45538893.0
Annual,Piped water in the housing unit,Owner,Number,Finland,1415615.0
Annual,Piped water in the housing unit,Owner,Number,Ireland,764021.0
Annual,Piped water in the housing unit,Owner,Number,Italy,12492628.0
Annual,Piped water in the housing unit,Owner,Number,Netherlands,2674000.0
Annual,Piped water in the housing unit,Owner,Number,Portugal,1720732.0
Annual,Piped water in the housing unit,Total,Number,Austria,2898474.0
Annual,Piped water in the housing unit,Total,Number,Belgium,3732701.0
Annual,Piped water in the housing unit,Total,Number,Germany,25434431.0
Annual,Piped water in the housing unit,Total,Number,Denmark,2251112.0
Annual,Piped water in the housing unit,Total,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",73676022.0
Annual,Piped water in the housing unit,Total,Number,Greece,3054062.0
Annual,Piped water in the housing unit,Total,Number,Spain,11659142.0
Annual,Piped water in the housing unit,Total,Number,European Union - 15 countries (1995-2004),78981196.0
Annual,Piped water in the housing unit,Total,Number,Finland,1955431.0
Annual,Piped water in the housing unit,Total,Number,Ireland,963021.0
Annual,Piped water in the housing unit,Total,Number,Italy,18467039.0
Annual,Piped water in the housing unit,Total,Number,Netherlands,5904000.0
Annual,Piped water in the housing unit,Total,Number,Portugal,2661783.0
Annual,Piped water - unknown,Other,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",7103.0
Annual,Piped water - unknown,Other,Number,European Union - 15 countries (1995-2004),7103.0
Annual,Piped water - unknown,Other,Number,Ireland,7103.0
Annual,Piped water - unknown,Owner,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",22030.0
Annual,Piped water - unknown,Owner,Number,European Union - 15 countries (1995-2004),22030.0
Annual,Piped water - unknown,Owner,Number,Ireland,22030.0
Annual,Piped water - unknown,Total,Number,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",29133.0
Annual,Piped water - unknown,Total,Number,European Union - 15 countries (1995-2004),29133.0
Annual,Piped water - unknown,Total,Number,Ireland,29133.0
