Time frequency,Size classes in number of persons employed,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0,2020.0
Annual,Total,Females,Percentage,Finland,41.1,41.5,43.7,28.5
Annual,Total,Females,Percentage,France,43.1,42.2,45.9,44.9
Annual,Total,Females,Percentage,Croatia,:,24.7,32.3,27.3
Annual,Total,Females,Percentage,Hungary,15.5,19.1,18.2,17.3
Annual,Total,Females,Percentage,Ireland,52.3,:,47.2,37.1 u
Annual,Total,Females,Percentage,Italy,27.5,33.9,42.5,44.4
Annual,Total,Females,Percentage,Lithuania,14.1,18.4,25.8,28.7
Annual,Total,Females,Percentage,Luxembourg,50.8,47.4,65.5,57.4
Annual,Total,Females,Percentage,Latvia,14.8,25.6,26.8,33.7 u
Annual,Total,Females,Percentage,North Macedonia,:,:,23.1,18.0
Annual,Total,Females,Percentage,Malta,35.7,42.6,38.2,29.9
Annual,Total,Females,Percentage,Netherlands,30.8,36.5,36.6,37.6
Annual,Total,Females,Percentage,Norway,27.9,45.3,53.3,52.7 u
Annual,Total,Females,Percentage,Poland,20.3,29.1,35.8,28.3
Annual,Total,Females,Percentage,Portugal,26.7,38.5,45.4,45.2 u
Annual,Total,Females,Percentage,Romania,16.8,18.0,21.5,18.6
Annual,Total,Females,Percentage,Serbia,:,:,:,27.2
Annual,Total,Females,Percentage,Sweden,44.6,45.9,50.5 b,50.8 b
Annual,Total,Females,Percentage,Slovenia,53.4,45.2,61.9,50.3
Annual,Total,Females,Percentage,Slovakia,31.4,37.5,54.3,47.9
Annual,Total,Females,Percentage,United Kingdom,33.5,31.8,26.4,:
Annual,Total,Males,Percentage,Austria,35.5,34.8,46.5,37.1
Annual,Total,Males,Percentage,Belgium,40.5,53.3,56.0,53.8
Annual,Total,Males,Percentage,Bulgaria,16.2,22.7,27.8,23.1
Annual,Total,Males,Percentage,Cyprus,29.7,35.7,33.3,29.4
Annual,Total,Males,Percentage,Czechia,63.2,64.8,86.7 b,85.5
Annual,Total,Males,Percentage,Germany,32.1,41.8,38.4,45.2
Annual,Total,Males,Percentage,Denmark,32.2,37.1,35.4,25.1
Annual,Total,Males,Percentage,Estonia,23.2,31.3,30.0,28.9
Annual,Total,Males,Percentage,Greece,12.9,16.1,19.8,10.7
Annual,Total,Males,Percentage,Spain,32.7,49.6,57.2,63.8
Annual,Total,Males,Percentage,European Union - 27 countries (from 2020),34.0,40.4,44.0,43.1
Annual,Total,Males,Percentage,European Union - 28 countries (2013-2020),33.7,38.5,42.0,:
Annual,Total,Males,Percentage,Finland,38.0,39.4,43.8,29.9
Annual,Total,Males,Percentage,France,47.0,47.4,49.8,47.5
Annual,Total,Males,Percentage,Croatia,:,21.1,26.1,22.1
Annual,Total,Males,Percentage,Hungary,16.4,19.0,20.2,18.7
Annual,Total,Males,Percentage,Ireland,46.2,:,49.7,35.7 u
Annual,Total,Males,Percentage,Italy,29.5,37.1,47.8,44.8
Annual,Total,Males,Percentage,Lithuania,14.9,18.8,25.4,24.7
Annual,Total,Males,Percentage,Luxembourg,48.3,48.7,60.0,56.7
Annual,Total,Males,Percentage,Latvia,14.1,23.0,27.6,29.2
Annual,Total,Males,Percentage,North Macedonia,:,:,20.9,16.5
Annual,Total,Males,Percentage,Malta,30.1,32.3,32.9,26.5
Annual,Total,Males,Percentage,Netherlands,35.9,39.6,44.9,40.1
Annual,Total,Males,Percentage,Norway,29.5,48.3,59.5,51.3 u
Annual,Total,Males,Percentage,Poland,20.8,31.5,38.0,29.2
Annual,Total,Males,Percentage,Portugal,28.9,40.7,46.9,42.1
Annual,Total,Males,Percentage,Romania,17.8,18.2,21.1,16.5
Annual,Total,Males,Percentage,Serbia,:,:,:,23.3
Annual,Total,Males,Percentage,Sweden,46.9,47.9,53.1 b,49.8 b
Annual,Total,Males,Percentage,Slovenia,47.0,41.8,56.2,45.3
Annual,Total,Males,Percentage,Slovakia,42.4,46.5,58.5,49.2
Annual,Total,Males,Percentage,United Kingdom,32.0,27.3,30.5,:
Annual,Total,Total,Percentage,Austria,33.3,33.2,45.4,34.9
Annual,Total,Total,Percentage,Belgium,39.9,51.8,53.9,50.7
Annual,Total,Total,Percentage,Bulgaria,14.8,22.0,26.5,23.0
Annual,Total,Total,Percentage,Cyprus,30.4,36.7,33.2,30.3
Annual,Total,Total,Percentage,Czechia,58.7,60.8,83.7 b,82.8
Annual,Total,Total,Percentage,Germany,30.3,39.5,38.1,43.7
Annual,Total,Total,Percentage,Denmark,34.6,37.1,34.6,25.5
Annual,Total,Total,Percentage,Estonia,24.4,30.6,31.9,31.3
Annual,Total,Total,Percentage,Greece,13.6,16.3,18.5,11.8
Annual,Total,Total,Percentage,Spain,33.3,48.3,55.4,65.0
Annual,Total,Total,Percentage,European Union - 27 countries (from 2020),32.9,38.9,42.9,42.4
Annual,Total,Total,Percentage,European Union - 28 countries (2013-2020),32.8,37.6,40.8,:
Annual,Total,Total,Percentage,Finland,39.2,40.2,43.8,29.1
Annual,Total,Total,Percentage,France,45.5,45.4,48.3,46.6
Annual,Total,Total,Percentage,Croatia,:,22.5,28.7,24.2
Annual,Total,Total,Percentage,Hungary,16.0,19.0,19.4,18.1
Annual,Total,Total,Percentage,Ireland,48.7,:,49.7,37.1
Annual,Total,Total,Percentage,Italy,28.8,36.0,45.9,44.6
Annual,Total,Total,Percentage,Lithuania,14.6,18.6,25.6,26.4
Annual,Total,Total,Percentage,Luxembourg,49.1,51.1,61.8,56.9
Annual,Total,Total,Percentage,Latvia,14.7,24.2,27.2,30.7
Annual,Total,Total,Percentage,North Macedonia,:,:,22.0,17.0
Annual,Total,Total,Percentage,Malta,31.8,35.8,35.8,27.8
Annual,Total,Total,Percentage,Netherlands,34.1,38.6,41.4,39.2
Annual,Total,Total,Percentage,Norway,29.0,45.8,54.3,51.9
Annual,Total,Total,Percentage,Poland,20.6,30.5,37.1,28.8
Annual,Total,Total,Percentage,Portugal,28.1,39.8,46.3,42.6
Annual,Total,Total,Percentage,Romania,17.4,17.8,21.3,17.4
Annual,Total,Total,Percentage,Serbia,:,:,:,24.8
Annual,Total,Total,Percentage,Sweden,46.1,47.1,52.2 b,50.5 b
Annual,Total,Total,Percentage,Slovenia,49.5,43.1,58.3,47.2
Annual,Total,Total,Percentage,Slovakia,38.0,43.6,56.8,48.7
Annual,Total,Total,Percentage,United Kingdom,32.6,30.6,30.4,:
