Time frequency,Quantile,Working time,Unit of measure,Geopolitical entity (reporting)\Time,2018.0
Annual,Ninetieth percentile,Total,National currency,Romania,97827.08
Annual,Ninetieth percentile,Total,National currency,Serbia,1558346.6
Annual,Ninetieth percentile,Total,National currency,Sweden,641656.67
Annual,Ninetieth percentile,Total,National currency,Slovenia,38375.0
Annual,Ninetieth percentile,Total,National currency,Slovakia,24365.0
Annual,Ninetieth percentile,Total,National currency,Türkiye,87972.78
Annual,Ninetieth percentile,Total,National currency,United Kingdom,62354.36
Annual,Second sextile,Full-time,Percentage,Albania,22.88
Annual,Second sextile,Full-time,Percentage,Austria,14.64
Annual,Second sextile,Full-time,Percentage,Belgium,11.24
Annual,Second sextile,Full-time,Percentage,Bulgaria,25.92
Annual,Second sextile,Full-time,Percentage,Switzerland,8.21
Annual,Second sextile,Full-time,Percentage,Cyprus,20.89
Annual,Second sextile,Full-time,Percentage,Czechia,15.59
Annual,Second sextile,Full-time,Percentage,Germany,19.29
Annual,Second sextile,Full-time,Percentage,Denmark,7.62
Annual,Second sextile,Full-time,Percentage,Euro area - 17 countries (2011-2013),14.27
Annual,Second sextile,Full-time,Percentage,Euro area - 18 countries (2014),14.35
Annual,Second sextile,Full-time,Percentage,Euro area - 19 countries  (2015-2022),14.44
Annual,Second sextile,Full-time,Percentage,Estonia,20.76
Annual,Second sextile,Full-time,Percentage,Greece,19.37
Annual,Second sextile,Full-time,Percentage,Spain,16.44
Annual,Second sextile,Full-time,Percentage,European Union - 27 countries (2007-2013),16.06
Annual,Second sextile,Full-time,Percentage,European Union - 27 countries (from 2020),15.31
Annual,Second sextile,Full-time,Percentage,Finland,7.75
Annual,Second sextile,Full-time,Percentage,France,10.31
Annual,Second sextile,Full-time,Percentage,Croatia,18.69
Annual,Second sextile,Full-time,Percentage,Hungary,17.76
Annual,Second sextile,Full-time,Percentage,Ireland,19.7
Annual,Second sextile,Full-time,Percentage,Iceland,12.57
Annual,Second sextile,Full-time,Percentage,Italy,6.76
Annual,Second sextile,Full-time,Percentage,Lithuania,21.59
Annual,Second sextile,Full-time,Percentage,Luxembourg,15.46
Annual,Second sextile,Full-time,Percentage,Latvia,24.64
Annual,Second sextile,Full-time,Percentage,North Macedonia,17.11
Annual,Second sextile,Full-time,Percentage,Malta,17.61
Annual,Second sextile,Full-time,Percentage,Netherlands,15.76
Annual,Second sextile,Full-time,Percentage,Norway,6.35
Annual,Second sextile,Full-time,Percentage,Poland,20.21
Annual,Second sextile,Full-time,Percentage,Portugal,8.73
Annual,Second sextile,Full-time,Percentage,Romania,22.02
Annual,Second sextile,Full-time,Percentage,Serbia,18.46
Annual,Second sextile,Full-time,Percentage,Sweden,7.84
Annual,Second sextile,Full-time,Percentage,Slovenia,13.34
Annual,Second sextile,Full-time,Percentage,Slovakia,16.7
Annual,Second sextile,Full-time,Percentage,Türkiye,21.8
Annual,Second sextile,Full-time,Percentage,United Kingdom,20.13
Annual,Second sextile,Total,Percentage,Albania,22.88
Annual,Second sextile,Total,Percentage,Austria,14.64
Annual,Second sextile,Total,Percentage,Belgium,11.24
Annual,Second sextile,Total,Percentage,Bulgaria,25.92
Annual,Second sextile,Total,Percentage,Switzerland,8.21
Annual,Second sextile,Total,Percentage,Cyprus,20.89
Annual,Second sextile,Total,Percentage,Czechia,15.59
Annual,Second sextile,Total,Percentage,Germany,19.29
Annual,Second sextile,Total,Percentage,Denmark,7.62
Annual,Second sextile,Total,Percentage,Euro area - 17 countries (2011-2013),14.27
Annual,Second sextile,Total,Percentage,Euro area - 18 countries (2014),14.35
Annual,Second sextile,Total,Percentage,Euro area - 19 countries  (2015-2022),14.44
Annual,Second sextile,Total,Percentage,Estonia,20.76
Annual,Second sextile,Total,Percentage,Greece,19.37
Annual,Second sextile,Total,Percentage,Spain,16.44
Annual,Second sextile,Total,Percentage,European Union - 27 countries (2007-2013),16.06
Annual,Second sextile,Total,Percentage,European Union - 27 countries (from 2020),15.31
Annual,Second sextile,Total,Percentage,Finland,7.75
Annual,Second sextile,Total,Percentage,France,10.31
Annual,Second sextile,Total,Percentage,Croatia,18.69
Annual,Second sextile,Total,Percentage,Hungary,17.76
Annual,Second sextile,Total,Percentage,Ireland,19.7
Annual,Second sextile,Total,Percentage,Iceland,12.57
Annual,Second sextile,Total,Percentage,Italy,6.76
Annual,Second sextile,Total,Percentage,Lithuania,21.59
Annual,Second sextile,Total,Percentage,Luxembourg,15.46
Annual,Second sextile,Total,Percentage,Latvia,24.64
Annual,Second sextile,Total,Percentage,North Macedonia,17.11
Annual,Second sextile,Total,Percentage,Malta,17.61
Annual,Second sextile,Total,Percentage,Netherlands,15.76
Annual,Second sextile,Total,Percentage,Norway,6.35
Annual,Second sextile,Total,Percentage,Poland,20.21
Annual,Second sextile,Total,Percentage,Portugal,8.73
Annual,Second sextile,Total,Percentage,Romania,22.02
Annual,Second sextile,Total,Percentage,Serbia,18.46
Annual,Second sextile,Total,Percentage,Sweden,7.84
Annual,Second sextile,Total,Percentage,Slovenia,13.34
Annual,Second sextile,Total,Percentage,Slovakia,16.7
Annual,Second sextile,Total,Percentage,Türkiye,21.8
Annual,Second sextile,Total,Percentage,United Kingdom,20.13
