Time frequency,Frequency,Sex,Unit of measure,Geopolitical entity (reporting)\Time,2007.0,2011.0
Annual,At least once a week,Total,Percentage,Italy,:,9.0
Annual,At least once a week,Total,Percentage,Lithuania,30.5,30.3
Annual,At least once a week,Total,Percentage,Luxembourg,:,16.0
Annual,At least once a week,Total,Percentage,Latvia,29.2,37.4
Annual,At least once a week,Total,Percentage,Malta,38.5,28.3
Annual,At least once a week,Total,Percentage,Poland,42.1,36.7
Annual,At least once a week,Total,Percentage,Portugal,32.8,28.7
Annual,At least once a week,Total,Percentage,Romania,35.2,29.1
Annual,At least once a week,Total,Percentage,Serbia,:,25.5
Annual,At least once a week,Total,Percentage,Slovenia,25.4,20.1
Annual,At least once a week,Total,Percentage,Slovakia,27.3,27.9
Annual,At least once a week,Total,Percentage,Türkiye,23.7,20.4
Annual,At least once a week,Total,Percentage,United Kingdom,:,37.4
Annual,Less than once a month,Females,Percentage,Austria,1.7 u,1.5 u
Annual,Less than once a month,Females,Percentage,Belgium,8.9,:
Annual,Less than once a month,Females,Percentage,Bulgaria,3.2,4.3
Annual,Less than once a month,Females,Percentage,Cyprus,5.4,8.5
Annual,Less than once a month,Females,Percentage,Czechia,2.1,2.5
Annual,Less than once a month,Females,Percentage,Germany,:,0.7 u
Annual,Less than once a month,Females,Percentage,Estonia,0.9 u,: u
Annual,Less than once a month,Females,Percentage,Greece,13.3,11.3
Annual,Less than once a month,Females,Percentage,Spain,4.6,4.5
Annual,Less than once a month,Females,Percentage,Finland,: u,: u
Annual,Less than once a month,Females,Percentage,Croatia,3.4,:
Annual,Less than once a month,Females,Percentage,Hungary,2.0,2.9
Annual,Less than once a month,Females,Percentage,Italy,:,5.0
Annual,Less than once a month,Females,Percentage,Lithuania,1.4 u,1.3 u
Annual,Less than once a month,Females,Percentage,Luxembourg,:,2.5 u
Annual,Less than once a month,Females,Percentage,Latvia,: u,2.6
Annual,Less than once a month,Females,Percentage,Malta,4.2 u,5.8
Annual,Less than once a month,Females,Percentage,Poland,2.3,3.4
Annual,Less than once a month,Females,Percentage,Portugal,7.5,5.3
Annual,Less than once a month,Females,Percentage,Romania,14.4,10.6
Annual,Less than once a month,Females,Percentage,Serbia,:,4.0
Annual,Less than once a month,Females,Percentage,Slovenia,1.1 u,2.0 u
Annual,Less than once a month,Females,Percentage,Slovakia,1.1 u,1.4 u
Annual,Less than once a month,Females,Percentage,Türkiye,7.1,6.6
Annual,Less than once a month,Females,Percentage,United Kingdom,:,6.2
Annual,Less than once a month,Males,Percentage,Austria,1.3 u,1.0 u
Annual,Less than once a month,Males,Percentage,Belgium,5.9,:
Annual,Less than once a month,Males,Percentage,Bulgaria,2.6,4.4
Annual,Less than once a month,Males,Percentage,Cyprus,3.2,4.9 u
Annual,Less than once a month,Males,Percentage,Czechia,1.3,2.0
Annual,Less than once a month,Males,Percentage,Germany,:,: u
Annual,Less than once a month,Males,Percentage,Estonia,: u,: u
Annual,Less than once a month,Males,Percentage,Greece,6.6,8.2
Annual,Less than once a month,Males,Percentage,Spain,2.5,2.7
Annual,Less than once a month,Males,Percentage,Finland,: u,: u
Annual,Less than once a month,Males,Percentage,Croatia,2.6 u,:
Annual,Less than once a month,Males,Percentage,Hungary,2.8,3.6
Annual,Less than once a month,Males,Percentage,Italy,:,3.4
Annual,Less than once a month,Males,Percentage,Lithuania,1.4 u,1.6 u
Annual,Less than once a month,Males,Percentage,Luxembourg,:,1.1 u
Annual,Less than once a month,Males,Percentage,Latvia,3.7 u,4.1
Annual,Less than once a month,Males,Percentage,Malta,3.8 u,4.3
Annual,Less than once a month,Males,Percentage,Poland,3.3,5.2
Annual,Less than once a month,Males,Percentage,Portugal,3.9,3.9
Annual,Less than once a month,Males,Percentage,Romania,8.8,8.7
Annual,Less than once a month,Males,Percentage,Serbia,:,3.0
Annual,Less than once a month,Males,Percentage,Slovenia,1.6 u,1.8 u
Annual,Less than once a month,Males,Percentage,Slovakia,1.0 u,2.1 u
Annual,Less than once a month,Males,Percentage,Türkiye,3.9,3.9
Annual,Less than once a month,Males,Percentage,United Kingdom,:,6.0
Annual,Less than once a month,Total,Percentage,Austria,1.5,1.3
Annual,Less than once a month,Total,Percentage,Belgium,7.4,:
Annual,Less than once a month,Total,Percentage,Bulgaria,2.9,4.3
Annual,Less than once a month,Total,Percentage,Cyprus,4.4,6.8
Annual,Less than once a month,Total,Percentage,Czechia,1.7,2.2
Annual,Less than once a month,Total,Percentage,Germany,:,0.7 u
Annual,Less than once a month,Total,Percentage,Estonia,1.1 u,1.1 u
Annual,Less than once a month,Total,Percentage,Greece,10.0,9.7
Annual,Less than once a month,Total,Percentage,Spain,3.6,3.6
Annual,Less than once a month,Total,Percentage,Finland,0.7 u,: u
Annual,Less than once a month,Total,Percentage,Croatia,3.0,:
Annual,Less than once a month,Total,Percentage,Hungary,2.4,3.2
Annual,Less than once a month,Total,Percentage,Italy,:,4.2
Annual,Less than once a month,Total,Percentage,Lithuania,1.4,1.4
Annual,Less than once a month,Total,Percentage,Luxembourg,:,1.8
Annual,Less than once a month,Total,Percentage,Latvia,2.3 u,3.3
Annual,Less than once a month,Total,Percentage,Malta,4.0,5.0
Annual,Less than once a month,Total,Percentage,Poland,2.8,4.3
Annual,Less than once a month,Total,Percentage,Portugal,5.7,4.6
Annual,Less than once a month,Total,Percentage,Romania,11.7,9.7
Annual,Less than once a month,Total,Percentage,Serbia,:,3.5
Annual,Less than once a month,Total,Percentage,Slovenia,1.4,1.9
Annual,Less than once a month,Total,Percentage,Slovakia,1.1,1.8
Annual,Less than once a month,Total,Percentage,Türkiye,5.5,5.3
Annual,Less than once a month,Total,Percentage,United Kingdom,:,6.1
Annual,No response,Females,Percentage,Austria,: u,: u
Annual,No response,Females,Percentage,Belgium,1.9 u,:
Annual,No response,Females,Percentage,Bulgaria,:,: u
Annual,No response,Females,Percentage,Czechia,1.2,:
Annual,No response,Females,Percentage,Germany,: u,: u
Annual,No response,Females,Percentage,Greece,2.1,1.2 u
Annual,No response,Females,Percentage,Spain,: u,: u
Annual,No response,Females,Percentage,Finland,:,: u
Annual,No response,Females,Percentage,Croatia,: u,:
Annual,No response,Females,Percentage,Italy,:,: u
Annual,No response,Females,Percentage,Latvia,: u,:
Annual,No response,Females,Percentage,Poland,:,: u
Annual,No response,Females,Percentage,Romania,0.3 u,0.9 u
Annual,No response,Females,Percentage,Serbia,:,0.9 u
Annual,No response,Females,Percentage,Slovakia,: u,:
Annual,No response,Females,Percentage,United Kingdom,:,: u
Annual,No response,Males,Percentage,Austria,: u,: u
Annual,No response,Males,Percentage,Belgium,2.0 u,:
Annual,No response,Males,Percentage,Bulgaria,:,: u
Annual,No response,Males,Percentage,Czechia,0.7 u,:
Annual,No response,Males,Percentage,Germany,: u,: u
Annual,No response,Males,Percentage,Estonia,:,: u
Annual,No response,Males,Percentage,Greece,1.1 u,1.2 u
Annual,No response,Males,Percentage,Spain,: u,: u
Annual,No response,Males,Percentage,Finland,:,: u
Annual,No response,Males,Percentage,Croatia,: u,:
Annual,No response,Males,Percentage,Italy,:,: u
Annual,No response,Males,Percentage,Luxembourg,:,: u
Annual,No response,Males,Percentage,Latvia,: u,:
Annual,No response,Males,Percentage,Poland,:,: u
Annual,No response,Males,Percentage,Romania,0.4 u,0.6 u
Annual,No response,Males,Percentage,Serbia,:,: u
Annual,No response,Males,Percentage,Slovakia,: u,:
Annual,No response,Total,Percentage,Austria,: u,: u
Annual,No response,Total,Percentage,Belgium,1.9,:
Annual,No response,Total,Percentage,Bulgaria,:,0.7 u
Annual,No response,Total,Percentage,Czechia,1.0,:
Annual,No response,Total,Percentage,Germany,: u,: u
Annual,No response,Total,Percentage,Estonia,:,: u
Annual,No response,Total,Percentage,Greece,1.6,1.2
Annual,No response,Total,Percentage,Spain,0.2 u,0.2 u
Annual,No response,Total,Percentage,Finland,:,: u
Annual,No response,Total,Percentage,Croatia,: u,:
Annual,No response,Total,Percentage,Italy,:,: u
Annual,No response,Total,Percentage,Luxembourg,:,: u
Annual,No response,Total,Percentage,Latvia,: u,:
Annual,No response,Total,Percentage,Poland,:,: u
Annual,No response,Total,Percentage,Romania,0.4,0.7
Annual,No response,Total,Percentage,Serbia,:,0.8
Annual,No response,Total,Percentage,Slovakia,: u,:
