Time frequency,International Standard Classification of Education (ISCED 2011),Unit of measure,Geopolitical entity (reporting)\Time,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Lower secondary education,Percentage,European Union - 27 countries (from 2020),:,26.4 d,26.4 d,26.2 d,26.3 d,28.7 d,27.3 d,27.1 d,26.7 d,27.0 d
Annual,Lower secondary education,Percentage,European Union - 28 countries (2013-2020),:,26.0 d,25.1 d,25.6 d,25.7 d,27.7 d,26.9 d,:,:,:
Annual,Lower secondary education,Percentage,Finland,: d,: d,: d,: d,:,: d,: d,: d,: d,: d
Annual,Lower secondary education,Percentage,France,13.4,14.6,12.8 d,11.9 d,11.9 d,11.8 d,11.4 d,11.4 d,11.2 d,11.6 d
Annual,Lower secondary education,Percentage,Croatia,30.5,31.8,33.1,33.9,34.2,33.7,34.7,34.9,33.0,33.1
Annual,Lower secondary education,Percentage,Hungary,13.6 d,12.1,12.5,12.5,13.1,12.9,14.7,16.3,17.3,18.3
Annual,Lower secondary education,Percentage,Ireland,:,:,: d,:,:,: d,:,:,: d,: d
Annual,Lower secondary education,Percentage,Iceland,22.7,21.1,20.6,19.3,19.8,22.0,22.0,23.5,22.7,22.8
Annual,Lower secondary education,Percentage,Italy,14.3,15.1,15.4,14.2,15.5,14.6,14.8,14.8,13.7,14.1
Annual,Lower secondary education,Percentage,Liechtenstein,45.1,43.2,41.7,42.7,46.4,47.1,44.6,46.9,45.1,43.4
Annual,Lower secondary education,Percentage,Lithuania,39.7,40.0,42.3,42.4,42.3 d,45.6,59.0,54.7,52.0,49.1
Annual,Lower secondary education,Percentage,Luxembourg,11.0,8.5,9.5,11.0,11.7,11.7,: d,: d,24.5,19.3
Annual,Lower secondary education,Percentage,Latvia,24.0,24.0,25.8,25.9,44.6,45.2,44.2,52.0,53.9,42.8
Annual,Lower secondary education,Percentage,Montenegro,:,:,:,0.0 d,:,0.0 d,0.0 d,:,0.0 d,:
Annual,Lower secondary education,Percentage,North Macedonia,20.0,21.0,19.9,21.4,21.7,21.4,23.2,23.2,23.4,23.1
Annual,Lower secondary education,Percentage,Malta,2.4,1.9,2.3,2.7,2.3,2.6,1.5,1.7,1.9,1.5
Annual,Lower secondary education,Percentage,Netherlands,:,52.7,53.4,54.5,55.8,57.6,59.3,60.8,61.9,61.6
