Time frequency,Unit of measure,Age class,Sex,Income and living conditions indicator,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),France,21.6,21.9,21.9,21.6,21.4,20.8,21.1,21.1,22.2 b,22.7,23.4 b,23.2
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Croatia,27.5,26.1,27.0,26.9,26.9,27.4,26.2,25.6,25.3,26.4,25.3,26.7 b
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Hungary,22.0,22.2,22.4,22.9,22.2,22.1,23.0,22.2,22.3,23.1,18.8,21.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Ireland,24.5,24.4,24.6,25.3,25.8,24.6,24.1,23.0 b,21.7 b,22.3,23.3,20.7
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Iceland,15.9,16.9,15.6,15.3,16.4,18.0,16.2,16.2,:,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Italy,27.2,27.5,26.6,27.4,28.3,27.7,28.3,27.4,27.4,26.8,27.5,26.8
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Lithuania,27.0,27.9,26.6,29.9,29.2,30.8,30.7,28.4,28.5,28.1,28.4,27.2
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Luxembourg,24.7,25.7,24.4,23.9,22.7 b,24.6,24.4,25.2,26.8 b,26.7 b,27.4 b,26.6
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Latvia,28.2,28.1,29.2,30.4,29.2,30.1,30.3,29.5,28.7,30.2,29.3,29.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Montenegro,:,33.4,32.5,31.9,31.2,30.4,30.6,30.5,29.0,27.6,27.1,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),North Macedonia,32.3,30.9,28.5,28.5,29.6,29.6,29.8,28.9,29.5,:,:,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Malta,24.5,25.2,25.7,26.0,25.6,24.4,25.2,25.6,23.5,24.5,24.8,26.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Netherlands,17.9,18.7,19.2,20.3,21.2 b,21.5,21.4,21.2,21.9,24.0,23.7,21.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Norway,17.3,18.0,17.7,18.3,19.6,19.9,20.4,19.2,20.1,20.1 b,18.6,18.6 b
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Poland,24.9,24.9,24.8,24.8,25.1,22.4,22.8,23.1,22.8,22.6,21.0,21.7
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Portugal,24.9,25.5,27.1,27.0,26.4,25.4,25.3,25.2,23.9,25.9,23.7,25.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Romania,29.6,30.6,31.0,31.6,30.7,29.8,30.1,30.2,30.2,31.5,28.0,28.4
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Serbia,:,30.4,32.0,32.6,32.2,31.2,30.1,30.0,27.6,28.0,26.2,:
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Sweden,24.1,23.5,23.6,24.7,24.4,24.6,24.5,24.9,24.6,23.9,24.4,24.1
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Slovenia,20.7,21.4,21.6,21.2,21.4,20.8,20.7,19.4,20.5,19.2,19.3,20.3
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Slovakia,20.4,19.2,19.7,18.8,19.5,18.3,16.7,19.2,18.0,19.9,18.2,20.1
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),Türkiye,30.9,30.2,30.2,30.1,30.2,29.4,29.4,29.3,29.9,29.9,29.2,29.1
Annual,Percentage,Total,Total,At risk of poverty rate (cut-off point: 70% of median equivalised income),United Kingdom,24.6,24.9,25.6,25.0,24.6,25.8 b,26.5,:,:,:,:,:
