Time frequency,Unit of measure,ind_outp,geo\TIME_PERIOD,1995.0
Annual,Euro,4050.0,IT,9549003.0
Annual,Euro,4050.0,LU,64540.7
Annual,Euro,4050.0,NL,4293333.0
Annual,Euro,4050.0,PT,1643636.0
Annual,Euro,4050.0,SE,774955.0
Annual,Euro,4050.0,UK,6890839.0
Annual,Euro,4150.0,AT,51494.0
Annual,Euro,4150.0,BE,256076.0
Annual,Euro,4150.0,DE,221521.8
Annual,Euro,4150.0,DK,15441.0
Annual,Euro,4150.0,EL,223118.0
Annual,Euro,4150.0,ES,169026.0
Annual,Euro,4150.0,FI,86.0
Annual,Euro,4150.0,FR,1266226.5
Annual,Euro,4150.0,IE,18296.0
Annual,Euro,4150.0,IT,540682.0
Annual,Euro,4150.0,LU,4343.7
Annual,Euro,4150.0,NL,675556.0
Annual,Euro,4150.0,PT,21684.0
Annual,Euro,4150.0,SE,11279.0
Annual,Euro,4150.0,UK,71360.0
Annual,Euro,4160.0,AT,469927.0
Annual,Euro,4160.0,BE,784930.0
Annual,Euro,4160.0,DE,3115263.4
Annual,Euro,4160.0,DK,384723.0
Annual,Euro,4160.0,EL,37668.0
Annual,Euro,4160.0,ES,2022982.0
Annual,Euro,4160.0,FI,232730.0
Annual,Euro,4160.0,FR,5066591.7
Annual,Euro,4160.0,IE,1660520.0
Annual,Euro,4160.0,IT,3266937.0
Annual,Euro,4160.0,LU,45024.9
Annual,Euro,4160.0,NL,661778.0
Annual,Euro,4160.0,PT,278095.0
Annual,Euro,4160.0,SE,299156.0
Annual,Euro,4160.0,UK,2815694.0
Annual,Euro,4410.0,AT,683945.0
Annual,Euro,4410.0,BE,1337282.0
Annual,Euro,4410.0,DE,4127870.3
Annual,Euro,4410.0,DK,1643224.0
Annual,Euro,4410.0,EL,318250.0
Annual,Euro,4410.0,ES,4265137.0
Annual,Euro,4410.0,FI,216201.0
Annual,Euro,4410.0,FR,2660016.9
Annual,Euro,4410.0,IE,334477.0
Annual,Euro,4410.0,IT,2527811.0
Annual,Euro,4410.0,LU,15036.8
Annual,Euro,4410.0,NL,2318222.0
Annual,Euro,4410.0,PT,538140.0
Annual,Euro,4410.0,SE,387568.0
Annual,Euro,4410.0,UK,1622783.0
Annual,Euro,4720.0,AT,13095.0
Annual,Euro,4720.0,BE,6601.0
Annual,Euro,4720.0,DE,90950.0
Annual,Euro,4720.0,DK,4815.0
Annual,Euro,4720.0,EL,426385.0
Annual,Euro,4720.0,ES,1417598.0
Annual,Euro,4720.0,FI,3066.0
Annual,Euro,4720.0,FR,498314.1
Annual,Euro,4720.0,IE,271298.0
Annual,Euro,4720.0,IT,253292.0
Annual,Euro,4720.0,NL,82222.0
Annual,Euro,4720.0,PT,199223.0
Annual,Euro,4720.0,SE,6534.0
Annual,Euro,4720.0,UK,947893.0
Annual,Euro,4800.0,AT,51248.0
Annual,Euro,4800.0,BE,243280.0
Annual,Euro,4800.0,DE,618190.0
Annual,Euro,4800.0,DK,119240.0
Annual,Euro,4800.0,EL,316080.0
Annual,Euro,4800.0,ES,1179674.0
Annual,Euro,4800.0,FI,41686.0
Annual,Euro,4800.0,FR,2724220.3
Annual,Euro,4800.0,IE,150371.0
Annual,Euro,4800.0,IT,2112879.0
Annual,Euro,4800.0,LU,135.3
Annual,Euro,4800.0,NL,522667.0
Annual,Euro,4800.0,PT,495694.0
Annual,Euro,4800.0,SE,70417.0
Annual,Euro,4800.0,UK,1433110.0
Annual,Euro,4810.0,AT,51248.0
Annual,Euro,4810.0,BE,237712.0
Annual,Euro,4810.0,DE,294011.7
Annual,Euro,4810.0,DK,93409.0
Annual,Euro,4810.0,EL,316080.0
Annual,Euro,4810.0,ES,885110.0
Annual,Euro,4810.0,FI,39318.0
Annual,Euro,4810.0,FR,1325091.3
Annual,Euro,4810.0,IE,104345.0
Annual,Euro,4810.0,IT,1964978.0
Annual,Euro,4810.0,LU,135.3
Annual,Euro,4810.0,NL,438667.0
Annual,Euro,4810.0,PT,406387.0
Annual,Euro,4810.0,SE,70417.0
Annual,Euro,4810.0,UK,1022829.0
Annual,Euro,4900.0,AT,26190.0
Annual,Euro,4900.0,BE,5568.0
Annual,Euro,4900.0,DE,324178.3
Annual,Euro,4900.0,DK,25832.0
Annual,Euro,4900.0,ES,294564.0
Annual,Euro,4900.0,FI,2367.0
Annual,Euro,4900.0,FR,1399129.0
Annual,Euro,4900.0,IE,46026.0
Annual,Euro,4900.0,IT,147902.0
Annual,Euro,4900.0,NL,84000.0
Annual,Euro,4900.0,PT,89306.0
Annual,Euro,4900.0,UK,410282.0
Annual,Euro,5010.0,BE,21066.0
Annual,Euro,5010.0,DK,6160.0
Annual,Euro,5010.0,EL,303507.0
Annual,Euro,5010.0,ES,425597.0
Annual,Euro,5010.0,FI,11823.0
Annual,Euro,5010.0,FR,397864.6
Annual,Euro,5010.0,IT,847402.0
Annual,Euro,5010.0,NL,32889.0
Annual,Euro,5010.0,PT,45252.0
Annual,Euro,5010.0,UK,833.0
Annual,Euro,5150.0,AT,642470.0
Annual,Euro,5150.0,BE,851044.0
Annual,Euro,5150.0,DE,7137775.8
Annual,Euro,5150.0,DK,1144990.0
Annual,Euro,5150.0,EL,1267310.0
Annual,Euro,5150.0,ES,2273269.0
Annual,Euro,5150.0,FI,661067.0
Annual,Euro,5150.0,FR,7163529.1
Annual,Euro,5150.0,IE,1679531.0
Annual,Euro,5150.0,IT,4564965.0
Annual,Euro,5150.0,LU,79506.3
Annual,Euro,5150.0,NL,3460444.0
Annual,Euro,5150.0,PT,778117.0
Annual,Euro,5150.0,SE,883575.0
Annual,Euro,5150.0,UK,4425728.0
Annual,Euro,5160.0,AT,642470.0
Annual,Euro,5160.0,BE,851044.0
Annual,Euro,5160.0,DE,7137775.8
Annual,Euro,5160.0,DK,1144990.0
Annual,Euro,5160.0,EL,283737.0
Annual,Euro,5160.0,ES,1864875.0
Annual,Euro,5160.0,FI,661067.0
Annual,Euro,5160.0,FR,6971199.8
Annual,Euro,5160.0,IE,1679531.0
Annual,Euro,5160.0,IT,4055115.0
Annual,Euro,5160.0,LU,79506.3
Annual,Euro,5160.0,NL,3460444.0
Annual,Euro,5160.0,PT,621814.0
Annual,Euro,5160.0,SE,883575.0
Annual,Euro,5160.0,UK,4425728.0
Annual,Euro,5190.0,EL,983573.0
Annual,Euro,5190.0,ES,408394.0
Annual,Euro,5190.0,FR,192329.3
Annual,Euro,5190.0,IT,509850.0
Annual,Euro,5190.0,PT,156303.0
Annual,Euro,5250.0,AT,94711.0
Annual,Euro,5250.0,BE,152903.0
Annual,Euro,5250.0,DE,803241.8
Annual,Euro,5250.0,DK,55390.0
Annual,Euro,5250.0,EL,162728.0
Annual,Euro,5250.0,ES,606261.0
Annual,Euro,5250.0,FI,28594.0
Annual,Euro,5250.0,FR,666479.3
Annual,Euro,5250.0,IE,24014.0
Annual,Euro,5250.0,IT,988104.0
Annual,Euro,5250.0,LU,1656.8
Annual,Euro,5250.0,NL,402222.0
Annual,Euro,5250.0,PT,88354.0
Annual,Euro,5250.0,SE,76770.0
Annual,Euro,5250.0,UK,725883.0
Annual,Euro,5600.0,BE,774.0
Annual,Euro,5600.0,DE,18460.2
Annual,Euro,5600.0,EL,120301.0
Annual,Euro,5600.0,ES,17250.0
Annual,Euro,5600.0,FI,262864.0
Annual,Euro,5600.0,IE,15437.0
Annual,Euro,5600.0,NL,194667.0
Annual,Euro,5600.0,PT,34482.0
Annual,Euro,5600.0,UK,113182.0
