Time frequency,Reason,Unit of measure,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Too expensive or too far or waiting list,Percentage,Macroregiunea Patru,2.5,3.5,4.3
Annual,Too expensive or too far or waiting list,Percentage,Sud-Vest Oltenia,3.6,4.8,6.4
Annual,Too expensive or too far or waiting list,Percentage,Vest,1.2,2.0,1.8
Annual,Too expensive or too far or waiting list,Percentage,Serbia,:,3.1,:
Annual,Too expensive or too far or waiting list,Percentage,Sweden,2.3,3.1,3.8
Annual,Too expensive or too far or waiting list,Percentage,Östra Sverige,2.1,2.8,3.7
Annual,Too expensive or too far or waiting list,Percentage,Stockholm,2.2,3.0,3.4
Annual,Too expensive or too far or waiting list,Percentage,Östra Mellansverige,1.9,2.6,4.1
Annual,Too expensive or too far or waiting list,Percentage,Södra Sverige,2.6,3.4,3.9
Annual,Too expensive or too far or waiting list,Percentage,Småland med öarna,0.9,3.4,1.8
Annual,Too expensive or too far or waiting list,Percentage,Sydsverige,3.2,4.4,5.8
Annual,Too expensive or too far or waiting list,Percentage,Västsverige,2.9,2.6,3.3
Annual,Too expensive or too far or waiting list,Percentage,Norra Sverige,2.2,3.2,3.7
Annual,Too expensive or too far or waiting list,Percentage,Norra Mellansverige,2.2,2.9,2.6
Annual,Too expensive or too far or waiting list,Percentage,Mellersta Norrland,1.6,2.5,4.6
Annual,Too expensive or too far or waiting list,Percentage,Övre Norrland,2.8,4.3,4.9
Annual,Too expensive or too far or waiting list,Percentage,Slovenia,7.9,5.6,5.2
Annual,Too expensive or too far or waiting list,Percentage,Vzhodna Slovenija,8.7,5.9,5.8
Annual,Too expensive or too far or waiting list,Percentage,Zahodna Slovenija,7.0,5.4,4.7
Annual,Too expensive or too far or waiting list,Percentage,Türkiye,2.7,2.2,1.4
