Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Decision,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Croatia,140.0,185.0,235.0,185.0,285.0,475.0,435.0,320.0,295.0,435.0,100.0,140.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Hungary,1100.0,4540.0,5445.0,3340.0,5105.0,4170.0,960.0,710.0,475.0,60.0,35.0,35.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Ireland,940.0,840.0,1060.0,1000.0,2130.0,885 b,1175.0,1870.0,1275.0,1545.0,4470.0,3845.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Iceland,65.0,130.0,55.0,185.0,540.0,390.0,380.0,710.0,585.0,555.0,1225.0,1540.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Italy,27280.0,23565.0,35180.0,71345.0,89875.0,78235.0,95210.0,93485.0,40795.0,43550.0,53060.0,46070.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Liechtenstein,70.0,45.0,10.0,30.0,75.0,40.0,40.0,35.0,25.0,15.0,15.0,10.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Lithuania,390.0,175.0,185.0,180.0,280.0,370.0,270.0,325.0,350.0,3275.0,740.0,545.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Luxembourg,1650.0,1245.0,885.0,775.0,1255.0,1715.0,1410.0,1180.0,1165.0,1225.0,1310.0,1340.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Latvia,145.0,95.0,95.0,170.0,260.0,360.0,125.0,150.0,120.0,200.0,400.0,270.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Montenegro,:,:,:,:,:,:,25.0,45.0,20.0,95.0,80.0,410.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Malta,1590.0,1905.0,1735.0,1490.0,1435.0,1110.0,1500.0,1040.0,875.0,810.0,1270.0,1110.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Netherlands,13665.0,12190.0,18790.0,20465.0,28875.0,15945.0,10285.0,12940.0,13580.0,16505.0,17400.0,17910.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Norway,10605.0,11785.0,7640.0,9475.0,19315.0,6700.0,2115.0,2455.0,1565.0,1315.0,1370.0,2895.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Poland,2480.0,2895.0,2700.0,3510.0,2480.0,2600.0,2500.0,1995.0,2000.0,3610.0,5190.0,6520.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Portugal,230.0,305.0,230.0,370.0,590.0,955.0,1045.0,745.0,420.0,505.0,865.0,435.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Romania,1625.0,1435.0,1585.0,1320.0,1295.0,2065.0,1295.0,1315.0,2505.0,4100.0,4070.0,6185.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Sweden,25320.0,35955.0,39905.0,48570.0,95775.0,60575.0,34830.0,26330.0,24380.0,17145.0,16810.0,19155.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Slovenia,210.0,195.0,95.0,130.0,265.0,240.0,235.0,215.0,300.0,175.0,345.0,295.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,Slovakia,440.0,190.0,280.0,130.0,250.0,90.0,80.0,90.0,80.0,130.0,150.0,165.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total,United Kingdom,21995.0,22445.0,25815.0,38070.0,30915.0,27840.0,29005.0,28525.0,:,:,:,:
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Austria,4455.0,4920.0,7175.0,15045.0,30370.0,25200.0,15020.0,7425.0,6835.0,12105.0,16560.0,23195.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Belgium,5555.0,6280.0,8045.0,10475.0,15045.0,12585.0,9675.0,6530.0,5710.0,9165.0,10920.0,12455.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Bulgaria,170.0,2460.0,7000.0,5595.0,1350.0,1695.0,740.0,400.0,820.0,2015.0,4370.0,5790.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Switzerland,4280.0,6390.0,15410.0,14000.0,13185.0,14610.0,15225.0,10790.0,10185.0,9015.0,9885.0,13285.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Cyprus,105.0,165.0,995.0,1585.0,1300.0,1245.0,1215.0,1300.0,1675.0,2290.0,570.0,3075.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Czechia,175.0,345.0,375.0,460.0,435.0,145.0,155.0,135.0,105.0,260.0,325.0,335.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Germany,17135.0,20125.0,40560.0,140910.0,433905.0,261620.0,75940.0,70320.0,62470.0,59850.0,128460.0,135275.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Denmark,1695.0,2810.0,5480.0,9995.0,7125.0,2365.0,1315.0,1575.0,420.0,775.0,515.0,990.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Estonia,10.0,10.0,20.0,80.0,130.0,95.0,20.0,45.0,25.0,50.0,2100.0,3880.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Greece,95.0,500.0,1970.0,4030.0,2715.0,10455.0,15210.0,17350.0,34325.0,16575.0,19245.0,24950.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Spain,525.0,535.0,1585.0,1020.0,6855.0,4090.0,2895.0,38420.0,51055.0,20405.0,35125.0,52630.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,European Union - 27 countries (from 2020),83165.0,99060.0,157265.0,293700.0,662955.0,428715.0,207495.0,206865.0,212840.0,202980.0,312055.0,358280.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Finland,1555.0,1650.0,1270.0,1680.0,7070.0,3430.0,2405.0,1665.0,1150.0,1065.0,1235.0,1275.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,France,8645.0,10705.0,14815.0,20630.0,28755.0,32565.0,32725.0,28140.0,19130.0,33875.0,35675.0,41660.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Croatia,20.0,25.0,25.0,40.0,100.0,150.0,135.0,55.0,40.0,70.0,20.0,45.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Hungary,350.0,360.0,510.0,425.0,430.0,1290.0,365.0,60.0,130.0,40.0,30.0,25.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Ireland,100.0,150.0,400.0,330.0,485.0,760.0,1005.0,975.0,945.0,1460.0,3590.0,3200.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Iceland,10.0,10.0,30.0,50.0,95.0,70.0,105.0,305.0,385.0,255.0,950.0,320.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Italy,22025.0,14390.0,20580.0,29615.0,35405.0,31795.0,30670.0,18375.0,11585.0,21805.0,25680.0,21890.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Liechtenstein,20.0,5.0,0.0,5.0,45.0,25.0,10.0,15.0,10.0,5.0,10.0,10.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Lithuania,55.0,55.0,70.0,85.0,195.0,285.0,135.0,90.0,80.0,420.0,305.0,405.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Luxembourg,40.0,130.0,120.0,185.0,765.0,1125.0,1010.0,670.0,750.0,860.0,1040.0,910.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Latvia,25.0,25.0,25.0,20.0,135.0,265.0,30.0,35.0,25.0,90.0,230.0,120.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Montenegro,:,:,:,:,:,:,10.0,20.0,15.0,45.0,50.0,315.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Malta,1435.0,1605.0,1260.0,1250.0,1190.0,760.0,645.0,405.0,270.0,180.0,190.0,325.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Netherlands,5505.0,5965.0,12550.0,16450.0,20810.0,7810.0,3620.0,4845.0,8620.0,12065.0,15180.0,14485.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Norway,5180.0,5770.0,4905.0,6250.0,12775.0,4770.0,1460.0,1790.0,1145.0,1105.0,1100.0,2185.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Poland,520.0,685.0,720.0,640.0,295.0,510.0,375.0,265.0,370.0,2155.0,3870.0,4635.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Portugal,100.0,135.0,110.0,195.0,320.0,500.0,625.0,170.0,95.0,305.0,675.0,310.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Romania,230.0,915.0,740.0,480.0,805.0,1245.0,595.0,585.0,635.0,1140.0,1025.0,965.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Sweden,12400.0,24020.0,30650.0,32360.0,66585.0,26510.0,10820.0,6905.0,5450.0,3900.0,4845.0,5250.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Slovenia,35.0,35.0,45.0,45.0,170.0,150.0,100.0,85.0,85.0,15.0,205.0,130.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,Slovakia,190.0,70.0,170.0,80.0,210.0,60.0,45.0,35.0,40.0,45.0,70.0,75.0
Annual,Person,Extra-EU27 (from 2020),Total,Total,Total positive decisions,United Kingdom,7845.0,8550.0,10120.0,13950.0,9935.0,8570.0,10110.0,14995.0,:,:,:,:
