Time frequency,Demographic indicator,Geopolitical entity (reporting)\Time,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Crude rate of total population change,Georgia,:,:,-185.2 b,-2.4,-0.6,3.1,-1.7,-1.8,3.1,-10.8,:,:
Annual,Crude rate of total population change,Croatia,-3.2,-7.1,-8.7,-12.0,-12.8,-15.9,-11.4,-8.9,-10.3,-7.9,-3.0,2.9
Annual,Crude rate of total population change,Hungary,-2.3 b,-4.6,-3.5,-3.7,-4.1,-2.7,-1.4,-1.1,-3.9,-4.3,-1.1,-1.6
Annual,Crude rate of total population change,Ireland,4.5,6.1,8.5,10.3,15.3,11.7,17.3,14.5,10.8,17.1,22.5,13.6
Annual,Crude rate of total population change,Iceland,7.1,11.8,10.5,10.4,17.4,29.4,24.2,19.8,12.7,20.0,30.1,28.4
Annual,Crude rate of total population change,Italy,2.9,1.1,-0.8,-2.2,-1.6,-2.1,7.0,-2.9 b,-6.8,-3.5,-0.6,-0.1 p
Annual,Crude rate of total population change,Liechtenstein,9.9,7.9,6.4,6.8,5.0,8.0,6.9,9.6,7.9,6.5,9.3,8.7 p
Annual,Crude rate of total population change,Lithuania,-9.7,-9.0,-7.2,-10.7,-12.7,-11.6,-5.0,-0.8,0.3,-1.7,18.1,10.0
Annual,Crude rate of total population change,Luxembourg,23.0 b,23.3,23.9,23.3,19.8,19.0 b,19.6,19.7,13.7,16.7,23.6,16.9
Annual,Crude rate of total population change,Latvia,-10.3,-11.1,-7.7,-8.7,-9.6,-8.1,-7.5,-6.4,-7.6,-9.3,3.9,-5.9
Annual,Crude rate of total population change,Monaco,:,:,:,13.2 e,-17.2 e,:,0.0 e,:,:,:,:,:
Annual,Crude rate of total population change,Moldova,0.0,-0.5,-0.7,-221.5 e,-7.3 e,-16.0 e,-18.6 e,-16.6 e,-15.4 e,-30.2 e,-20.6 ep,-36.3 ep
Annual,Crude rate of total population change,Montenegro,0.9,1.0,0.9,0.2,0.3,0.0,-0.3,-0.5,-1.8,-4.9,-1.6,:
Annual,Crude rate of total population change,North Macedonia,1.2,1.7,1.6,1.0,1.2,0.8,0.9,-0.4,-3.6,-118.6,-3.9 b,-2.0
Annual,Crude rate of total population change,Malta,11.8,15.8,24.6,24.4,21.4,33.1,37.5,43.4,2.5,7.8,41.2,38.7
Annual,Crude rate of total population change,Netherlands,2.9,3.0,4.2,4.6,6.0,5.8,5.9,7.2,3.9,6.6,12.5,7.4
Annual,Crude rate of total population change,Norway,13.0,11.2,11.0,9.3,8.5,7.1,6.1,7.4,4.4,6.3,11.7,11.1
Annual,Crude rate of total population change,Poland,0.0,-1.2,-0.3,-1.0,0.2,0.1,-0.1 e,-0.4 e,-23.6 be,-5.0 b,-3.7,-3.6
Annual,Crude rate of total population change,Portugal,-5.2,-5.7,-4.7,-2.6,-2.3,-0.8,-0.2,4.0,1.8,2.6,9.1,11.6
Annual,Crude rate of total population change,Romania,-3.8,-3.6,-3.9,-5.6,-5.9,-5.6,-6.1,-4.4 e,-6.6 e,-8.3 e,0.6 e,0.5 e
Annual,Crude rate of total population change,Serbia,-4.9,-4.8,-4.5,-5.4,-5.1,-5.5,-5.4,-5.3,-8.0,-10.9,-23.2,-5.4 b
Annual,Crude rate of total population change,Sweden,7.7,9.3,10.6,10.6,14.5,12.4,10.8,9.5,5.0,7.0,6.6,2.9
Annual,Crude rate of total population change,Slovenia,1.6,1.1,0.9,0.6,0.8,0.5,6.8,7.2,6.2,-0.9,4.6,3.3
Annual,Crude rate of total population change,Slovakia,1.2,0.9,1.0,0.9,1.7,1.4,1.3,1.4,0.3,-4.6,-1.1,-0.8
Annual,Crude rate of total population change,San Marino,5.6,-31.5,8.2,6.6,5.8,37.2,4.0,4.2,2.0,-32.3,3.4,:
Annual,Crude rate of total population change,Türkiye,12.0,13.7,13.3,13.4,13.5,12.4,14.7 be,13.9 be,5.5,12.7,7.1,1.1
Annual,Crude rate of total population change,Ukraine,-1.8,-2.8,:,-4.0 b,-4.1,-4.7,-5.5,-6.0,-7.6,:,:,:
Annual,Crude rate of total population change,United Kingdom,6.4,7.0,7.8,8.1,7.1,6.5,5.6,5.7,:,:,:,:
Annual,Crude rate of total population change,Kosovo*,19.8 e,2.8 e,-8.7 e,-18.6 e,6.7 e,8.4 e,-1.6,-7.6,9.0,-13.6,:,:
Annual,Crude rate of natural change of population,Andorra,5.6,:,:,:,4.5 e,:,2.8 e,3.1 e,:,:,1.6,1.2
Annual,Crude rate of natural change of population,Albania,5.0,5.3,5.2,3.6,3.6,3.0,2.5,2.3,0.2,-1.2,0.2,:
Annual,Crude rate of natural change of population,Armenia,:,:,:,4.6,4.1,3.5,3.6,3.3,0.1,:,:,4.1
Annual,Crude rate of natural change of population,Austria,-0.1,0.0,0.4,0.2,0.8,0.5,0.2,0.2,-0.9,-0.7,-1.2,-1.3
