Time frequency,Unit of measure,ind_inpu,geo\TIME_PERIOD,1995.0
Annual,Euro,9510.0,DE,1188203.5
Annual,Euro,9510.0,DK,179795.0
Annual,Euro,9510.0,EL,72503.0
Annual,Euro,9510.0,ES,439671.0
Annual,Euro,9510.0,FI,151726.0
Annual,Euro,9510.0,FR,1329867.9
Annual,Euro,9510.0,IE,121308.0
Annual,Euro,9510.0,IT,2062583.0
Annual,Euro,9510.0,LU,8844.1
Annual,Euro,9510.0,NL,154222.0
Annual,Euro,9510.0,PT,150617.0
Annual,Euro,9510.0,SE,87750.0
Annual,Euro,9510.0,UK,462911.0
Annual,Euro,9550.0,AT,24214.5
Annual,Euro,9550.0,BE,15882.0
Annual,Euro,9550.0,DE,446645.7
Annual,Euro,9550.0,DK,42444.0
Annual,Euro,9550.0,EL,218347.0
Annual,Euro,9550.0,ES,38520.0
Annual,Euro,9550.0,FR,181230.7
Annual,Euro,9550.0,IE,160744.0
Annual,Euro,9550.0,IT,308327.0
Annual,Euro,9550.0,LU,2948.0
Annual,Euro,9550.0,NL,27111.0
Annual,Euro,9550.0,PT,30709.0
Annual,Euro,9550.0,UK,135397.0
Annual,Euro,9600.0,AT,473579.6
Annual,Euro,9600.0,BE,225222.0
Annual,Euro,9600.0,DE,1268797.8
Annual,Euro,9600.0,DK,229979.0
Annual,Euro,9600.0,EL,175480.0
Annual,Euro,9600.0,ES,971822.0
Annual,Euro,9600.0,FI,167413.0
Annual,Euro,9600.0,FR,1662264.7
Annual,Euro,9600.0,IE,243215.0
Annual,Euro,9600.0,IT,3475761.0
Annual,Euro,9600.0,LU,17778.3
Annual,Euro,9600.0,NL,715111.0
Annual,Euro,9600.0,PT,103643.0
Annual,Euro,9600.0,SE,99637.0
Annual,Euro,9600.0,UK,1020965.0
Annual,Euro,9610.0,BE,180178.0
Annual,Euro,9610.0,DE,1268797.8
Annual,Euro,9610.0,DK,219405.0
Annual,Euro,9610.0,EL,118097.0
Annual,Euro,9610.0,ES,343428.0
Annual,Euro,9610.0,FI,156831.0
Annual,Euro,9610.0,FR,1246839.0
Annual,Euro,9610.0,IE,226271.0
Annual,Euro,9610.0,IT,2221197.0
Annual,Euro,9610.0,LU,13724.2
Annual,Euro,9610.0,NL,715111.0
Annual,Euro,9610.0,SE,88566.0
Annual,Euro,9610.0,UK,699306.0
Annual,Euro,9700.0,BE,45044.0
Annual,Euro,9700.0,DK,10575.0
Annual,Euro,9700.0,EL,57387.0
Annual,Euro,9700.0,ES,628394.0
Annual,Euro,9700.0,FI,10582.0
Annual,Euro,9700.0,FR,415425.7
Annual,Euro,9700.0,IE,16944.0
Annual,Euro,9700.0,IT,1254564.0
Annual,Euro,9700.0,LU,4054.1
Annual,Euro,9700.0,SE,11071.0
Annual,Euro,9700.0,UK,321659.0
