Time frequency,Unit of measure,Age class,Sex,Geopolitical entity (reporting)\Time,2005.0,2010.0,2015.0
Annual,Percentage,From 25 to 64 years,Females,Poland,26.0,34.2,42.9
Annual,Percentage,From 25 to 64 years,Females,Portugal,13.3,28.4,27.9
Annual,Percentage,From 25 to 64 years,Females,Romania,12.8,18.8,19.3
Annual,Percentage,From 25 to 64 years,Females,Sweden,60.7,51.1,45.9
Annual,Percentage,From 25 to 64 years,Females,Slovenia,42.1,49.7,46.2
Annual,Percentage,From 25 to 64 years,Females,Slovakia,34.8,36.3,39.9
Annual,Percentage,From 25 to 64 years,Females,United Kingdom,43.6,49.1,57.6
Annual,Percentage,From 25 to 64 years,Males,Austria,37.9,43.7,47.2
Annual,Percentage,From 25 to 64 years,Males,Belgium,43.9,35.7,46.7
Annual,Percentage,From 25 to 64 years,Males,Bulgaria,7.5,8.3,17.2
Annual,Percentage,From 25 to 64 years,Males,Cyprus,20.5,32.4,22.4
Annual,Percentage,From 25 to 64 years,Males,Czechia,28.8,46.8,53.8
Annual,Percentage,From 25 to 64 years,Males,Germany,26.8,40.1,44.5
Annual,Percentage,From 25 to 64 years,Males,Denmark,38.2,48.7,42.3
Annual,Percentage,From 25 to 64 years,Males,Estonia,25.0,32.2,46.3
Annual,Percentage,From 25 to 64 years,Males,Greece,16.8,14.8,8.4
Annual,Percentage,From 25 to 64 years,Males,Spain,18.7,36.7,35.2
Annual,Percentage,From 25 to 64 years,Males,European Union - 27 countries (from 2020),25.6,34.3,38.7
Annual,Percentage,From 25 to 64 years,Males,European Union - 28 countries (2013-2020),27.5,36.0,40.0
Annual,Percentage,From 25 to 64 years,Males,Finland,52.2,52.1,57.1
Annual,Percentage,From 25 to 64 years,Males,France,23.7,27.9,43.2
Annual,Percentage,From 25 to 64 years,Males,Croatia,22.4,23.0,26.9
Annual,Percentage,From 25 to 64 years,Males,Hungary,14.8,26.6,20.5
Annual,Percentage,From 25 to 64 years,Males,Ireland,39.4,49.7,56.3
Annual,Percentage,From 25 to 64 years,Males,Italy,20.5,27.7,32.3
Annual,Percentage,From 25 to 64 years,Males,Lithuania,17.6,20.7,26.6
Annual,Percentage,From 25 to 64 years,Males,Luxembourg,40.9,33.3,49.5
Annual,Percentage,From 25 to 64 years,Males,Latvia,16.7,22.2,31.0
Annual,Percentage,From 25 to 64 years,Males,Malta,37.8,31.1,36.9
Annual,Percentage,From 25 to 64 years,Males,Netherlands,35.6,51.7,51.8
Annual,Percentage,From 25 to 64 years,Males,Poland,29.6,35.1,35.4
Annual,Percentage,From 25 to 64 years,Males,Portugal,19.7,35.1,30.3
Annual,Percentage,From 25 to 64 years,Males,Romania,13.9,21.2,18.7
Annual,Percentage,From 25 to 64 years,Males,Sweden,54.4,52.2,51.4
Annual,Percentage,From 25 to 64 years,Males,Slovenia,41.9,49.9,44.6
Annual,Percentage,From 25 to 64 years,Males,Slovakia,34.5,37.8,55.2
Annual,Percentage,From 25 to 64 years,Males,United Kingdom,40.5,48.5,48.3
Annual,Percentage,From 25 to 64 years,Total,Austria,39.2,42.9,45.0
Annual,Percentage,From 25 to 64 years,Total,Belgium,44.1,38.3,49.7
Annual,Percentage,From 25 to 64 years,Total,Bulgaria,8.0,9.3,16.9
Annual,Percentage,From 25 to 64 years,Total,Cyprus,23.7,30.0,25.7
Annual,Percentage,From 25 to 64 years,Total,Czechia,27.6,47.0,54.5
Annual,Percentage,From 25 to 64 years,Total,Germany,26.8,37.6,42.9
Annual,Percentage,From 25 to 64 years,Total,Denmark,42.1,49.0,41.8
Annual,Percentage,From 25 to 64 years,Total,Estonia,32.2,38.0,52.4
