Time frequency,Frequency,Category of persons,Degree of urbanisation,Household composition,Income quantile,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2022.0
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Poland,30.1 u,36.3
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Portugal,10.8,13.6
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Romania,26.3,33.0
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Serbia,18.3,18.5
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Sweden,17.3,25.2
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Slovenia,21.6,24.1
Annual,Several times a month,Friends,Total,Total,Total,Percentage,Slovakia,22.9,26.0
Annual,Several times a month,Friends,Total,Total,Total,Percentage,United Kingdom,18.6 u,:
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Austria,35.0,36.5
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Belgium,46.8,48.5
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Bulgaria,20.9,24.5
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Switzerland,36.7,35.1
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Cyprus,33.7,32.7
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Czechia,35.1,38.2
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Germany,30.2,: u
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Denmark,29.1,27.1
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Estonia,24.5,21.2
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Greece,34.1,33.9
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Spain,40.5,37.6
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),34.2,:
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Finland,44.3,37.2
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,France,34.6,32.4
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Croatia,29.0,32.1
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Hungary,32.8,38.0
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Ireland,37.6 u,34.2
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Iceland,40.3,:
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Italy,41.3,47.9
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Lithuania,22.7,24.6
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Luxembourg,36.4,37.1
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Latvia,24.3,22.2
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Malta,40.3,43.6
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Netherlands,45.9,41.6
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Norway,41.5,38.2
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Poland,20.7 u,29.5
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Portugal,38.6,42.2
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Romania,27.0,29.4
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Serbia,23.9,31.3
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Sweden,38.2,28.5
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Slovenia,35.0,34.1
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,Slovakia,30.3,35.8
Annual,Every week,Family and relatives,Total,Total,Total,Percentage,United Kingdom,40.9 u,:
Annual,Every week,Friends,Total,Total,Total,Percentage,Austria,44.8,43.6
Annual,Every week,Friends,Total,Total,Total,Percentage,Belgium,46.6,47.9
Annual,Every week,Friends,Total,Total,Total,Percentage,Bulgaria,27.7,36.2
Annual,Every week,Friends,Total,Total,Total,Percentage,Switzerland,51.2,46.5
Annual,Every week,Friends,Total,Total,Total,Percentage,Cyprus,42.0,51.4
Annual,Every week,Friends,Total,Total,Total,Percentage,Czechia,32.1,34.0
Annual,Every week,Friends,Total,Total,Total,Percentage,Germany,35.9,: u
Annual,Every week,Friends,Total,Total,Total,Percentage,Denmark,34.3,32.0
Annual,Every week,Friends,Total,Total,Total,Percentage,Estonia,32.1,0.0 n
Annual,Every week,Friends,Total,Total,Total,Percentage,Greece,39.9,39.1
Annual,Every week,Friends,Total,Total,Total,Percentage,Spain,43.0,36.9
Annual,Every week,Friends,Total,Total,Total,Percentage,European Union - 27 countries (from 2020),36.8,:
Annual,Every week,Friends,Total,Total,Total,Percentage,Finland,46.5,37.0
Annual,Every week,Friends,Total,Total,Total,Percentage,France,36.3,32.8
Annual,Every week,Friends,Total,Total,Total,Percentage,Croatia,33.1,40.6
Annual,Every week,Friends,Total,Total,Total,Percentage,Hungary,31.3,30.8
Annual,Every week,Friends,Total,Total,Total,Percentage,Ireland,41.4 u,39.0
Annual,Every week,Friends,Total,Total,Total,Percentage,Iceland,31.6,:
Annual,Every week,Friends,Total,Total,Total,Percentage,Italy,42.1,46.9
Annual,Every week,Friends,Total,Total,Total,Percentage,Lithuania,24.5,23.1
Annual,Every week,Friends,Total,Total,Total,Percentage,Luxembourg,40.3,45.0
Annual,Every week,Friends,Total,Total,Total,Percentage,Latvia,26.3,25.7
Annual,Every week,Friends,Total,Total,Total,Percentage,Malta,28.1,34.5
Annual,Every week,Friends,Total,Total,Total,Percentage,Netherlands,46.9,38.7
Annual,Every week,Friends,Total,Total,Total,Percentage,Norway,51.9,49.8
Annual,Every week,Friends,Total,Total,Total,Percentage,Poland,19.5 u,24.0
Annual,Every week,Friends,Total,Total,Total,Percentage,Portugal,33.3,35.8
Annual,Every week,Friends,Total,Total,Total,Percentage,Romania,30.2,32.7
Annual,Every week,Friends,Total,Total,Total,Percentage,Serbia,32.4,40.0
Annual,Every week,Friends,Total,Total,Total,Percentage,Sweden,51.0,37.8
Annual,Every week,Friends,Total,Total,Total,Percentage,Slovenia,39.8,38.1
Annual,Every week,Friends,Total,Total,Total,Percentage,Slovakia,32.7,34.3
Annual,Every week,Friends,Total,Total,Total,Percentage,United Kingdom,44.2 u,:
