Time frequency,Unit of measure,Duration,International Standard Classification of Education (ISCED 2011),Sex,Age class,Geopolitical entity (reporting)\Time,2014.0,2019.0
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Serbia,:,33.6
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Sweden,63.9,64.4
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Slovenia,56.0,56.4
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Slovakia,51.4,47.8
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Türkiye,7.3,9.2
Annual,Percentage,150 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,United Kingdom,42.0,:
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Austria,35.0,31.3
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Belgium,:,24.6
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Bulgaria,15.8,16.8
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Cyprus,15.6,11.1
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Czechia,27.2,21.6
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Germany,35.5,43.3
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Denmark,42.6,42.2
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Estonia,19.0,20.8
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Greece,21.4,21.5
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Spain,30.6,29.8
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,European Union - 27 countries (from 2020),24.9,29.1
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Finland,40.0,:
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,France,17.1,21.8
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Croatia,21.9,21.5
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Hungary,27.1,26.9
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Ireland,:,34.3
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Iceland,:,44.3
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Italy,18.5,20.9
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Lithuania,19.7,21.1
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Luxembourg,35.1,29.5
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Latvia,23.0,20.4
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Malta,23.7,10.8
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Netherlands,:,56.4
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Norway,47.4,50.7
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Poland,15.1,17.7
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Portugal,17.6,16.4
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Romania,9.8,10.2
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Serbia,:,19.5
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Sweden,41.2,40.9
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Slovenia,35.6,36.0 u
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Slovakia,27.8,26.8
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,Türkiye,3.9,5.1
Annual,Percentage,300 minutes or over,All ISCED 2011 levels,Total,From 15 to 29 years,United Kingdom,24.0,:
