Time frequency,Unit of measure,Rail network segment (2010),Train category\Time,2010.0
Annual,Number,Videle - Bucuresti,Passenger trains,9563.0
Annual,Number,Faurei - Buzau,Goods trains,7085.0
Annual,Number,Faurei - Buzau,Passenger trains,5205.0
Annual,Number,Ploiesti Sud - Buzau,Goods trains,6836.0
Annual,Number,Ploiesti Sud - Buzau,Passenger trains,11295.0
Annual,Number,Border Ro/Bg - Calafat,Goods trains,0.0
Annual,Number,Border Ro/Bg - Calafat,Passenger trains,0.0
Annual,Number,Ro?Iori - Caracal,Goods trains,5555.0
Annual,Number,Ro?Iori - Caracal,Passenger trains,7992.0
Annual,Number,Chitila - Chiajna,Goods trains,5443.0
Annual,Number,Chitila - Chiajna,Passenger trains,15.0
Annual,Number,Mogo?Oaia - Chitila,Goods trains,594.0
Annual,Number,Mogo?Oaia - Chitila,Passenger trains,0.0
Annual,Number,Apahida - Ciucea,Goods trains,868.0
Annual,Number,Apahida - Ciucea,Passenger trains,11002.0
Annual,Number,Sighisoara - Coslariu,Goods trains,1364.0
Annual,Number,Sighisoara - Coslariu,Passenger trains,6714.0
Annual,Number,Calafat - Craiova,Goods trains,248.0
Annual,Number,Calafat - Craiova,Passenger trains,1418.0
Annual,Number,Caracal - Craiova,Goods trains,5419.0
Annual,Number,Caracal - Craiova,Passenger trains,7173.0
Annual,Number,Border Ro/Md - Criste?Ti Jijia,Goods trains,627.0
Annual,Number,Border Ro/Md - Criste?Ti Jijia,Passenger trains,1448.0
Annual,Number,Arad - Curtici,Goods trains,4299.0
Annual,Number,Arad - Curtici,Passenger trains,6716.0
Annual,Number,Siculeni - Deda,Goods trains,958.0
Annual,Number,Siculeni - Deda,Passenger trains,4600.0
Annual,Number,Apahida - Dej,Goods trains,1601.0
Annual,Number,Apahida - Dej,Passenger trains,7958.0
Annual,Number,Beclean Pe Somes - Dej,Goods trains,716.0
Annual,Number,Beclean Pe Somes - Dej,Passenger trains,4857.0
Annual,Number,Suceava - Dorne?Ti,Goods trains,1101.0
Annual,Number,Suceava - Dorne?Ti,Passenger trains,5239.0
Annual,Number,Oradea - Episcopia Bihor,Goods trains,2348.0
Annual,Number,Oradea - Episcopia Bihor,Passenger trains,5731.0
Annual,Number,Constanta - Fetesti,Goods trains,10843.0
Annual,Number,Constanta - Fetesti,Passenger trains,6301.0
Annual,Number,Craiova - Filiasi,Goods trains,9993.0
Annual,Number,Craiova - Filiasi,Passenger trains,9911.0
Annual,Number,Fetesti - Faurei,Goods trains,7612.0
Annual,Number,Fetesti - Faurei,Passenger trains,3291.0
Annual,Number,Gala?I - Faurei,Goods trains,2085.0
Annual,Number,Gala?I - Faurei,Passenger trains,5520.0
Annual,Number,Gala?I (Border Ro/Ua) - Gala?I,Goods trains,435.0
Annual,Number,Gala?I (Border Ro/Ua) - Gala?I,Passenger trains,0.0
Annual,Number,Border Ro/Bg - Giurgiu,Goods trains,2308.0
Annual,Number,Border Ro/Bg - Giurgiu,Passenger trains,961.0
Annual,Number,Satu Mare - Halmeu,Goods trains,1188.0
Annual,Number,Satu Mare - Halmeu,Passenger trains,2775.0
Annual,Number,Criste?Ti Jijia - Ia?I,Goods trains,1351.0
Annual,Number,Criste?Ti Jijia - Ia?I,Passenger trains,3040.0
Annual,Number,Suceava - Ilva Mica,Goods trains,657.0
Annual,Number,Suceava - Ilva Mica,Passenger trains,3584.0
Annual,Number,Chiajna - Jilava,Goods trains,2011.0
Annual,Number,Chiajna - Jilava,Passenger trains,0.0
Annual,Number,Târgu Jiu - Livezeni,Goods trains,4974.0
Annual,Number,Târgu Jiu - Livezeni,Passenger trains,3090.0
Annual,Number,Otopeni - Mogo?Oaia,Goods trains,0.0
Annual,Number,Otopeni - Mogo?Oaia,Passenger trains,0.0
Annual,Number,Buzau - Mara?E?Ti,Goods trains,3865.0
Annual,Number,Buzau - Mara?E?Ti,Passenger trains,9235.0
Annual,Number,Arad - Oradea,Goods trains,1580.0
Annual,Number,Arad - Oradea,Passenger trains,7105.0
Annual,Number,Ciucea - Oradea,Goods trains,863.0
Annual,Number,Ciucea - Oradea,Passenger trains,11002.0
Annual,Number,Filiasi - Or?Ova,Goods trains,4626.0
Annual,Number,Filiasi - Or?Ova,Passenger trains,5602.0
