Time frequency,Unit of measure,Country of citizenship,Sex,Age class,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0,2024.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Germany,160.0,515.0,1285.0,1305.0,1965.0,590.0,2280.0,1980.0,1825.0,2240.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Denmark,190.0,145.0,5.0,0.0,0.0,15.0,20.0,65.0,70.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Estonia,0.0,5.0,10.0,15.0,5.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Spain,0.0,185.0,695.0,400.0,320.0,130.0,210.0,480.0,400.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,European Union - 27 countries (from 2020),2570.0,3585.0,7755.0,7875.0,8200.0,3305.0,8375.0,7100.0,5105.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Finland,415.0,415.0,490.0,225.0,325.0,235.0,325 b,390.0,440.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,France,295.0,355.0,1220.0,2375.0,2245.0,510.0,735.0,1275.0,1105.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Croatia,0.0,0.0,25.0,40.0,35.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Ireland,85.0,160.0,140.0,140.0,350.0,90.0,145.0,130.0,55.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Iceland,5.0,25.0,20.0,15.0,25.0,0.0,15.0,0.0,5.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Italy,35.0,420.0,600.0,450.0,120.0,125.0,1620 d,290 d,485 d,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Liechtenstein,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Lithuania,0.0,15.0,25.0,5.0,0.0,0.0,10.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Luxembourg,25.0,20.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Latvia,0.0,5.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Malta,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Netherlands,185.0,285.0,990.0,505.0,665.0,170.0,140.0,505.0,325.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Norway,1000.0,1620.0,1385.0,1135.0,1355.0,685.0,1695.0,1475.0,1040.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Poland,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Portugal,20.0,5.0,70.0,10.0,125.0,90.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Romania,0.0,0.0,15.0,0.0,0.0,10.0,35.0,35.0,70.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Sweden,730.0,810.0,1395.0,2030.0,1945.0,1255.0,2520.0,1915.0,235.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Slovenia,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,10.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,Slovakia,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 14 years,United Kingdom,795.0,2235.0,2665.0,2435.0,2235.0,:,:,:,:,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Austria,365.0,85.0,185.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Belgium,120.0,200.0,635.0,450.0,110.0,85.0,440.0,35.0,110.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Bulgaria,0.0,0.0,0.0,15.0,30.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Switzerland,285.0,290.0,340.0,605.0,570.0,340.0,535.0,330.0,185.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Cyprus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Czechia,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Germany,220.0,595.0,1490.0,1570.0,2505.0,745.0,2885.0,2445.0,2340.0,2765.0
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Denmark,235.0,165.0,5.0,0.0,0.0,20.0,30.0,95.0,90.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Estonia,0.0,5.0,10.0,20.0,5.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Greece,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Spain,0.0,210.0,840.0,465.0,380.0,160.0,250.0,575.0,530.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,European Union - 27 countries (from 2020),3120.0,4220.0,9280.0,9770.0,11040.0,4355.0,10655.0,8930.0,6605.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Finland,510.0,500.0,595.0,300.0,430.0,310.0,425 b,515.0,620.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,France,350.0,375.0,1420.0,2890.0,2840.0,630.0,930.0,1625.0,1475.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Croatia,0.0,0.0,25.0,60.0,45.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Hungary,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,:
Annual,Person,Extra-EU27 (from 2020),Total,Less than 18 years,Ireland,95.0,190.0,150.0,180.0,420.0,110.0,170.0,160.0,60.0,:
