Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Ireland,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,-4.0,-1.4,-6.5,0.2,-2.7,-2.8,-0.7,0.0,-1.7,0.9,0.1,1.0
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Italy,1.7,1.3,1.3,2.1,3.2,3.1,2.6,2.7,2.7,3.7,4.2,4.1,3.9,1.9,1.6,2.0,1.1,-0.4,-0.7,-0.3,0.0,0.5,1.0,1.1,1.0,0.5,1.5,1.3,-0.2
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Lithuania,0.3,0.0,0.3,0.4,0.3,-0.1,0.3,1.3,1.6,3.6,5.9,8.4,9.6,4.8,-1.8,-1.8,-0.9,-0.5,0.0,0.5,1.4,1.6,1.6,1.7,1.9,1.7,2.2,2.2,1.3
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Luxembourg,2.3,1.0,3.1,0.7,5.6,4.7,1.8,2.2,5.3,3.8,4.9,5.2,9.5,3.8,2.3,4.2,3.8,4.5,2.3,4.8,3.0,3.7,4.2,5.3,3.9,3.9,5.3,4.7,0.7
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Latvia,-0.1,0.0,0.6,0.9,0.8,2.6,1.8,3.7,4.7,7.7,13.2,18.4,13.2,2.8,-4.1,-3.0,-3.1,-2.1,-1.3,-1.4,-0.6,-0.9,0.5,0.3,0.5,0.0,1.6,1.1,0.9
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Malta,1.5 p,3.1 p,1.6 p,2.5 p,3.2 p,3.2 p,4.0 p,3.4 p,9.7 p,4.7,5.1,7.1,5.5,5.4,5.7,3.2,2.8,3.2,2.4,1.8,1.4,2.4,4.0,4.2,5.7,3.0,3.5,3.3,3.1
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Netherlands,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,1.1,-1.3,-0.4,2.1,2.4,2.7,2.5,2.3,3.3,4.0,3.7,1.1 p
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Poland,0.8,1.9,1.4,2.4,0.5,1.5,1.0,1.1,1.7,2.0,2.7,4.7,6.7,6.7,3.7,2.7,2.5,1.5,1.7,1.5,1.3,1.5,1.7,2.0,1.9,0.5,1.4,-0.9,0.0
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Portugal,5.0,6.0,7.0,9.6,10.7,9.5,8.1,6.6,5.3,6.8,6.4,7.5,7.4,3.6,1.4,1.3,-2.3,-4.7,-3.3,-3.0,-1.7,-1.2,0.5,0.4,0.9,1.2,2.4,2.0,0.1 e
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Romania,0.2 e,0.4 e,0.5 e,0.6,-0.1,0.1,0.3,1.5,3.4,2.2,4.2,6.0,9.4,4.5,-0.9,0.2,0.3,-0.1,-0.1,-0.3,0.8,0.7,1.2,1.2,1.1,0.5,1.3,0.6,0.3 p
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Sweden,-0.2,1.1,2.5,2.5,3.6,4.0,3.7,3.8,4.4,5.2,6.0,5.8,5.5,5.2,5.9,5.3,3.8,3.2,3.6,4.5,5.5,5.5,5.4,4.5,4.4,5.0,6.0,3.3,0.5
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Slovenia,:,:,:,:,:,:,:,1.5,1.5,1.6,3.3,4.2,5.2,2.7,1.8,1.7,0.2,-0.8,-0.8,-0.2,0.2,1.1,1.6,1.7,1.5,0.3,1.4,1.8,0.9
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Households,Slovakia,0.4,0.5,0.7,1.1,0.0,1.1,2.1,2.5,2.8,3.1,6.2,5.9,6.1,5.6,4.7,2.3,2.6,2.5,1.9,3.3,3.3,4.4,4.1,3.8,3.3,2.6,3.6,4.1,1.9
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-profit institutions serving households,Austria,0.0 e,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.1,-0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2,0.0,0.2,-0.1,0.0,0.0,0.0,0.0,0.0,0.0
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-profit institutions serving households,Belgium,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1,0.1,0.1,-0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 p
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-profit institutions serving households,Bulgaria,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1,0.0,0.0,0.4,0.3,-0.2,-0.3,-0.1,0.0,0.0,0.0
Annual,Percentage of gross domestic product (GDP),Non-consolidated,Loans,Liabilities,Non-profit institutions serving households,Cyprus,0.6,0.1,0.1,0.2,0.9,0.2,0.1,0.1,0.1,0.1,0.3,0.1,0.1,0.1,0.0,0.0,0.2,0.3,0.0,-0.1,-0.3,-0.5,-0.1,-0.2,-0.1,0.1,0.0,-0.1,0.0 p
