Time frequency,Unit of measure,Crops,Geopolitical entity (reporting)\Time,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0
Annual,Thousand tonnes,Plums,Palestine*,0.4 e,8.4 e,8.8 e,8.7 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Plums,Tunisia,15.0,15.5,12.0,11.5,13.0,12.0,12.0,12.0,10.5,13.0,14.5,15.5,13.6,:,:,:,:,:
Annual,Thousand tonnes,Figs,Algeria,69.8,91.9,63.9,78.7,83.8,123.8,120.2,110.1,117.1,128.6,139.1,120.3,128.7,109.2,114.1,116.1,107.2,:
Annual,Thousand tonnes,Figs,Egypt,192.3,245.5,262.3,304.1,286.7,185.0,165.5,171.0,176.6,176.1,172.0,184.0,194.0,221.0,215.0,299.0,:,:
Annual,Thousand tonnes,Figs,Israel,1.4,1.6,1.8,2.2,4.4,4.4,5.2,1.8,2.7,2.3,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4
Annual,Thousand tonnes,Figs,Jordan,3.4 e,3.5 e,1.0 e,0.7 e,0.9,1.0 e,0.8 e,0.9 e,0.9 e,0.9,1.0 e,1.0,0.6,0.6,0.6,0.7,0.9,1.3
Annual,Thousand tonnes,Figs,Lebanon,6.9,5.8,4.9,5.2,5.9,:,:,:,:,:,3.9 e,2.1 e,4.0 e,:,:,:,2.2 e,:
Annual,Thousand tonnes,Figs,Libya,:,:,10918.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Figs,Morocco,82.6,87.2,61.6,69.7,109.2,109.9,114.8,102.7,112.5,126.6,150.1,59.9,137.9,128.4,153.5 e,144.2,144.2,109.6 p
Annual,Thousand tonnes,Figs,Palestine*,0.3 e,6.6 e,5.2 e,6.5 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Figs,Tunisia,23.0,25.0,22.0,25.0,28.0,26.0,26.0,25.0,23.0,27.0,30.0,15.3,25.8,:,:,:,:,:
Annual,Thousand tonnes,Dates,Algeria,516.3,492.2,526.9,552.8,600.7,644.7,724.9,789.4,848.2,934.4,990.4,1029.6,1058.6,1094.7,1136.0,1151.9,1188.8,:
Annual,Thousand tonnes,Dates,Egypt,1159.7,1328.7,1313.9,1326.1,1270.5,1353.0,1373.6,1400.1,1328.5,1465.0,1685.0,1549.0,1542.0,1564.0,1644.4,1710.6,:,:
Annual,Thousand tonnes,Dates,Israel,16.0,17.7,17.4,18.1,23.2,30.6,37.0,42.9,39.3,40.8,41.2,43.2,43.9,44.6,43.4,49.0,55.4,67.0
Annual,Thousand tonnes,Dates,Jordan,3.1 e,4.0 e,6.5 e,7.4 e,9.7 e,11.2 e,11.2 e,10.4 e,12.0 e,9.8,20.1 e,25.2,25.4,26.2,23.4,25.0,19.5,29.5
Annual,Thousand tonnes,Dates,Lebanon,0.0,0.0,0.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Dates,Morocco,46.1,45.3,67.2,68.9,90.4,93.5,103.0,101.9,111.9,102.2,100.4,125.3,129.6,111.7,101.5 e,143.2,150.3,137.4 p
Annual,Thousand tonnes,Dates,Palestine*,3.6 e,2.4 e,3.0 e,4.0 e,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Dates,Tunisia,113.0,131.0,124.0,145.0,162.0,174.0,189.5,190.0,196.5,199.0,223.0,241.0,260.0,:,:,:,:,:
Annual,Thousand tonnes,Berries (excluding strawberries),Lebanon,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,0.1 de,:
Annual,Thousand tonnes,Nuts,Lebanon,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,11.2 e,:
Annual,Thousand tonnes,Nuts,Libya,:,:,117766.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Almonds,Algeria,45.4,53.7,34.1,39.5,47.4,57.0,50.6,66.5,63.5,64.8,76.5,66.1,61.9,57.2,72.4,60.8,55.4,:
Annual,Thousand tonnes,Almonds,Egypt,25.1,24.5,25.5,25.7,22.3,20.7,18.2,19.4,20.6,15.8,13.0,12.0,3.0,2.0,2.0,2.5,:,:
Annual,Thousand tonnes,Almonds,Israel,2.7,2.6,2.8 b,3.3,11.8,7.8,6.7,9.5,9.0,6.7,6.8,8.5,8.9,8.5,10.0,9.2,10.0,10.8
Annual,Thousand tonnes,Almonds,Jordan,2.4 e,3.1 e,1.3 e,1.3 e,1.0,2.4 e,1.9 e,1.9 e,2.1 e,2.1,3.2 e,3.5,1.8,1.7,1.4,1.4,1.5,1.9
Annual,Thousand tonnes,Almonds,Lebanon,28.3,28.0,29.4,32.5,34.3,:,:,:,:,:,31.0 e,25.9 e,33.5 e,:,:,:,10.1 e,:
Annual,Thousand tonnes,Almonds,Libya,:,:,13329.0,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:
Annual,Thousand tonnes,Almonds,Morocco,54.0,58.8,43.6,71.4,94.9,87.4,101.4,100.2,93.3,101.0,97.7,112.7,116.9,117.3,102.2 e,134.4,169.3,175.8 p
