Time frequency,Degree of urbanisation,Unit of measure,Geopolitical entity (reporting)\Time,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0,2021.0,2022.0,2023.0
Annual,Rural areas,Thousand persons,Italy,3079 b,4291.0,3864.0,3720.0,2557.0,2976.0,2657.0,2755.0,2328.0
Annual,Rural areas,Thousand persons,Lithuania,588.0,605.0,589.0,547.0,472.0,375.0,345.0,363.0,356.0
Annual,Rural areas,Thousand persons,Luxembourg,38.0,40 b,47.0,38.0,39.0,36 b,33 b,38 b,50.0
Annual,Rural areas,Thousand persons,Latvia,259.0,244.0,239.0,230.0,222.0,205.0,204.0,219.0,226.0
Annual,Rural areas,Thousand persons,North Macedonia,:,248.0,215.0,222.0,196.0,174.0,:,:,:
Annual,Rural areas,Thousand persons,Malta,0.3 u,0.1 u,: u,: u,: u,: u,3.0,1.0,5.0
Annual,Rural areas,Thousand persons,Netherlands,307.0,209 b,211.0,221.0,184.0,215.0,241.0,225.0,230.0
Annual,Rural areas,Thousand persons,Norway,249.0,215.0,229.0,243.0,273.0,233.0,226 b,228.0,204 b
Annual,Rural areas,Thousand persons,Poland,4727.0,4253.0,3635.0,3730.0,3645.0,3696.0,3226.0,3081.0,3267.0
Annual,Rural areas,Thousand persons,Portugal,823.0,792.0,740.0,706.0,662.0,627.0,737.0,630.0,586.0
Annual,Rural areas,Thousand persons,Romania,5070.0,5280.0,5110.0,4658.0,4198.0,4174.0,3999.0,3849.0,3537.0
Annual,Rural areas,Thousand persons,Serbia,1399.0,1028.0,1271.0,1157.0,1083.0,1033.0,972.0,929.0,:
Annual,Rural areas,Thousand persons,Sweden,520.0,509.0,410.0,400.0,405.0,385.0,330.0,392.0,385.0
Annual,Rural areas,Thousand persons,Slovenia,171.0,169.0,162.0,145.0,123.0,130.0,121.0,116.0,122.0
Annual,Rural areas,Thousand persons,Slovakia,438.0,468.0,402.0,409.0,399.0,378.0,450.0,500.0,481.0
Annual,Rural areas,Thousand persons,United Kingdom,1916.0,1643.0,1375 b,1753.0,:,:,:,:,:
