Time frequency,Classification of individual consumption by purpose (COICOP),Unit of measure,Geopolitical entity (reporting)\Time,Janvier 2024,Février 2024,Mars 2024,Avril 2024,Mai 2024,Juin 2024,Juillet 2024,Août 2024,Septembre 2024,Octobre 2024,Novembre 2024,Décembre 2024
Monthly,Clothing and footwear,Percentage change m/m-12,Bulgaria,0.8,-0.6,-0.6,1.0,0.7,0.0,-1.7,-2.6,-2.4,0.1,-0.4,-1.0
Monthly,Clothing and footwear,Percentage change m/m-12,Switzerland,0.2,0.3,-0.2,-0.9,-1.0,-1.9,-1.8,-2.6,-1.4,-1.2,-1.6,-1.4
Monthly,Clothing and footwear,Percentage change m/m-12,Cyprus,1.0,2.8,-0.4,-0.3,0.0,-0.4,0.0,-0.3,-1.9,-2.2,-1.7,-2.5
Monthly,Clothing and footwear,Percentage change m/m-12,Czechia,5.9,5.7,5.3,3.9,3.2,2.8,2.2,1.9,1.2,-0.3,-0.7,-0.7
Monthly,Clothing and footwear,Percentage change m/m-12,Germany,3.0,4.7,3.3,3.0,2.8,3.2,3.9,2.6,2.1,2.3,3.0,2.7
Monthly,Clothing and footwear,Percentage change m/m-12,Denmark,0.2,-0.9,1.7,1.0,1.0,0.0,-1.4,-1.9,1.0,1.2,0.7,0.4
Monthly,Clothing and footwear,Percentage change m/m-12,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",1.9,2.2,1.4,1.4,1.3,1.7,2.2,1.1,1.1,0.9,1.4,0.7
Monthly,Clothing and footwear,Percentage change m/m-12,Euro area - 19 countries  (2015-2022),1.9,2.2,1.4,1.5,1.3,1.7,2.2,1.1,1.1,1.0,1.4,0.7
Monthly,Clothing and footwear,Percentage change m/m-12,Euro area – 20 countries (from 2023),1.9,2.2,1.4,1.4,1.3,1.7,2.2,1.1,1.1,0.9,1.4,0.7
Monthly,Clothing and footwear,Percentage change m/m-12,Estonia,4.0,4.4,3.5,3.1,2.4,2.8,-2.3,-3.8,-2.2,-1.2,-0.3,0.9
Monthly,Clothing and footwear,Percentage change m/m-12,Greece,3.8,1.4,5.7,4.1,6.3,4.7,4.3,6.5,4.6,5.0,7.2,6.2
Monthly,Clothing and footwear,Percentage change m/m-12,Spain,5.2,4.2,0.2,1.8,2.2,2.2,2.5,1.8,4.6,-0.3,-1.2,-1.1
Monthly,Clothing and footwear,Percentage change m/m-12,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",2.5,2.6,1.8,1.8,1.6,1.8,2.1,1.2,1.1,1.0,1.3,0.7
Monthly,Clothing and footwear,Percentage change m/m-12,European Union - 27 countries (from 2020),2.5,2.6,1.8,1.8,1.6,1.8,2.1,1.2,1.1,1.0,1.3,0.7
Monthly,Clothing and footwear,Percentage change m/m-12,Finland,2.8,4.1,1.6,0.4,0.8,3.4,3.0,1.4,-0.1,0.6,1.9,1.0
Monthly,Clothing and footwear,Percentage change m/m-12,France,0.4,0.9,0.4,0.7,0.7,0.7,0.8,1.0,-0.1,0.2,0.0,-0.3
Monthly,Clothing and footwear,Percentage change m/m-12,Croatia,3.2,2.0,0.9,0.6,0.5,2.0,0.5,0.2,-0.2,-0.4,0.0,0.3
Monthly,Clothing and footwear,Percentage change m/m-12,Hungary,6.5,5.3,4.7,5.1,5.0,4.4,4.5,4.8,3.6,3.4,3.2,3.0
Monthly,Clothing and footwear,Percentage change m/m-12,Ireland,-1.3,-3.5,-6.7,-6.6,-6.2,-6.7,-4.9,-6.2,-7.5,-7.4,-7.5,-8.0
Monthly,Clothing and footwear,Percentage change m/m-12,Iceland,6.6,7.6,5.2,3.7,4.2,2.8,5.7,1.6,2.7,3.2,1.3,1.0
Monthly,Clothing and footwear,Percentage change m/m-12,Italy,1.8,2.1,0.9,1.5,1.4,1.1,3.2,1.1,0.1,1.0,0.9,0.8
Monthly,Clothing and footwear,Percentage change m/m-12,Lithuania,-0.7,-0.4,-0.4,-0.6,-0.5,-0.6,-1.2,-1.8,-1.2,-1.3,-2.0,-2.0
Monthly,Clothing and footwear,Percentage change m/m-12,Luxembourg,1.2,2.4,2.6,1.7,1.8,1.9,-0.9,1.1,1.0,0.7,0.8,1.1
Monthly,Clothing and footwear,Percentage change m/m-12,Latvia,2.8,1.3,1.7,2.5,2.7,3.9,3.2,3.0,1.4,0.4,0.2,0.3
Monthly,Clothing and footwear,Percentage change m/m-12,Montenegro,15.8 d,12.3 d,11.7 d,11.1 d,10.0 d,10.8 d,12.5 d,5.6 d,1.0 d,-0.9 d,-0.1 d,0.1 d
Monthly,Clothing and footwear,Percentage change m/m-12,North Macedonia,5.1 d,4.5 d,4.7 d,3.3 d,3.2 d,2.8 d,2.4 d,2.4 d,2.2 d,2.8 d,3.1 d,2.4 d
Monthly,Clothing and footwear,Percentage change m/m-12,Malta,-0.8,2.0,-1.7,0.3,-0.2,-0.2,1.0,-1.4,-2.0,0.4,-1.8,0.1
Monthly,Clothing and footwear,Percentage change m/m-12,Netherlands,-3.7,-1.4,-0.3,-0.9,-2.4,2.0,2.6,-2.7,1.8,2.0,3.6,-0.2
Monthly,Clothing and footwear,Percentage change m/m-12,Norway,3.9,6.7,3.7,3.7,2.5,2.5,2.8,1.1,-0.3,1.2,-1.2,0.0
Monthly,Clothing and footwear,Percentage change m/m-12,Poland,3.1,2.7,1.2,0.3,-0.2,-1.0,-1.0,-1.5,-2.1,-2.0,-1.6,-1.9
Monthly,Clothing and footwear,Percentage change m/m-12,Portugal,-3.1,-3.8,-1.0,-0.3,-0.7,-0.7,-0.4,0.3,-1.4,-1.9,-1.2,-0.7
Monthly,Clothing and footwear,Percentage change m/m-12,Romania,9.6,9.2,9.1,8.9,8.1,7.1,7.1,6.8,6.3,6.7,6.4,6.0
Monthly,Clothing and footwear,Percentage change m/m-12,Serbia,7.6 d,7.1 d,6.5 d,6.0 d,5.2 d,5.1 d,4.9 d,4.8 d,4.6 d,4.7 d,4.4 d,4.3 d
Monthly,Clothing and footwear,Percentage change m/m-12,Sweden,6.0,5.1,4.7,4.5,4.5,5.2,2.4,3.0,1.3,2.1,3.5,2.0
Monthly,Clothing and footwear,Percentage change m/m-12,Slovenia,1.7,4.8,4.7,2.2,1.5,1.3,-3.7,-7.4,-0.6,2.2,3.4,2.0
Monthly,Clothing and footwear,Percentage change m/m-12,Slovakia,4.3,4.5,3.4,3.3,3.1,2.7,2.7,2.9,2.5,1.8,2.1,2.2
Monthly,Clothing and footwear,Percentage change m/m-12,Türkiye,40.6 d,43.4 d,50.0 d,51.1 d,50.8 d,47.8 d,39.5 d,29.4 d,30.7 d,31.3 d,31.3 d,32.2 d
Monthly,Clothing and footwear,Percentage change m/m-12,United States,0.4 d,1.0 d,1.3 d,2.1 d,1.5 d,1.1 d,0.5 d,0.7 d,1.7 d,0.3 d,0.8 d,0.9 d
Monthly,Clothing and footwear,Percentage change m/m-12,Kosovo*,3.6 d,3.2 d,4.2 d,2.9 d,3.1 d,2.8 d,3.6 d,3.4 d,3.0 d,1.5 d,1.9 d,2.2 d
