Time frequency,Statistical information,Level of activity limitation,Risk of poverty threshold,Unit of measure,Geopolitical entity (reporting)\Time,2023.0
Annual,Average,Total,Above 60%,Rating (0-10),Slovenia,7.8
Annual,Average,Total,Above 60%,Rating (0-10),Slovakia,7.7
Annual,Average,Total,Above 60%,Rating (0-10),Türkiye,6.0
Annual,Average,Total,Below 60%,Rating (0-10),Austria,7.7
Annual,Average,Total,Below 60%,Rating (0-10),Belgium,7.7
Annual,Average,Total,Below 60%,Rating (0-10),Bulgaria,5.3
Annual,Average,Total,Below 60%,Rating (0-10),Switzerland,7.8
Annual,Average,Total,Below 60%,Rating (0-10),Cyprus,7.8
Annual,Average,Total,Below 60%,Rating (0-10),Czechia,7.3
Annual,Average,Total,Below 60%,Rating (0-10),Germany,7.1 u
Annual,Average,Total,Below 60%,Rating (0-10),Denmark,7.1
Annual,Average,Total,Below 60%,Rating (0-10),Euro area – 20 countries (from 2023),7.0
Annual,Average,Total,Below 60%,Rating (0-10),Estonia,7.5
Annual,Average,Total,Below 60%,Rating (0-10),Greece,4.9
Annual,Average,Total,Below 60%,Rating (0-10),Spain,7.3
Annual,Average,Total,Below 60%,Rating (0-10),European Union - 27 countries (from 2020),7.0
Annual,Average,Total,Below 60%,Rating (0-10),Finland,7.4
Annual,Average,Total,Below 60%,Rating (0-10),France,7.1
Annual,Average,Total,Below 60%,Rating (0-10),Croatia,7.0
Annual,Average,Total,Below 60%,Rating (0-10),Hungary,7.3
Annual,Average,Total,Below 60%,Rating (0-10),Ireland,7.7
Annual,Average,Total,Below 60%,Rating (0-10),Italy,6.6
Annual,Average,Total,Below 60%,Rating (0-10),Lithuania,7.5
Annual,Average,Total,Below 60%,Rating (0-10),Luxembourg,6.8
Annual,Average,Total,Below 60%,Rating (0-10),Latvia,7.6
Annual,Average,Total,Below 60%,Rating (0-10),Malta,7.8
Annual,Average,Total,Below 60%,Rating (0-10),Netherlands,7.7
Annual,Average,Total,Below 60%,Rating (0-10),Norway,7.6
Annual,Average,Total,Below 60%,Rating (0-10),Poland,7.2
Annual,Average,Total,Below 60%,Rating (0-10),Portugal,7.1
Annual,Average,Total,Below 60%,Rating (0-10),Romania,7.2
Annual,Average,Total,Below 60%,Rating (0-10),Sweden,7.5
Annual,Average,Total,Below 60%,Rating (0-10),Slovenia,7.5
Annual,Average,Total,Below 60%,Rating (0-10),Slovakia,7.6
Annual,Average,Total,Below 60%,Rating (0-10),Türkiye,5.1
Annual,Average,Total,Total,Rating (0-10),Austria,7.7
Annual,Average,Total,Total,Rating (0-10),Belgium,7.7
Annual,Average,Total,Total,Rating (0-10),Bulgaria,6.2
Annual,Average,Total,Total,Rating (0-10),Switzerland,7.8
Annual,Average,Total,Total,Rating (0-10),Cyprus,7.9
Annual,Average,Total,Total,Rating (0-10),Czechia,7.7
Annual,Average,Total,Total,Rating (0-10),Germany,7.2 u
Annual,Average,Total,Total,Rating (0-10),Denmark,7.7
Annual,Average,Total,Total,Rating (0-10),Euro area – 20 countries (from 2023),7.3
Annual,Average,Total,Total,Rating (0-10),Estonia,7.7
Annual,Average,Total,Total,Rating (0-10),Greece,6.8
Annual,Average,Total,Total,Rating (0-10),Spain,7.3
Annual,Average,Total,Total,Rating (0-10),European Union - 27 countries (from 2020),7.4
Annual,Average,Total,Total,Rating (0-10),Finland,7.9
Annual,Average,Total,Total,Rating (0-10),France,7.1
Annual,Average,Total,Total,Rating (0-10),Croatia,7.4
Annual,Average,Total,Total,Rating (0-10),Hungary,7.8
Annual,Average,Total,Total,Rating (0-10),Ireland,7.6
Annual,Average,Total,Total,Rating (0-10),Italy,7.2
Annual,Average,Total,Total,Rating (0-10),Lithuania,7.8
Annual,Average,Total,Total,Rating (0-10),Luxembourg,7.2
Annual,Average,Total,Total,Rating (0-10),Latvia,7.6
Annual,Average,Total,Total,Rating (0-10),Malta,7.7
Annual,Average,Total,Total,Rating (0-10),Netherlands,7.7
Annual,Average,Total,Total,Rating (0-10),Norway,8.0
Annual,Average,Total,Total,Rating (0-10),Poland,7.4
Annual,Average,Total,Total,Rating (0-10),Portugal,7.3
Annual,Average,Total,Total,Rating (0-10),Romania,7.9
Annual,Average,Total,Total,Rating (0-10),Sweden,7.6
Annual,Average,Total,Total,Rating (0-10),Slovenia,7.8
Annual,Average,Total,Total,Rating (0-10),Slovakia,7.7
Annual,Average,Total,Total,Rating (0-10),Türkiye,5.9
