Time frequency,Country/region of birth,Unit of measure,Sex,Geopolitical entity (reporting)\Time,2021.0,2022.0,2023.0
Annual,Foreign country,Year,Females,Malta,:,36.7 p,:
Annual,Foreign country,Year,Females,Netherlands,:,42.7,:
Annual,Foreign country,Year,Females,Norway,:,39.1,:
Annual,Foreign country,Year,Females,Poland,:,40.0 ep,40.9 ep
Annual,Foreign country,Year,Females,Portugal,:,44.5 bp,:
Annual,Foreign country,Year,Females,Romania,:,13.0 e,:
Annual,Foreign country,Year,Females,Sweden,:,41.8,:
Annual,Foreign country,Year,Females,Slovenia,:,50.0,:
Annual,Foreign country,Year,Females,Slovakia,:,50.4,:
Annual,Foreign country,Year,Males,Austria,:,41.4,:
Annual,Foreign country,Year,Males,Belgium,:,42.3,:
Annual,Foreign country,Year,Males,Bulgaria,:,30.1,:
Annual,Foreign country,Year,Males,Switzerland,:,44.0,:
Annual,Foreign country,Year,Males,Cyprus,:,34.8,:
Annual,Foreign country,Year,Males,Czechia,:,38.9 b,:
Annual,Foreign country,Year,Males,Germany,:,43.8 e,:
Annual,Foreign country,Year,Males,Denmark,:,38.6,:
Annual,Foreign country,Year,Males,Estonia,:,55.1,:
Annual,Foreign country,Year,Males,Greece,:,45.5,:
Annual,Foreign country,Year,Males,Spain,:,41.2,:
Annual,Foreign country,Year,Males,European Union - 27 countries (from 2020),:,42.7 bep,:
Annual,Foreign country,Year,Males,Finland,:,37.5,:
Annual,Foreign country,Year,Males,France,47.9,47.4 p,:
Annual,Foreign country,Year,Males,Croatia,:,55.3 b,:
Annual,Foreign country,Year,Males,Hungary,:,40.0,:
Annual,Foreign country,Year,Males,Ireland,:,38.5,:
Annual,Foreign country,Year,Males,Iceland,:,34.5,:
Annual,Foreign country,Year,Males,Italy,:,41.2,:
Annual,Foreign country,Year,Males,Liechtenstein,:,44.0,:
Annual,Foreign country,Year,Males,Lithuania,:,54.0,:
Annual,Foreign country,Year,Males,Luxembourg,:,42.8,:
Annual,Foreign country,Year,Males,Latvia,:,61.5,:
Annual,Foreign country,Year,Males,Malta,:,36.5 p,:
Annual,Foreign country,Year,Males,Netherlands,:,41.5,:
Annual,Foreign country,Year,Males,Norway,:,39.4,:
Annual,Foreign country,Year,Males,Poland,:,33.7 ep,34.2 ep
Annual,Foreign country,Year,Males,Portugal,:,42.1 bp,:
Annual,Foreign country,Year,Males,Romania,:,13.1 e,:
Annual,Foreign country,Year,Males,Sweden,:,39.8,:
Annual,Foreign country,Year,Males,Slovenia,:,46.2,:
Annual,Foreign country,Year,Males,Slovakia,:,44.9,:
Annual,Foreign country,Year,Total,Austria,:,42.5,:
Annual,Foreign country,Year,Total,Belgium,:,42.4,:
Annual,Foreign country,Year,Total,Bulgaria,:,31.5,:
Annual,Foreign country,Year,Total,Switzerland,:,44.6,:
Annual,Foreign country,Year,Total,Cyprus,:,35.0,:
Annual,Foreign country,Year,Total,Czechia,:,38.6 b,:
Annual,Foreign country,Year,Total,Germany,:,45.1 e,:
Annual,Foreign country,Year,Total,Denmark,:,39.1,:
Annual,Foreign country,Year,Total,Estonia,:,61.0,:
Annual,Foreign country,Year,Total,Greece,:,46.6,:
Annual,Foreign country,Year,Total,Spain,:,41.6,:
Annual,Foreign country,Year,Total,European Union - 27 countries (from 2020),:,43.7 bep,:
Annual,Foreign country,Year,Total,Finland,:,37.9,:
Annual,Foreign country,Year,Total,France,48.0,47.5 p,:
Annual,Foreign country,Year,Total,Croatia,:,56.7 b,:
Annual,Foreign country,Year,Total,Hungary,:,41.2,:
Annual,Foreign country,Year,Total,Ireland,:,38.4,:
Annual,Foreign country,Year,Total,Iceland,:,34.3,:
Annual,Foreign country,Year,Total,Italy,:,43.2,:
Annual,Foreign country,Year,Total,Liechtenstein,:,44.8,:
