Time frequency,Statistical classification of economic activities in the European Community (NACE Rev. 1.1),Training,Unit of measure,Geopolitical entity (reporting)\Time,2005.0
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Hungary,16.5
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Ireland,70.7
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Italy,54.1
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Lithuania,39.3
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Luxembourg,54.6
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Latvia,39.4
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Malta,68.1
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Netherlands,35.6
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Norway,47.1
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Poland,32.0
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Portugal,46.4
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Romania,67.6
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Sweden,43.0
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Slovenia,32.0
Annual,Real estate; other service activities,CVT courses - internal,Percentage,Slovakia,28.1
Annual,Real estate; other service activities,CVT courses - internal,Percentage,United Kingdom,47.8
