Time frequency,Unit of measure,Quantile,Geopolitical entity (reporting)\Time,2003.0,2004.0,2005.0,2006.0,2007.0,2008.0,2009.0,2010.0,2011.0,2012.0,2013.0,2014.0,2015.0,2016.0,2017.0,2018.0,2019.0,2020.0
Annual,Percentage,Fourth quintile,European Union - 27 countries (2007-2013),:,:,5.7 e,5.6 e,4.4,4.2,3.4,3.1,3.1,2.7,2.5,2.5,2.4,2.5,1.9,1.9,1.8 e,:
Annual,Percentage,Fourth quintile,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,3.4 e,3.3 e,3.0 e,2.7 e,2.8 e,2.6 e,2.7 e,2.1 e,2.0 e,1.9 e,2.4 e
Annual,Percentage,Fourth quintile,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,3.1,3.1,2.8,2.5,2.6,2.4,2.5,1.9,1.9,1.8 e,:
Annual,Percentage,Fourth quintile,Finland,:,0.7,0.1,0.3,0.3,0.1,0.1,0.5,0.3,0.4,0.0,0.3,0.3,0.3,0.4,0.2,0.8,0.3
Annual,Percentage,Fourth quintile,France,:,1.9,1.7,0.8,0.5,1.1,0.8,0.6,1.0,1.3,0.5,0.9,1.0,1.3,0.9,1.1,0.5,1.5 b
Annual,Percentage,Fourth quintile,Croatia,:,:,:,:,:,:,:,10.1,6.1,7.6 b,6.7,5.0,4.8,3.5,3.2,4.9,4.2,4.6
Annual,Percentage,Fourth quintile,Hungary,:,:,16.4,13.6,8.7,14.6,6.9,10.9,8.1,8.3,8.4,10.8,9.0,11.6,10.7,3.6,4.0,3.3
Annual,Percentage,Fourth quintile,Ireland,0.6,0.7,0.5,3.4,0.8,0.0,0.0,0.3,0.0,0.0,0.2,0.2,0.1,0.3,0.0,0.0,0.1 b,0.1 b
Annual,Percentage,Fourth quintile,Iceland,:,1.3,0.8,1.2,1.6,1.0,1.9,0.9,1.2,0.5,1.8,0.4,2.1,0.6,1.9,1.0,2.1,:
Annual,Percentage,Fourth quintile,Italy,:,5.9,5.4,5.8,4.7,5.1,5.8,4.5,4.8,5.2,5.2,6.2,5.6,5.1,3.0,2.8,3.4,4.4
Annual,Percentage,Fourth quintile,Lithuania,:,:,22.6,20.2,18.9,16.6,9.4,9.4,9.0,6.5,6.6,6.1,8.6,4.7,4.9,4.2,4.8,1.9
Annual,Percentage,Fourth quintile,Luxembourg,0.6,0.2,0.2,0.0,1.2,0.1,0.1,0.5,0.2,0.0,0.4,0.0,0.5,0.3 b,0.3,0.7,0.6,0.3 b
Annual,Percentage,Fourth quintile,Latvia,:,:,29.1,23.0,22.4,19.2,16.2,17.9,15.1,12.8,11.7,12.6,10.2,10.4,10.0,13.0,10.6,8.7
Annual,Percentage,Fourth quintile,Montenegro,:,:,:,:,:,:,:,:,:,:,16.4,15.4,20.3,13.1,10.5,12.8,14.9,11.8
Annual,Percentage,Fourth quintile,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,7.5,7.2,5.6,5.0,3.3
Annual,Percentage,Fourth quintile,Malta,:,:,0.0,0.6,0.4,0.4,0.7,0.1,0.4,0.6,0.3,1.6,1.2,1.5,0.7,0.2,0.0,0.0
Annual,Percentage,Fourth quintile,Netherlands,:,:,0.2,0.1,0.2,0.4,0.4,0.1,1.0,0.6,0.2,0.0,0.2,0.3 b,0.3,0.9,0.2,0.2
Annual,Percentage,Fourth quintile,Norway,:,0.6,0.4,0.1,0.4,0.2,0.1,0.3,0.1,0.4,0.2,0.1,0.1,0.2,0.1,0.1,0.2,0.1
Annual,Percentage,Fourth quintile,Poland,:,:,21.2,20.1,16.2,11.2,9.3,7.2,6.9,6.4,6.0,5.1,4.9,5.3,5.5,5.8,5.9,:
Annual,Percentage,Fourth quintile,Portugal,:,4.2,5.9,7.5,4.2,4.7,2.5,3.1,3.5,2.9,3.6,2.6,2.8,2.5,1.3,2.1,1.4,2.2
Annual,Percentage,Fourth quintile,Romania,:,:,:,:,24.1,19.5,15.2,15.3,13.1,12.6,9.3,9.4,6.4,8.4,5.7,4.1,3.5,5.5
Annual,Percentage,Fourth quintile,Serbia,:,:,:,:,:,:,:,:,:,:,10.1,14.5,13.1,11.6,11.8,9.7,10.2,6.3
Annual,Percentage,Fourth quintile,Sweden,:,0.6,1.2,0.3,0.3,0.8 b,0.7,1.0,0.4,1.0,1.0,1.2,0.9,1.1,0.7,0.5,1.0,0.6
Annual,Percentage,Fourth quintile,Slovenia,:,:,8.3,10.7,9.6,13.6,15.5,11.1,6.1,4.9,4.3,4.1,3.2,1.9,2.5,2.7,1.9,1.4
Annual,Percentage,Fourth quintile,Slovakia,:,:,4.3,2.8,2.7,3.8,3.1,2.6,2.5,2.8,2.7,1.4,1.7,2.4,1.6,3.1,2.0,2.2
Annual,Percentage,Fourth quintile,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,15.0,15.7,16.6,15.1,13.4,14.1
Annual,Percentage,Fourth quintile,United Kingdom,:,:,0.8,1.1,0.9,1.6,0.4,0.9,1.5,1.2 b,1.5,1.0,1.4,1.2,0.3 b,0.9,:,:
Annual,Percentage,Fourth quintile,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,15.6,:,:
Annual,Percentage,Fifth quintile,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,10.3,9.9,9.1,6.9
Annual,Percentage,Fifth quintile,Austria,0.4,1.3,1.7,0.4,1.3,0.5 b,1.5,1.2,0.8,0.7,0.6,0.9,0.6,0.5,0.1,0.1,1.7,0.2
Annual,Percentage,Fifth quintile,Belgium,1.0,0.2,0.0,0.1,0.4,0.1,0.1,0.0,0.0,0.0,0.0,0.0,0.6,0.8 b,1.0,0.3,0.3 b,0.3
Annual,Percentage,Fifth quintile,Bulgaria,:,:,:,13.6,7.1,14.2,8.5,5.2,3.4,5.3,4.3,4.0 b,4.6,3.9 b,2.9,2.3,2.5,2.0
Annual,Percentage,Fifth quintile,Switzerland,:,:,:,:,0.4,0.3,0.2,0.1,0.7,0.1,0.1,0.1 b,0.1,0.2,0.4,0.2,0.2,0.1
Annual,Percentage,Fifth quintile,Cyprus,:,:,0.0,0.1,0.0,0.0,0.5,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3
Annual,Percentage,Fifth quintile,Czechia,:,:,4.1,4.6,4.1,3.9,3.6,2.0,1.2,1.8,1.1,1.1,1.0,1.0,0.4,0.9,0.6,0.8
Annual,Percentage,Fifth quintile,Germany,:,:,0.3,0.9,0.3,0.2,0.1,0.1,0.1,0.3,0.4,0.1,0.3,0.4,0.1,0.1,0.2,0.3 b
Annual,Percentage,Fifth quintile,Denmark,0.1,0.1,0.2,0.3,0.6,0.1,0.2,0.1,0.3 b,0.2,0.2,0.3,0.7,0.1,0.2,0.6,0.9,0.3
Annual,Percentage,Fifth quintile,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,1.0 e,0.8 e,1.0 e,1.0 e,1.0 e,1.1 e,1.0 e,1.2 e,0.9 e,0.8 e,0.5 e,0.8,0.9
Annual,Percentage,Fifth quintile,Euro area - 18 countries (2014),:,:,1.3,1.3,1.3,1.1,0.9,1.0,1.0,1.0,1.1,1.0,1.2,0.9,0.8,0.5,0.8,0.9
Annual,Percentage,Fifth quintile,Euro area - 19 countries  (2015-2022),:,:,1.4,1.4,1.4,1.2,1.0,1.1,1.1,1.0,1.1,1.0,1.2,0.9,0.8,0.5,0.8,0.9
Annual,Percentage,Fifth quintile,Estonia,:,7.6,5.0,4.7,6.8,4.9,4.6,2.9,0.9,1.8,1.8,1.2 b,0.2,0.8,0.8,1.4,0.8,0.9
Annual,Percentage,Fifth quintile,Greece,3.1,2.8,3.6,2.6,2.7,2.0,2.7,2.0,2.0,2.1,1.5,1.8,1.7,2.0,2.5,2.3,1.9,2.0
Annual,Percentage,Fifth quintile,Spain,:,1.7,0.8,0.9,0.9,0.5 b,0.3,0.8,0.0,0.2,0.0,0.0,0.2,0.2,0.1,0.0,0.1,0.3
Annual,Percentage,Fifth quintile,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,2.3 e,1.7 e,1.8 e,1.6 e,1.5 e,1.6 e,1.3 e,1.4 e,1.4 e,1.2 e,0.8 e,1.1 e,:
Annual,Percentage,Fifth quintile,European Union - 27 countries (2007-2013),:,:,3.1 e,2.9 e,2.7,2.3,1.7,1.8,1.6,1.4,1.6,1.3,1.4,1.3,1.2,0.8,1.1 e,:
Annual,Percentage,Fifth quintile,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,2.0 e,1.8 e,1.6 e,1.7 e,1.5 e,1.6 e,1.5 e,1.4 e,0.9 e,1.2 e,1.3 e
Annual,Percentage,Fifth quintile,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,1.8,1.6,1.5,1.6,1.3,1.4,1.4,1.2,0.8,1.1 e,:
Annual,Percentage,Fifth quintile,Finland,:,0.0,0.2,0.1,0.1,0.3,0.1,0.3,0.2,0.0,0.1,0.2,0.1,0.0,0.0,0.0,0.1,0.1
Annual,Percentage,Fifth quintile,France,:,1.3,0.5,0.5,0.9,0.7,0.9,0.8,0.7,0.6,0.3,0.3,1.0,0.4,0.5,0.2,0.6,1.2 b
Annual,Percentage,Fifth quintile,Croatia,:,:,:,:,:,:,:,5.7,5.7,5.4 b,3.9,5.1,3.8,4.2,3.3,2.3,2.7,1.9
Annual,Percentage,Fifth quintile,Hungary,:,:,11.1,10.0,7.9,9.8,4.2,7.1,4.3,5.5,5.4,6.5,4.7,5.3,4.9,1.9,2.4,3.3
Annual,Percentage,Fifth quintile,Ireland,0.0,0.0,0.0,0.8,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0 b,0.0 b
Annual,Percentage,Fifth quintile,Iceland,:,0.4,0.0,0.1,0.9,0.2,0.5,0.0,0.3,0.2,0.6,0.5,0.2,0.5,0.2,0.0,1.0,:
Annual,Percentage,Fifth quintile,Italy,:,3.5,3.0,2.6,2.5,2.7,1.9,2.3,3.5,3.2,4.2,3.6,4.0,2.8,2.3,1.3,2.2,2.3
Annual,Percentage,Fifth quintile,Lithuania,:,:,13.9,12.2,14.0,9.8,8.9,3.7,3.1,0.8,3.2,6.4,2.6,2.4,2.5,1.8,2.2,2.2
Annual,Percentage,Fifth quintile,Luxembourg,0.1,0.0,0.2,0.1,0.0,0.3,0.1,0.0,0.0,0.2,0.1,0.1,0.0,0.5 b,1.2,0.0,0.4,0.1 b
Annual,Percentage,Fifth quintile,Latvia,:,:,18.6,15.1,15.3,11.7,9.5,10.1,7.2,5.3,6.7,9.0,6.7,5.0,6.9,6.6,6.2,4.2
Annual,Percentage,Fifth quintile,Montenegro,:,:,:,:,:,:,:,:,:,:,10.2,9.6,10.7,9.5,9.3,9.0,10.0,8.7
Annual,Percentage,Fifth quintile,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,4.2,2.6,3.2,3.2,3.6
Annual,Percentage,Fifth quintile,Malta,:,:,0.5,0.3,0.4,0.2,0.2,0.4,0.1,0.0,0.4,0.0,0.5,0.0,0.0,0.0,0.0,0.1
Annual,Percentage,Fifth quintile,Netherlands,:,:,0.3,0.1,0.4,0.4,0.2,0.3,0.4,0.4,0.2,0.2,0.0,0.4 b,0.1,0.2,0.2,0.3
Annual,Percentage,Fifth quintile,Norway,:,0.2,0.0,0.0,0.1,0.0,0.1,0.1,0.3,0.2,0.1,0.1,0.1,0.1,0.1,0.1,0.1,0.0
Annual,Percentage,Fifth quintile,Poland,:,:,13.2,11.8,11.0,7.6,4.5,5.5,4.6,3.6,4.1,2.5,2.9,3.7,4.3,3.1,3.4,:
Annual,Percentage,Fifth quintile,Portugal,:,1.8,1.3,2.2,2.2,1.5,0.9,2.4,0.3,1.1,0.9,1.4,1.6,0.8,0.8,0.3,0.7,0.4
Annual,Percentage,Fifth quintile,Romania,:,:,:,:,9.8,9.1,7.4,7.0,7.4,5.2,5.9,3.7,3.3,4.2,4.2,3.8,3.3,4.1
Annual,Percentage,Fifth quintile,Serbia,:,:,:,:,:,:,:,:,:,:,8.7,10.4,8.7,8.2,8.9,4.6,9.9,4.6
Annual,Percentage,Fifth quintile,Sweden,:,0.3,0.1,0.3,0.4,0.1 b,0.6,0.4,0.3,0.1,0.3,0.2,0.4,0.4,0.8,0.4,0.3,0.6
Annual,Percentage,Fifth quintile,Slovenia,:,:,5.9,6.0,5.5,7.2,9.0,6.4,2.5,2.6,1.5,1.6,1.5,1.0,1.0,1.3,1.4,0.9
Annual,Percentage,Fifth quintile,Slovakia,:,:,2.5,2.2,2.5,3.8,1.9,1.7,2.8,2.9,1.7,1.9,1.8,1.1,2.2,0.7,1.6,0.9
Annual,Percentage,Fifth quintile,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,7.2,6.0,5.2,5.3,6.0,4.8
Annual,Percentage,Fifth quintile,United Kingdom,:,:,0.7,0.8,0.9,0.1,0.5,0.7,0.3,0.1 b,0.7,0.2,0.1,0.6,0.1 b,0.3,:,:
Annual,Percentage,Fifth quintile,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,9.4,:,:
Annual,Percentage,Total,Albania,:,:,:,:,:,:,:,:,:,:,:,:,:,:,22.4,24.0,21.0,15.3
Annual,Percentage,Total,Austria,1.6,3.8,3.7,3.9,3.8,4.6 b,4.1,4.0,3.8,3.8,3.9,3.7,4.3,4.2,4.4,3.2,3.0,3.0
Annual,Percentage,Total,Belgium,2.4,1.2,1.7,1.1,1.2,1.1,1.3,1.9,1.0,0.6,0.9,0.9,0.9,1.7 b,2.3,2.2,1.9 b,2.3
Annual,Percentage,Total,Bulgaria,:,:,:,22.8,18.2,23.5,18.8,14.7,14.3,12.9,13.0,12.9 b,11.4,11.6 b,10.6,10.1,8.9,8.6
Annual,Percentage,Total,Switzerland,:,:,:,:,2.2,1.1,1.5,1.2,1.4,1.8,2.0,1.4 b,1.7,2.3,2.2,2.3,1.6,1.8
Annual,Percentage,Total,Cyprus,:,:,1.6,1.3,0.8,1.6,1.1,1.6,1.6,1.2,1.4,1.5,0.5,1.3,0.9,1.1,1.3,1.6
Annual,Percentage,Total,Czechia,:,:,9.8,10.7,8.1,6.5,6.2,4.5,4.8,3.9,4.0,3.5,3.3,3.0,2.1,2.3,1.9,2.0
Annual,Percentage,Total,Germany,:,:,1.8,2.5,1.8,2.0,2.1,2.1,2.1,1.9,1.6,1.9,1.8,1.9,1.8,2.3,2.1,1.2 b
Annual,Percentage,Total,Denmark,2.4,1.8,1.2,1.3,1.7,1.1,1.3,1.3,2.6 b,2.3,2.3,2.3,2.8,1.7,2.7,3.2,2.8,2.8
Annual,Percentage,Total,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",:,:,:,:,:,3.6 e,3.5 e,3.5 e,3.6 e,3.4 e,3.4 e,3.7 e,3.7 e,3.5 e,2.8 e,3.0 e,2.9,3.3
Annual,Percentage,Total,Euro area - 18 countries (2014),:,:,4.1,4.1,3.9,3.8,3.7,3.6,3.7,3.5,3.5,3.7,3.7,3.4,2.8,3.0,2.8,3.3
Annual,Percentage,Total,Euro area - 19 countries  (2015-2022),:,:,4.4,4.4,4.1,3.9,3.8,3.7,3.7,3.5,3.6,3.7,3.7,3.5,2.8,3.0,2.9,3.3
Annual,Percentage,Total,Estonia,:,21.3,17.5,15.3,14.6,10.4,12.2,11.4,4.9,4.7,5.8,3.9 b,2.8,3.3,3.3,2.9,2.7,2.1
Annual,Percentage,Total,Greece,9.6,8.2,9.1,9.1,8.5,8.1,7.6,7.6,7.2,7.0,7.0,6.0,6.7,6.3,6.0,5.9,6.0,5.8
Annual,Percentage,Total,Spain,:,4.8,2.9,2.6,2.6,1.6 b,1.8,1.8,2.1,1.3,1.8,1.7,1.5,1.7,1.0,1.5,1.7,3.4
Annual,Percentage,Total,"European Union (EU6-1958, EU9-1973, EU10-1981, EU12-1986, EU15-1995, EU25-2004, EU27-2007, EU28-2013, EU27-2020)",:,:,:,:,:,6.5 e,5.9 e,5.7 e,5.4 e,5.0 e,5.1 e,5.0 e,4.9 e,4.8 e,4.0 e,4.0 e,3.7 e,:
Annual,Percentage,Total,European Union - 27 countries (2007-2013),:,:,8.2 e,7.8 e,7.2,6.5,5.9,5.7,5.4,5.0,5.1,5.0,4.9,4.7,4.0,4.0,3.7 e,:
Annual,Percentage,Total,European Union - 27 countries (from 2020),:,:,:,:,:,:,:,6.1 e,5.8 e,5.5 e,5.5 e,5.4 e,5.3 e,5.1 e,4.5 e,4.3 e,4.0 e,4.3 e
Annual,Percentage,Total,European Union - 28 countries (2013-2020),:,:,:,:,:,:,:,5.7,5.4,5.0,5.1,5.0,4.9,4.8,4.0,4.0,3.7 e,:
Annual,Percentage,Total,Finland,:,0.9,1.0,0.8,0.7,0.7,0.7,0.9,0.7,0.8,0.7,0.7,0.7,0.7,0.7,0.9,0.9,1.0
Annual,Percentage,Total,France,:,3.4,3.0,2.7,3.3,3.4,3.0,3.0,2.5,2.6,2.1,2.3,2.3,2.7,2.1,2.7,2.3,3.8 b
Annual,Percentage,Total,Croatia,:,:,:,:,:,:,:,12.3,9.9,9.6 b,9.0,7.8,7.3,7.1,6.5,6.2,5.9,5.1
Annual,Percentage,Total,Hungary,:,:,22.6,19.0,14.4,20.6,11.6,17.7,15.8,16.9,17.3,17.3,15.5,16.9,15.9,7.5,7.8,7.6
Annual,Percentage,Total,Ireland,1.6,2.0,1.6,2.4,1.7,0.8,1.0,0.5,0.7,0.6,1.4,1.3,1.2,1.0,0.7,0.8,1.2 b,1.3 b
Annual,Percentage,Total,Iceland,:,2.1,1.5,1.4,1.6,1.2,1.7,1.6,2.0,2.4,2.8,2.2,2.5,1.5,1.6,1.6,3.3,:
Annual,Percentage,Total,Italy,:,9.0,8.0,8.1,7.5,7.3,7.5,7.0,8.7,8.4,8.8,9.5,9.6,7.6,5.5,5.0,5.0,6.1
Annual,Percentage,Total,Lithuania,:,:,28.3,26.0,21.9,18.8,16.4,13.5,7.6,7.1,9.1,10.1,8.9,8.6,8.1,6.9,7.8,5.4
Annual,Percentage,Total,Luxembourg,2.7,2.5,2.2,1.8,2.1,2.4,1.7,2.3,1.9,2.4,1.8,1.6,1.7,2.1 b,2.3,2.2,2.0,1.6 b
Annual,Percentage,Total,Latvia,:,:,31.6,26.9,25.2,22.3,22.3,21.9,17.5,16.4,16.3,16.6,15.5,14.6,15.2,14.9,12.7,11.5
Annual,Percentage,Total,Montenegro,:,:,:,:,:,:,:,:,:,:,23.3,21.2,24.2,18.3,16.6,18.3,19.0,18.2
Annual,Percentage,Total,North Macedonia,:,:,:,:,:,:,:,:,:,:,:,:,:,12.2,10.1,11.1,9.7,9.9
Annual,Percentage,Total,Malta,:,:,1.0,0.8,0.9,1.0,1.3,1.4,1.6,1.0,1.3,1.3,1.3,1.6,1.4,1.2,1.3,1.0
Annual,Percentage,Total,Netherlands,:,:,0.5,0.5,0.8,0.6,0.5,0.5,0.5,0.9,0.8,0.6,1.0,1.4 b,1.0,1.3,1.5,1.5
Annual,Percentage,Total,Norway,:,1.3,1.4,1.3,1.2,1.3,1.0,1.4,1.3,1.2,1.3,0.7,0.7,1.0,0.8,0.9,1.0,1.0
Annual,Percentage,Total,Poland,:,:,29.7,28.6,25.9,18.1,15.2,13.3,11.4,10.5,10.1,9.1,9.8,9.4,9.8,8.6,7.9,:
Annual,Percentage,Total,Portugal,:,7.1,7.7,7.5,7.6,6.9,4.7,5.6,4.0,4.3,5.6,5.5,4.7,4.9,4.0,4.1,4.1,3.9
Annual,Percentage,Total,Romania,:,:,:,:,32.0,29.1,27.2,25.3,24.0,22.8,22.8,20.6,19.8,19.8,17.2,16.1,14.2,14.3
Annual,Percentage,Total,Serbia,:,:,:,:,:,:,:,:,:,:,16.4,17.5,16.6,15.7,15.2,11.8,13.9,8.8
Annual,Percentage,Total,Sweden,:,1.4,1.0,1.4,1.2,1.6 b,1.5,2.0,2.1,1.7,1.8,2.1,2.6,2.7,2.5,2.9,2.6,2.5
Annual,Percentage,Total,Slovenia,:,:,12.3,13.1,12.3,16.6,17.5,15.4,8.7,8.1,6.5,6.5,5.6,4.5,4.4,4.8,3.9,3.1
Annual,Percentage,Total,Slovakia,:,:,6.3,5.4,4.5,5.5,4.2,3.8,4.8,5.1,4.5,4.3,4.2,4.3,5.2,3.7,3.6,3.2
Annual,Percentage,Total,Türkiye,:,:,:,:,:,:,:,:,:,:,:,:,26.4,26.1,25.1,23.9,23.4,21.9
Annual,Percentage,Total,United Kingdom,:,:,2.3,2.1,2.2,2.3,2.9,2.8,2.6,2.0 b,2.5,2.4,2.2,2.2,1.0 b,1.9,:,:
Annual,Percentage,Total,Kosovo*,:,:,:,:,:,:,:,:,:,:,:,:,:,:,:,20.3,:,:
