tree_id,node_id,parent_id,depth,edge_label,full_path,n_children,n_terminal_here,n_measures_subtree,is_branch_point,examples
103,0,-1,0,business,business,2,0,2,True,Business demography by size class and NACE Rev. 2 activity | Business written in non-EEA countries
104,0,-1,0,demography by size class and nace rev 2 activity,business > demography > by > size > class > and > nace > rev > 2 > activity,0,1,1,False,Business demography by size class and NACE Rev. 2 activity
105,0,-1,0,written in non eea countries,business > written > in > non > eea > countries,0,1,1,False,Business written in non-EEA countries
106,0,-1,0,co2,co2,1,0,1,False,CO2 emissions from the production and consumption (footprint) perspectives (FIGARO application)
106,1,0,1,emissions from the production and consumption footprint perspectives figaro application,co2 > emissions > from > the > production > and > consumption > footprint > perspectives > figaro > application,0,1,1,False,CO2 emissions from the production and consumption (footprint) perspectives (FIGARO application)
107,0,-1,0,capital,capital,1,0,1,False,Capital account - annual data
107,1,0,1,account annual data,capital > account > annual > data,0,1,1,False,Capital account - annual data
108,0,-1,0,carrying,carrying,1,0,3,False,Carrying capacity of merchant ships of 1000 grt and over by vessel type | Carrying capacity of pipelines operated | Carrying capacity of the inland waterway transport enterprises vessels by number of vessels in enterprises -
108,1,0,1,capacity of,carrying > capacity > of,3,0,3,True,Carrying capacity of merchant ships of 1000 grt and over by vessel type | Carrying capacity of pipelines operated | Carrying capacity of the inland waterway transport enterprises vessels by number of vessels in enterprises -
109,0,-1,0,merchant ships of 1000 grt and over by vessel type,carrying > capacity > of > merchant > ships > of > 1000 > grt > and > over > by > vessel > type,0,1,1,False,Carrying capacity of merchant ships of 1000 grt and over by vessel type
110,0,-1,0,pipelines operated,carrying > capacity > of > pipelines > operated,0,1,1,False,Carrying capacity of pipelines operated
111,0,-1,0,the inland waterway transport enterprises vessels by number of vessels in enterprises,carrying > capacity > of > the > inland > waterway > transport > enterprises > vessels > by > number > of > vessels > in > enterprises,0,1,1,False,Carrying capacity of the inland waterway transport enterprises vessels by number of vessels in enterprises -
112,0,-1,0,catches,catches,3,0,3,True,Catches - north-west Pacific | Catches - west-central Pacific | Catches in all fishing regions
112,1,0,1,north west pacific,catches > north > west > pacific,0,1,1,False,Catches - north-west Pacific
112,2,0,1,west central pacific,catches > west > central > pacific,0,1,1,False,Catches - west-central Pacific
112,3,0,1,in all fishing regions,catches > in > all > fishing > regions,0,1,1,False,Catches in all fishing regions
113,0,-1,0,causes,causes,1,0,3,False,"Causes of death - crude death rate by NUTS 2 region of residence | Causes of death - potential years of life lost by residence | Causes of death, by sex"
113,1,0,1,of death,causes > of > death,3,0,3,True,"Causes of death - crude death rate by NUTS 2 region of residence | Causes of death - potential years of life lost by residence | Causes of death, by sex"
114,0,-1,0,crude death rate by nuts 2 region of residence,causes > of > death > crude > death > rate > by > nuts > 2 > region > of > residence,0,1,1,False,Causes of death - crude death rate by NUTS 2 region of residence
115,0,-1,0,potential years of life lost by residence,causes > of > death > potential > years > of > life > lost > by > residence,0,1,1,False,Causes of death - potential years of life lost by residence
116,0,-1,0,by sex,causes > of > death > by > sex,0,1,1,False,"Causes of death, by sex"
117,0,-1,0,central,central,1,0,3,False,Central government bond yields - annual data | Central government bond yields - monthly data | Central government bond yields - quarterly data
117,1,0,1,government bond yields,central > government > bond > yields,3,0,3,True,Central government bond yields - annual data | Central government bond yields - monthly data | Central government bond yields - quarterly data
117,2,1,2,annual data,central > government > bond > yields > annual > data,0,1,1,False,Central government bond yields - annual data
117,3,1,2,monthly data,central > government > bond > yields > monthly > data,0,1,1,False,Central government bond yields - monthly data
117,4,1,2,quarterly data,central > government > bond > yields > quarterly > data,0,1,1,False,Central government bond yields - quarterly data
118,0,-1,0,cereals,cereals,1,0,1,False,"Cereals for the production of grain (including seed) by area, production and humidity"
118,1,0,1,for the production of grain including seed by area production and humidity,cereals > for > the > production > of > grain > including > seed > by > area > production > and > humidity,0,1,1,False,"Cereals for the production of grain (including seed) by area, production and humidity"
119,0,-1,0,change,change,1,0,1,False,"Change of immigration status permits by age, sex and citizenship"
119,1,0,1,of immigration status permits by age sex and citizenship,change > of > immigration > status > permits > by > age > sex > and > citizenship,0,1,1,False,"Change of immigration status permits by age, sex and citizenship"
120,0,-1,0,child,child,1,0,3,False,Child specific material deprivation rate by age (children aged less than 16 years) | Child specific material deprivation rate by educational attainment level of their parents (children aged less than 16 years) | Child specific material deprivation rate by household composition (children aged less than 16 years)
120,1,0,1,specific material deprivation rate by,child > specific > material > deprivation > rate > by,3,0,3,True,Child specific material deprivation rate by age (children aged less than 16 years) | Child specific material deprivation rate by educational attainment level of their parents (children aged less than 16 years) | Child specific material deprivation rate by household composition (children aged less than 16 years)
120,2,1,2,age children aged less than 16 years,child > specific > material > deprivation > rate > by > age > children > aged > less > than > 16 > years,0,1,1,False,Child specific material deprivation rate by age (children aged less than 16 years)
120,3,1,2,educational attainment level of their parents children aged less than 16 years,child > specific > material > deprivation > rate > by > educational > attainment > level > of > their > parents > children > aged > less > than > 16 > years,0,1,1,False,Child specific material deprivation rate by educational attainment level of their parents (children aged less than 16 years)
120,4,1,2,household composition children aged less than 16 years,child > specific > material > deprivation > rate > by > household > composition > children > aged > less > than > 16 > years,0,1,1,False,Child specific material deprivation rate by household composition (children aged less than 16 years)
121,0,-1,0,children,children,5,0,9,True,"Children (aged 0 to 17) having neither a bath, nor a shower in their dwelling - EU-SILC survey | Children (aged 0 to 17) not having indoor flushing toilet for the sole use of their household - EU-SILC survey | Children (aged less than 18) at risk of poverty or social exclusion - EU2030 target"
121,1,0,1,aged,children > aged,2,0,5,True,"Children (aged 0 to 17) having neither a bath, nor a shower in their dwelling - EU-SILC survey | Children (aged 0 to 17) not having indoor flushing toilet for the sole use of their household - EU-SILC survey | Children (aged less than 18) at risk of poverty or social exclusion - EU2030 target"
121,2,0,1,at risk of poverty or social exclusion,children > at > risk > of > poverty > or > social > exclusion,0,1,1,False,Children at risk of poverty or social exclusion
122,0,-1,0,0 to 17,children > aged > 0 > to > 17,2,0,2,True,"Children (aged 0 to 17) having neither a bath, nor a shower in their dwelling - EU-SILC survey | Children (aged 0 to 17) not having indoor flushing toilet for the sole use of their household - EU-SILC survey"
122,1,0,1,having neither a bath nor a shower in their dwelling eu silc survey,children > aged > 0 > to > 17 > having > neither > a > bath > nor > a > shower > in > their > dwelling > eu > silc > survey,0,1,1,False,"Children (aged 0 to 17) having neither a bath, nor a shower in their dwelling - EU-SILC survey"
122,2,0,1,not having indoor flushing toilet for the sole use of their household eu silc survey,children > aged > 0 > to > 17 > not > having > indoor > flushing > toilet > for > the > sole > use > of > their > household > eu > silc > survey,0,1,1,False,Children (aged 0 to 17) not having indoor flushing toilet for the sole use of their household - EU-SILC survey
123,0,-1,0,less than,children > aged > less > than,2,0,3,True,Children (aged less than 18) at risk of poverty or social exclusion - EU2030 target | Children (aged less than 18) living in households with very low work intensity by sex | Children aged less than 3 years in formal childcare
124,0,-1,0,18,children > aged > less > than > 18,2,0,2,True,Children (aged less than 18) at risk of poverty or social exclusion - EU2030 target | Children (aged less than 18) living in households with very low work intensity by sex
125,0,-1,0,at risk of poverty or social exclusion eu2030 target,children > aged > less > than > 18 > at > risk > of > poverty > or > social > exclusion > eu2030 > target,0,1,1,False,Children (aged less than 18) at risk of poverty or social exclusion - EU2030 target
126,0,-1,0,living in households with very low work intensity by sex,children > aged > less > than > 18 > living > in > households > with > very > low > work > intensity > by > sex,0,1,1,False,Children (aged less than 18) living in households with very low work intensity by sex
127,0,-1,0,3 years in formal childcare,children > aged > less > than > 3 > years > in > formal > childcare,0,1,1,False,Children aged less than 3 years in formal childcare
128,0,-1,0,cared only by their parents by age group over the population of each age group eu silc survey,children > cared > only > by > their > parents > by > age > group > over > the > population > of > each > age > group > eu > silc > survey,0,1,1,False,Children cared only by their parents by age group - % over the population of each age group - EU-SILC survey
129,0,-1,0,having one of their parents living outside the household,children > having > one > of > their > parents > living > outside > the > household,0,1,1,False,Children having one of their parents living outside the household
130,0,-1,0,with unmet needs for medical examination or treatment by specific reason,children > with > unmet > needs > for > medical > examination > or > treatment > by > specific > reason,0,1,1,False,Children with unmet needs for medical examination or treatment by specific reason
131,0,-1,0,circular,circular,1,0,2,False,Circular material use rate | Circular material use rate by material type
131,1,0,1,material use rate,circular > material > use > rate,1,1,2,False,Circular material use rate | Circular material use rate by material type
131,2,1,2,by material type,circular > material > use > rate > by > material > type,0,1,1,False,Circular material use rate by material type
132,0,-1,0,classroom,classroom,1,0,1,False,"Classroom teachers working full-time and part-time in primary, lower-secondary and upper-secondary education - as % of total active population"
132,1,0,1,teachers working full time and part time in primary lower secondary and upper secondary education as of total active population,classroom > teachers > working > full > time > and > part > time > in > primary > lower > secondary > and > upper > secondary > education > as > of > total > active > population,0,1,1,False,"Classroom teachers working full-time and part-time in primary, lower-secondary and upper-secondary education - as % of total active population"
133,0,-1,0,climate,climate,1,0,1,False,Climate related economic losses – values at constant prices
133,1,0,1,related economic losses values at constant prices,climate > related > economic > losses > values > at > constant > prices,0,1,1,False,Climate related economic losses – values at constant prices
134,0,-1,0,collection,collection,1,0,1,False,Collection of cow's milk
134,1,0,1,of cow s milk,collection > of > cow > s > milk,0,1,1,False,Collection of cow's milk
135,0,-1,0,commercial,commercial,2,0,4,True,Commercial aircraft fleet by age of aircraft and country of operator | Commercial aircraft fleet by age of aircraft and country of registration | Commercial aircraft fleet by type of aircraft
136,0,-1,0,aircraft fleet by,commercial > aircraft > fleet > by,2,0,3,True,Commercial aircraft fleet by age of aircraft and country of operator | Commercial aircraft fleet by age of aircraft and country of registration | Commercial aircraft fleet by type of aircraft
136,1,0,1,age of aircraft and country of,commercial > aircraft > fleet > by > age > of > aircraft > and > country > of,2,0,2,True,Commercial aircraft fleet by age of aircraft and country of operator | Commercial aircraft fleet by age of aircraft and country of registration
136,2,1,2,operator,commercial > aircraft > fleet > by > age > of > aircraft > and > country > of > operator,0,1,1,False,Commercial aircraft fleet by age of aircraft and country of operator
136,3,1,2,registration,commercial > aircraft > fleet > by > age > of > aircraft > and > country > of > registration,0,1,1,False,Commercial aircraft fleet by age of aircraft and country of registration
136,4,0,1,type of aircraft,commercial > aircraft > fleet > by > type > of > aircraft,0,1,1,False,Commercial aircraft fleet by type of aircraft
137,0,-1,0,airports by type,commercial > airports > by > type,0,1,1,False,Commercial airports by type
138,0,-1,0,commissions,commissions,2,0,2,True,Commissions payable by product | Commissions receivable by product
138,1,0,1,payable by product,commissions > payable > by > product,0,1,1,False,Commissions payable by product
138,2,0,1,receivable by product,commissions > receivable > by > product,0,1,1,False,Commissions receivable by product
139,0,-1,0,common,common,2,0,3,True,Common bird index by type of species - aggregate | Common bird indices by type of estimate | Common farmland bird index
139,1,0,1,bird,common > bird,2,0,2,True,Common bird index by type of species - aggregate | Common bird indices by type of estimate
139,2,1,2,index by type of species aggregate,common > bird > index > by > type > of > species > aggregate,0,1,1,False,Common bird index by type of species - aggregate
139,3,1,2,indices by type of estimate,common > bird > indices > by > type > of > estimate,0,1,1,False,Common bird indices by type of estimate
139,4,0,1,farmland bird index,common > farmland > bird > index,0,1,1,False,Common farmland bird index
140,0,-1,0,,,12,0,12,True,Communication | Debts | Emigration
141,0,-1,0,communication,communication,0,1,1,False,Communication
142,0,-1,0,debts,debts,0,1,1,False,Debts
143,0,-1,0,emigration,emigration,0,1,1,False,Emigration
144,0,-1,0,employment,employment,0,1,1,False,Employment
145,0,-1,0,erosion,erosion,0,1,1,False,Erosion
146,0,-1,0,immigration,immigration,0,1,1,False,Immigration
147,0,-1,0,landuse,landuse,0,1,1,False,Landuse
148,0,-1,0,literacy,literacy,0,1,1,False,Literacy
149,0,-1,0,livestock,livestock,0,1,1,False,Livestock
150,0,-1,0,trams,trams,0,1,1,False,Trams
151,0,-1,0,wages,wages,0,1,1,False,Wages
152,0,-1,0,area,area,0,1,1,False,area
153,0,-1,0,community,community,2,0,13,True,Community design applications | Community design applications by metropolitan regions | Community design applications by other typologies
153,1,0,1,design applications,community > design > applications,2,1,8,True,Community design applications | Community design applications by metropolitan regions | Community design applications by other typologies
153,2,1,2,by,community > design > applications > by,3,0,3,True,Community design applications by metropolitan regions | Community design applications by other typologies | Community design applications by type of design
153,3,2,3,metropolitan regions,community > design > applications > by > metropolitan > regions,0,1,1,False,Community design applications by metropolitan regions
153,4,2,3,other typologies,community > design > applications > by > other > typologies,0,1,1,False,Community design applications by other typologies
153,5,2,3,type of design,community > design > applications > by > type > of > design,0,1,1,False,Community design applications by type of design
153,6,1,2,per,community > design > applications > per,2,0,4,True,Community design applications per billion GDP | Community design applications per million population | Community design applications per million population by metropolitan regions
153,7,6,3,billion gdp,community > design > applications > per > billion > gdp,0,1,1,False,Community design applications per billion GDP
153,8,6,3,million population,community > design > applications > per > million > population,1,1,3,False,Community design applications per million population | Community design applications per million population by metropolitan regions | Community design applications per million population by other typologies
153,9,8,4,by,community > design > applications > per > million > population > by,2,0,2,True,Community design applications per million population by metropolitan regions | Community design applications per million population by other typologies
153,10,9,5,metropolitan regions,community > design > applications > per > million > population > by > metropolitan > regions,0,1,1,False,Community design applications per million population by metropolitan regions
153,11,9,5,other typologies,community > design > applications > per > million > population > by > other > typologies,0,1,1,False,Community design applications per million population by other typologies
153,12,0,1,designs,community > designs,3,0,5,True,Community designs by metropolitan regions | Community designs by other typologies | Community designs filed
153,13,12,2,by,community > designs > by,2,0,2,True,Community designs by metropolitan regions | Community designs by other typologies
153,14,13,3,metropolitan regions,community > designs > by > metropolitan > regions,0,1,1,False,Community designs by metropolitan regions
153,15,13,3,other typologies,community > designs > by > other > typologies,0,1,1,False,Community designs by other typologies
153,16,12,2,filed,community > designs > filed,0,1,1,False,Community designs filed
153,17,12,2,per million population by,community > designs > per > million > population > by,2,0,2,True,Community designs per million population by metropolitan regions | Community designs per million population by other typologies
153,18,17,3,metropolitan regions,community > designs > per > million > population > by > metropolitan > regions,0,1,1,False,Community designs per million population by metropolitan regions
153,19,17,3,other typologies,community > designs > per > million > population > by > other > typologies,0,1,1,False,Community designs per million population by other typologies
154,0,-1,0,comparative,comparative,1,0,1,False,Comparative price levels
154,1,0,1,price levels,comparative > price > levels,0,1,1,False,Comparative price levels
155,0,-1,0,compensation,compensation,1,0,2,False,"Compensation of employees | Compensation of employees - annual data, million units of national currency"
155,1,0,1,of employees,compensation > of > employees,1,1,2,False,"Compensation of employees | Compensation of employees - annual data, million units of national currency"
155,2,1,2,annual data million units of national currency,compensation > of > employees > annual > data > million > units > of > national > currency,0,1,1,False,"Compensation of employees - annual data, million units of national currency"
156,0,-1,0,composition,composition,1,0,1,False,Composition of municipal waste
156,1,0,1,of municipal waste,composition > of > municipal > waste,0,1,1,False,Composition of municipal waste
157,0,-1,0,concentration,concentration,1,0,1,False,Concentration of multinational enterprise groups by NACE Rev.2 activity - experimental statistics
157,1,0,1,of multinational enterprise groups by nace rev 2 activity experimental statistics,concentration > of > multinational > enterprise > groups > by > nace > rev > 2 > activity > experimental > statistics,0,1,1,False,Concentration of multinational enterprise groups by NACE Rev.2 activity - experimental statistics
158,0,-1,0,confidence,confidence,1,0,1,False,Confidence indicators by sector
158,1,0,1,indicators by sector,confidence > indicators > by > sector,0,1,1,False,Confidence indicators by sector
159,0,-1,0,consolidated,consolidated,1,0,1,False,"Consolidated banking leverage, domestic and foreign entities (asset-to-equity multiple)"
159,1,0,1,banking leverage domestic and foreign entities asset to equity multiple,consolidated > banking > leverage > domestic > and > foreign > entities > asset > to > equity > multiple,0,1,1,False,"Consolidated banking leverage, domestic and foreign entities (asset-to-equity multiple)"
160,0,-1,0,consultation,consultation,1,0,3,False,Consultation of a dentist per inhabitant | Consultation of a medical doctor (in private practice or as outpatient) per inhabitant – historical data | Consultation of a medical doctor per inhabitant
160,1,0,1,of a,consultation > of > a,2,0,3,True,Consultation of a dentist per inhabitant | Consultation of a medical doctor (in private practice or as outpatient) per inhabitant – historical data | Consultation of a medical doctor per inhabitant
160,2,1,2,dentist per inhabitant,consultation > of > a > dentist > per > inhabitant,0,1,1,False,Consultation of a dentist per inhabitant
160,3,1,2,medical doctor,consultation > of > a > medical > doctor,2,0,2,True,Consultation of a medical doctor (in private practice or as outpatient) per inhabitant – historical data | Consultation of a medical doctor per inhabitant
160,4,3,3,in private practice or as outpatient per inhabitant historical data,consultation > of > a > medical > doctor > in > private > practice > or > as > outpatient > per > inhabitant > historical > data,0,1,1,False,Consultation of a medical doctor (in private practice or as outpatient) per inhabitant – historical data
160,5,3,3,per inhabitant,consultation > of > a > medical > doctor > per > inhabitant,0,1,1,False,Consultation of a medical doctor per inhabitant
161,0,-1,0,consumer,consumer,1,0,1,False,Consumer price index
161,1,0,1,price index,consumer > price > index,0,1,1,False,Consumer price index
162,0,-1,0,consumption,consumption,2,0,4,True,Consumption footprint – single weighted score | Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day | Consumption of chemicals by hazardousness - aggregate
163,0,-1,0,footprint single weighted score,consumption > footprint > single > weighted > score,0,1,1,False,Consumption footprint – single weighted score
164,0,-1,0,of,consumption > of,3,0,3,True,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day | Consumption of chemicals by hazardousness - aggregate | Consumption of lightweight plastic carrier bags by their wall thickness
165,0,-1,0,antibiotics in the community and hospital sectors defined daily doses ddd per day,consumption > of > antibiotics > in > the > community > and > hospital > sectors > defined > daily > doses > ddd > per > day,0,1,1,False,Consumption of antibiotics in the community and hospital sectors – defined daily doses (DDD) per day
166,0,-1,0,chemicals by hazardousness aggregate,consumption > of > chemicals > by > hazardousness > aggregate,0,1,1,False,Consumption of chemicals by hazardousness - aggregate
167,0,-1,0,lightweight plastic carrier bags by their wall thickness,consumption > of > lightweight > plastic > carrier > bags > by > their > wall > thickness,0,1,1,False,Consumption of lightweight plastic carrier bags by their wall thickness
168,0,-1,0,container,container,1,0,1,False,Container transport by type of goods and coverage
168,1,0,1,transport by type of goods and coverage,container > transport > by > type > of > goods > and > coverage,0,1,1,False,Container transport by type of goods and coverage
169,0,-1,0,contribution,contribution,2,0,2,True,Contribution of recycled materials to raw materials demand - end-of-life recycling input rates (EOL-RIR) | Contribution to the international 100bn USD commitment on climate related expending
170,0,-1,0,of recycled materials to raw materials demand end of life recycling input rates eol rir,contribution > of > recycled > materials > to > raw > materials > demand > end > of > life > recycling > input > rates > eol > rir,0,1,1,False,Contribution of recycled materials to raw materials demand - end-of-life recycling input rates (EOL-RIR)
171,0,-1,0,to the international 100bn usd commitment on climate related expending,contribution > to > the > international > 100bn > usd > commitment > on > climate > related > expending,0,1,1,False,Contribution to the international 100bn USD commitment on climate related expending
172,0,-1,0,convergence,convergence,1,0,1,False,Convergence indicators
172,1,0,1,indicators,convergence > indicators,0,1,1,False,Convergence indicators
173,0,-1,0,conversion,conversion,1,0,1,False,Conversion factors for euro fixed series into euro/ECU - annual data
173,1,0,1,factors for euro fixed series into euro ecu annual data,conversion > factors > for > euro > fixed > series > into > euro > ecu > annual > data,0,1,1,False,Conversion factors for euro fixed series into euro/ECU - annual data
174,0,-1,0,cooling,cooling,1,0,1,False,Cooling and heating degree days by country - annual data
174,1,0,1,and heating degree days by country annual data,cooling > and > heating > degree > days > by > country > annual > data,0,1,1,False,Cooling and heating degree days by country - annual data
175,0,-1,0,correction,correction,1,0,3,False,Correction coefficients in the European Union (Countries) - index = 100) | Correction coefficients in the European Union (Duty stations) - index (Brussels = 100) | Correction coefficients outside the European Union (Duty stations) - index (Brussels = 100)
175,1,0,1,coefficients,correction > coefficients,2,0,3,True,Correction coefficients in the European Union (Countries) - index = 100) | Correction coefficients in the European Union (Duty stations) - index (Brussels = 100) | Correction coefficients outside the European Union (Duty stations) - index (Brussels = 100)
175,2,1,2,in the european union,correction > coefficients > in > the > european > union,2,0,2,True,Correction coefficients in the European Union (Countries) - index = 100) | Correction coefficients in the European Union (Duty stations) - index (Brussels = 100)
175,3,2,3,countries index 100,correction > coefficients > in > the > european > union > countries > index > 100,0,1,1,False,Correction coefficients in the European Union (Countries) - index = 100)
175,4,2,3,duty stations index brussels 100,correction > coefficients > in > the > european > union > duty > stations > index > brussels > 100,0,1,1,False,Correction coefficients in the European Union (Duty stations) - index (Brussels = 100)
175,5,1,2,outside the european union duty stations index brussels 100,correction > coefficients > outside > the > european > union > duty > stations > index > brussels > 100,0,1,1,False,Correction coefficients outside the European Union (Duty stations) - index (Brussels = 100)
176,0,-1,0,corruption,corruption,1,0,1,False,Corruption Perceptions Index
176,1,0,1,perceptions index,corruption > perceptions > index,0,1,1,False,Corruption Perceptions Index
177,0,-1,0,country,country,1,0,5,False,Country level - gross weight of goods handled in all ports | Country level - gross weight of goods handled in main ports | Country level - gross weight of goods transported to/from main ports
177,1,0,1,level,country > level,3,0,5,True,Country level - gross weight of goods handled in all ports | Country level - gross weight of goods handled in main ports | Country level - gross weight of goods transported to/from main ports
178,0,-1,0,gross weight of goods,country > level > gross > weight > of > goods,2,0,3,True,Country level - gross weight of goods handled in all ports | Country level - gross weight of goods handled in main ports | Country level - gross weight of goods transported to/from main ports
178,1,0,1,handled in,country > level > gross > weight > of > goods > handled > in,2,0,2,True,Country level - gross weight of goods handled in all ports | Country level - gross weight of goods handled in main ports
178,2,1,2,all ports,country > level > gross > weight > of > goods > handled > in > all > ports,0,1,1,False,Country level - gross weight of goods handled in all ports
178,3,1,2,main ports,country > level > gross > weight > of > goods > handled > in > main > ports,0,1,1,False,Country level - gross weight of goods handled in main ports
178,4,0,1,transported to from main ports,country > level > gross > weight > of > goods > transported > to > from > main > ports,0,1,1,False,Country level - gross weight of goods transported to/from main ports
179,0,-1,0,passengers embarked and disembarked in all ports,country > level > passengers > embarked > and > disembarked > in > all > ports,0,1,1,False,Country level - passengers embarked and disembarked in all ports
180,0,-1,0,volume in teus of containers handled in main ports by loading status,country > level > volume > in > teus > of > containers > handled > in > main > ports > by > loading > status,0,1,1,False,"Country level - volume (in TEUs) of containers handled in main ports, by loading status"
181,0,-1,0,crimes,crimes,1,0,2,False,Crimes recorded by the police | Crimes recorded by the police: homicide in cities
181,1,0,1,recorded by the police,crimes > recorded > by > the > police,1,1,2,False,Crimes recorded by the police | Crimes recorded by the police: homicide in cities
181,2,1,2,homicide in cities,crimes > recorded > by > the > police > homicide > in > cities,0,1,1,False,Crimes recorded by the police: homicide in cities
182,0,-1,0,crop,crop,2,0,2,True,Crop output - basic and producer prices | Crop production
182,1,0,1,output basic and producer prices,crop > output > basic > and > producer > prices,0,1,1,False,Crop output - basic and producer prices
182,2,0,1,production,crop > production,0,1,1,False,Crop production
183,0,-1,0,crude,crude,3,0,3,True,"Crude divorce rate | Crude marriage rate | Crude rate of birth, of dead and of population change"
183,1,0,1,divorce rate,crude > divorce > rate,0,1,1,False,Crude divorce rate
183,2,0,1,marriage rate,crude > marriage > rate,0,1,1,False,Crude marriage rate
184,0,-1,0,rate of birth of dead and of population change,crude > rate > of > birth > of > dead > and > of > population > change,0,1,1,False,"Crude rate of birth, of dead and of population change"
185,0,-1,0,cultural,cultural,1,0,1,False,Cultural employment by sex
185,1,0,1,employment by sex,cultural > employment > by > sex,0,1,1,False,Cultural employment by sex
186,0,-1,0,current,current,3,0,10,True,"Current account balance - 3 year average | Current account balance - annual data | Current account transactions - credits, debits and balance"
187,0,-1,0,account,current > account,2,0,7,True,"Current account balance - 3 year average | Current account balance - annual data | Current account transactions - credits, debits and balance"
188,0,-1,0,balance,current > account > balance,2,0,2,True,Current account balance - 3 year average | Current account balance - annual data
188,1,0,1,3 year average,current > account > balance > 3 > year > average,0,1,1,False,Current account balance - 3 year average
188,2,0,1,annual data,current > account > balance > annual > data,0,1,1,False,Current account balance - annual data
189,0,-1,0,transactions,current > account > transactions,5,0,5,True,"Current account transactions - credits, debits and balance | Current account transactions - goods: credits, debits and balance | Current account transactions - primary income: credits, debits and balance"
189,1,0,1,credits debits and balance,current > account > transactions > credits > debits > and > balance,0,1,1,False,"Current account transactions - credits, debits and balance"
189,2,0,1,goods credits debits and balance,current > account > transactions > goods > credits > debits > and > balance,0,1,1,False,"Current account transactions - goods: credits, debits and balance"
189,3,0,1,primary income credits debits and balance,current > account > transactions > primary > income > credits > debits > and > balance,0,1,1,False,"Current account transactions - primary income: credits, debits and balance"
189,4,0,1,secondary income credits debits and balance,current > account > transactions > secondary > income > credits > debits > and > balance,0,1,1,False,"Current account transactions - secondary income: credits, debits and balance"
189,5,0,1,services credits debits and balance,current > account > transactions > services > credits > debits > and > balance,0,1,1,False,"Current account transactions - services: credits, debits and balance"
190,0,-1,0,depressive symptoms by sex age and,current > depressive > symptoms > by > sex > age > and,2,0,2,True,"Current depressive symptoms by sex, age and educational attainment level | Current depressive symptoms by sex, age and income quintile"
190,1,0,1,educational attainment level,current > depressive > symptoms > by > sex > age > and > educational > attainment > level,0,1,1,False,"Current depressive symptoms by sex, age and educational attainment level"
190,2,0,1,income quintile,current > depressive > symptoms > by > sex > age > and > income > quintile,0,1,1,False,"Current depressive symptoms by sex, age and income quintile"
191,0,-1,0,level of capacity utilization in manufacturing industry,current > level > of > capacity > utilization > in > manufacturing > industry,0,1,1,False,Current level of capacity utilization in manufacturing industry
192,0,-1,0,customers,customers,1,0,1,False,Customers by type of district network and efficiency of network
192,1,0,1,by type of district network and efficiency of network,customers > by > type > of > district > network > and > efficiency > of > network,0,1,1,False,Customers by type of district network and efficiency of network
193,0,-1,0,daily,daily,2,0,3,True,"Daily consumption of fruit and vegetables by sex, age and educational attainment level | Daily smokers of cigarettes by sex, age and educational attainment level | Daily smokers of cigarettes by sex, age and income quintile"
194,0,-1,0,consumption of fruit and vegetables by sex age and educational attainment level,daily > consumption > of > fruit > and > vegetables > by > sex > age > and > educational > attainment > level,0,1,1,False,"Daily consumption of fruit and vegetables by sex, age and educational attainment level"
195,0,-1,0,smokers of cigarettes by sex age and,daily > smokers > of > cigarettes > by > sex > age > and,2,0,2,True,"Daily smokers of cigarettes by sex, age and educational attainment level | Daily smokers of cigarettes by sex, age and income quintile"
195,1,0,1,educational attainment level,daily > smokers > of > cigarettes > by > sex > age > and > educational > attainment > level,0,1,1,False,"Daily smokers of cigarettes by sex, age and educational attainment level"
195,2,0,1,income quintile,daily > smokers > of > cigarettes > by > sex > age > and > income > quintile,0,1,1,False,"Daily smokers of cigarettes by sex, age and income quintile"
196,0,-1,0,day,day,1,0,3,False,Day-to-day money market interest rates | Day-to-day rates for euro area countries - annual data | Day-to-day rates for euro area countries - quarterly data
196,1,0,1,to day,day > to > day,2,0,3,True,Day-to-day money market interest rates | Day-to-day rates for euro area countries - annual data | Day-to-day rates for euro area countries - quarterly data
197,0,-1,0,money market interest rates,day > to > day > money > market > interest > rates,0,1,1,False,Day-to-day money market interest rates
198,0,-1,0,rates for euro area countries,day > to > day > rates > for > euro > area > countries,2,0,2,True,Day-to-day rates for euro area countries - annual data | Day-to-day rates for euro area countries - quarterly data
198,1,0,1,annual data,day > to > day > rates > for > euro > area > countries > annual > data,0,1,1,False,Day-to-day rates for euro area countries - annual data
198,2,0,1,quarterly data,day > to > day > rates > for > euro > area > countries > quarterly > data,0,1,1,False,Day-to-day rates for euro area countries - quarterly data
199,0,-1,0,death,death,1,0,13,False,"Death due to AIDS (HIV-disease), by sex | Death due to accidents, by sex | Death due to alcoholic abuse, by sex"
199,1,0,1,due to,death > due > to,13,0,13,True,"Death due to AIDS (HIV-disease), by sex | Death due to accidents, by sex | Death due to alcoholic abuse, by sex"
199,2,1,2,aids hiv disease by sex,death > due > to > aids > hiv > disease > by > sex,0,1,1,False,"Death due to AIDS (HIV-disease), by sex"
199,3,1,2,accidents by sex,death > due > to > accidents > by > sex,0,1,1,False,"Death due to accidents, by sex"
199,4,1,2,alcoholic abuse by sex,death > due > to > alcoholic > abuse > by > sex,0,1,1,False,"Death due to alcoholic abuse, by sex"
