code,measure
hlth_ehis_am7sa,Self-reported use of home care services by people with severe difficulty in personal care activities by sex and age
hlth_ehis_am7sh,Self-reported use of home care services by people with severe difficulty in personal care activities by age and household type
hlth_ehis_bm1e$dv_309,"Body mass index (BMI) by sex, age and educational attainment level"
hlth_ehis_bm1i$dv_306,"Body mass index (BMI) by sex, age and income quintile"
hlth_ehis_fv3e$dv_1143,"Daily consumption of fruit and vegetables by sex, age and educational attainment level"
hlth_ehis_fv3e$dv_462,"Daily consumption of fruit and vegetables by sex, age and educational attainment level"
hlth_ehis_hc2,Self-reported breast examination by X-ray by educational attainment level among women aged 50-69 (%)
hlth_ehis_hc3,Self-reported cervical smear test by educational attainment level among women aged 20-69 (%)
hlth_ehis_mh1e$dv_463,"Current depressive symptoms by sex, age and educational attainment level"
hlth_ehis_mh1i$dv_464,"Current depressive symptoms by sex, age and income quintile"
hlth_ehis_pe2e$dv_1144,"Time spent on health-enhancing (non-work-related) aerobic physical activity by sex, age and educational attainment level"
hlth_ehis_pe2e$dv_301,"Time spent on health-enhancing (non-work-related) aerobic physical activity by sex, age and educational attainment level"
hlth_ehis_pe3e$dv_296,"Performing (non-work-related) physical activities by sex, age and educational attainment level"
hlth_ehis_sk3e$dv_1127,"Daily smokers of cigarettes by sex, age and educational attainment level"
hlth_ehis_sk3e$dv_298,"Daily smokers of cigarettes by sex, age and educational attainment level"
hlth_ehis_sk3i$dv_1141,"Daily smokers of cigarettes by sex, age and income quintile"
hlth_ehis_sk3i$dv_304,"Daily smokers of cigarettes by sex, age and income quintile"
hlth_hc_dent,Consultation of a dentist per inhabitant
hlth_hc_phys,Consultation of a medical doctor (in private practice or as outpatient) per inhabitant – historical data
hlth_hc_phys2,Consultation of a medical doctor per inhabitant
hlth_hlye$dv_2041,Healthy life years by sex (from onwards)
hlth_hlye$dv_287,Healthy life years by sex (from onwards)
hlth_hlye_h,Healthy life years -
hlth_ps_immu,Vaccination against influenza of population aged 65 and over
hlth_ps_prev,Preventive cancer screenings - programme data
hlth_ps_scre,Breast cancer and cervical cancer screenings - historical data
hlth_rs_bdltc,Beds in nursing and other residential long-term care facilities
hlth_rs_grd2$dv_2825,Health graduates
hlth_rs_prs2$dv_2824,Health personnel
hlth_sha11_hc$dv_2841,Health care expenditure by function
hlth_sha11_hf$dv_2821,Health care expenditure by financing scheme
hlth_sha11_hf$dv_2826,Health care expenditure by financing scheme
hlth_silc_08$dv_1146,"Self-reported unmet needs for medical examination by sex, age, main reason declared and income quintile"
hlth_silc_08b_r,"Self-reported unmet needs for medical examination due to financial reasons, long waiting list or distance by NUTS regions - % of the persons having the same needs"
hlth_silc_11$dv_1148,"People having a long-standing illness or health problem, by sex, age and income quintile"
hsw_ac4,Persons reporting a road traffic accident
hsw_ac8$dv_386,"Persons reporting an accident at work by sex, age and professional status"
hsw_aw_inasz,Standardised incidence rate of accidents at work by NACE Rev. 1.1 activity and size of enterprise
hsw_aw_inaws,Standardised incidence rate of accidents at work by NACE Rev. 1.1 activity and employment status
hsw_aw_nbosv,Number of accidents at work by part of body injured and severity
hsw_aw_nnasv,Number of accidents at work by NACE Rev. 1.1 activity and severity
hsw_aw_nnasz,Number of accidents at work by NACE Rev. 1.1 activity and size of enterprise
hsw_aw_nnaws,Number of accidents at work by NACE Rev. 1.1 activity and employment status
hsw_aw_ws2,"Incidence rate of accidents at work by type of workstation, NACE Rev. 1.1 activity, sex, age and severity"
hsw_hp_disnu,"Number of work-related health problems by diagnosis group, sex and number of complaints per victim"
hsw_hp_nuse,Work-related health problems in by sex
hsw_ij_edse,Relative standardised incidence rate of accidental injuries at work by educational attainment level and sex (mean rate for each Member State = 100)
hsw_ij_isna,Relative incidence rate of accidental injuries at work by occupation and NACE Rev. 1.1 activity mean rate = 100)
hsw_ij_nuse,Accidental injuries at work in by sex
hsw_ij_svhos,"Relative incidence rate of accidental injuries at work by severity, working hours and sex mean rate = 100 for each severity)"
hsw_ij_svnia,"Relative incidence rate of accidental injuries at work by severity, frequency of night work and age mean rate = 100 for each severity)"
hsw_ij_svsha,"Relative incidence rate of accidental injuries at work by severity, frequency of shift work and age mean rate = 100 for each severity)"
hsw_ind,Indicators on health and safety at work
hsw_occ_cnr,Recognised cases of occupational cancers - experimental statistics
hsw_occ_ina,index of occupational diseases – experimental statistics
htec_si_exp4,High-tech exports - Exports of high technology products as a share of total exports (from SITC Rev. 4)
icw_car_01,Distribution of households by age of the reference person - experimental statistics
icw_car_02,Distribution of households by household type - experimental statistics
icw_car_04,Distribution of households by activity status of the reference person - experimental statistics
icw_pov_03,Proportion of dissaving households - experimental statistics
icw_sr_02,Median saving rate by household type - experimental statistics
icw_sr_03,Median saving rate by income quintile - experimental statistics
icw_sr_05,Gini coefficient on household population - experimental statistics
icw_sr_09,Aggregate propensity to consume by household type - experimental statistics
icw_sr_10,Aggregate propensity to consume by income quintile - experimental statistics
icw_sr_12,Median saving rate by the self-declared level of difficulty to make ends meet - experimental statistics
icw_sr_13,Median saving rate by degree of urbanisation - experimental statistics
icw_sr_14,Aggregate propensity to consume by degree of urbanisation - experimental statistics
icw_sr_15,Median saving rate by activity status of the reference person - experimental statistics
icw_sr_16,Aggregate propensity to consume by activity status of the reference person - experimental statistics
ilc_camdforg0,Median number of weekly hours of formal care by age group - children with at least 1 hour of formal care - EU-SILC survey
ilc_camdothg0,Median number of weekly hours of other types of care by age group - children with at least one hour of other types of care - EU-SILC survey
ilc_camnforall,Average number of weekly hours of formal care by age group - children with or without formal care - EU-SILC survey
ilc_camnforg0,Average number of weekly hours of formal care by age group - children with at least 1 hour of formal care - EU-SILC survey
ilc_camnothall,Average number of weekly hours of other types of care by age group - children with or without other types of care - EU-SILC survey
ilc_camnothg0,Average number of weekly hours of other types of care by age group - children with at least one hour of other types of care - EU-SILC survey
ilc_caparents,Children cared only by their parents by age group - % over the population of each age group - EU-SILC survey
ilc_chmd01,Child specific material deprivation rate by age (children aged less than 16 years)
ilc_chmd02,Child specific material deprivation rate by household composition (children aged less than 16 years)
ilc_chmd03,Child specific material deprivation rate by educational attainment level of their parents (children aged less than 16 years)
ilc_chmd04,Mean number of deprivation items among the children deprived (children aged less than 16 years)
ilc_chsb01,Children having one of their parents living outside the household
ilc_chsb02,Parents spending enough time with children living with them
ilc_di11_r,Income quintile share ratio S80/S20 by NUTS 2 regions - EU-SILC survey
ilc_di11g,Effect of taxes on income quintile share ratio S80/S20
ilc_di11h,Effect of social transfers on income quintile share ratio S80/S20
ilc_di11i,Effect of taxes and social transfers on income quintile share ratio S80/S20
ilc_di12,Gini coefficient of equivalised disposable income by age
ilc_di12b,Gini coefficient of equivalised disposable income before social transfers (pensions included in social transfers)
ilc_di12c,Gini coefficient of equivalised disposable income before social transfers (pensions excluded from social transfers)
ilc_di18,Income in real terms SILC=100)
ilc_hch15,Children with unmet needs for medical examination or treatment by specific reason
ilc_hch16$dv_2262,"Persons reporting basic activity difficulty by sex, age, level of difficulty and educational attainment level"
ilc_hch17$dv_2261,"Persons reporting basic activity difficulty by sex, age, level of difficulty and income quintile"
ilc_hch18$dv_2263,"Persons reporting basic activity difficulty by sex, age, level of difficulty and degree of urbanization"
ilc_hch19$dv_2264,"Persons reporting basic activity difficulty by sex, age, level of difficulty, type of basic action and risk of poverty threshold"
ilc_igtp03,At-risk-of poverty rate for adults (aged 25 to 59 years) by educational attainment level of their parents
ilc_igtp04,At-risk-of poverty rate for adults (aged 25 to 59 years) by level of financial situation of their households when respondent was around 14 years old
ilc_iw02$dv_2665,In-work at-risk-of-poverty rate by household type - EU-SILC survey
ilc_iw04,In-work at-risk-of-poverty rate by educational attainment level - EU-SILC survey
ilc_iw06,In-work at-risk-of-poverty rate by months worked - EU-SILC survey
ilc_iw07,In-work at-risk-of-poverty rate by full-/part-time work - EU-SILC survey
ilc_li02$dv_548,"At-risk-of-poverty rate by poverty threshold, age and sex - EU-SILC and ECHP surveys"
ilc_li11$dv_2662,Relative at risk of poverty gap by poverty threshold - EU-SILC and ECHP surveys
ilc_li12,Relative poverty gap by risk of poverty and work intensity of the household
ilc_li13,Relative poverty gap by risk of poverty and work intensity of the households with income from benefits
ilc_li21$dv_2663,Persistent at-risk-of-poverty rate by sex and age - EU-SILC and ECHP surveys
ilc_li22$dv_2664,At-risk-of-poverty rate anchored at a fixed moment in time by age and sex - EU-SILC survey
ilc_li33,At-risk-of poverty rate for children by citizenship of their parents (population aged 0 to 17 years)
ilc_li33$dv_1983,At-risk-of poverty rate for children by citizenship of their parents (population aged 0 to 17 years)
ilc_li34,At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17 years)
ilc_li34$dv_1982,At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17 years)
ilc_li48,At-risk-of-poverty rate after deducting housing costs by degree of urbanisation
ilc_li70,Persons receiving benefits (other than old age benefits) by risk of poverty and work intensity of the household (population aged 18-64)
ilc_lk11,Self defined health status by age and income quantile - ECHP survey
ilc_lvhd01,Persons having experienced housing difficulties in their life by sex and current risk of poverty or social exclusion situation
ilc_lvhd02,Persons having experienced housing difficulties in their life by sex and type of temporary solution (effect)
ilc_lvhd03,Persons having experienced housing difficulties in their life by sex and group of country of birth
ilc_lvhd04,Persons having experienced housing difficulties in their life by sex and group of current country of citizenship
ilc_lvhd06,Persons having overcome housing difficulties experienced in their life by sex and reason
ilc_lvhl11n$dv_1181,Persons living in households with very low work intensity by age and sex (population aged 0 to 64 years)
ilc_lvhl21n,Persons living in households with very low work intensity by NUTS regions (population aged 0 to 64 years)
ilc_lvhl23n,Persons living in households with very low work intensity by degree of urbanisation (population aged 0 to 64 years) - strategy
ilc_lvhl30$dv_1323,Labour transitions by employment status
ilc_lvhl36,Labour transitions from temporary to permanent contracts by sex -3-year average
ilc_lvho03h,Average number of rooms per person by tenure status and dwelling type until - ECHP survey
ilc_lvho04d,Average number of rooms per person by degree of urbanization
ilc_lvho04n,Average number of rooms per person by NUTS region
ilc_lvho05a$dv_1185,"Overcrowding rate by age, sex and poverty status - total population - EU-SILC survey"
ilc_lvho05a$dv_2685,"Overcrowding rate by age, sex and poverty status - total population - EU-SILC survey"
ilc_lvho05c,Overcrowding rate by tenure status - total population - EU-SILC survey
ilc_lvho05d,Overcrowding rate by degree of urbanisation - total population - EU-SILC survey
ilc_lvho07_r,Housing cost overburden rate by NUTS regions
ilc_lvho07b,Housing cost overburden rate by income quintile - EU-SILC survey
ilc_lvho07c,Housing cost overburden rate by tenure status - EU-SILC survey
ilc_lvho07d,Housing cost overburden rate by degree of urbanisation - EU-SILC survey
ilc_lvho08b,Median of the housing cost burden distribution by degree of urbanisation - EU-SILC survey
ilc_lvho50c,Share of people living in under-occupied dwellings by tenure status - total population - EU-SILC survey
ilc_lvho50d,Share of people living in under-occupied dwellings by degree of urbanisation - total population - EU-SILC survey
ilc_lvph01,Average household size - EU-SILC survey
ilc_lvph02h,Distribution of households by household type until - ECHP survey
ilc_lvph03,Distribution of households by household size - EU-SILC survey
ilc_lvph05,Distribution of households with children by number of children - EU-SILC survey
ilc_lvps08$dv_1041,Persons living with their parents or contributing/benefiting from the household income (population aged 18 to 34 years)
ilc_lvps20,Share of children (aged less than 18) living with their parents by type of household - EU-SILC survey
ilc_mddd04b$dv_2721,"Material deprivation for the 'Housing' dimension, by age, sex and by number of item of deprivation - EU-SILC survey"
ilc_mddd11$dv_655,Severe material deprivation rate by age and sex
ilc_mddd17,Severe material deprivation rate by tenure status
ilc_mddd21,Severe material deprivation rate by NUTS regions
ilc_mdes01_r,Inability to keep home adequately warm by NUTS regions
ilc_mdes03$dv_2702,"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day - EU-SILC survey"
ilc_mdes03_r,"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day by NUTS regions"
ilc_mdes04_r,Inability to face unexpected financial expenses by NUTS regions
ilc_mdes05_r,"Arrears (mortgage or rent, utility bills or hire purchase) by NUTS regions"
ilc_mdho02c,"Children (aged 0 to 17) having neither a bath, nor a shower in their dwelling - EU-SILC survey"
ilc_mdho03c,Children (aged 0 to 17) not having indoor flushing toilet for the sole use of their household - EU-SILC survey
ilc_mdho06a$dv_1184,"Severe housing deprivation rate by age, sex and poverty status - EU-SILC survey"
ilc_mdho06a$dv_2701,"Severe housing deprivation rate by age, sex and poverty status - EU-SILC survey"
ilc_mdho06d,Severe housing deprivation rate by degree of urbanisation - EU-SILC survey
ilc_mdho06q,Severe housing deprivation rate by income quintile - EU-SILC survey
ilc_mdsd03$dv_1165,"Material and social deprivation rate by age, sex and educational attainment level"
ilc_mdsd06,Material and social deprivation rate by tenure status
ilc_mdsd07$dv_2621,Material and social deprivation rate by age and sex
ilc_mdsd08,Material and social deprivation rate by NUTS regions
ilc_mdsd09,Material and social deprivation rate by degree of urbanisation
ilc_mdsd18,Severe material and social deprivation by NUTS region
ilc_odbt01,Arrears on non-housing bills by risk of poverty threshold
ilc_odbt02,Arrears on non-housing bills by income quintile
ilc_odbt03,Loans (excluding mortgages on purchase of main residence) by risk of poverty threshold
ilc_odbt04,Loans (excluding mortgages on purchase of main residence) by income quintile
ilc_odbt05,Persons with loans for property purposes by risk of poverty threshold
ilc_odbt06,Persons with loans for transport purposes by risk of poverty threshold
ilc_odbt07,Persons with loans for education purposes by risk of poverty threshold
ilc_odbt08,Persons with loans to cover daily living expenses by risk of poverty threshold
ilc_odbt09,"Persons with loans for purposes other than property, transport, education and daily living expenses by risk of poverty threshold"
ilc_odbt12,Persons owning real estate other than main residence by risk of poverty threshold
ilc_odbt13,Persons owning real estate other than main residence by income quantile
ilc_odbt14,Households maintaining the same standard of living using savings by duration and risk of poverty threshold
ilc_pecs01,Persons at risk of poverty or social exclusion - EU2030 target
ilc_peps01n$dv_1161,Persons at risk of poverty or social exclusion by age and sex
ilc_peps07,Persons at risk of poverty or social exclusion by tenure status - strategy
ilc_peps07n,Persons at risk of poverty or social exclusion by tenure status
ilc_peps11,Persons at risk of poverty or social exclusion by NUTS regions - strategy
ilc_peps11n,Persons at risk of poverty or social exclusion by NUTS regions
ilc_peps13n,Persons at risk of poverty or social exclusion by degree of urbanisation
ilc_pnp11,Gender differences in the aggregate replacement ratio for pensions (excluding other social benefits) - EU-SILC survey
ilc_pnp12,Gender differences in the at-risk-of-poverty rate by age - EU-SILC survey
ilc_pnp13,Gender pension gap by age group – EU-SILC survey
ilc_pnp14,Gender coverage rate in pension by age group – EU-SILC survey
ilc_pnp2,Relative median income ratio (65+) - EU-SILC and ECHP surveys
ilc_pnp2$dv_1988,Relative median income ratio (65+) - EU-SILC and ECHP surveys
ilc_pnp3,Aggregate replacement ratio for pensions (excluding other social benefits) by sex - EU-SILC survey
ilc_pns2,Relative median income ratio (60+) - EU-SILC survey
ilc_pns4,Inequality of income distribution S80/S20 income quintile share ratio - EU-SILC and ECHP surveys
ilc_pns5,Relative median at-risk-of-poverty gap of elderly people - EU-SILC and ECHP surveys
ilc_pw01$dv_2761,"Overall life satisfaction by sex, age and educational attainment"
ilc_pw01b$dv_2749,"Life satisfaction by sex, age, educational attainment and domain"
ilc_pw01b$dv_2751,"Life satisfaction by sex, age, educational attainment and domain"
ilc_pw01b$dv_2781,"Life satisfaction by sex, age, educational attainment and domain"
ilc_pw03$dv_2762,"Trust in others by sex, age and educational attainment"
ilc_pw05b$dv_2766,"Persons rating their life satisfaction as high, medium or low by sex, age, educational attainment and domain"
ilc_pw08$dv_426,"Persons being happy in the last 4 weeks by sex, age, educational attainment and frequency"
ilc_pw12$dv_2547,"Persons feeling left out from society by sex, age and level of disability (activity limitation)"
ilc_pw14,Satisfaction with the job by risk of poverty threshold and level of disability (activity limitation)
ilc_pw15$dv_2750,"Satisfaction with the job by sex, age and educational attainment"
ilc_sbjp02,Subjective poverty by educational attainment level (population aged 18 and over)
ilc_sbjp04,Subjective poverty by tenure status
ilc_sbjp05,Subjective poverty by degree of urbanization
ilc_scp01$dv_1061,"Persons participating in any cultural or sport activities in the last 12 months by sex, age and educational attainment"
ilc_scp03$dv_1062,"Persons participating in cultural or sport activities in the last 12 months by sex, age, educational attainment, activity type and frequency"
ilc_scp03$dv_552,"Persons participating in cultural or sport activities in the last 12 months by sex, age, educational attainment, activity type and frequency"
ilc_scp06$dv_2742,"Persons not participating in cultural or sport activities in the last 12 months by income quintile, household composition, degree of urbanisation, activity type and reasons"
ilc_scp07$dv_1064,"Persons practicing artistic activities by sex, age, educational attainment and frequency"
ilc_scp10$dv_2744,"Persons getting together with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency"
ilc_scp12$dv_2746,"Persons having contacts with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency"
ilc_scp15$dv_433,"Persons having someone to ask for help by sex, age and educational attainment"
ilc_scp17$dv_434,"Persons having someone to discuss personal matters by sex, age and educational attainment"
ilc_scp19$dv_312,"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment"
ilc_scp19$dv_313,"Persons participating in formal/informal voluntary activities or active citizenship by sex, age and educational attainment"
ilc_scp20$dv_2747,"Persons participating in formal/informal voluntary activities or active citizenship by income quintile, household composition and degree of urbanisation"
ilc_scp21$dv_436,"Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by sex, age, educational attainment and reasons"
ilc_scp22$dv_2441,"Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by income quintile, household composition, degree of urbanisation and reasons"
ilc_scp31$dv_2383,"Persons reading books in the last 12 months by sex, age, risk of poverty or social exclusion situation and number of books"
ilc_scp33$dv_2541,"Persons reading books in the last 12 months by sex, age, level of disability (activity limitation) and number of books"
ilc_scp34$dv_2542,"Persons not reading books in the last 12 months by sex, age, level of disability (activity limitation) and reasons"
ilc_scp37$dv_2543,"Persons participating in cultural or sport activities by sex, age, level of disability (activity limitation), activity type and frequency"
ilc_scp38$dv_2388,"Persons not participating in cultural or sport activities in the last 12 months by sex, age, level of disability (activity limitation), activity type and reasons"
ilc_scp38$dv_2544,"Persons not participating in cultural or sport activities in the last 12 months by sex, age, level of disability (activity limitation), activity type and reasons"
ilc_scp39$dv_2548,"Persons participating in formal/informal voluntary activities or active citizenship by sex, age, level of disability (activity limitation) and activity type"
ilc_scp40$dv_2549,"Persons not participating in active citizenship by sex, age and level of disability (activity limitation)"
ipr_da_gdp,Community design applications per billion GDP
ipr_da_pop,Community design applications per million population
ipr_da_tot,Community design applications
ipr_da_typ,Community design applications by type of design
ipr_dfa_tot,Community designs filed
ipr_dr_tot,Registered Community designs (RCD)
ipr_ta_gdp,European Union trade mark (EUTM) applications per billion GDP
ipr_ta_ntr,European Union trade mark (EUTM) applications by nature of the trade mark
ipr_ta_pop,European Union trade mark (EUTM) applications per million population
ipr_ta_tot,European Union trade mark (EUTM) applications
ipr_ta_typ,European Union trade mark (EUTM) applications by type of the trade mark
irt_h_cgby_a,Central government bond yields - annual data
irt_h_cgby_m,Central government bond yields - monthly data
irt_h_cgby_q,Central government bond yields - quarterly data
irt_h_ddmr_a,Day-to-day rates for euro area countries - annual data
irt_h_ddmr_q,Day-to-day rates for euro area countries - quarterly data
irt_h_euryld_a,Euro yield curves - annual data
irt_h_mr3_a,3-month rates for euro area countries - annual data
irt_h_mr3_q,3-month rates for euro area countries - quarterly data
irt_lt_gby10_a,"Government bond yields, 10 years' maturity - annual data"
irt_lt_gby10_m,"Government bond yields, 10 years' maturity - monthly data"
irt_lt_mcby_a,EMU convergence criterion series - annual data
irt_lt_mcby_q,EMU convergence criterion series - quarterly data
irt_st_a,Money market interest rates - annual data
isoc_bde15ag,Percentage of the ICT sector in Gross value added
isoc_bde15ap,Percentage of the ICT personnel in total employment
isoc_cbs,Broadband internet coverage by speed
isoc_ci_ac_i$dv_1043,Individuals - internet activities
isoc_ci_ac_i$dv_1122,Individuals - internet activities
isoc_ci_cm_h$dv_507,Households - availability of computers
isoc_ci_in_h$dv_512,Households - level of internet access
isoc_cisci_f$dv_536,Safety copies and back up files
isoc_r_cux_i,Individuals who have never used a computer
isoc_sk_cskl_i$dv_266,Individuals' level of computer skills (until
isoc_sk_dskl_i$dv_317,Individuals' level of digital skills (until
isoc_sk_oja2,"Labour market demand for ICT specialists in online job advertisements, by occupation (ISCO-08) - % of online job advertisements for ICT specialists - experimental statistics"
isoc_ski_itsex,Employed persons with ICT education by sex
isoc_sks_itspa,Employed ICT specialists by age
isoc_sks_itspa$dv_1847,Employed ICT specialists by age
isoc_sks_itsps,Employed ICT specialists by sex
isoc_sks_itsps$dv_1846,Employed ICT specialists by sex
isoc_sks_itspt,Employed ICT specialists - total
iss_18bfbck,Enterprises by movement of business functions from abroad and by NACE Rev.2 activity - experimental statistics
iss_18bfmmag,Enterprises by type of movement of business functions from abroad and by NACE Rev.2 activity - experimental statistics
iss_18bfmove,"Enterprises by status of movement of business functions from abroad, business function and NACE Rev.2 activity - experimental statistics"
iss_18sojobn,Jobs created by NACE Rev.2 activity - experimental statistics
iss_21covt,Enterprises by impact of COVID-19 on turnover and NACE rev.2 activity aggregate - experimental statistics
iss_21gvcba,Enterprises by type of buyer power asymmetry in the global value chain and NACE rev.2 activity aggregate - experimental statistics
iss_21gvcms,Enterprises by means of services supply and NACE rev.2 activity aggregate - experimental statistics
iss_21gvcsa,Enterprises by type of supplier power asymmetry in the global value chain and NACE rev.2 activity aggregate - experimental statistics
iss_21sopref,Enterprises by international sourcing status prior to the reference period and NACE Rev.2 activity aggregate - experimental statistics
iss_stat,Enterprises by sourcing status and enterprise group identification - collection round - experimental statistics
iww_ac_nbac,Accidents in inland waterway transport
iww_ec_employ,Employment in inland waterways transport enterprises by number of vessels in enterprises -
iww_ec_empsex,Employment in inland waterways transport enterprises by sex -
iww_ec_ent_c,Carrying capacity of the inland waterway transport enterprises vessels by number of vessels in enterprises -
iww_ec_ent_n,Inland waterway transport enterprises by number of vessels -
iww_ec_invest,Expenditure on inland waterway transport infrastructure and freight vessels
iww_eq_age_loa,Load capacity of self-propelled vessels by year of construction
iww_eq_power_lo,Power of self-propelled vessels by load capacity
iww_go_actygo07,Container transport by type of goods and coverage
iww_if_hordim,"Navigable inland waterways, by horizontal dimensions of vessels and pushed convoys"
iww_if_infrastr,Length of navigable inland waterways by waterway type
iww_tf_vetf,Vessel traffic
lan_lcv_arti,Land covered by artificial surfaces - index
lan_settl,Settlement area
lc_lci_r1_cow,Labour cost index by NACE Rev. 1.1 activity - country weights
lc_lci_r2_cow,Labour cost index by NACE Rev. 2 activity - country weights
lfsa_eppgai$dv_577,"Involuntary part-time employment as percentage of the total part-time employment, by sex and age (%)"
lfsa_ergaed$dv_319,"Employment rates by sex, age and educational attainment level (%)"
lfsa_ewpeve$dv_604,"Employed persons working in the evenings as a percentage of the total employment, by sex, age and professional status (%)"
lfsa_ewpnig$dv_605,"Employed persons working at nights as a percentage of the total employment, by sex, age and professional status (%)"
lfsa_ewpsat$dv_606,"Employed persons working on Saturdays as a percentage of the total employment, by sex, age and professional status (%)"
lfsa_ewpsun$dv_607,"Employed persons working on Sundays as a percentage of the total employment, by sex, age and professional status (%)"
lfsa_ipga$dv_610,"Inactive population as a percentage of the total population, by sex and age (%)"
lfsa_qoe_3a2$dv_608,"Long working hours in main job by sex, age, professional status and occupation"
lfsa_urgaed$dv_611,"Unemployment rates by sex, age and educational attainment level (%)"
lfsi_dwl_a,Duration of working life
lfsi_jhh_a,Population in jobless households
lfsi_long_e08,"Transition from part-time work to full-time work by sex and age (annual averages of quarterly transitions, estimated probabilities) - experimental statistics"
lfsi_long_e09,"Transition from fixed term contracts to permanent contracts by sex and age (annual averages of quarterly transitions, estimated probabilities) - experimental statistics"
lfso_06finiagps,Average age at which employed persons started receiving a retirement pension - by sex and main financial incentive to stay at work
lfso_10fvaredu$dv_609,Employees by flexibility of their working schedule and educational attainment level (1 000)
lfso_12agepens,Age at which the person first received an old-age pension (years)
lfso_12earlyret,Early retirement among persons who receive an old-age pension (%)
lfso_12penstyp,"Persons who receive a pension, by type of pension (%)"
lfso_12reduchrs,Persons who reduced their working hours in a move towards retirement (%)
lfso_12worklong,Economically inactive persons who receive a pension who would have wished to stay longer in employment (%)
lfso_14loq$dv_615,"Self-declared over-qualified employees as percentage of the total employees by sex, age, migration status and educational attainment level"
lfso_17seworg,"Self-employed persons having at least one client in the last 12 months by control over working time, and sex"
lfst_dpw_01,Share of digital platform workers (in the last 12 months) by educational attainment level - experimental statistics
lfst_dpw_02,Share of digital platform workers (in the last 12 months) by type of task or service - experimental statistics
lfst_dpw_03,Distribution of digital platform workers (in the last 12 months) by number of hours worked in the last month - experimental statistics
lfst_dpw_04,Distribution of digital platform workers (at least one hour in the last month) by educational attainment level - experimental statistics
lfst_dpw_05,Distribution of digital platform workers (at least one hour in the last month) by labour status - experimental statistics
lfst_dpw_06,Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings - experimental statistics
lfst_dpw_07,Distribution of digital platform workers (at least one hour in the last month) by social insurance coverage and risk - experimental statistics
lfst_dpw_08,Distribution of digital platform workers (at least one hour in the last month) by type of work assignment - experimental statistics
lfst_dpw_09,Distribution of digital platform workers (at least one hour in the last month) by consequences of rejecting the task or service - experimental statistics
lfst_dpw_10,Distribution of digital platform workers (at least one hour in the last month) by working hours setting - experimental statistics
lfst_dpw_11,Distribution of digital platform workers (at least one hour in the last month) by price setting - experimental statistics
lfst_hheredch$dv_2683,"Employment rate of adults by sex, age groups, educational attainment level, number of children and age of youngest child (%)"
lfst_hhwahchi$dv_1872,"Percentage of employed adults working at home by sex, age groups, number of children and age of youngest child"
lfst_r_edatd_16,Regional disparities in the rate of early leavers from education and training (NUTS level 2)
lfst_r_edatd_22,Regional disparities in the rate of young people neither in employment nor in education and training (NEET) (NUTS level 2)
lfst_r_lmdgeg,Regional disparities in gender employment gap (NUTS level 2)
lfst_r_lmdltu,Regional disparities in long-term unemployment rates (NUTS level 2)
mar_mg_aa_cwh,Country level - gross weight of goods handled in all ports
mar_mg_aa_pwhd,Gross weight of goods handled in the top 20 ports by direction
mar_mg_am_cvh,"Country level - volume (in TEUs) of containers handled in main ports, by loading status"
mar_mg_am_cwt,Country level - gross weight of goods transported to/from main ports
mar_mg_am_pvh,Volume of containers handled in the top 20 main ports by loading status
mar_mp_aa_cph,Country level - passengers embarked and disembarked in all ports
mar_mp_aa_pphd,Passengers embarked and disembarked in the top 20 ports
mar_mp_am_cft,Passengers (excluding cruise passengers) transported from/to the main ports
mar_pa_qm_me,Passengers (excluding cruise passengers) transported from/to the main ports - - quarterly data
mar_pa_qm_mt,Passengers (excluding cruise passengers) transported from/to the main ports - - quarterly data
mar_qg_qm_cwh,Country level - gross weight of goods handled in main ports
mar_qg_qm_ewhd,"Eu level - gross weight of goods handled in main ports, by direction"
mar_qg_qm_ewhg,"Eu level - gross weight of goods handled in main ports, by various types of partner geographical areas"
mar_qg_qm_ewhk,"Eu level - gross weight of goods handled in main ports, by type of cargo"
mar_qg_qm_ewht,"Eu level - gross weight of goods handled in main ports, by type of traffic"
mar_qg_qm_pvh,Top 5 ports for volume of containers - volume (in TEUs) of containers handled in each port
mar_qg_qm_pwh,Top 5 ports - gross weight of goods handled in each port
mar_qg_qm_pwhc,Top 5 ports for containers - gross weight of goods in containers handled in each port
mar_qg_qm_pwhl,Top 5 ports for liquid bulk - gross weight of liquid bulk goods handled in each port
mar_qg_qm_pwhr,Top 5 ports for Ro-ro units - gross weight of goods in Ro-Ro units handled in each port
mar_sg_am_cv,"Short sea shipping - country level - volume (in TEU's) of containers transported to/from main ports, by loading status"
mar_sg_am_cwd,"Short sea shipping - country level - gross weight of goods transported to/from main ports, by direction"
mar_sg_am_ewx,"Short sea shipping - level - gross weight of goods transported to/from main ports, by type of cargo for each sea region of partner ports"
