domain,code,measure
Learning & Education,educ_uoe_fina01,Financial aid to students by education level - as % of total public expenditure
Learning & Education,educ_uoe_fini06,"Ratio of annual expenditure per student at the tertiary level and primary level of education, in public educational institutions"
Learning & Education,educ_uoe_grad06,Graduates at doctoral level by sex and age groups - per 1000 of population aged 25-34
Learning & Education,educ_uoe_grad07,"Graduates at doctoral level, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 25-34"
Learning & Education,educ_uoe_grad09,Graduates in tertiary education by education level – women per 100 men
Learning & Education,educ_uoe_lang03,Average number of foreign languages studied per pupil by education level
Learning & Education,educ_uoe_mobs03$dv_1126,"Share of mobile students from abroad enrolled by education level, sex and country of origin"
Learning & Education,educ_uoe_perd04,"Female school-management personnel - as % of total school-management personnel, by education level"
Learning & Education,educ_uoe_perd05,"Teachers working part-time - as % of all teachers, by education level"
Learning & Education,educ_uoe_perp03,"Classroom teachers working full-time and part-time in primary, lower-secondary and upper-secondary education - as % of total active population"
Learning & Education,educ_uoe_perp05,Ratio of pupils to teachers and teacher aides by education level and programme orientation
Learning & Education,enpe_edat_lfse_03,Population aged 30-34 who completed tertiary or equivalent education
Learning & Education,enpe_edat_lfse_14,Early leavers from education and training aged 18-24 by sex
Learning & Education,enpe_educ_figdp,Public expenditure on education
Learning & Education,enpe_educ_uoe_enra02,Pupils and students enrolled by education level
Learning & Education,enps_edat_lfse3,Population aged 20-24 who completed at least an upper secondary educational attainment level (ISCED level 3) by sex
Learning & Education,enps_edat_lfse4,Population aged 25 and over by sex and educational attainment level
Learning & Education,enps_educ_comprate,School completion rate at ISCED 1 level by sex
Learning & Education,enps_educ_compyr,Number of compulsory schooling years
Learning & Education,enps_educ_enrate,Net enrolment rates by sex and education level
Learning & Education,enps_educ_figdp,Public expenditure on education
Learning & Education,enps_educ_ltr,Literacy rate by sex and age group
Learning & Education,enps_educ_parity,Gender parity index by education level
Learning & Education,med_ps21,Literacy
Learning & Education,med_ps22,General education
Learning & Education,med_ps23,Higher education
Learning & Education,med_ps24,Quality of education
Learning & Education,med_ps25,Technical and vocational education training (TVET)
Learning & Education,med_ps26,Public expenditure on education
Learning & Education,rd_p_sen,Researchers in the higher education sector by seniority category
Learning & Education,sdg_04_10,Early leavers from education and training by sex
Learning & Education,sdg_04_10a,"Early leavers from education and training, by citizenship"
Learning & Education,sdg_04_20,Tertiary educational attainment by sex
Learning & Education,sdg_04_40,"Low achieving 15-year-olds in reading, mathematics or science"
Learning & Education,sdg_04_60,Adult participation in learning in the past four weeks by sex
Learning & Education,tepsr_sp210,Children aged less than 3 years in formal childcare
Learning & Education,tesem020,"Early leavers from education and training, age group 18-24"
Learning & Education,tesem030,"Tertiary educational attainment, age group 30-34"
Learning & Education,tesem240,"Percentage of the population with at least upper secondary educational attainment, age group 25-64"
Learning & Education,tps00065,"At least upper secondary educational attainment, age group 25-64 by sex"
Learning & Education,tps00185,Formal child care by duration and age group
Learning & Education,tps00186,"At least upper secondary educational attainment, age group 20-24 by sex"
Learning & Education,tps00197,At most lower secondary educational attainment by age
Learning & Education,tps00215,Exposure of VET graduates to work-based learning
Learning & Education,tps00217,Female tertiary education graduates in STEM education fields - % of all tertiary education graduates in STEM education fields
Learning & Education,trng_aes_186,Effect of the search for information on learning possibilities
Learning & Education,trng_aes_187,Sources of information used for getting information on learning possibilities
Learning & Education,trng_any3,Participation in any learning activities by degree of urbanisation
Learning & Education,trng_any5,Participation in any learning activities by size of the local unit
Learning & Education,trng_cvt_12s,Participants in CVT courses by sex and size class - % of persons employed in all enterprises
Learning & Education,trng_cvt_13s,Participants in CVT courses by sex and size class - % of persons employed in enterprises providing CVT courses
Learning & Education,trng_cvt_21n1,Hours spent in CVT courses by NACE Rev. 1.1 activity - hours per 1000 hours worked in all enterprises
Learning & Education,trng_cvt_21n2,Hours spent in CVT courses by NACE Rev. 2 activity - hours per 1000 hours worked in all enterprises
Learning & Education,trng_cvt_21s,Hours spent in CVT courses by size class - hours per 1000 hours worked in all enterprises
Learning & Education,trng_cvt_22n1,Hours spent in CVT courses by NACE Rev. 1.1 activity - hours per 1000 hours worked in enterprises providing CVT courses
Learning & Education,trng_cvt_22n2,Hours spent in CVT courses by NACE Rev. 2 activity - hours per 1000 hours worked in enterprises providing CVT courses
Learning & Education,trng_cvt_22s,Hours spent in CVT courses by size class - hours per 1000 hours worked in enterprises providing CVT courses
Learning & Education,trng_cvt_23n1,Hours spent in CVT courses by NACE Rev. 1.1 activity - hours per person employed in all enterprises
Learning & Education,trng_cvt_23n2,Hours spent in CVT courses by NACE Rev. 2 activity - hours per person employed in all enterprises
Learning & Education,trng_cvt_23s,Hours spent in CVT courses by size class - hours per person employed in all enterprises
Learning & Education,trng_cvt_24n1,Hours spent in CVT courses by NACE Rev. 1.1 activity - hours per person employed in enterprises providing CVT courses
Learning & Education,trng_cvt_24n2,Hours spent in CVT courses by NACE Rev. 2 activity - hours per person employed in enterprises providing CVT courses
Learning & Education,trng_cvt_24s,Hours spent in CVT courses by size class - hours per person employed in enterprises providing CVT courses
Learning & Education,trng_cvt_25n1,Hours spent in CVT courses by NACE Rev. 1.1 activity - hours per participant
Learning & Education,trng_cvt_25n2,Hours spent in CVT courses by NACE Rev. 2 activity - hours per participant
Learning & Education,trng_cvt_25s,Hours spent in CVT courses by size class - hours per participant
Learning & Education,trng_cvt_26n1,Hours spent in CVT courses by type of course and NACE Rev. 1.1 activity - % of total hours spent in CVT courses
Learning & Education,trng_fed3,Participation in formal education by degree of urbanisation
Learning & Education,trng_inf3,Participation in informal learning by degree of urbanisation
Learning & Education,trng_lfs_02$dv_2221,"Participation rate in education and training (last 4 weeks) by sex, age and educational attainment level"
Learning & Education,trng_nfe13,Mean instruction hours per employed participant in non-formal education and training by sex and NACE Rev. 1.1 activity
Learning & Education,trng_nfe14,Mean instruction hours per participant in non-formal education and training by sex and age
Learning & Education,trng_nfe15,Mean instruction hours per participant in non-formal education and training by sex and labour status
Learning & Education,trng_nfe16,Mean instruction hours per employed participant in non-formal education and training by sex and occupation
Learning & Education,trng_nfe18,Mean instruction hours per participant in non-formal education and training by field of learning
Learning & Education,trng_nfe2,Participation in non-formal education and training by number of activities
Learning & Education,trng_nfe4,Participation in non-formal education and training by degree of urbanisation
Learning & Education,trng_nfe5,Participation in job-related non-formal education and training by size of the local unit
Learning & Education,trng_nfe6,Participation in non-formal education and training by main reason for participating in the taught activity
Learning & Education,trng_nfe7,Participation in non-formal education and training within (or not) paid working hours
Learning & Education,yth_educ_020,Population aged 30-34 with tertiary educational attainment level by sex
Learning & Education,yth_educ_030,Young people aged 20-24 with at least upper secondary educational attainment level by sex
Living Well,cult_emp_art,"Persons working as creative and performing artists, authors, journalists and linguists"
Living Well,enpe_tour_cap_nat,Number of bed places in hotels and similar accomodation
Living Well,enpe_tour_dem_tttot,Departures of residents going abroad for all holidays and business
Living Well,enpe_tour_occ_arnat,Arrivals of non-residents at hotels and similar accomodation establishments
Living Well,enps_tour_border,Arrivals of tourists at the border
Living Well,enps_tour_cap_nat,Tourism infrastructure
Living Well,enps_tour_cap_natb,Number of bed places in hotels and similar accommodation
Living Well,enps_tour_dem_tttot,Departures of residents going abroad for all holidays and business
Living Well,enps_tour_occ_arnat,Arrivals at tourism accommodation establishments by type of accommodation
Living Well,enps_tour_occ_ninat,Nights spent at tourism accommodation establishments
Living Well,hlth_ehis_pe3e$dv_296,"Performing (non-work-related) physical activities by sex, age and educational attainment level"
Living Well,ilc_pw01$dv_2761,"Overall life satisfaction by sex, age and educational attainment"
Living Well,ilc_pw01b$dv_2749,"Life satisfaction by sex, age, educational attainment and domain"
Living Well,ilc_pw01b$dv_2751,"Life satisfaction by sex, age, educational attainment and domain"
Living Well,ilc_pw01b$dv_2781,"Life satisfaction by sex, age, educational attainment and domain"
Living Well,ilc_scp06$dv_2742,"Persons not participating in cultural or sport activities in the last 12 months by income quintile, household composition, degree of urbanisation, activity type and reasons"
Living Well,ilc_scp07$dv_1064,"Persons practicing artistic activities by sex, age, educational attainment and frequency"
Living Well,ilc_scp21$dv_436,"Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by sex, age, educational attainment and reasons"
Living Well,ilc_scp22$dv_2441,"Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by income quintile, household composition, degree of urbanisation and reasons"
Living Well,ilc_scp38$dv_2388,"Persons not participating in cultural or sport activities in the last 12 months by sex, age, level of disability (activity limitation), activity type and reasons"
Living Well,ilc_scp38$dv_2544,"Persons not participating in cultural or sport activities in the last 12 months by sex, age, level of disability (activity limitation), activity type and reasons"
Living Well,ilc_scp40$dv_2549,"Persons not participating in active citizenship by sex, age and level of disability (activity limitation)"
Living Well,med_to12,Arrivals by type of accommodation
Living Well,med_to13,Nights spent by type of accommodation
Living Well,med_to21,Accommodation establishments
Living Well,med_to22,Number of bed-places
Living Well,sdg_16_40,Perceived independence of the justice system
Living Well,teicp090,HICP - recreation and culture
Living Well,tin00171,Nights spent at tourist accommodation establishments by residents/non-residents - monthly data
Living Well,tin00172,Percentage change (compared to corresponding period of the previous year) in nights spent at tourist accommodation establishments by residents/non-residents - monthly data
Living Well,tin00173,"Net occupancy rate of bed-places and bedrooms in hotels and similar accommodations (NACE Rev. 2, I, 55.1) - monthly data"
Living Well,tin00174,Arrivals of residents/non-residents at tourist accommodation establishments
Living Well,tin00175,Nights spent at tourist accommodation establishments by residents/non-residents
Living Well,tin00176,Nights spent at tourist accommodation establishments by country/world region of residence of the tourist
Living Well,tin00180,"Net occupancy rate of bed-places and bedrooms in hotels and similar accommodation (NACE Rev. 2, I, 55.1) (from onwards)"
Living Well,tin00181,Number of establishments and bed-places
Living Well,tin00185,Persons participating in tourism for personal purposes - number of tourists
Living Well,tin00186,Participation in tourism for personal purposes - % of total population
Living Well,tin00196,Average expenditure per night
Living Well,tour_ce_oam,Guest nights spent at short-stay accommodation offered via collaborative economy platforms by mode of accommodation - experimental statistics
Living Well,tour_ce_oasc,Guest nights spent at short-stay accommodation offered via collaborative economy platforms by size class of accommodation - experimental statistics
Living Well,tus_00alone,Time spent alone
Living Well,tus_00educ$dv_571,"Time spent, participation time and participation rate in the main activity by sex and educational attainment level"
Living Well,tus_00meal,Time spent on eating at home (as main or secondary activity)
Living Well,tus_00npaycare,Time spent providing childcare (as main or secondary activity)
Living Well,tus_00npaywork,Time spent in unpaid forms of work (as main or secondary activity) by sex and by form of work
Living Well,tus_00screen,"Time spent watching or other media, playing computer games and any similar screen activities (as main or secondary activity)"
Living Well,tus_00simuact,Time spent doing more than one activity simultaneously
Living Well,tus_00work$dv_671,Time spent in total work (paid and unpaid work as main or secondary activity) by sex and by form of work
Money & Markets,bd_size$dv_1502,Business demography by size class and NACE Rev. 2 activity
Money & Markets,bop_its_str,International trade in services - market integration indicators - historical data
Money & Markets,bs_bs10_00,Turnover by client specialisation and employment size class
Money & Markets,bs_bs11_00,Turnover by client specialisation and product specialisation
Money & Markets,bs_bs13_04,Turnover by type of media for advertising services
Money & Markets,bs_bs16_04,Purchases of advertising space or time for resale
Money & Markets,bs_bs1_00,Turnover by product specialisation for div. 72
Money & Markets,bs_bs2_00,Turnover by product specialisation and employment size class for group 72.2
Money & Markets,bs_bs4_06,Turnover by residence of client and economic activity
Money & Markets,bs_bs5_00,Turnover by type of client and NACE Rev.1 at 3-digit level
Money & Markets,bs_bs5_04,Number of enterprises carrying out cross border trade by employment size class
Money & Markets,bs_bs6_00,Turnover by type of client and employment size class
Money & Markets,bs_bs6_04,Number of enterprises carrying out cross border trade by type of cross border trade and employment size class
Money & Markets,bs_bs7_00,Turnover by nationality of client and NACE Rev.1 at 3-digit level
Money & Markets,bs_bs7_04,Number of enterprises carrying out cross border trade by reasons for cross border trade and employment size class
Money & Markets,bs_bs8_00,Turnover by nationality of client and employment size class
Money & Markets,bs_bs9_00,Turnover by client specialisation and NACE Rev.1 at 3-digit level
Money & Markets,cei_cie012,Private investment and gross added value related to circular economy sectors
Money & Markets,cei_gsr030,Material import dependency
Money & Markets,educ_uoe_fini05,Expenditure on public educational institutions - as % of total or current expenditure
Money & Markets,egi_em3,Share of employment in Member States supported by exports (FIGARO application)
Money & Markets,egi_so1,Enterprises sourcing abroad
Money & Markets,egi_tr1,Export to import ratio
Money & Markets,egi_tr2,Intermediate goods trade
Money & Markets,egi_tr3,Trade in goods with the top 5 partners
Money & Markets,egi_tr4,Intermediate services trade
Money & Markets,egi_tr5,Trade in services with the top 5 partners
Money & Markets,egi_va1,Value Added in Foreign Controlled Enterprises
Money & Markets,egi_va2,Share of value added in Member States supported by exports (FIGARO application)
Money & Markets,egr_conc,Concentration of multinational enterprise groups by NACE Rev.2 activity - experimental statistics
Money & Markets,egr_emp,Persons employed in multinational enterprise groups by size class - experimental statistics
Money & Markets,egr_mne,Multinational enterprise groups in EU-EFTA countries by controlling country - experimental statistics
Money & Markets,egr_mne_n2sc,"Multinational enterprise groups in EU-EFTA countries by controlling country, size class and NACE Rev.2 activity - experimental statistics"
Money & Markets,ei_bsci_m_r2,Euro-zone Business Climate Indicator - monthly data
Money & Markets,enpe_bop_c6_a,Balance of payments
Money & Markets,enpe_bop_iip6,Gross external debt of the whole economy
Money & Markets,enpe_bop_iip6_serv,"Gross external debt of the whole economy, relative to exports of goods and services"
Money & Markets,enpe_cpi,Consumer price index
Money & Markets,enpe_ext_bal,Trade balance
Money & Markets,enpe_ext_intro,Share of European Neighbourhood Policy East Countries in European Union 27 trade
Money & Markets,enpe_gov_10dd,Government deficit/surplus and debt
Money & Markets,enpe_irt_ld,Loan and deposit one year interest rate
Money & Markets,enpe_irt_lt_gby10,Government bond yields - 10 years' maturity
Money & Markets,enpe_irt_st,Money market interest rates
Money & Markets,enpe_mon_res,Money supply and official reserves
Money & Markets,enpe_nama_10_a10,Gross value added by industry
Money & Markets,enpe_nama_10_gdp,Gross domestic product at market prices
Money & Markets,enpe_nama_10_gdp_ea,Gross domestic product at market prices by expenditure
Money & Markets,enpe_nama_10_lp,Labour productivity in GDP (constant prices) per person employed
Money & Markets,enpe_sts_incopr,"Industrial and construction production volume index, calendar adjusted"
Money & Markets,enpe_sts_inppd,Domestic industrial production price index
Money & Markets,enpe_sts_trtu,"Services turnover index, calendar adjusted"
Money & Markets,enpe_sts_trtu1,Retail trade volume of sales index (deflated turnover)
Money & Markets,enps_bop_iip6,Gross external debt of the whole economy
Money & Markets,enps_cpi,Consumer price index
Money & Markets,enps_gov_10dd,Government deficit/surplus and debt
Money & Markets,enps_gov_10dde,economy deficit/surplus
Money & Markets,enps_nama_10_a10,Gross value added by industry
Money & Markets,enps_nama_10_gdp,Gross domestic product at market prices
Money & Markets,enps_nama_10_gdp_ea,Gross domestic product at market prices by expenditure
Money & Markets,enps_nrg_bal_c,Energy balance
Money & Markets,env_ac_egss3,"Production, value added and employment by industry groups in the environmental goods and services sector"
Money & Markets,env_ac_mid,Material import dependency
Money & Markets,env_waspb,Sales and collection of portable batteries and accumulators
Money & Markets,ert_bil_conv_a,Conversion factors for euro fixed series into euro/ECU - annual data
Money & Markets,ert_bil_eur_a$dv_841,Euro/ECU exchange rates - annual data
Money & Markets,ert_bil_eur_a$dv_861,Euro/ECU exchange rates - annual data
Money & Markets,ert_h_eur_a,Former euro area national currencies vs. euro/ECU - annual data
Money & Markets,ext_ser_bec01,Services trade by broad economic categories (BEC Rev.5)
Money & Markets,gba_nabste,Share of GBARD in total general government expenditure
Money & Markets,gov_10dd_acd,Apparent cost of general government gross debt
Money & Markets,gov_eu_debt,Debt of the institutions
Money & Markets,gov_eu_fa,Financial accounts for institutions
Money & Markets,gov_eu_nfa,Non-financial accounts for institutions
Money & Markets,gov_gb,"Stock of general government debt security liabilities issued as 'green bonds' - one-off data collection, experimental statistics"
Money & Markets,htec_si_exp4,High-tech exports - Exports of high technology products as a share of total exports (from SITC Rev. 4)
Money & Markets,icw_pov_03,Proportion of dissaving households - experimental statistics
Money & Markets,ilc_mdes04_r,Inability to face unexpected financial expenses by NUTS regions
Money & Markets,ilc_mdes05_r,"Arrears (mortgage or rent, utility bills or hire purchase) by NUTS regions"
Money & Markets,ipr_da_gdp,Community design applications per billion GDP
Money & Markets,ipr_da_pop,Community design applications per million population
Money & Markets,ipr_da_tot,Community design applications
Money & Markets,ipr_da_typ,Community design applications by type of design
Money & Markets,ipr_dfa_tot,Community designs filed
Money & Markets,irt_h_cgby_a,Central government bond yields - annual data
Money & Markets,irt_h_cgby_m,Central government bond yields - monthly data
Money & Markets,irt_h_cgby_q,Central government bond yields - quarterly data
Money & Markets,irt_h_ddmr_a,Day-to-day rates for euro area countries - annual data
Money & Markets,irt_h_ddmr_q,Day-to-day rates for euro area countries - quarterly data
Money & Markets,irt_h_euryld_a,Euro yield curves - annual data
Money & Markets,irt_h_mr3_a,3-month rates for euro area countries - annual data
Money & Markets,irt_h_mr3_q,3-month rates for euro area countries - quarterly data
Money & Markets,irt_lt_gby10_a,"Government bond yields, 10 years' maturity - annual data"
Money & Markets,irt_lt_gby10_m,"Government bond yields, 10 years' maturity - monthly data"
Money & Markets,irt_lt_mcby_a,EMU convergence criterion series - annual data
Money & Markets,irt_lt_mcby_q,EMU convergence criterion series - quarterly data
Money & Markets,irt_st_a,Money market interest rates - annual data
Money & Markets,isoc_bde15ag,Percentage of the ICT sector in Gross value added
Money & Markets,isoc_bde15ap,Percentage of the ICT personnel in total employment
Money & Markets,iss_18bfbck,Enterprises by movement of business functions from abroad and by NACE Rev.2 activity - experimental statistics
Money & Markets,iss_18bfmmag,Enterprises by type of movement of business functions from abroad and by NACE Rev.2 activity - experimental statistics
Money & Markets,iss_18bfmove,"Enterprises by status of movement of business functions from abroad, business function and NACE Rev.2 activity - experimental statistics"
Money & Markets,iss_21covt,Enterprises by impact of COVID-19 on turnover and NACE rev.2 activity aggregate - experimental statistics
Money & Markets,iss_21gvcba,Enterprises by type of buyer power asymmetry in the global value chain and NACE rev.2 activity aggregate - experimental statistics
Money & Markets,iss_21gvcms,Enterprises by means of services supply and NACE rev.2 activity aggregate - experimental statistics
Money & Markets,iss_21gvcsa,Enterprises by type of supplier power asymmetry in the global value chain and NACE rev.2 activity aggregate - experimental statistics
Money & Markets,iss_21sopref,Enterprises by international sourcing status prior to the reference period and NACE Rev.2 activity aggregate - experimental statistics
Money & Markets,iss_stat,Enterprises by sourcing status and enterprise group identification - collection round - experimental statistics
Money & Markets,lc_lci_r1_cow,Labour cost index by NACE Rev. 1.1 activity - country weights
Money & Markets,lc_lci_r2_cow,Labour cost index by NACE Rev. 2 activity - country weights
Money & Markets,med_ag51,Price indices of agricultural input/output at nominal value = 100)
Money & Markets,med_ec1,Gross domestic product
Money & Markets,med_ec2,Final consumption expenditure
Money & Markets,med_ec3,Gross capital formation
Money & Markets,med_ec4,International trade as a share of GDP
Money & Markets,med_ec5,Gross value added
Money & Markets,med_ec6,Balancing items
Money & Markets,med_ec7,Debts
Money & Markets,med_ec8,Prices (annual series)
Money & Markets,med_ec9,Exchange rates
Money & Markets,med_eg30,Energy consumption
Money & Markets,med_ps412,Economic activity
Money & Markets,med_to11,Main flows
Money & Markets,met_ipr_da,Community design applications by metropolitan regions
Money & Markets,met_ipr_dapop,Community design applications per million population by metropolitan regions
Money & Markets,met_ipr_dfa,Community designs by metropolitan regions
Money & Markets,met_ipr_dfapop,Community designs per million population by metropolitan regions
Money & Markets,migr_eilretpc,Returns by type of return - % of total returns
Money & Markets,migr_resspc,Valid permits by reasons - % of total valid permits
Money & Markets,nama_10_pp,GNI (gross national income) per capita in PPS
Money & Markets,nama_10r_3gdp$dv_1562,Gross domestic product (GDP) at current market prices by NUTS 3 regions
Money & Markets,nama_10r_3gva$dv_1563,Gross value added at basic prices by NUTS 3 regions
Money & Markets,nrg_135m,Exports - electricity - monthly data
Money & Markets,nrg_ind_ep,Energy productivity
Money & Markets,org_cpreact_h,Processors of organic products by NACE Rev. 2 activity (C)
Money & Markets,prc_colc_ext,Correction coefficients outside the European Union (Duty stations) - index (Brussels = 100)
Money & Markets,prc_colc_nat,Correction coefficients in the European Union (Countries) - index = 100)
Money & Markets,prc_colc_pppnat,Purchasing Power Parities in the European Union (Countries) - index = 1)
Money & Markets,prc_colc_ppptot,Purchasing Power Parities in the European Union (Duty stations) - index (Brussels = 1)
Money & Markets,prc_colc_tot,Correction coefficients in the European Union (Duty stations) - index (Brussels = 100)
Money & Markets,prc_hicp_cow,HICP - country weights
Money & Markets,prc_hpi_hsna,House sales - number and index annual data
Money & Markets,prc_hpi_hsva,House sales - value and index annual data
Money & Markets,prc_hpi_inw,House price index - Item weights
Money & Markets,prc_ppp_conv,Convergence indicators
Money & Markets,prc_rem_gdp,GDP weights used in the calculation of the global specific indicator
Money & Markets,rail_ec_ent,Railway enterprises by type of enterprise
Money & Markets,sbs_cre_gbneea,Business written in non-EEA countries
Money & Markets,sbs_cre_gneea,Number of branches in non-EEA countries
Money & Markets,sbs_cre_pacc,Number of accounts linked to CPA categories
Money & Markets,sbs_cre_pcpay,Commissions payable by product
Money & Markets,sbs_cre_pcrec,Commissions receivable by product
Money & Markets,sbs_cre_pintpay,Interests payable and similar charges by product
Money & Markets,sbs_cre_pintrex,Interests receivable and similar income by product
Money & Markets,sbs_cre_ploans,Number of loans and advances to customers linked to CPA categories
Money & Markets,sbs_part_wtstck,"Enterprises in wholesale trade, repair of vehicles and motorcycles (NACE Rev.2, G) - changes in stocks"
Money & Markets,sbs_pen_7b1,Autonomous pension funds - number of enterprises by size class of investments
Money & Markets,sbs_pen_7b2,Autonomous pension funds - number of enterprises by size class of members
Money & Markets,sbs_pen_7c,Autonomous pension funds - total investments by currencies
Money & Markets,sbs_pen_7e,Non-autonomous pension funds
Money & Markets,sbs_pen_enteea,Enterprises with members in other countries
Money & Markets,sdg_07_30,Energy productivity
Money & Markets,sdg_08_10,Real GDP per capita
Money & Markets,sdg_08_11,Investment share of GDP by institutional sectors
Money & Markets,sdg_10_10,Purchasing power adjusted GDP per capita
Money & Markets,sdg_12_61,Gross value added in environmental goods and services sector
Money & Markets,sdg_13_40,Climate related economic losses – values at constant prices
Money & Markets,sdg_13_50,Contribution to the international 100bn USD commitment on climate related expending
Money & Markets,sdg_13_70,Green bond issuance by type of issuer
Money & Markets,sdg_13_70a,Green bond issuance by corporates and governments
Money & Markets,sdg_16_30,General government total expenditure on law courts
Money & Markets,sdg_17_10,Official development assistance as share of gross national income
Money & Markets,sdg_17_20,financing to developing countries by financing source
Money & Markets,sdg_17_40,General government gross debt
Money & Markets,sdg_17_50,Share of environmental taxes in total tax revenues
Money & Markets,sts_tot_prod_a,Market production - annual data
Money & Markets,tag00056,Gross value added of the agricultural industry - basic and producer prices
Money & Markets,tag00102,Output of the agricultural industry - basic and producer prices
Money & Markets,tec00001,Gross domestic product at market prices
Money & Markets,tec00009,Final consumption expenditure of households and non-profit institutions serving households
Money & Markets,tec00010,Final consumption expenditure of general government
Money & Markets,tec00011,Gross fixed capital formation (investments)
Money & Markets,tec00021,general government revenue
Money & Markets,tec00023,general government expenditure
Money & Markets,tec00027,HICP - all items - annual average indices
Money & Markets,tec00033,ECU/EUR exchange rates versus national currencies
Money & Markets,tec00038,"Current account transactions - credits, debits and balance"
Money & Markets,tec00039,"Current account transactions - goods: credits, debits and balance"
Money & Markets,tec00040,"Current account transactions - services: credits, debits and balance"
Money & Markets,tec00041,"Current account transactions - primary income: credits, debits and balance"
Money & Markets,tec00042,"Current account transactions - secondary income: credits, debits and balance"
Money & Markets,tec00097,EMU convergence criterion series - annual data
Money & Markets,tec00104,Gross debt-to-income ratio of households
Money & Markets,tec00105,Inward FDI stocks in % of GDP
Money & Markets,tec00106,Outward FDI stocks in % of GDP
Money & Markets,tec00107,"FDI flows intensity, market integration"
Money & Markets,tec00110,"Goods and services, imports and exports"
Money & Markets,tec00114,GDP per capita in PPS
Money & Markets,tec00115,Real GDP growth rate - volume
Money & Markets,tec00118,HICP - inflation rate
Money & Markets,tec00120,Comparative price levels
Money & Markets,tec00121,Price and volume convergence between Member States
Money & Markets,tec00127,General government deficit/surplus
Money & Markets,tec00131,Household saving rate
Money & Markets,tec00132,Investment by institutional sectors
Money & Markets,teibp010,"Balance of payments, current account, monthly data"
Money & Markets,teibp020,"Balance of payments, capital account, monthly data"
Money & Markets,teibp030,"Balance of payments, current and capital account, monthly data"
Money & Markets,teibp060,"Balance of payments, capital account, quarterly data"
Money & Markets,teibp070,"Balance of payments, current and capital account, quarterly data"
Money & Markets,teibs010,Economic sentiment indicator
Money & Markets,teibs020,Confidence indicators by sector
Money & Markets,teibs070,Current level of capacity utilization in manufacturing industry
Money & Markets,teicp000,HICP - all items
Money & Markets,teicp010,HICP - food
Money & Markets,teicp020,HICP - alcohol and tobacco
Money & Markets,teicp030,HICP - clothing
Money & Markets,teicp040,HICP - housing
Money & Markets,teicp050,HICP - household equipment
Money & Markets,teicp060,HICP - health
Money & Markets,teicp070,HICP - transport
Money & Markets,teicp080,HICP - communications
Money & Markets,teicp100,HICP - education
Money & Markets,teicp110,HICP - hotels and restaurants
Money & Markets,teicp120,HICP - miscellaneous goods and services
Money & Markets,teicp200,"HICP - all items excluding energy, food, alcohol and tobacco"
Money & Markets,teicp210,HICP - all items excluding energy
Money & Markets,teicp220,HICP - all items excluding energy and unprocessed food
Money & Markets,teicp230,HICP - all items excluding energy and seasonal food
Money & Markets,teicp240,HICP - all items excluding tobacco
Money & Markets,teicp250,HICP - energy
Money & Markets,teicp260,"HICP - food, alcohol and tobacco"
Money & Markets,teicp270,House price index = 100) - quarterly data
Money & Markets,teicp280,HICP - services
Money & Markets,teicp290,HICP - non-energy industrial goods
Money & Markets,teiet010,Exports of goods - total
Money & Markets,teiet020,"Exports of goods - food, drinks and tobacco"
Money & Markets,teiet030,Exports of goods - raw materials
Money & Markets,teiet040,"Exports of goods - mineral fuels, lubricants and related materials"
Money & Markets,teiet050,Exports of goods - chemicals and related products
Money & Markets,teiet060,Exports of goods - other manufactured products
Money & Markets,teiet070,Exports of goods - machinery and transport equipment
Money & Markets,teiet110,Imports of goods - total
Money & Markets,teiet120,"Imports of goods - food, drinks and tobacco"
Money & Markets,teiet130,Imports of goods - raw materials
Money & Markets,teiet140,"Imports of goods - mineral fuels, lubricants and related materials"
Money & Markets,teiet150,Imports of goods - chemicals and related products
Money & Markets,teiet160,Imports of goods - other manufactured products
Money & Markets,teiet170,Imports of goods - machinery and transport equipment
Money & Markets,teiet210,Balance of trade - and euro area aggregates
Money & Markets,teiet215,Balance of trade
Money & Markets,teiet300,Unit value of exports
Money & Markets,teiet310,Unit value of imports
Money & Markets,teiis010,Domestic producer prices - total industry (excluding construction)
Money & Markets,teiis011,Import prices - total industry
Money & Markets,teiis012,Import prices - manufacturing
Money & Markets,teiis013,Import prices - intermediate goods
Money & Markets,teiis014,Import prices - capital goods
Money & Markets,teiis015,Import prices - consumer durables
Money & Markets,teiis016,Import prices - consumer non-durables
Money & Markets,teiis020,Domestic producer prices - manufacturing
Money & Markets,teiis030,Domestic producer prices - energy
Money & Markets,teiis040,Domestic producer prices - intermediate goods
Money & Markets,teiis050,Domestic producer prices - capital goods
Money & Markets,teiis060,Domestic producer prices - consumer durables
Money & Markets,teiis070,Domestic producer prices - consumer non-durables
Money & Markets,teiis080,Production in industry - total (excluding construction)
Money & Markets,teiis090,Production in industry - manufacturing
Money & Markets,teiis100,Production in industry - energy
Money & Markets,teiis110,Production in industry - intermediate goods
Money & Markets,teiis120,Production in industry - capital goods
Money & Markets,teiis130,Production in industry - consumer durables
Money & Markets,teiis140,Production in industry - consumer non-durables
Money & Markets,teiis150,Turnover in industry - manufacturing
Money & Markets,teiis160,Turnover in industry - intermediate goods
Money & Markets,teiis170,Turnover in industry - capital goods
