measure,domain
Enterprises with members in other countries,Money & Markets
Environmental protection investments of total economy,Environment & Natural Resources and Production
Environmental tax revenues,Money & Markets
Equidae - annual data,Environment & Natural Resources and Production
Estimated average age of young people leaving the parental household by sex,"People, Work & Living Conditions"
Estimated soil loss by water erosion by land cover type,Environment & Natural Resources and Production
"Estimated trends in fish stock biomass, by fishing areas",Environment & Natural Resources and Production
"Estimated trends in fishing pressure, by fishing area",Environment & Natural Resources and Production
"Eu level - gross weight of goods handled in main ports, by direction",Transports
"Eu level - gross weight of goods handled in main ports, by type of cargo",Transports
"Eu level - gross weight of goods handled in main ports, by type of traffic",Transports
"Eu level - gross weight of goods handled in main ports, by various types of partner geographical areas",Transports
"Euro yield curve by maturity (1, 5 and 10 years)",Money & Markets
Euro yield curves - annual data,Money & Markets
Euro/ECU exchange rates - annual data,Money & Markets
Euro/national currency exchange rates,Money & Markets
Euro-zone Business Climate Indicator - monthly data,Money & Markets
European Union trade mark (EUTM) applications,Money & Markets
European Union trade mark (EUTM) applications by nature of the trade mark,Money & Markets
European Union trade mark (EUTM) applications by type of the trade mark,Money & Markets
European Union trade mark (EUTM) applications per billion GDP,Money & Markets
European Union trade mark (EUTM) applications per million population,Money & Markets
Ever-partnered women who have experienced violence by an intimate partner and consequences of violence,Health & Safety
"Ever-partnered women who have experienced violence by an intimate partner, by age group",Health & Safety
"Ever-partnered women who have experienced violence by an intimate partner, by country of birth",Health & Safety
"Ever-partnered women who have experienced violence by an intimate partner, by degree of urbanisation",Health & Safety
"Ever-partnered women who have experienced violence by an intimate partner, by level of disability (activity limitation)",Health & Safety
"Ever-partnered women who have experienced violence by an intimate partner, by level of education",Health & Safety
"Ever-partnered women who have experienced violence by an intimate partner, by occurrence of the last episode",Health & Safety
"Ever-partnered women who have experienced violence by an intimate partner, by person/support service to whom violence was reported",Health & Safety
"Ever-partnered women who have experienced violence by an intimate partner, by type and frequency of violence",Health & Safety
"Ever-partnered women who have experienced violence by an intimate partner, by type of violence",Health & Safety
"Ever-working women who have experienced sexual harassment at work, by age group",Health & Safety
"Ever-working women who have experienced sexual harassment at work, by frequency",Health & Safety
"Ever-working women who have experienced sexual harassment at work, by occurrence of the last episode",Health & Safety
"Ever-working women who have experienced sexual harassment at work, by person/support service to whom violence was reported during last year",Health & Safety
"Ever-working women who have experienced sexual harassment at work, by type of male perpetrator",Health & Safety
Excess mortality by month,Health & Safety
Exchange rates,Money & Markets
Expected school years of pupils and students by education level,Learning & Education
Expenditure on pensions,Money & Markets
Expenditure on public educational institutions - as % of total or current expenditure,Money & Markets
Expenditure on education in constant prices,Learning & Education
Expenditure on inland waterway transport infrastructure and freight vessels,Transports
Expenditure on road transport vehicles and road infrastructure,Transports
Expenditure on rolling stock and railway infrastructure,Transports
Expenditure on social protection,"People, Work & Living Conditions"
Expenditure on social protection per inhabitant,"People, Work & Living Conditions"
expenditure on social benefits,"People, Work & Living Conditions"
expenditure on social protection by type,"People, Work & Living Conditions"
expenditure on social protection per head of population. ECU/EUR,"People, Work & Living Conditions"
expenditure on administration costs,Money & Markets
Export market shares - 3 years % change,Money & Markets
Export market shares by items - % of world total,Money & Markets
Export market shares by items - 1 year % change,Money & Markets
Export market shares in volume,Money & Markets
Export to import ratio,Money & Markets
Exports - electricity - monthly data,Money & Markets
Exports of goods - chemicals and related products,Money & Markets
"Exports of goods - food, drinks and tobacco",Money & Markets
Exports of goods - machinery and transport equipment,Money & Markets
"Exports of goods - mineral fuels, lubricants and related materials",Money & Markets
Exports of goods - other manufactured products,Money & Markets
Exports of goods - raw materials,Money & Markets
Exports of goods - total,Money & Markets
Exports of goods and services in % of GDP,Money & Markets
"Exports of high technology products as a share of total exports, SITC Rev. 4 - %",Money & Markets
Exposure of VET graduates to work-based learning,Learning & Education
"External balance of goods and services, current prices",Money & Markets
"Extra-EU27 (from trade, by Member State, total product",Money & Markets
"Extra-EU27 (from trade, by product group",Money & Markets
"Extra-euro area trade, by main partners, total product",Money & Markets
"Extra-euro area trade, by product group",Money & Markets
"FDI flows intensity, market integration",Money & Markets
Family nuclei by number of children,"People, Work & Living Conditions"
Farm labour force,"People, Work & Living Conditions"
Fat contents and protein contents (cow's milk) - annual data,Environment & Natural Resources and Production
"Fatal accidents at work per 100 000 workers, by sex",Health & Safety
"Female school-management personnel - as % of total school-management personnel, by education level",Learning & Education
Female tertiary education graduates in STEM education fields - % of all tertiary education graduates in STEM education fields,Learning & Education
Fertility indicators by NUTS 3 region,"People, Work & Living Conditions"
fertility rate,"People, Work & Living Conditions"
"Fetal, peri- and neonatal mortality rates by country of occurrence",Health & Safety
Final consumption expenditure,Money & Markets
Final consumption expenditure of general government,Money & Markets
"Final consumption expenditure of households and NPISH, current prices",Money & Markets
"Final consumption expenditure of households and NPISH, volumes",Money & Markets
Final consumption expenditure of households and non-profit institutions serving households,Money & Markets
Final consumption expenditure of households and non-profit institutions serving households - annual data,Money & Markets
Final decisions on asylum applicationsby type of decision - annual data,"People, Work & Living Conditions"
Final energy consumption,Environment & Natural Resources and Production
Final energy consumption in households per capita,Environment & Natural Resources and Production
Final energy consumption by agriculture/forestry per hectare of utilised agricultural area,Environment & Natural Resources and Production
Final energy consumption by sector,Environment & Natural Resources and Production
Financial account - annual data,Money & Markets
Financial accounts for institutions,Money & Markets
Financial aid to students,Learning & Education
Financial aid to students by education level - as % of total public expenditure,Learning & Education
"Financial derivatives and employee stock options - annual data, million units of national currency",Money & Markets
"Financial sector leverage (debt to equity), non-consolidated - %",Money & Markets
"financial sector liabilities, consolidated",Money & Markets
"financial sector liabilities, non-consolidated - annual data",Money & Markets
First instance decisions on asylum applications by type of decision - annual aggregated data,"People, Work & Living Conditions"
First permits by reason,"People, Work & Living Conditions"
First residence permits - per thousand persons,"People, Work & Living Conditions"
First residence permits by reasons - % of total first residence permits,"People, Work & Living Conditions"
First-time asylum applicants - % of total asylum applicants,"People, Work & Living Conditions"
First-time asylum applicants - per thousand persons,"People, Work & Living Conditions"
First-time asylum applications of unaccompanied minors - % of total first-time asylum applications of minors,"People, Work & Living Conditions"
Fish catches,Environment & Natural Resources and Production
Fish catches by fishing areas,Environment & Natural Resources and Production
"Fishing Fleet, Number of Vessels",Environment & Natural Resources and Production
"Fishing fleet, total tonnage",Environment & Natural Resources and Production
Food waste,Environment & Natural Resources and Production
Foreign-born population,"People, Work & Living Conditions"
Forest and irrigated land,Environment & Natural Resources and Production
Formal child care by duration and age group,Learning & Education
Former euro area national currencies vs. euro/ECU - annual data,Money & Markets
Freight and mail air transport (including national transport),Transports
Freight and mail air transport over national territory (including territorial sea) - million tonne-km,Transports
"Frequency of alcohol consumption by sex, age and educational attainment level",Health & Safety
"Frequency of heavy episodic drinking by sex, age and educational attainment level",Health & Safety
"Frequency of heavy episodic drinking by sex, age and income quintile",Health & Safety
Frequency of internet use by individuals aged 16-74,Tech & Innovation
Fresh vegetables and strawberries by area,Environment & Natural Resources and Production
Fresh water abstraction by source per capita - m³ per capita,Environment & Natural Resources and Production
Freshwater abstraction,Environment & Natural Resources and Production
GDP deflator,Money & Markets
GDP per capita in PPS,Money & Markets
GDP weights used in the calculation of the global specific indicator,Money & Markets
GHG (Green House Gases) emissions,Environment & Natural Resources and Production
GNI (gross national income) per capita in PPS,Money & Markets
Gas prices by type of user,Money & Markets
Gender coverage rate in pension by age group – EU-SILC survey,"People, Work & Living Conditions"
Gender differences in the aggregate replacement ratio for pensions (excluding other social benefits) - EU-SILC survey,"People, Work & Living Conditions"
Gender differences in the at-risk-of-poverty rate by age - EU-SILC survey,"People, Work & Living Conditions"
Gender differences in the relative income of elderly people (65+) - EU-SILC survey,"People, Work & Living Conditions"
Gender differences in the relative income of older people - EU-SILC survey,"People, Work & Living Conditions"
Gender employment gap,"People, Work & Living Conditions"
Gender employment gap by degree of urbanisation,"People, Work & Living Conditions"
"Gender employment gap, by type of employment","People, Work & Living Conditions"
Gender gap in part-time employment,"People, Work & Living Conditions"
Gender overall earnings gap,"People, Work & Living Conditions"
Gender pay gap in unadjusted form,"People, Work & Living Conditions"
Gender pay gap in unadjusted form -,"People, Work & Living Conditions"
"Gender pay gap in unadjusted form by age - NACE Rev. 2 activity (B-S except O), structure of earnings survey methodology","People, Work & Living Conditions"
"Gender pay gap in unadjusted form by type of ownership of the economic activity - NACE Rev. 2 activity (B-S except O), structure of earnings survey methodology","People, Work & Living Conditions"
"Gender pay gap in unadjusted form by working time - NACE Rev. 2 activity (B-S except O), structure of earnings survey methodology","People, Work & Living Conditions"
Gender pension gap by age group – EU-SILC survey,"People, Work & Living Conditions"
Gender parity index by education level,Learning & Education
General education,Learning & Education
General government deficit (-) and surplus (+) - annual data,Money & Markets
General government deficit (-) and surplus (+) - quarterly data,Money & Markets
General government deficit/surplus,Money & Markets
General government expenditure by function,Money & Markets
General government gross debt,Money & Markets
"General government gross debt (EDP concept), consolidated - annual data",Money & Markets
General government gross debt - annual data,Money & Markets
General government gross debt - quarterly data,Money & Markets
General government gross fixed capital formation - annual data,Money & Markets
general government expenditure,Money & Markets
general government revenue,Money & Markets
General government employment,"People, Work & Living Conditions"
General government total expenditure on law courts,Money & Markets
General indicators,"People, Work & Living Conditions"
Generation of municipal waste per capita,Environment & Natural Resources and Production
Generation of packaging waste per capita,Environment & Natural Resources and Production
Generation of plastic packaging waste per capita,Environment & Natural Resources and Production
Generation of waste by hazardousness,Environment & Natural Resources and Production
Generation of waste by households,Environment & Natural Resources and Production
Generation of waste by sector,Environment & Natural Resources and Production
Generation of waste excluding major mineral wastes per GDP unit,Environment & Natural Resources and Production
Gini coefficient of equivalised disposable income,"People, Work & Living Conditions"
Gini coefficient of equivalised disposable income before social transfers (pensions excluded from social transfers),"People, Work & Living Conditions"
Gini coefficient of equivalised disposable income before social transfers (pensions included in social transfers),"People, Work & Living Conditions"
Gini coefficient of equivalised disposable income by age,"People, Work & Living Conditions"
Gini coefficient of equivalised disposable income for children aged less than 18,"People, Work & Living Conditions"
Gini coefficient on household population - experimental statistics,"People, Work & Living Conditions"
Global mean surface seawater acidity,Environment & Natural Resources and Production
Goods road transport enterprises by employment size classes,Transports
Goods road transport enterprises by number of vehicles,Transports
Goods transport by inland waterways,Transports
Goods transport by rail,Transports
Goods transport by road,Transports
Goods transported,Transports
Goods and passenger train traffic performance,Transports
"Goods and services, imports and exports",Money & Markets
Goods transported (detailed reporting only ) - Quarterly data,Transports
Goods transported by type of consignment,Transports
Government bond yields - 10 years' maturity,Money & Markets
"Government bond yields, 10 years' maturity - annual data",Money & Markets
"Government bond yields, 10 years' maturity - monthly data",Money & Markets
Government deficit/surplus and debt,Money & Markets
"Government final consumption expenditure, current prices",Money & Markets
"Government final consumption expenditure, volumes",Money & Markets
Government support to agricultural research and development,Environment & Natural Resources and Production
Graduates at doctoral level by sex and age groups - per 1000 of population aged 25-34,Learning & Education
"Graduates at doctoral level, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 25-34",Learning & Education
Graduates in tertiary education by education level – women per 100 men,Learning & Education
"Grain maize and corn-cob-mix by area, production and humidity",Environment & Natural Resources and Production
Grapes by production,Environment & Natural Resources and Production
Grassland butterfly index - aggregate,Environment & Natural Resources and Production
Green bond issuance by corporates and governments,Money & Markets
Green bond issuance by type of issuer,Money & Markets
"Green maize by area, production and humidity",Environment & Natural Resources and Production
Greenhouse gas emissions from agriculture,Environment & Natural Resources and Production
Greenhouse gases emissions from production activities,Environment & Natural Resources and Production
Gross national income,Money & Markets
Gross value added,Money & Markets
Gross value added - NACE Rev. 2: - current prices,Money & Markets
Gross value added - NACE Rev. 2: - volumes,Money & Markets
Gross value added - NACE Rev. 2: A - current prices,Money & Markets
Gross value added - NACE Rev. 2: A - volumes,Money & Markets
Gross value added - NACE Rev. 2: B-E - current prices,Money & Markets
Gross value added - NACE Rev. 2: B-E - volumes,Money & Markets
Gross value added - NACE Rev. 2: C - current prices,Money & Markets
Gross value added - NACE Rev. 2: C - volumes,Money & Markets
Gross value added - NACE Rev. 2: F - current prices,Money & Markets
Gross value added - NACE Rev. 2: F - volumes,Money & Markets
Gross value added - NACE Rev. 2: G-I - current prices,Money & Markets
Gross value added - NACE Rev. 2: G-I - volumes,Money & Markets
Gross value added - NACE Rev. 2: J - current prices,Money & Markets
Gross value added - NACE Rev. 2: J - volumes,Money & Markets
Gross value added - NACE Rev. 2: K - current prices,Money & Markets
Gross value added - NACE Rev. 2: K - volumes,Money & Markets
Gross value added - NACE Rev. 2: L - current prices,Money & Markets
Gross value added - NACE Rev. 2: L - volumes,Money & Markets
Gross value added - NACE Rev. 2: M_N - current prices,Money & Markets
Gross value added - NACE Rev. 2: M_N - volumes,Money & Markets
Gross value added - NACE Rev. 2: O-Q - current prices,Money & Markets
Gross value added - NACE Rev. 2: O-Q - volumes,Money & Markets
Gross value added - NACE Rev. 2: R-U - current prices,Money & Markets
Gross value added - NACE Rev. 2: R-U - volumes,Money & Markets
Gross value added by industry,Money & Markets
Gross capital formation,Money & Markets
Gross debt-to-income ratio of households,"People, Work & Living Conditions"
Gross disposable income,"People, Work & Living Conditions"
Gross domestic expenditure on R&D (GERD),Tech & Innovation
Gross domestic expenditure on research and development (R&D),Tech & Innovation
Gross domestic product,Money & Markets
Gross domestic product (GDP) at current market prices by NUTS 3 regions,Money & Markets
Gross domestic product (GDP) at current market prices by other typologies,Money & Markets
Gross domestic product at market prices,Money & Markets
Gross domestic product at market prices by expenditure,Money & Markets
"Gross domestic product, current prices",Money & Markets
"Gross domestic product, volumes",Money & Markets
Gross external debt of the whole economy,Money & Markets
"Gross external debt of the whole economy, relative to exports of goods and services",Money & Markets
Gross fixed capital formation (investments),Money & Markets
Gross fixed capital formation at current prices,Money & Markets
"Gross fixed capital formation, current prices",Money & Markets
"Gross fixed capital formation, volumes",Money & Markets
"Gross non-performing loans, domestic and foreign entities - % of gross loans",Money & Markets
Gross saving,Money & Markets
Gross value added at basic prices by NUTS 3 regions,Money & Markets
Gross value added in environmental goods and services sector,Money & Markets
Gross value added of the agricultural industry - basic and producer prices,Money & Markets
Gross weight of dry bulk goods transported in short sea shipping from/to the top 5 ports for dry bulk goods,Transports
Gross weight of goods handled,Transports
Gross weight of goods handled in all ports by direction,Transports
Gross weight of goods handled in the top 20 ports by direction,Transports
Gross weight of goods in Ro-ro units transported in short sea shipping from/to the top 5 ports for goods in Ro-ro units,Transports
Gross weight of goods in containers transported in short sea shipping from/to the top 5 ports for goods in containers,Transports
Gross weight of liquid bulk goods transported in short sea shipping from/to the top 5 ports for liquid bulk goods,Transports
Guest nights spent at short-stay accommodation offered via collaborative economy platforms by mode of accommodation - experimental statistics,Living Well
Guest nights spent at short-stay accommodation offered via collaborative economy platforms by size class of accommodation - experimental statistics,Living Well
HICP - all items,Money & Markets
HICP - clothing,Money & Markets
HICP - communications,Money & Markets
HICP - education,Money & Markets
HICP - energy,Money & Markets
HICP - food,Money & Markets
"HICP - food, alcohol and tobacco",Money & Markets
HICP - health,Money & Markets
HICP - hotels and restaurants,Money & Markets
HICP - household equipment,Money & Markets
HICP - housing,Money & Markets
HICP - miscellaneous goods and services,Money & Markets
HICP - non-energy industrial goods,Money & Markets
HICP - services,Money & Markets
HICP - transport,Money & Markets
HICP - alcohol and tobacco,Money & Markets
HICP - all items - annual average indices,Money & Markets
HICP - all items excluding energy,Money & Markets
HICP - all items excluding energy and seasonal food,Money & Markets
HICP - all items excluding energy and unprocessed food,Money & Markets
"HICP - all items excluding energy, food, alcohol and tobacco",Money & Markets
HICP - all items excluding tobacco,Money & Markets
HICP - country weights,Money & Markets
HICP - inflation rate,Money & Markets
HICP - recreation and culture,Money & Markets
Hauled passenger railway vehicle traffic performance by type of railway vehicle speed - seat km (until,Transports
Hauled vehicle traffic performance - tkm (until,Transports
Health care expenditure as a share of GDP,Health & Safety
Health care expenditure by financing scheme,Health & Safety
Health care expenditure by function,Health & Safety
Health graduates,Health & Safety
Health impacts of air pollution,Health & Safety
Health personnel,Health & Safety
Healthy life years -,Health & Safety
Healthy life years at 65 - females,Health & Safety
Healthy life years at 65 - males,Health & Safety
Healthy life years at age 65 by sex,Health & Safety
Healthy life years at birth by sex,Health & Safety
Healthy life years by sex (from onwards),Health & Safety
"High-speed internet coverage, by type of area",Tech & Innovation
High-tech exports,Money & Markets
High-tech exports - Exports of high technology products as a share of total exports (from SITC Rev. 4),Money & Markets
Higher education,Learning & Education
Hospital beds,Health & Safety
Hours spent in CVT courses by NACE Rev. 1.1 activity - hours per 1000 hours worked in all enterprises,Learning & Education
Hours spent in CVT courses by NACE Rev. 1.1 activity - hours per 1000 hours worked in enterprises providing CVT courses,Learning & Education
Hours spent in CVT courses by NACE Rev. 1.1 activity - hours per participant,Learning & Education
Hours spent in CVT courses by NACE Rev. 1.1 activity - hours per person employed in all enterprises,Learning & Education
Hours spent in CVT courses by NACE Rev. 1.1 activity - hours per person employed in enterprises providing CVT courses,Learning & Education
Hours spent in CVT courses by NACE Rev. 2 activity - hours per 1000 hours worked in all enterprises,Learning & Education
Hours spent in CVT courses by NACE Rev. 2 activity - hours per 1000 hours worked in enterprises providing CVT courses,Learning & Education
Hours spent in CVT courses by NACE Rev. 2 activity - hours per participant,Learning & Education
Hours spent in CVT courses by NACE Rev. 2 activity - hours per person employed in all enterprises,Learning & Education
Hours spent in CVT courses by NACE Rev. 2 activity - hours per person employed in enterprises providing CVT courses,Learning & Education
Hours spent in CVT courses by size class - hours per 1000 hours worked in all enterprises,Learning & Education
Hours spent in CVT courses by size class - hours per 1000 hours worked in enterprises providing CVT courses,Learning & Education
Hours spent in CVT courses by size class - hours per participant,Learning & Education
Hours spent in CVT courses by size class - hours per person employed in all enterprises,Learning & Education
Hours spent in CVT courses by size class - hours per person employed in enterprises providing CVT courses,Learning & Education
Hours spent in CVT courses by type of course and NACE Rev. 1.1 activity - % of total hours spent in CVT courses,Learning & Education
Hours worked per week of full-time employment,"People, Work & Living Conditions"
House price index - annual data,Money & Markets
House price index - quarterly data,Money & Markets
House price index = 100) - quarterly data,Money & Markets
"House price index, deflated - annual data",Money & Markets
"House price index, deflated - quarterly data",Money & Markets
House sales - number and index annual data,Money & Markets
House sales - value and index annual data,Money & Markets
House price index - Item weights,Money & Markets
Household composition by size,"People, Work & Living Conditions"
Household consumption volumes of electricity by consumption bands,Environment & Natural Resources and Production
Household consumption volumes of gas by consumption bands,Environment & Natural Resources and Production
"Household debt, consolidated including Non-profit institutions serving households - % of GDP",Money & Markets
Household saving rate,Money & Markets
Households - availability of computers,Tech & Innovation
Households - level of internet access,Tech & Innovation
Households by size (number of persons),"People, Work & Living Conditions"
Households investment rate,Money & Markets
Households maintaining the same standard of living using savings by duration and risk of poverty threshold,"People, Work & Living Conditions"
Households that have internet access at home by NUTS 2 regions,Tech & Innovation
Households with access to secure tenure by simplified degree of urbanisation,"People, Work & Living Conditions"
Households with sustainable access to improved sanitation by simplified degree of urbanisation,"People, Work & Living Conditions"
Housing deprivation rate by number of item - EU-SILC survey,"People, Work & Living Conditions"
Housing cost overburden rate,"People, Work & Living Conditions"
Housing cost overburden rate by NUTS regions,"People, Work & Living Conditions"
Housing cost overburden rate by age group - EU-SILC survey,"People, Work & Living Conditions"
Housing cost overburden rate by degree of urbanisation - EU-SILC survey,"People, Work & Living Conditions"
Housing cost overburden rate by household type - EU-SILC survey,"People, Work & Living Conditions"
Housing cost overburden rate by income quintile - EU-SILC survey,"People, Work & Living Conditions"
Housing cost overburden rate by poverty status,"People, Work & Living Conditions"
Housing cost overburden rate by poverty status - EU-SILC survey,"People, Work & Living Conditions"
Housing cost overburden rate by sex - EU-SILC survey,"People, Work & Living Conditions"
Housing cost overburden rate by tenure status - EU-SILC survey,"People, Work & Living Conditions"
Housing units by type,"People, Work & Living Conditions"
Housing units by type of building,"People, Work & Living Conditions"
Human resources in science and technology (HRST),Tech & Innovation
Immigration by broad group of country of previous residence,"People, Work & Living Conditions"
Implicit tax rate on energy,Money & Markets
Import dependency on third countries by fuel type,Environment & Natural Resources and Production
Import prices - capital goods,Money & Markets
Import prices - consumer durables,Money & Markets
Import prices - consumer non-durables,Money & Markets
Import prices - intermediate goods,Money & Markets
Import prices - manufacturing,Money & Markets
Import prices - total industry,Money & Markets
Imports - electricity - monthly data,Environment & Natural Resources and Production
Imports of goods - chemicals and related products,Money & Markets
"Imports of goods - food, drinks and tobacco",Money & Markets
Imports of goods - machinery and transport equipment,Money & Markets
"Imports of goods - mineral fuels, lubricants and related materials",Money & Markets
Imports of goods - other manufactured products,Money & Markets
Imports of goods - raw materials,Money & Markets
Imports of goods - total,Money & Markets
Imports of goods and services in % of GDP,Money & Markets
In work at-risk-of-poverty rate,"People, Work & Living Conditions"
In-work at-risk-of-poverty rate,"People, Work & Living Conditions"
In-work at-risk-of-poverty rate by educational attainment level - EU-SILC survey,"People, Work & Living Conditions"
In-work at-risk-of-poverty rate by full-/part-time work - EU-SILC survey,"People, Work & Living Conditions"
In-work at-risk-of-poverty rate by household type - EU-SILC survey,"People, Work & Living Conditions"
In-work at-risk-of-poverty rate by months worked - EU-SILC survey,"People, Work & Living Conditions"
In-work at-risk-of-poverty rate by working time - EU-SILC survey,"People, Work & Living Conditions"
In-work at-risk-of-poverty rate by sex,"People, Work & Living Conditions"
"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day - EU-SILC survey","People, Work & Living Conditions"
"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day by NUTS regions","People, Work & Living Conditions"
Inability to face unexpected financial expenses by NUTS regions,Money & Markets
Inability to keep home adequately warm by NUTS regions,"People, Work & Living Conditions"
"Inability to keep home adequately warm by level of disability (activity limitation), sex and age","People, Work & Living Conditions"
"Inactive population as a percentage of the total population, by sex and age (%)","People, Work & Living Conditions"
"Incidence rate of accidents at work by type of workstation, NACE Rev. 1.1 activity, sex, age and severity",Health & Safety
Income in real terms SILC=100),"People, Work & Living Conditions"
Income distribution,"People, Work & Living Conditions"
Income from intellectual property rights for computer services,Tech & Innovation
Income inequality for older people - EU-SILC survey,"People, Work & Living Conditions"
Income quintile share ratio (S80/S20) by sex,"People, Work & Living Conditions"
Income quintile share ratio - S80/S20,"People, Work & Living Conditions"
Income quintile share ratio S80/S20 by NUTS 2 regions - EU-SILC survey,"People, Work & Living Conditions"
Income share of the bottom 40 % of the population,"People, Work & Living Conditions"
Indicator A of the income from agricultural activity,Environment & Natural Resources and Production
Indicators on health and safety at work,Health & Safety
Individuals - internet activities,Tech & Innovation
Individuals frequently using the internet,Tech & Innovation
Individuals regularly using the internet,Tech & Innovation
Individuals using the internet for buying goods or services,Tech & Innovation
Individuals using the internet for doing an online course,Tech & Innovation
Individuals using the internet for finding information about goods and services,Tech & Innovation
Individuals using the internet for internet banking,Tech & Innovation
Individuals using the internet for looking for a job or sending a job application,Tech & Innovation
Individuals using the internet for participating in social networks,Tech & Innovation
Individuals using the internet for selling goods or services,Tech & Innovation
Individuals using the internet for sending/receiving e-mails,Tech & Innovation
Individuals using the internet for seeking health-related information,Health & Safety
Individuals who have basic or above basic overall digital skills by sex,Tech & Innovation
Individuals who have never used a computer,Tech & Innovation
Individuals who have never used the internet,Tech & Innovation
Individuals who ordered goods or services over the internet for private use in the last year by NUTS 2 regions,Tech & Innovation
Individuals' level of computer skills (until,Tech & Innovation
Individuals' level of digital skills (until,Tech & Innovation
"Industrial and construction production volume index, calendar adjusted",Money & Markets
Inequality of income distribution,"People, Work & Living Conditions"
Inequality of income distribution S80/S20 income quintile share ratio - EU-SILC and ECHP surveys,"People, Work & Living Conditions"
Infant mortality rate,Health & Safety
Infant mortality rate by sex,Health & Safety
Inland waterway transport enterprises by number of vessels -,Transports
Inpatient curative care bed occupancy rate by type of care,Health & Safety
Intentional homicide offences in largest cities,Health & Safety
Intentional homicide victims in largest cities by sex,Health & Safety
Interests payable and similar charges by product,Money & Markets
Interests receivable and similar income by product,Money & Markets
Intermediate goods trade,Money & Markets
Intermediate services trade,Money & Markets
International trade as a share of GDP,Money & Markets
"International trade of and enlargement countries, by reporting country, total product",Money & Markets
"International trade, by reporting country, total product",Money & Markets
International trade in services - market integration indicators - historical data,Money & Markets
Internet use by individuals,Tech & Innovation
"Intra-EU27 (from trade, by Member State, total product",Money & Markets
Intra-mural Business Enterprise R&D Expenditures in Foreign Controlled Enterprises,Tech & Innovation
Intramural R&D expenditure (GERD) by source of funds,Tech & Innovation
Investment by institutional sectors,Money & Markets
Investment share of GDP by institutional sectors,Money & Markets
Investment and maintenance in oil pipeline infrastructure,Environment & Natural Resources and Production
Investment rate of non-financial corporations,Money & Markets
"Involuntary part-time employment as percentage of the total part-time employment, by sex and age (%)","People, Work & Living Conditions"
Involuntary temporary employment,"People, Work & Living Conditions"
Inward FDI stocks in % of GDP,Money & Markets
Job mismatches and their labour market effects among school-leavers in Europe,"People, Work & Living Conditions"
"Job vacancies in number and % - NACE Rev. 2, B-S, quarterly data","People, Work & Living Conditions"
Jobless households - children,"People, Work & Living Conditions"
Jobless households by sex,"People, Work & Living Conditions"
Jobs created by NACE Rev.2 activity - experimental statistics,"People, Work & Living Conditions"
Joint Index,Money & Markets
Labour cost index by NACE Rev. 1.1 activity - country weights,Money & Markets
Labour cost index by NACE Rev. 2,Money & Markets
Labour cost index by NACE Rev. 2 activity - country weights,Money & Markets
Labour costs annual data - NACE Rev. 2,Money & Markets
Labour productivity in GDP (constant prices) per person employed,Money & Markets
Labour productivity per hour worked - annual data,Money & Markets
Labour productivity per person employed and hour worked (EU27_2020=100),Money & Markets
Labour force participation rate - % of total population aged 15-64,"People, Work & Living Conditions"
"Labour force participation rate, aged 15-64 - annual averages","People, Work & Living Conditions"
Labour input - total industry (excluding construction),"People, Work & Living Conditions"
Labour input in construction,"People, Work & Living Conditions"
"Labour market demand for ICT specialists in online job advertisements, by occupation (ISCO-08) - % of online job advertisements for ICT specialists - experimental statistics","People, Work & Living Conditions"
Labour transitions by employment status,"People, Work & Living Conditions"
Labour transitions from temporary to permanent contracts by sex -3-year average,"People, Work & Living Conditions"
Land covered by artificial surfaces - index,Environment & Natural Resources and Production
Land use footprints,Environment & Natural Resources and Production
Landfill rate of waste excluding major mineral wastes,Environment & Natural Resources and Production
Laying hens population - annual data,Environment & Natural Resources and Production
Length of lines,Transports
Length of motorways and e-roads,Transports
Length of other roads within/outside built-up areas,Transports
Length of paved and unpaved roads,Transports
Length of railway lines by maximum permitted speed,Transports
Length of railway lines equipped with the railway traffic management system by type of signalling,Transports
Length of railway tracks by electrification of tracks,Transports
Length of roads network,Transports
length of motorways,Transports
length of railway lines,Transports
Length of navigable inland waterways by waterway type,Transports
Length of network,Transports
Length of pipelines operated,Transports
Level crossings by type,Transports
Level of internet access - households,Tech & Innovation
Licensed physicians,Health & Safety
Life expectancy at birth by sex,"People, Work & Living Conditions"
Life expectancy by age and sex,"People, Work & Living Conditions"
"Life satisfaction by sex, age, educational attainment and domain",Living Well
Literacy rate by sex and age group,Learning & Education
Live births,"People, Work & Living Conditions"
Live births and crude birth rate,"People, Work & Living Conditions"
Livestock density index,Environment & Natural Resources and Production
Livestock in number of heads,Environment & Natural Resources and Production
Living quarters by type of housing,"People, Work & Living Conditions"
"Load capacity of new lorries, semi-trailers and trailers, by type of carriage (until",Transports
Load capacity of self-propelled vessels by year of construction,Transports
Loan and deposit one year interest rate,Money & Markets
Loans (excluding mortgages on purchase of main residence) by income quintile,Money & Markets
Loans (excluding mortgages on purchase of main residence) by risk of poverty threshold,Money & Markets
Local pollution,Environment & Natural Resources and Production
Long term government bond yields,Money & Markets
"Long-term residence permits issued during the year by age, sex and citizenship","People, Work & Living Conditions"
"Long-term residents by age, sex and citizenship on 31 December of each year","People, Work & Living Conditions"
Long-term unemployment rates by sex,"People, Work & Living Conditions"
