domain,code,title
Population and social conditions,trng_cvt_22s,Hours spent in CVT courses by size class - per thousand hours worked in enterprises providing CVT courses
Population and social conditions,trng_cvt_22n2,Hours spent in CVT courses by NACE Rev. 2 activity - per thousand hours worked in enterprises providing CVT courses
Population and social conditions,trng_cvt_22n1,Hours spent in CVT courses by NACE Rev. 1.1 activity - per thousand hours worked in enterprises providing CVT courses
Population and social conditions,trng_cvt_23s,Hours spent in CVT courses by size class - per person employed in all enterprises
Population and social conditions,trng_cvt_23n2,Hours spent in CVT courses by NACE Rev. 2 activity - per person employed in all enterprises
Population and social conditions,trng_cvt_23n1,Hours spent in CVT courses by NACE Rev. 1.1 activity - per person employed in all enterprises
Population and social conditions,trng_cvt_24s,Hours spent in CVT courses by size class - per person employed in enterprises providing CVT courses
Population and social conditions,trng_cvt_24n2,Hours spent in CVT courses by NACE Rev. 2 activity - per person employed in enterprises providing CVT courses
Population and social conditions,trng_cvt_24n1,Hours spent in CVT courses by NACE Rev. 1.1 activity - per person employed in enterprises providing CVT courses
Population and social conditions,trng_cvt_25s,Hours spent in CVT courses by size class - per participant
Population and social conditions,trng_cvt_25n2,Hours spent in CVT courses by NACE Rev. 2 activity - per participant
Population and social conditions,trng_cvt_25n1,Hours spent in CVT courses by NACE Rev. 1.1 activity - per participant
Population and social conditions,trng_cvt_26n1,Hours spent in CVT courses by type of course and NACE Rev. 1.1 activity - % of total hours spent in CVT courses
Population and social conditions,trng_cvt_34s,Enterprises employing IVT participants by size class - % of all enterprises
Population and social conditions,trng_cvt_34n2,Enterprises employing IVT participants by NACE Rev. 2 activity - % of all enterprises
Population and social conditions,trng_cvt_34n1,Enterprises employing IVT participants by NACE Rev. 1.1 activity - % of all enterprises
Population and social conditions,educ_uoe_perp03,"Classroom teachers working full-time and part-time in primary, lower-secondary and upper-secondary education - as % of total active population"
Population and social conditions,educ_uoe_perp05,Ratio of pupils to teachers and teacher aides by education level and programme orientation
Population and social conditions,educ_uoe_perd04,"Female school-management personnel - as % of total school-management personnel, by education level"
Population and social conditions,educ_uoe_perd05,"Teachers working part-time - as % of all teachers, by education level"
Population and social conditions,educ_uoe_fini05,Expenditure on public educational institutions - as % of total or current expenditure
Population and social conditions,educ_uoe_fini06,"Ratio of annual expenditure per student at the tertiary level and primary level of education, in public educational institutions"
Population and social conditions,educ_uoe_fina01,Financial aid to students by education level - as % of total public expenditure
Population and social conditions,educ_uoe_grad06,Graduates at doctoral level by sex and age groups - per 1000 of population aged 25-34
Population and social conditions,educ_uoe_grad07,"Graduates at doctoral level, in science, math., computing, engineering, manufacturing, construction, by sex - per 1000 of population aged 25-34"
Population and social conditions,educ_uoe_grad09,Graduates in tertiary education by education level - women per 100 men
Population and social conditions,tps00217,Female tertiary education graduates in STEM education fields - % of all tertiary education graduates in STEM education fields
Population and social conditions,yth_educ_020,Population (aged 30-34) with tertiary educational attainment level by sex
Population and social conditions,yth_educ_030,Young persons (aged 20-24) with at least upper secondary educational attainment level by sex
Population and social conditions,tps00065,Persons aged 25-64 with at least upper secondary educational attainment level by sex
Population and social conditions,tps00186,Persons aged 20-24 with at least upper secondary educational attainment level by sex
Population and social conditions,tps00197,Persons with at most lower secondary educational attainment level by age
Population and social conditions,tps00066,Unemployment rates (persons aged 25-64) by educational attainment level
Population and social conditions,educ_outc_pisa,"Low achieving 15-year-olds in reading, mathematics or science by sex"
Population and social conditions,educ_uoe_lang03,Average number of foreign languages studied per pupil by education level
Population and social conditions,educ_iste,Pupil/ student - teacher ratio and average class size (ISCED 1-3)
Population and social conditions,educ_fiexpc,Expenditure on education in constant prices
Population and social conditions,educ_fiaid,Financial aid to students
Population and social conditions,trng_fed3,Participation in formal education by degree of urbanisation
Population and social conditions,trng_nfe2,Participation in non-formal education and training by number of activities
Population and social conditions,trng_nfe4,Participation in non-formal education and training by degree of urbanisation
Population and social conditions,trng_nfe5,Participation in job-related non-formal education and training by size of the local unit
Population and social conditions,trng_nfe6,Participation in non-formal education and training by main reason for participating in the taught activity
Population and social conditions,trng_nfe7,Participation in non-formal education and training within (or not) paid working hours
Population and social conditions,trng_nfe13,Mean instruction hours per employed participant in non-formal education and training by sex and NACE Rev. 1.1 activity
Population and social conditions,trng_nfe14,Mean instruction hours per participant in non-formal education and training by sex and age
Population and social conditions,trng_nfe15,Mean instruction hours per participant in non-formal education and training by sex and labour status
Population and social conditions,trng_nfe16,Mean instruction hours per employed participant in non-formal education and training by sex and occupation
Population and social conditions,trng_nfe18,Mean instruction hours per participant in non-formal education and training by field of learning
Population and social conditions,trng_inf3,Participation in informal learning by degree of urbanisation
Population and social conditions,trng_any3,Participation in any learning activities by degree of urbanisation
Population and social conditions,trng_any4,Participation in any learning activities by NACE Rev. 1.1 activity
Population and social conditions,trng_any5,Participation in any learning activities by size of the local unit
Population and social conditions,edat_lfso_00t2,Employed in service sector and occupational status of recent school-leavers
Population and social conditions,edat_lfso_00t4,Parents educational attainment level
Population and social conditions,edat_lfso_00t5,Job mismatches and their labour market effects among school-leavers in Europe
Population and social conditions,tps00159,Employed persons working part-time - annual data
Population and social conditions,lfsi_long_e08,"Transition from part-time work to full-time work (annual averages of quarterly transitions, estimated probabilities) - experimental statistics"
Population and social conditions,lfsi_long_e09,"Transition from fixed term contracts to permanent contracts (annual averages of quarterly transitions, estimated probabilities) - experimental statistics"
Population and social conditions,lfsi_dwl_a,Duration of working life
Population and social conditions,tesem080,Employment rate of low skilled persons (age group 20-64)
Population and social conditions,tqoe3a5,Employed persons having more than one job by sex
Population and social conditions,tps00066,Unemployment rates (persons aged 25-64) by educational attainment level
Population and social conditions,lfsi_jhh_a,Population in jobless private households - % of persons living in private households where no-one is employed
Population and social conditions,tps00182,Jobless households by sex
Population and social conditions,tps00181,Jobless households - children
Population and social conditions,lfst_r_lmdgeg,Regional disparities in gender employment gap (NUTS level 2)
Population and social conditions,lfst_r_lmdltu,Regional disparities in long-term unemployment rates (NUTS level 2)
Population and social conditions,lfst_r_edatd_16,Regional disparities in the rate of early leavers from education and training (NUTS level 2)
Population and social conditions,lfst_r_edatd_22,Regional disparities in the rate of young people neither in employment nor in education and training (NEET) (NUTS level 2)
Population and social conditions,lfst_dpw_01,Share of digital platform workers (in the last 12 months) by educational attainment level - experimental statistics
Population and social conditions,lfst_dpw_02,Share of digital platform workers (in the last 12 months) by type of task or service - experimental statistics
Population and social conditions,lfst_dpw_03,Distribution of digital platform workers (in the last 12 months) by number of hours worked in the last month - experimental statistics
Population and social conditions,lfst_dpw_04,Distribution of digital platform workers (at least one hour in the last month) by educational attainment level - experimental statistics
Population and social conditions,lfst_dpw_05,Distribution of digital platform workers (at least one hour in the last month) by labour status - experimental statistics
Population and social conditions,lfst_dpw_06,Distribution of digital platform workers (at least one hour in the last month) by share of platform income in their earnings - experimental statistics
Population and social conditions,lfst_dpw_07,Distribution of digital platform workers (at least one hour in the last month) by social insurance coverage and risk - experimental statistics
Population and social conditions,lfst_dpw_08,Distribution of digital platform workers (at least one hour in the last month) by type of work assignment - experimental statistics
Population and social conditions,lfst_dpw_09,Distribution of digital platform workers (at least one hour in the last month) by consequences of rejecting the task or service - experimental statistics
Population and social conditions,lfst_dpw_10,Distribution of digital platform workers (at least one hour in the last month) by working hours setting - experimental statistics
Population and social conditions,lfst_dpw_11,Distribution of digital platform workers (at least one hour in the last month) by price setting - experimental statistics
Population and social conditions,hsw_ac4,Persons reporting a road traffic accident
Population and social conditions,lfso_17seworg,Self-employed persons having at least one client in the last 12 months by control over working time
Population and social conditions,hsw_ac4,Persons reporting a road traffic accident
Population and social conditions,lfso_12penstyp,Persons who receive a pension by type
Population and social conditions,lfso_12agepens,Age at which the person first received an old-age pension
Population and social conditions,lfso_12earlyret,Early retirement among persons who receive an old-age pension
Population and social conditions,lfso_12reduchrs,Persons who reduced their working hours in a move towards retirement
Population and social conditions,lfso_12worklong,Persons outside the labour force who receive a pension who would have wished to stay longer in employment
Population and social conditions,tqoe3b4,Employees with a flexible work schedule by sex
Population and social conditions,hsw_ac4,Persons reporting a road traffic accident
Population and social conditions,lfso_06finiagps,Average age at which employed persons started receiving a retirement pension - by sex and main financial incentive to stay at work
Population and social conditions,tqoe3b4,Employees with a flexible work schedule by sex
Population and social conditions,trng_any3,Participation in any learning activities by degree of urbanisation
Population and social conditions,trng_any4,Participation in any learning activities by NACE Rev. 1.1 activity
Population and social conditions,trng_any5,Participation in any learning activities by size of the local unit
Population and social conditions,trng_fed3,Participation in formal education by degree of urbanisation
Population and social conditions,trng_nfe2,Participation in non-formal education and training by number of activities
Population and social conditions,trng_nfe4,Participation in non-formal education and training by degree of urbanisation
Population and social conditions,trng_nfe5,Participation in job-related non-formal education and training by size of the local unit
Population and social conditions,trng_nfe6,Participation in non-formal education and training by main reason for participating in the taught activity
Population and social conditions,trng_nfe7,Participation in non-formal education and training within (or not) paid working hours
Population and social conditions,trng_nfe13,Mean instruction hours per employed participant in non-formal education and training by sex and NACE Rev. 1.1 activity
Population and social conditions,trng_nfe14,Mean instruction hours per participant in non-formal education and training by sex and age
Population and social conditions,trng_nfe15,Mean instruction hours per participant in non-formal education and training by sex and labour status
Population and social conditions,trng_nfe16,Mean instruction hours per employed participant in non-formal education and training by sex and occupation
Population and social conditions,trng_nfe18,Mean instruction hours per participant in non-formal education and training by field of learning
Population and social conditions,trng_inf3,Participation in informal learning by degree of urbanisation
Population and social conditions,hlth_db_emaspr,Percentage distribution of assistance provided to employed disabled people by sex
Population and social conditions,hlth_db_emaspt,Percentage distribution of types of assistance provided to employed disabled people by sex
Population and social conditions,hlth_db_emasne,Percentage distribution of assistance needed by not employed disabled people by sex
Population and social conditions,hlth_db_emasnt,Percentage distribution of types of assistance needed by not employed disabled people by sex
Population and social conditions,edat_lfso_00t2,Employed in service sector and occupational status of recent school-leavers
Population and social conditions,edat_lfso_00t4,Parents educational attainment level
Population and social conditions,edat_lfso_00t5,Job mismatches and their labour market effects among school-leavers in Europe
Population and social conditions,tps00172,"Job vacancies in number and % - NACE Rev. 2, B-S, quarterly data"
Population and social conditions,earn_nt_netft,Annual net earnings of a full-time single worker without children earning an average wage
Population and social conditions,earn_nt_taxwedge,Tax rate on low wage earners - tax wedge on labour costs
Population and social conditions,earn_nt_unemtrp,Tax rate on low wage earners - unemployment trap
Population and social conditions,earn_nt_lowwtrp,Tax rate on low wage earners - low wage trap
Population and social conditions,earn_ses_pub1s,Low-wage earners as a proportion of all employees (excluding apprentices) by sex
Population and social conditions,earn_ses_pub1a,Low-wage earners as a proportion of all employees (excluding apprentices) by age
Population and social conditions,earn_ses_pub1i,Low-wage earners as a proportion of all employees (excluding apprentices) by educational attainment level
Population and social conditions,earn_ses_pub1t,Low-wage earners as a proportion of all employees (excluding apprentices) by employment contract
Population and social conditions,earn_ses_pub2s,"Median hourly earnings, all employees (excluding apprentices) by sex"
Population and social conditions,earn_ses18_mctrl,"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses18_adeci,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses18_actrl,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses18_rann,"Mean annual earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses14_mdeci,"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses14_mctrl,"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses14_adeci,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses14_actrl,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses14_rann,"Mean annual earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses10_rhr,"Mean hourly earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses10_mdeci,"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses10_mctrl,"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses10_adeci,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses10_actrl,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses10_rann,"Mean annual earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 2, B-S excluding O"
Population and social conditions,earn_ses06_rhr,"Mean hourly earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L"
Population and social conditions,earn_ses_mdeci,"Monthly earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
Population and social conditions,earn_ses_mctrl,"Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
Population and social conditions,earn_ses_adeci,"Annual earnings by quantiles and contractual working time (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
Population and social conditions,earn_ses_actrl,"Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
Population and social conditions,earn_ses06_rann,"Mean annual earnings by NUTS 1 region (enterprises with 10 employees or more) - NACE Rev. 1.1, C-O excluding L"
Population and social conditions,earn_gr_gpgr2ag,Gender pay gap in unadjusted form by age and NACE Rev. 2 activity (B-S except O) - structure of earnings survey methodology
Population and social conditions,earn_gr_gpgr2ct,Gender pay gap in unadjusted form by type of ownership and NACE Rev. 2 activity (B-S except O) - structure of earnings survey methodology
Population and social conditions,earn_gr_gpgr2wt,Gender pay gap in unadjusted form by working time and NACE Rev. 2 activity (B-S except O) - structure of earnings survey methodology
Population and social conditions,earn_gr_hgpg,Gender pay gap in unadjusted form -
Population and social conditions,earn_gr_goeg,Gender overall earnings gap
Population and social conditions,tps00155,Minimum wages
Population and social conditions,earn_mw_avgr2,Monthly minimum wage as a proportion of average monthly earnings (%) - NACE Rev. 2 (from onwards)
Population and social conditions,earn_mw_avgr1,Monthly minimum wage as a proportion of average monthly earnings (%) - NACE Rev. 1.1
Population and social conditions,lc_lci_r1_cow,Labour cost index by NACE Rev. 1.1 activity - country weights
Population and social conditions,lc_lci_r2_cow,Labour cost index by NACE Rev. 2 activity - country weights
Population and social conditions,tps00173,Labour costs annual data - NACE Rev. 2
Population and social conditions,hbs_exp_t111,Mean consumption expenditure per household and per adult equivalent
Population and social conditions,hbs_exp_t132,Mean consumption expenditure by number of active persons
Population and social conditions,ilc_peps07n,Persons at risk of poverty or social exclusion by tenure status
Population and social conditions,ilc_peps11n,Persons at risk of poverty or social exclusion by NUTS 2 region
Population and social conditions,tgs00107,People at risk of poverty or social exclusion by NUTS 2 region
Population and social conditions,ilc_peps13n,Persons at risk of poverty or social exclusion by degree of urbanisation
Population and social conditions,ilc_pecs01,Persons at risk of poverty or social exclusion - EU2030 target
Population and social conditions,sdg_01_10,Persons at risk of poverty or social exclusion
Population and social conditions,ilc_peps07,Persons at risk of poverty or social exclusion by tenure status - strategy
Population and social conditions,ilc_peps11,Persons at risk of poverty or social exclusion by NUTS 2 region - strategy
Population and social conditions,ilc_pns4,Inequality of income distribution S80/S20 income quintile share ratio - EU-SILC and ECHP surveys
Population and social conditions,ilc_di11_r,Income quintile share ratio S80/S20 by NUTS 2 region
Population and social conditions,ilc_di11g,Effect of taxes on income quintile share ratio S80/S20
Population and social conditions,ilc_di11h,Effect of social transfers on income quintile share ratio S80/S20
Population and social conditions,ilc_di11i,Effect of taxes and social transfers on income quintile share ratio S80/S20
Population and social conditions,ilc_di12,Gini coefficient of equivalised disposable income by age
Population and social conditions,ilc_di12b,Gini coefficient of equivalised disposable income before social transfers (pensions included in social transfers)
Population and social conditions,ilc_di12c,Gini coefficient of equivalised disposable income before social transfers (pensions excluded from social transfers)
Population and social conditions,tps00184,At-risk-of-poverty rate after social transfers by sex
Population and social conditions,ilc_li12,Relative poverty gap by risk of poverty and work intensity of the household
Population and social conditions,ilc_li13,Relative poverty gap by risk of poverty and work intensity of the households with income from benefits
Population and social conditions,tgs00103,At-risk-of-poverty rate by NUTS 2 region
Population and social conditions,ilc_li48,At-risk-of-poverty rate after deducting housing costs by degree of urbanisation
Population and social conditions,ilc_li33,At-risk-of poverty rate for children by citizenship of their parents (population aged 0 to 17)
Population and social conditions,ilc_li34,At-risk-of poverty rate for children by country of birth of their parents (population aged 0 to 17)
Population and social conditions,ilc_li70,Persons receiving benefits (other than old age benefits) by risk of poverty and work intensity of the household (population aged 18 to 64)
Population and social conditions,ilc_pnp2,Relative median income ratio (65+) - EU-SILC and ECHP surveys
Population and social conditions,ilc_pns2,Relative median income ratio (60+)
Population and social conditions,ilc_pnp3,Aggregate replacement ratio for pensions (excluding other social benefits) by sex
Population and social conditions,ilc_pnp11,Gender differences in the aggregate replacement ratio for pensions (excluding other social benefits)
Population and social conditions,ilc_pnp12,Gender differences in the at-risk-of-poverty rate by age
Population and social conditions,ilc_pnp13,Average gender pension gap by age group
Population and social conditions,ilc_pnp14,Gender coverage rate in pension by age group
Population and social conditions,ilc_pns4,Inequality of income distribution S80/S20 income quintile share ratio - EU-SILC and ECHP surveys
Population and social conditions,ilc_pns5,Relative median at-risk-of-poverty gap of elderly people - EU-SILC and ECHP surveys
Population and social conditions,ilc_iw04,In-work at-risk-of-poverty rate by educational attainment level
Population and social conditions,ilc_iw06,In-work at-risk-of-poverty rate by months worked
Population and social conditions,ilc_iw07,In-work at-risk-of-poverty rate by full-/part-time work
Population and social conditions,ilc_di18,Income in real terms SILC=100)
Population and social conditions,ilc_lvph01,Average household size
Population and social conditions,ilc_lvph02h,Distribution of households by household type until
Population and social conditions,ilc_lvph03,Distribution of households by household size
Population and social conditions,ilc_lvph05,Distribution of households with children by number of children
Population and social conditions,ilc_lvps20,Share of children (aged less than 18) living with their parents by type of household
Population and social conditions,ilc_lvhl21n,Persons living in households with very low work intensity by NUTS 2 region (population aged 0 to 64 years)
Population and social conditions,ilc_lvhl23n,Persons living in households with very low work intensity by degree of urbanisation (population aged 0 to 64 years) - strategy
Population and social conditions,ilc_lvhl36,Labour transitions from temporary to permanent contracts by sex -3-year average
Population and social conditions,ilc_lvho05c,Overcrowding rate by tenure status - total population
Population and social conditions,ilc_lvho05d,Overcrowding rate by degree of urbanisation - total population
Population and social conditions,ilc_lvho50c,Share of people living in under-occupied dwellings by tenure status - total population
Population and social conditions,ilc_lvho50d,Share of people living in under-occupied dwellings by degree of urbanisation - total population
Population and social conditions,ilc_lvho07b,Housing cost overburden rate by income quintile
Population and social conditions,ilc_lvho07c,Housing cost overburden rate by tenure status
Population and social conditions,ilc_lvho07d,Housing cost overburden rate by degree of urbanisation
Population and social conditions,ilc_lvho07_r,Housing cost overburden rate by NUTS 2 region
Population and social conditions,ilc_lvho08b,Median of the housing cost burden distribution by degree of urbanisation
Population and social conditions,ilc_lvho03h,Average number of rooms per person by tenure status and dwelling type until
Population and social conditions,ilc_lvho04d,Average number of rooms per person by degree of urbanization
Population and social conditions,ilc_lvho04n,Average number of rooms per person by NUTS 2 region
Population and social conditions,tps00185,Formal child care by duration and age group
Population and social conditions,ilc_camnforall,Average number of weekly hours of formal care by age group - children with or without formal care
Population and social conditions,ilc_camnforg0,Average number of weekly hours of formal care by age group - children with at least 1 hour of formal care
Population and social conditions,ilc_camdforg0,Median number of weekly hours of formal care by age group - children with at least 1 hour of formal care
Population and social conditions,ilc_camnothall,Average number of weekly hours of other types of care by age group - children with or without other types of care
Population and social conditions,ilc_camnothg0,Average number of weekly hours of other types of care by age group - children with at least one hour of other types of care
Population and social conditions,ilc_camdothg0,Median number of weekly hours of other types of care by age group - children with at least one hour of other types of care
Population and social conditions,ilc_caparents,Children cared only by their parents by age group - % over the population of each age group
Population and social conditions,ilc_hch15,Children with unmet needs for medical examination or treatment by specific reason
Population and social conditions,ilc_sbjp02,Subjective poverty by educational attainment level (population aged 18 and over)
Population and social conditions,ilc_sbjp04,Subjective poverty by tenure status
Population and social conditions,ilc_sbjp05,Subjective poverty by degree of urbanization
Population and social conditions,ilc_pw14,Satisfaction with the job by risk of poverty threshold and level of disability (activity limitation)
Population and social conditions,ilc_mdsd06,Material and social deprivation rate by tenure status
Population and social conditions,ilc_mdsd08,Material and social deprivation rate by NUTS 2 region
Population and social conditions,ilc_mdsd09,Material and social deprivation rate by degree of urbanisation
Population and social conditions,tespm030,Severe material and social deprivation rate
Population and social conditions,ilc_mdsd18,Severe material and social deprivation by NUTS 2 region
Population and social conditions,ilc_mddd17,Severe material deprivation rate by tenure status
Population and social conditions,ilc_mddd21,Severe material deprivation rate by NUTS 2 region
Population and social conditions,tgs00104,Severe material deprivation rate by NUTS 2 region
Population and social conditions,ilc_chmd01,Child specific material deprivation rate by age (children aged less than 16 years)
Population and social conditions,ilc_chmd02,Child specific material deprivation rate by household composition (children aged less than 16 years)
Population and social conditions,ilc_chmd03,Child specific material deprivation rate by educational attainment level of their parents (children aged less than 16 years)
Population and social conditions,ilc_chmd04,Mean number of deprivation items among the children deprived (children aged less than 16 years)
Population and social conditions,ilc_mdes01_r,Inability to keep home adequately warm by NUTS 2 region
Population and social conditions,ilc_mdes03_r,"Inability to afford a meal with meat, chicken, fish (or vegetarian equivalent) every second day by NUTS 2 region"
Population and social conditions,ilc_mdes04_r,Inability to face unexpected financial expenses by NUTS 2 region
Population and social conditions,ilc_mdes05_r,"Arrears (mortgage or rent, utility bills or hire purchase) by NUTS 2 region"
Population and social conditions,ilc_mdho06d,Severe housing deprivation rate by degree of urbanisation
Population and social conditions,ilc_mdho06q,Severe housing deprivation rate by income quintile
Population and social conditions,ilc_mdho02c,"Children (aged 0 to 17) having neither a bath, nor a shower in their dwelling"
Population and social conditions,ilc_mdho03c,Children (aged 0 to 17) not having indoor flushing toilet for the sole use of their household
Population and social conditions,ilc_lvhd01,Persons having experienced housing difficulties in their lifetime by sex and current risk of poverty or social exclusion situation
Population and social conditions,ilc_lvhd02,Persons having experienced housing difficulties in their lifetime by sex and type of temporary solution (effect)
Population and social conditions,ilc_lvhd03,Persons having experienced housing difficulties in their lifetime by sex and group of country of birth
Population and social conditions,ilc_lvhd04,Persons having experienced housing difficulties in their lifetime by sex and group of current country of citizenship
Population and social conditions,ilc_lvhd06,Persons having overcome housing difficulties experienced in their lifetime by sex and reason
Population and social conditions,ilc_chsb01,Children having one of their parents living outside the household
Population and social conditions,ilc_chsb02,Parents spending enough time with children living with them
Population and social conditions,ilc_odbt01,Arrears on non-housing bills by risk of poverty threshold
Population and social conditions,ilc_odbt02,Arrears on non-housing bills by income quintile
Population and social conditions,ilc_odbt03,Loans (excluding mortgages on purchase of main residence) by risk of poverty threshold
Population and social conditions,ilc_odbt04,Loans (excluding mortgages on purchase of main residence) by income quintile
Population and social conditions,ilc_odbt05,Persons with loans for property purposes by risk of poverty threshold
Population and social conditions,ilc_odbt06,Persons with loans for transport purposes by risk of poverty threshold
Population and social conditions,ilc_odbt07,Persons with loans for education purposes by risk of poverty threshold
Population and social conditions,ilc_odbt08,Persons with loans to cover daily living expenses by risk of poverty threshold
Population and social conditions,ilc_odbt09,"Persons with loans for purposes other than property, transport, education and daily living expenses by risk of poverty threshold"
Population and social conditions,ilc_odbt12,Persons owning real estate other than main residence by risk of poverty threshold
Population and social conditions,ilc_odbt13,Persons owning real estate other than main residence by income quantile
Population and social conditions,ilc_odbt14,Households maintaining the same standard of living using savings by duration and risk of poverty threshold
Population and social conditions,ilc_igtp03,At-risk-of poverty rate for adults (aged 25 to 59 years) by educational attainment level of their parents
Population and social conditions,ilc_igtp04,At-risk-of poverty rate for adults (aged 25 to 59 years) by level of financial situation of their households when respondent was around 14 years old
Population and social conditions,tus_00meal,Time spent on eating at home (as main or secondary activity) and
Population and social conditions,tus_00alone,Time spent alone and
Population and social conditions,tus_00npaycare,Time spent providing childcare (as main or secondary activity) and
Population and social conditions,tus_00simuact,Time spent doing more than one activity simultaneously and
Population and social conditions,tus_00travel,Time spent on travelling by mode of transport and
Population and social conditions,tus_00screen,"Time spent watching or other media, playing computer games and any similar screen activities (as main or secondary activity) and"
Population and social conditions,tus_00npaywork,Time spent in unpaid forms of work (as main or secondary activity) by sex and form of work and
Population and social conditions,gbv_ipv_type,"Ever-partnered women who have experienced violence by an intimate partner, by type of violence"
Population and social conditions,gbv_ipv_occ,"Ever-partnered women who have experienced violence by an intimate partner, by occurrence of the last episode"
Population and social conditions,gbv_ipv_age,"Ever-partnered women who have experienced violence by an intimate partner, by age group"
Population and social conditions,gbv_ipv_frq,"Ever-partnered women who have experienced violence by an intimate partner, by type and frequency of violence"
Population and social conditions,gbv_ipv_rp,"Ever-partnered women who have experienced violence by an intimate partner, by person/support service to whom violence was reported"
Population and social conditions,gbv_ipv_cnq,Ever-partnered women who have experienced violence by an intimate partner and consequences of violence
Population and social conditions,gbv_ipv_lim,"Ever-partnered women who have experienced violence by an intimate partner, by level of disability (activity limitation)"
Population and social conditions,gbv_ipv_ed,"Ever-partnered women who have experienced violence by an intimate partner, by level of education"
Population and social conditions,gbv_ipv_du,"Ever-partnered women who have experienced violence by an intimate partner, by degree of urbanisation"
Population and social conditions,gbv_ipv_cob,"Ever-partnered women who have experienced violence by an intimate partner, by country of birth"
Population and social conditions,gbv_ipv_comm,Perception of women as victims/non-victims of intimate partner violence by commonness of this violence against women
Population and social conditions,gbv_npv_type,"Women who have experienced violence by a non-partner, by type of violence"
Population and social conditions,gbv_npv_occ,"Women who have experienced violence by a non-partner, by occurrence of the last episode"
Population and social conditions,gbv_npv_age,"Women who have experienced violence by a non-partner, by age group"
Population and social conditions,gbv_npv_frq,"Women who have experienced violence by a non-partner, by type and frequency of violence"
Population and social conditions,gbv_npv_rp,"Women who have experienced violence by a non-partner, by person/support service to whom violence was reported"
Population and social conditions,gbv_npv_cnq,Women who have experienced violence by a non-partner and consequences of violence
Population and social conditions,gbv_npv_lim,"Women who have experienced violence by a non-partner, by level of disability (activity limitation)"
Population and social conditions,gbv_npv_ed,"Women who have experienced violence by a non-partner, by level of education"
Population and social conditions,gbv_npv_du,"Women who have experienced violence by a non-partner, by degree of urbanisation"
Population and social conditions,gbv_npv_cob,"Women who have experienced violence by a non-partner, by country of birth"
Population and social conditions,gbv_npv_perp,"Women who have experienced violence by a non-partner, by type of perpetrator"
Population and social conditions,gbv_dv_type,"Women who have experienced violence by a domestic perpetrator, by type of violence"
Population and social conditions,gbv_dv_occ,"Women who have experienced violence by a domestic perpetrator, by occurrence of the last episode"
Population and social conditions,gbv_dv_age,"Women who have experienced violence by a domestic perpetrator, by age group"
Population and social conditions,gbv_dv_lim,"Women who have experienced violence by a domestic perpetrator, by level of disability (activity limitation)"
Population and social conditions,gbv_dv_ed,"Women who have experienced violence by a domestic perpetrator, by level of education"
Population and social conditions,gbv_dv_du,"Women who have experienced violence by a domestic perpetrator, by degree of urbanisation"
Population and social conditions,gbv_dv_cob,"Women who have experienced violence by a domestic perpetrator, by country of birth"
Population and social conditions,gbv_any_type,"Women who have experienced violence by any perpetrator, by type of violence"
Population and social conditions,gbv_any_occ,"Women who have experienced violence by any perpetrator, by occurrence of the last episode"
Population and social conditions,gbv_any_age,"Women who have experienced violence by any perpetrator, by age group"
