"title"	"code"	"type"	"last update of data"	"last table structure change"	"data start"	"data end"	"values"
"                    Goods and services, imports and exports"	"tec00110"	"table"	"14.08.2026"	"19.06.2026"	"2014"	"2025"	1030
"                    Final consumption expenditure of households and non-profit institutions serving households"	"tec00009"	"table"	"14.08.2026"	"19.06.2026"	"2014"	"2025"	1030
"            Euro indicators - vintages of data"	"euroind_vtg"	"folder"	" "	" "	" "	" "	
"                Industrial production - monthly data - vintages from 2021 onwards"	"ei_is_m_vtg"	"dataset"	"22.07.2026"	"22.07.2026"	"1980-01"	"2026-05"	2785315
"                Industrial production - monthly data - vintages from 2001 to 2020"	"ei_is_m_vtgfix"	"dataset"	"05.09.2025"	"05.09.2025"	"1980-01"	"2020-10"	4502499
"                Unemployment - monthly data - vintages from 2021 onwards"	"ei_lm_m_vtg"	"dataset"	"22.07.2026"	"22.07.2026"	"1983-01"	"2026-05"	1608366
"                Unemployment - monthly data - vintages from 2001 to 2020"	"ei_lm_m_vtgfix"	"dataset"	"26.03.2024"	"08.08.2025"	"1980-01"	"2020-11"	3093318
"                Gross domestic product (GDP) - quarterly data - vintages based on ESA 2010"	"ei_na_q_vtg"	"dataset"	"22.07.2026"	"22.07.2026"	"1995-Q1"	"2026-Q1"	53576
"        Regional statistics by NUTS classification"	"reg"	"folder"	" "	" "	" "	" "	
"            Regional agriculture statistics"	"reg_agr"	"folder"	" "	" "	" "	" "	
"                Agri-environmental indicators"	"reg_aei"	"folder"	" "	" "	" "	" "	
"                    Estimated soil erosion by water, by erosion level, land cover and NUTS 3 region"	"aei_pr_soiler"	"dataset"	"19.03.2026"	"19.03.2026"	"2000"	"2023"	392456
"                        Estimated soil loss by water erosion by land cover type"	"tai10"	"table"	"19.03.2026"	"19.03.2026"	"2000"	"2016"	261
"                        Share of landcover types affected by severe erosion"	"tai11"	"table"	"19.03.2026"	"19.03.2026"	"2000"	"2016"	261
"                    Manure storage facilities by NUTS 3 region"	"aei_fm_ms"	"dataset"	"19.04.2023"	"10.01.2024"	"2000"	"2010"	31658
"                Structure of agricultural holdings"	"reg_ef"	"folder"	" "	" "	" "	" "	
"                    Structure of agricultural holdings 2010"	"reg_ef_2010"	"folder"	" "	" "	" "	" "	
