code,type,breadcrumb
tepsr_spi120,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social inclusion and social policy indicators > Overarching portfolio > Severe material and social deprivation rate for children (aged less than 18) by sex
avia_ec_emp_ent,dataset,Database by themes > Transport > Air transport > Air transport - enterprises and persons employed > Persons employed in aviation and airport enterprises by sex (2001-2013)
teiet120,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > International trade > Imports of goods > Imports of goods - food, drinks and tobacco"
ilc_mddd17,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Material deprivation > Material deprivation by dimension > Severe material deprivation rate by tenure status
rail_eq_pa_csb,dataset,Database by themes > Transport > Railway transport > Railway transport equipment > Seat/berth capacity of passenger railway vehicles
sdg_15_50,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 2 - Zero hunger > Area at risk of severe soil erosion by water
earn_ses_actrl,dataset,"Database by themes > Population and social conditions > Labour market > Earnings > Structure of earnings survey 2006 > Annual earnings > Annual earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 1.1, C-O excluding L"
enpe_nama_10_a10,dataset,Database by themes > General and regional statistics > Non EU countries > Eastern European Neighbourhood Policy countries (ENP-East) > Economy and finance > National accounts > Gross value added by industry > Gross value added by industry - ENP-East countries
tesem200,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Employment performance monitor - indicators > Newly employed
gov_10dd_acd,dataset,Database by themes > Economy and finance > Government statistics > Government finance statistics (EDP and ESA 2010) > Government deficit and debt > Structure of government debt > Apparent cost of general government gross debt
sdg_04_40,table,"Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 4 - Quality education > Low achieving 15-year-olds in reading, mathematics or science"
tespm020,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social protection performance monitor - indicators > At-risk-of-poverty threshold for a single household
tag00051,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Crop production > Crop production > Crop production in EU standard humidity (from 2000 onwards) > Crop production in EU standard humidity > Barley by area, production and humidity"
irt_st_a,dataset,Database by themes > Economy and finance > Interest rates > Short-term interest rates > Money market interest rates - annual data
earn_ses18_mctrl,dataset,"Database by themes > Population and social conditions > Labour market > Earnings > Structure of earnings survey 2018 > Monthly earnings > Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O (2018)"
tipslc20,table,Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Poverty and social exclusion > People at risk of poverty after social transfer
tps00098,table,Database by themes > Population and social conditions > Social protection > Social protection expenditure > Expenditure on social protection by type of expenditure > Expenditure on social protection as percentage of GDP
ilc_li21$dv_2663,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Income distribution and monetary poverty > Monetary poverty > Persistent at-risk-of-poverty rate by sex and age - EU-SILC and ECHP surveys
tps00198,table,"Database by themes > Population and social conditions > Demography, population stock and balance > Main population indicators > Population structure indicators at national level > Old-age-dependency ratio"
enpe_road_if,dataset,Database by themes > General and regional statistics > Non EU countries > Eastern European Neighbourhood Policy countries (ENP-East) > Transport > Road transport > Length of roads network - ENP-East countries
teiis250,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Industry, trade and services > Trade and services > Retail trade volume of sales - food, beverages and tobacco"
ilc_scp10$dv_2744,dataset,"Database by themes > General and regional statistics > Degree of urbanisation > Living conditions and welfare > EU-SILC ad-hoc modules > Social and cultural participation (2015) > Persons getting together with family and relatives or friends by income quintile, household composition, degree of urbanisation and frequency"
enpe_mon_res,dataset,Database by themes > General and regional statistics > Non EU countries > Eastern European Neighbourhood Policy countries (ENP-East) > Economy and finance > Money supply and official reserves > Money supply and official reserves - ENP-East countries
tespm140,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social protection performance monitor - indicators > Housing cost overburden rate
hbs_exp_t132,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Consumption expenditure of private households > Mean consumption expenditure of private households > Mean consumption expenditure by number of active persons
isoc_ci_ac_i$dv_1122,dataset,Database by themes > General and regional statistics > Degree of urbanisation > Digital economy and society > ICT usage in households and by individuals > Internet use > Individuals - internet activities
trng_nfe5,dataset,Database by themes > Population and social conditions > Education and training > Education and training - historical data > Adult learning - historical data > Lifelong learning - LFS ad-hoc module 2003 > ----- > Participation in job-related non-formal education and training by size of the local unit (2003)
tag00069,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Agricultural prices and price indices > Selling prices of agricultural products (absolute prices) > Selling prices of animal products (absolute prices) - annual price (from 2000 onwards) > Selling prices of sheep"
tipsfs10,table,"Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Financial sector liabilities > Non-consolidated data > Total financial sector liabilities, non-consolidated - annual data"
ilc_lvps08$dv_1041,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Living conditions > Population structure > Persons living with their parents or contributing/benefiting from the household income (population aged 18 to 34 years)
hsw_hp_disnu,dataset,"Database by themes > Population and social conditions > Health > Health and safety at work > Work related health problems and accidental injuries - LFS 1999 > Health problems > Number of work-related health problems by diagnosis group, sex and number of complaints per victim"
hlth_cd_acdr2$dv_1145,dataset,Database by themes > General and regional statistics > Regional statistics by NUTS classification > Regional health statistics > Causes of death > Causes of death - crude death rate by NUTS 2 region of residence
tps00194,table,"Database by themes > Population and social conditions > Migration > Asylum > Applications > Applications of unaccompanied minors > Asylum applicants considered to be unaccompanied minors by citizenship, age and sex - annual data > Asylum applicants considered to be unaccompanied minors - annual data"
irt_h_cgby_a,dataset,Database by themes > Economy and finance > Interest rates > Interest rates - historical data > Central government bond yields > Central government bond yields - annual data
ttr00009,table,Database by themes > Transport > Maritime transport > Maritime transport - goods - detailed annual and quarterly results > Gross weight of goods handled in all ports by direction - annual data > Sea transport of goods
bd_size$dv_1502,dataset,Database by themes > Population and social conditions > Culture > Enterprises in cultural sectors > Business demography by size class and NACE Rev. 2 activity
crim_hom_vcit,dataset,Database by themes > Population and social conditions > Crime and criminal justice > Recorded intentional homicide and sexual offences > Intentional homicide victims in largest cities by sex
migr_asytpfm$dv_1383,dataset,"Database by themes > Population and social conditions > Migration > Asylum > Temporary protection > Decisions granting temporary protection by citizenship, age and sex - monthly data"
ert_bil_eur_a$dv_861,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Economy and finance > Exchange rates > Euro/ECU exchange rates - annual data
gov_eu_nfa,dataset,Database by themes > Economy and finance > Government statistics > Government finance statistics of the EU institutions > Non-financial accounts for EU institutions
teina410_r2,table,Database by themes > Economy and finance > National accounts (ESA 2010) > Quarterly national accounts > GDP and components > Gross value added and income by main industry (NACE Rev.2 ) - quarterly data > Gross value added - NACE Rev. 2: B-E - volumes
iss_21gvcba,dataset,"Database by themes > Industry, trade and services > Globalisation in business statistics > Global value chains and international sourcing statistics > International sourcing statistics (2002-2020) - experimental statistics > Global value chains and international sourcing statistics - survey 2021 - experimental statistics > Global value chains arrangements > Enterprises by type of buyer power asymmetry in the global value chain and NACE rev.2 activity aggregate - experimental statistics"
teilm012,table,Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Labour market > Harmonised unemployment - monthly data > Unemployment by sex - age group 25-74
migr_asyappctza$dv_618,dataset,"Database by themes > Population and social conditions > Migration > Asylum > Applications > Asylum applicants by type, citizenship, age and sex - annual aggregated data"
mar_qg_qm_pvh,dataset,Database by themes > Transport > Maritime transport > Maritime transport - main quarterly results > Top 5 ports for volume of containers - volume (in TEUs) of containers handled in each port
enps_edat_lfse4,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Population and social conditions > Education > Educational attainment level > Population (aged 25 and over) by sex and educational attainment level - ENP-South countries
rail_tf_ns_at,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2005) > Train traffic on the rail network - Austria (2005)
hsw_ind,dataset,Database by themes > Population and social conditions > Health > Health and safety at work > Accidents at work (ESAW) - until 2007 > Indicators on health and safety at work
tps00159,table,Database by themes > Population and social conditions > Labour market > Employment and unemployment (Labour force survey) > LFS main indicators > Employment and labour force - LFS adjusted series > Part-time employment and temporary contracts - annual data > Employed persons working part-time - annual data
bs_bs16_04,dataset,"Database by themes > Industry, trade and services > Business structure and dynamics > Structural business statistics > Structural business statistics - historical data > SBS - services - historical data > Business services statistics > Business Services (2004-2020) > Purchases of advertising space or time for resale (2004)"
enps_lfsa_urgan,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Population and social conditions > Labour market > Unemployment > Unemployment rates by sex and age - ENP-South countries
lfst_r_lmdgeg,dataset,Database by themes > General and regional statistics > Regional statistics by NUTS classification > Regional labour market statistics > Labour market disparities > Regional disparities in gender employment gap (NUTS level 2)
ilc_pw15$dv_2750,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Living conditions > Life satisfaction and trust > Satisfaction with the job by sex, age and educational attainment"
tipsii21,table,"Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > International investment position > Annual data > Other investment - annual data, million units of national currency"
rail_tf_ns10_fi,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2010) > Train traffic on the rail network - Finland (2010)
trng_cvt_34s,dataset,Database by themes > Population and social conditions > Education and training > Participation in education and training > Continuing vocational training (CVT) in enterprises > Provision of initial vocational training (IVT) > Enterprises employing IVT participants by size class - % of all enterprises
iss_21gvcms,dataset,"Database by themes > Industry, trade and services > Globalisation in business statistics > Global value chains and international sourcing statistics > International sourcing statistics (2002-2020) - experimental statistics > Global value chains and international sourcing statistics - survey 2021 - experimental statistics > Global value chains arrangements > Enterprises by means of services supply and NACE rev.2 activity aggregate - experimental statistics"
rail_tf_ns_dk,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2005) > Train traffic on the rail network - Denmark (2005)
sdg_01_41,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 1 - No poverty > In work at-risk-of-poverty rate
tag00103,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Crop production > Crop production > Crop production in EU standard humidity (from 2000 onwards) > Crop production in EU standard humidity > Root crops and plants harvested green from arable land by area"
demo_mlexpec$dv_292,dataset,"Database by themes > Population and social conditions > Demography, population stock and balance > Mortality (national level) > Life expectancy by age and sex"
ilc_scp21$dv_436,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > EU-SILC modules > Social and cultural participation (2015 and 2022) > Persons not participating in formal/informal voluntary activities or active citizenship in the last 12 months by sex, age, educational attainment and reasons"
mar_mg_aa_cwh,dataset,Database by themes > Transport > Maritime transport > Maritime transport - main annual results > Country level - gross weight of goods handled in all ports
sdg_05_20,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 5 - Gender equality > Gender pay gap in unadjusted form
ilc_hch18$dv_2263,dataset,"Database by themes > Population and social conditions > Disability > Disability prevalence > Difficulties in functioning in basic actions > Persons reporting basic activity difficulty by sex, age, level of difficulty and degree of urbanization"
teina426_r2,table,Database by themes > Economy and finance > National accounts (ESA 2010) > Quarterly national accounts > GDP and components > Gross value added and income by main industry (NACE Rev.2 ) - quarterly data > Gross value added - NACE Rev. 2: J - volumes
rail_tf_ns_ie,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2005) > Train traffic on the rail network - Ireland (2005)
teimf040,table,Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Monetary and financial indicators > Interest rates > 3-month-interest rate
trng_cvt_25n1,dataset,Database by themes > Population and social conditions > Education and training > Participation in education and training > Continuing vocational training (CVT) in enterprises > Time spent in continuing vocational training (CVT) courses > Hours spent in CVT courses by NACE Rev. 1.1 activity - per participant (2005)
rail_tf_ns_el,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2005) > Train traffic on the rail network - Greece (2005)
prc_colc_pppnat,dataset,Database by themes > Economy and finance > Prices > Correction coefficients > Purchasing Power Parities in the European Union (Countries) - index (Belgium = 1)
teiis070,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Industry, trade and services > Industry - domestic producer prices > Domestic producer prices - consumer non-durables"
road_ec_invest,dataset,"Database by themes > Transport > Road transport > Road transport - enterprises, economic performances and employment > Expenditure on road transport vehicles and road infrastructure"
enpe_bop_c6_a,dataset,Database by themes > General and regional statistics > Non EU countries > Eastern European Neighbourhood Policy countries (ENP-East) > Economy and finance > Balance of payments > Balance of payments - ENP-East countries
tin00110,table,"Database by themes > Science, technology, digital society > Digital economy and society > ICT usage in enterprises > E-commerce > Value of e-commerce sales by NACE Rev. 2 activity > Share of enterprises' turnover on e-commerce"
hlth_ehis_al1e$dv_1142,dataset,"Database by themes > Population and social conditions > Health > Health determinants > Alcohol consumption > Frequency of alcohol consumption by sex, age and educational attainment level"
tipslm70,table,"Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Unemployment > Long-term unemployment rate, % of active population aged 15-74"
enps_env_wat_abs,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Environment and energy > Environment > Water > Annual freshwater abstraction by source - ENP-South countries
rd_p_con,dataset,"Database by themes > Science, technology, digital society > Science and technology > Research and development (R&D) > R&D personnel at national and regional level > R&D personnel and researchers in the business enterprise sector by concentration of personnel (ranking)"
teina225,table,Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > National accounts > Public finance - excessive deficit procedure statistics > General government gross debt - annual data
mar_mp_aa_cph,dataset,Database by themes > Transport > Maritime transport > Maritime transport - main annual results > Country level - passengers embarked and disembarked in all ports
earn_gr_goeg,dataset,Database by themes > Population and social conditions > Labour market > Earnings > Gender pay and earnings gaps > Gender overall earnings gap
enpe_cpi,dataset,Database by themes > General and regional statistics > Non EU countries > Eastern European Neighbourhood Policy countries (ENP-East) > Economy and finance > Consumer price index > Consumer price index - ENP-East countries
gbv_any_du,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Gender based violence against women > Violence by any perpetrator during adulthood > Women who have experienced violence by any perpetrator, by degree of urbanisation"
teiis011,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Industry, trade and services > Industry - import prices > Import prices - total industry"
lfso_06finiagps,dataset,Database by themes > Population and social conditions > Labour market > Employment and unemployment (Labour force survey) > Labour force survey (LFS) - ad-hoc modules > Transition from work into retirement (2006) > Average age at which employed persons started receiving a retirement pension - by sex and main financial incentive to stay at work
sdg_12_10,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 12 - Responsible consumption and production > Consumption of chemicals by hazardousness - EU aggregate
gbv_shw_frq,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Gender based violence against women > Sexual harassment at work during lifetime > Ever-working women who have experienced sexual harassment at work, by frequency"
tipsii30,table,"Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > External debt > Net external debt - quarterly data, % of GDP"
tesem030,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Employment performance monitor - indicators > Tertiary educational attainment (age group 30-34)
avia_eq_arc_age,dataset,Database by themes > Transport > Air transport > Air transport equipment > Commercial aircraft fleet by age of aircraft and country of operator
enps_env_wasacc,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Environment and energy > Environment > Waste > Population served by municipal waste - ENP-South countries
tin00111,table,"Database by themes > Science, technology, digital society > Digital economy and society > ICT usage in enterprises > E-commerce > E-commerce sales of enterprises by NACE Rev. 2 activity > Enterprises having received orders online (at least 1%) - % of enterprises"
tin00195,table,"Database by themes > Industry, trade and services > Tourism > Trips of EU residents - annual data > Expenditure on tourism trips > Expenditure by duration, purpose, main destination of the trip and expenditure category > Average expenditure per trip"
tag00041,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Animal production > Milk and milk products > Production and utilization of milk on the farm - annual data > Production of milk on farms"
teiet050,table,Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > International trade > Exports of goods > Exports of goods - chemicals and related products
orch_olives2,dataset,Database by themes > General and regional statistics > Other sub-national statistics > Orchard statistics by production region > Regional data > Olive trees - Area by density classes (area in ha)
gbv_npv_type,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Gender based violence against women > Violence by non-partner since the age of 15 > Women who have experienced violence by a non-partner, by type of violence"
apro_mt_lsequi,dataset,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Animal production > Animal production - historical data > apro_anip_h_ > Livestock - Equidae - annual data (1960-1997)"
demo_r_gind3$dv_1542,dataset,Database by themes > General and regional statistics > Regional statistics by NUTS classification > Regional demographic statistics > Population and area > Population change - Demographic balance and crude rates at regional level (NUTS 3)
tec00116,table,Database by themes > Economy and finance > National accounts (ESA 2010) > Annual national accounts > Labour and capital productivity > Labour and capital productivity for total economy by industry > Labour productivity and unit labour costs - annual data > Nominal labour productivity per person employed (ESA 2010)
sdg_01_40,table,"Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 1 - No poverty > Persons living in households with very low work intensity, by age group"
irt_lt_mcby_q,dataset,Database by themes > Economy and finance > Interest rates > Long-term interest rates > Maastricht criterion interest rates > EMU convergence criterion series - quarterly data
ilc_lvho04d,dataset,Database by themes > General and regional statistics > Degree of urbanisation > Living conditions and welfare > Average number of rooms per person by degree of urbanization
tessi300,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social inclusion and social policy indicators > Social inclusion portfolio > Context information > Median of the housing cost burden distribution by sex - EU-SILC survey
migr_eilretpc,dataset,Database by themes > Population and social conditions > Migration > Managed migration > Managed migration indicators > Irregular migration and return indicators > Returns by type of return - % of total returns
teina434_r2,table,Database by themes > Economy and finance > National accounts (ESA 2010) > Quarterly national accounts > GDP and components > Gross value added and income by main industry (NACE Rev.2 ) - quarterly data > Gross value added - NACE Rev. 2: L - volumes
hlth_ehis_fv3e$dv_1143,dataset,"Database by themes > Population and social conditions > Health > Health determinants > Consumption of fruits and vegetables > Daily consumption of fruit and vegetables by sex, age and educational attainment level"
enps_env_wat_cat,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Environment and energy > Environment > Water > Water use by economic activity - ENP-South countries
sdg_11_20,table,"Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 3 - Good health and well-being > Population living in households considering that they suffer from noise, by poverty status"
teicp020,table,"Database by themes > Economy and finance > Prices > Harmonised index of consumer prices (HICP) > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data > HICP - alcohol and tobacco"
road_tf_buscoa,dataset,Database by themes > Transport > Road transport > Road traffic > Buses and coaches traffic performance registered in the reporting country by transport covarage
hlth_cd_apyll,dataset,Database by themes > Population and social conditions > Health > Causes of death > General mortality > Causes of death - potential years of life lost by country of residence
enps_env_ww_con,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Environment and energy > Environment > Water > Population connected to wastewater collection and treatment systems - ENP-South countries
ilc_camnforall,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Living conditions > Childcare arrangements > Average number of weekly hours of formal care by age group - children with or without formal care
tag00061,table,"Database by themes > Agriculture, forestry and fisheries > Agriculture > Agricultural prices and price indices > Selling prices of agricultural products (absolute prices) > Selling prices of crop products (absolute prices) - annual price (2000-2024) > Selling prices of oats"
mar_tp_pa,dataset,Database by themes > Transport > Maritime transport > Maritime transport performance > Maritime passenger transport performed in the Exclusive Economic Zone (EEZ) of the countries
teina446_r2,table,Database by themes > Economy and finance > National accounts (ESA 2010) > Quarterly national accounts > GDP and components > Gross value added and income by main industry (NACE Rev.2 ) - quarterly data > Gross value added - NACE Rev. 2: R-U - volumes
tessi126,table,Cross cutting topics > Tables on EU policy > Employment and social policy indicators > Social inclusion and social policy indicators > Social inclusion portfolio > Secondary indicators > At-risk-of poverty > Dispersion around the at-risk-of-poverty threshold - EU-SILC survey
sbs_cre_pacc,dataset,"Database by themes > Industry, trade and services > Business structure and dynamics > Structural business statistics > Structural business statistics - historical data > SBS - services - historical data > Financial services statistics > Statistics on credit institutions > Number of accounts linked to CPA categories (1997-2001)"
ilc_camnforg0,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Living conditions > Childcare arrangements > Average number of weekly hours of formal care by age group - children with at least 1 hour of formal care
teilm020,table,Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Labour market > Harmonised unemployment - monthly data > Unemployment rate by sex
enpe_road_eqs_car,dataset,Database by themes > General and regional statistics > Non EU countries > Eastern European Neighbourhood Policy countries (ENP-East) > Transport > Road transport > Passenger cars - ENP-East countries
enpe_wg_m,dataset,Database by themes > General and regional statistics > Non EU countries > Eastern European Neighbourhood Policy countries (ENP-East) > Population and social conditions > Labour market > Wages and salaries > Average nominal monthly wages and salaries - ENP-East countries
teiis080,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Industry, trade and services > Industry - industrial production > Production in industry - total (excluding construction)"
tus_00simuact,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Time use survey > Time use survey – 2000 and 2010 > Time spent doing more than one activity simultaneously (2000 and 2010)
qoe_ewcs_6_3,dataset,Cross cutting topics > Cross cutting topics > Quality of employment > Skills development and training > Employed persons perceiving that their job-related non-formal education and training helped to improve the way they work by sex and age
tqoe3a5,table,Database by themes > Population and social conditions > Labour market > Employment and unemployment (Labour force survey) > Labour force survey (LFS) series - detailed annual data > Second jobs > Persons having a second job by professional status of both jobs > Employed persons having more than one job by sex
prc_rem_cs,dataset,Database by themes > Economy and finance > Prices > Remuneration of civil servants - key indicators (Art. 65) > Remuneration indexes of national civil servants in central public administration
trng_cvt_24n1,dataset,Database by themes > Population and social conditions > Education and training > Participation in education and training > Continuing vocational training (CVT) in enterprises > Time spent in continuing vocational training (CVT) courses > Hours spent in CVT courses by NACE Rev. 1.1 activity - per person employed in enterprises providing CVT courses (2005)
enps_apro_mt_p,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Agriculture and fisheries > Agriculture > Meat production - ENP-South countries
tipsho50,table,Database by themes > Economy and finance > National accounts (ESA 2010) > Annual national accounts > Population and employment in national accounts > Population and employment - national accounts - annual data > Residential building permits - annual data
tipspc25,table,"Cross cutting topics > Tables on EU policy > Macroeconomic imbalance procedure indicators > Private sector credit flow > Consolidated data > Private sector credit flow: loans by sectors, consolidated - % of GDP"
road_eqs_carhab,dataset,Database by themes > Transport > Road transport > Road transport equipment - stock of vehicles > Passenger cars - per thousand inhabitants
gbv_npv_frq,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Gender based violence against women > Violence by non-partner since the age of 15 > Women who have experienced violence by a non-partner, by type and frequency of violence"
hsw_ij_isna,dataset,Database by themes > Population and social conditions > Health > Health and safety at work > Work related health problems and accidental injuries - LFS 1999 > Accidental injuries > Relative incidence rate of accidental injuries at work by occupation and NACE Rev. 1.1 activity (EU mean rate = 100)
ilc_mdho06a$dv_2701,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Material deprivation > Housing deprivation > Severe housing deprivation rate by age, sex and poverty status"
mar_tp_go,dataset,Database by themes > Transport > Maritime transport > Maritime transport performance > Maritime goods transport performed in the Exclusive Economic Zone (EEZ) of the countries
hsw_occ_cnr,dataset,Database by themes > Population and social conditions > Health > Health and safety at work > Occupational diseases (EODS; 2013 onwards) - experimental statistics > Recognised cases of occupational cancers - experimental statistics
ttr00003,table,Database by themes > Transport > Railway transport > Railway transport infrastructure > Length of railway lines by number of tracks and electrification of lines > Total length of railway lines
earn_ses10_mctrl,dataset,"Database by themes > Population and social conditions > Labour market > Earnings > Structure of earnings survey 2010 > Monthly earnings > Monthly earnings by economic control (enterprises with 10 employed persons or more) - NACE Rev. 2, B-S excluding O (2010)"
rail_tf_ns10_el,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2010) > Train traffic on the rail network - Greece (2010)
sdg_13_40,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 13 - Climate action > Economic losses from weather- and climate-related extremes
tran_sf_railac,dataset,Database by themes > Transport > Transport safety > Rail transport safety > Rail accidents by type of accident
sdg_06_50,dataset,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 6 - Clean water and sanitation > Phosphate in rivers
enpe_tour_occ_arnat,dataset,"Database by themes > General and regional statistics > Non EU countries > Eastern European Neighbourhood Policy countries (ENP-East) > Industry, trade and services > Tourism > Arrivals of non-residents at hotels and similar accomodation establishments - ENP-East countries"
teiis015,table,"Cross cutting topics > Tables on EU policy > Euro indicators / PEEIs > Industry, trade and services > Industry - import prices > Import prices - consumer durables"
road_eqr_trailn,dataset,Database by themes > Transport > Road transport > Road transport equipment - new registration of vehicles > Road transport equipment - new registration of vehicles - historical data > New trailers and their load capacity (until 2012)
teibs010,table,Database by themes > General and regional statistics > European and national indicators for short-term analysis > Business and consumer surveys > Business and consumer survey - composite indicators > Economic sentiment and confidence indicators by sector - monthly data > Economic sentiment indicator
ilc_lvho07_r,dataset,Database by themes > General and regional statistics > Regional statistics by NUTS classification > Regional poverty and social exclusion statistics > Housing cost overburden rate by NUTS 2 region
migr_asymrca,dataset,Database by themes > Population and social conditions > Migration > Asylum > Applications > Applicants having benefited from material reception conditions at the end of the reference year - annual data
hlth_hlye$dv_287,dataset,Database by themes > Population and social conditions > Health > Health status > Healthy life years > Healthy life years by sex (from 2004 onwards)
teicp040,table,"Database by themes > Economy and finance > Prices > Harmonised index of consumer prices (HICP) > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 > Harmonised index of consumer prices (HICP) - ECOICOP ver.2 - indices and rates of change, monthly data > HICP - housing"
cens_01ndquart_oc,dataset,Database by themes > Population and social conditions > Population and housing censuses > Census 2001 round > National level > Dwellings > Occupants by type of housing
rail_tf_ns10_lt,dataset,Database by themes > Transport > Railway transport > Railway traffic > Train traffic on the rail network (2010) > Train traffic on the rail network - Lithuania (2010)
ilc_scp01$dv_1061,dataset,"Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > EU-SILC modules > Social and cultural participation (2015 and 2022) > Persons participating in any cultural or sport activities in the last 12 months by sex, age and educational attainment"
road_eqs_bussea,dataset,"Database by themes > Transport > Road transport > Road transport equipment - stock of vehicles > Seats /berths in motor coaches, buses and trolley buses"
sdg_04_10a,table,Cross cutting topics > Tables on EU policy > Sustainable development indicators > Goal 4 - Quality education > Early leavers from education and training by citizenship
enps_mar_eqton,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Transport > Maritime transport > Carrying capacity of merchant ships of 1000 GT and over by vessel type - ENP-South countries
edat_lfso_00t2,dataset,Database by themes > Population and social conditions > Education and training > Education and training - historical data > Entry of young people into the labour market - LFS ad-hoc module 2000 > Employed in service sector and occupational status of recent school-leavers (2000)
ilc_peps01n$dv_1161,dataset,Database by themes > Population and social conditions > Living conditions and welfare > Income and living conditions > Persons at risk of poverty or social exclusion (EU 2030 target) > Main indicator - persons at risk of poverty or social exclusion > Persons at risk of poverty or social exclusion by age and sex
enps_ef_lus_main,dataset,Database by themes > General and regional statistics > Non EU countries > Southern European Neighbourhood Policy countries (ENP-South) > Agriculture and fisheries > Agriculture > Main farm land use - ENP-South countries
road_ec_entemp,dataset,"Database by themes > Transport > Road transport > Road transport - enterprises, economic performances and employment > Road transport - enterprises, economic performances and employment - historical data > Goods road transport enterprises by employment size classes (1988-2012)"
